Time,CV,FF,Input
0,0,-0.791238,0
0.01495361,0,-0.7777878,0
0.03204346,0,-0.7500234,0
0.04919434,0,-0.7358032,0
0.06500244,0,-0.6923848,0
0.08209229,0,-0.6633232,0
0.09942627,0,-0.6489156,0
0.1170654,0,-0.6206132,0
0.132019,0,-0.593346,0
0.1502686,0,-0.5675273,0
0.1654053,0,-0.5675273,0
0.1824951,0,-0.5435532,0
0.1993408,0,-0.5323752,0
0.2155762,0,-0.5118558,0
0.2316284,0,-0.4940503,0
0.24823,0,-0.486255,0
0.2655029,0,-0.4730349,0
0.2820435,0,-0.4631459,0
0.2987061,0,-0.4567465,0
0.3152466,0,-0.4539393,0
0.3330688,0,-0.4547684,0
0.3483887,0,-0.4565442,0
0.3652954,0,-0.4627806,0
0.381958,0,-0.4725033,0
0.3984985,0,-0.4786234,0
0.4152222,0,-0.4932536,0
0.4327393,0,-0.5108612,0
0.4486084,0,-0.5206915,0
0.4650879,0,-0.5421999,0
0.4822998,0,-0.5658689,0
0.4985962,0,-0.5783916,0
0.5150757,0,-0.6045529,0
0.5324707,0,-0.6318371,0
0.5511475,0,-0.6597918,0
0.5654297,0,-0.6738763,0
0.5818481,0,-0.7019695,0
0.5982666,0,-0.7158628,0
0.6157227,0,-0.7430583,0
0.6323853,0,-0.7690991,0
0.6486206,0,-0.781554,0
0.6652832,0,-0.8050833,0
0.6821899,0,-0.8264645,0
0.6984253,0,-0.8362432,0
0.71521,0,-0.8537888,0
0.7321167,0,-0.8684354,0
0.7487793,0,-0.8746027,0
0.7670288,0,-0.8845169,0
0.7816162,0,-0.8911005,0
0.7984619,0,-0.8931182,0
0.8150024,0,-0.8945866,0
0.8317261,0,-0.8926497,0
0.8482056,0,-0.8904243,0
0.8651123,0,-0.8835292,0
0.8822632,0,-0.8735074,0
0.8989258,0,-0.867385,0
0.9154663,0,-0.8530648,0
0.932373,0,-0.8362042,0
0.9490967,0,-0.826915,0
0.9677734,0,-0.8068232,0
0.9824219,0,-0.7850056,0
0.9992676,0,-0.7735636,0
1.015381,0,-0.7498492,0
1.03241,0,-0.7253472,0.005477667
1.048096,2.643287E-06,-0.712921,0.05023954
1.065186,2.952949E-05,-0.6879557,0.1212255
1.081848,0.0001149085,-0.6631487,0.1668916
1.098206,0.0002808053,-0.6509163,0.2116534
1.115417,0.0005488037,-0.6270046,0.2772137
1.131897,0.00095052,-0.6040916,0.3174542
1.14856,0.001505346,-0.5930999,0.3662853
1.165283,0.002236814,-0.5722063,0.3925094
1.183533,0.003157545,-0.5529502,0.4232549
1.198608,0.004282336,-0.543995,0.4372713
1.215393,0.00561791,-0.527523,0.4598782
1.231689,0.007175135,-0.5130574,0.4711818
1.248718,0.008959421,-0.5065988,0.4833894
1.265747,0.01097661,-0.4952463,0.50464
1.282104,0.01323692,-0.4859672,0.5231778
1.299194,0.01574924,-0.482089,0.5548276
1.31543,0.01852879,-0.4757976,0.5751739
1.332397,0.02158534,-0.4713513,0.6154143
1.34845,0.02493825,-0.46977,0.6366649
1.365295,0.02859772,-0.4677703,0.6610805
1.384033,0.03257547,-0.4671366,0.6981559
1.398743,0.03688931,-0.4672561,0.7221193
1.415405,0.04155077,-0.4682027,0.7442743
1.43219,0.04657044,-0.4698598,0.7736633
1.448792,0.05196245,-0.4708642,0.7935575
1.465454,0.05773631,-0.4730396,0.8184252
1.482178,0.06390397,-0.4751885,0.8347022
1.498474,0.07047317,-0.4761607,0.8496228
1.515259,0.07745106,-0.4777206,0.869969
1.532288,0.08484736,-0.4785382,0.8803684
1.549561,0.09266701,-0.4785872,0.885794
1.565247,0.1009125,-0.4778149,0.885794
1.582214,0.1095839,-0.4757027,0.8839855
1.601196,0.11868,-0.4720629,0.869969
1.615479,0.1281942,-0.4696212,0.8527878
1.632202,0.138118,-0.4634173,0.824303
1.648438,0.1484376,-0.4596318,0.7524127
1.665222,0.1591181,-0.4506551,0.6922781
1.681519,0.1701307,-0.4397838,0.5882859
1.698425,0.1814248,-0.4336401,0.507805
1.715332,0.1929618,-0.4199642,0.3635724
1.731445,0.2046719,-0.4045047,0.2559632
1.748535,0.2165032,-0.3961408,0.09047996
1.765991,0.2283758,-0.3782343,0
1.782349,0.240246,-0.3589017,0
1.800415,0.2521139,-0.3383447,0
1.815247,0.2639793,-0.3276778,0
1.831909,0.2758424,-0.305721,0
1.848206,0.2877032,-0.2944964,0
1.865601,0.2995615,-0.271725,0
1.882019,0.3114175,-0.2487579,0
1.899475,0.3232711,-0.2372899,0
1.915405,0.3351223,-0.2145639,0
1.932251,0.3469712,-0.1923522,0
1.948425,0.3588177,-0.181525,0
1.965393,0.3706618,-0.1605923,0
1.982483,0.3825035,-0.1408275,0
2.000854,0.3943429,-0.1224574,0
2.015198,0.4061799,-0.1138591,0
2.032043,0.4180146,-0.0979481,0
2.048523,0.4298469,-0.09067381,0
2.065308,0.4416768,-0.0775682,0
2.08136,0.4535044,-0.06646787,0
2.098572,0.4653295,-0.06169154,0
2.115295,0.4771523,-0.05370994,0
2.131531,0.4889728,-0.04782701,0
2.149414,0.5007909,-0.04566544,0
2.165344,0.5126066,-0.04286845,0
2.186157,0.52442,-0.04203686,0
2.204346,0.536231,-0.04306002,0
2.218628,0.5480396,-0.04422472,0
2.234985,0.5598459,-0.04776174,0
2.25177,0.5716498,-0.05276184,0
2.268311,0.5834514,-0.05575124,0
2.288269,0.5952506,-0.0625826,0
2.299377,0.6070474,-0.0663723,0
2.314819,0.6188419,-0.07456644,0
2.331604,0.6306341,-0.08340163,0
2.349121,0.6424238,-0.08799331,0
2.365601,0.6542112,-0.09739605,0
2.381775,0.6659963,-0.1069279,0
2.398254,0.677779,-0.1116846,0
2.417358,0.6895593,-0.121074,0
2.431946,0.7013373,-0.1301741,0
2.448608,0.7131129,-0.1345749,-0.0705858
2.46521,0.7248521,-0.1430111,-0.2089406
2.481812,0.7364881,-0.1508925,-0.3025335
2.498535,0.7479758,-0.154607,-0.4458619
2.515381,0.7592461,-0.1615641,-0.536742
2.53186,0.7702551,-0.1678892,-0.624005
2.549316,0.7809608,-0.1708212,-0.7501521
2.565002,0.7913023,-0.1762534,-0.8319893
2.58252,0.8012403,-0.1811704,-0.9463807
2.598511,0.8107197,-0.183465,-1.025505
2.617615,0.8197023,-0.1877979,-1.145322
2.631592,0.8281304,-0.1919017,-1.223995
2.649109,0.8359661,-0.1939142,-1.301763
2.665405,0.8431721,-0.1979621,-1.421128
2.682312,0.8496909,-0.2021844,-1.497087
2.69873,0.855486,-0.2044167,-1.574403
2.715271,0.8605201,-0.209237,-1.689699
2.732239,0.8647379,-0.2146819,-1.758424
2.749146,0.8681063,-0.2176936,-1.855634
2.765503,0.8705786,-0.2244006,-1.908986
2.78241,0.8721292,-0.2321486,-1.985398
2.798584,0.8727214,-0.2364574,-2.018404
2.817139,0.8723395,-0.2460212,-2.045533
2.832397,0.8709707,-0.2569306,-2.048246
2.849182,0.8686137,-0.2629147,-2.017952
2.865417,0.8652833,-0.2759745,-1.96686
2.882263,0.8610045,-0.2905086,-1.868294
2.897949,0.8558251,-0.2983276,-1.790074
2.915283,0.8497828,-0.3150476,-1.616
2.932312,0.842962,-0.3331545,-1.488496
2.948486,0.8354242,-0.3426985,-1.282773
