Time,CV,FF,Input
0,0,-0.791238,0
0.01583862,0,-0.7777878,0
0.03300476,0,-0.7500234,0
0.04916382,0,-0.7358032,0
0.06599426,0,-0.6923848,0
0.08262634,0,-0.6633232,0
0.09985352,0,-0.6489156,0
0.1183929,0,-0.6206132,0
0.1330719,0,-0.593346,0
0.1491394,0,-0.5802304,0
0.1665649,0,-0.5675273,0
0.1829376,0,-0.5435532,0
0.1991425,0,-0.5323752,0
0.2161713,0,-0.5118558,0
0.2323761,0,-0.4940503,0
0.249176,0,-0.486255,0
0.2658997,0,-0.4730349,0
0.2823639,0,-0.4631459,0
0.2992401,0,-0.4567465,0
0.31604,0,-0.4539393,0
0.3343353,0,-0.4547684,0
0.3494415,0,-0.4565442,0
0.3659058,0,-0.4627806,0
0.3826599,0,-0.4725033,0
0.3991852,0,-0.4786234,0
0.4161377,0,-0.4932536,0
0.4329529,0,-0.5108612,0
0.4490051,0,-0.5206915,0
0.4662476,0,-0.5421999,0
0.4823303,0,-0.5658689,0
0.4991302,0,-0.5783916,0
0.5158234,0,-0.6045529,0
0.5322113,0,-0.6318371,0
0.5513153,0,-0.6597918,0
0.5661621,0,-0.6738763,0
0.5831604,0,-0.7019695,0
0.598999,0,-0.7158628,0
0.6159821,0,-0.7430583,0
0.6329803,0,-0.7690991,0
0.6491394,0,-0.781554,0
0.6657715,0,-0.8050833,0
0.6825256,0,-0.8264645,0
0.699234,0,-0.8362432,0
0.7160797,0,-0.8537888,0
0.7332611,0,-0.8684354,0
0.7520905,0,-0.8799692,0
0.7658844,0,-0.8845169,0
0.782135,0,-0.8911005,0.02853683
0.7991486,1.377065E-05,-0.8931182,0.1026878
0.8158875,7.709126E-05,-0.8945866,0.1501624
0.832428,0.0002128612,-0.8926497,0.1885943
0.8492126,0.0004396114,-0.8904243,0.2428511
0.8660583,0.0007835059,-0.8835292,0.274953
0.8825378,0.001260012,-0.8735074,0.3142892
0.899292,0.001888086,-0.867385,0.3405133
0.9160767,0.002680351,-0.8530648,0.3631203
0.9324646,0.003647684,-0.8362042,0.3961265
0.948761,0.004805977,-0.826915,0.4155685
0.9681244,0.006164574,-0.8068232,0.4490268
0.9826813,0.00773958,-0.7850056,0.4680168
0.9990234,0.009540116,-0.7735636,0.4888152
1.015839,0.01157617,-0.7498492,0.520465
1.032227,0.01386298,-0.7253472,0.5394548
1.049072,0.01640964,-0.712921,0.5733653
1.066193,0.01923248,-0.6879557,0.5946159
1.082397,0.02234169,-0.6631487,0.6312392
1.099365,0.02575488,-0.6509163,0.6506813
1.116013,0.02948138,-0.6270046,0.6651497
1.132996,0.03352812,-0.6040916,0.682331
1.149261,0.0379033,-0.5930999,0.6891131
1.167511,0.04261015,-0.5722063,0.7067466
1.183105,0.0476571,-0.5529502,0.7198586
1.199005,0.05305042,-0.543995,0.7311621
1.216064,0.05879548,-0.527523,0.7605513
1.233261,0.06490641,-0.5130574,0.7763761
1.249176,0.07139076,-0.5065988,0.8057653
1.266479,0.07826264,-0.4952463,0.8252072
1.282547,0.08553136,-0.4859672,0.8432928
1.29924,0.09320556,-0.482089,0.8704212
1.316299,0.1012983,-0.4757976,0.8876026
1.332153,0.1098177,-0.4713513,0.9025232
1.349228,0.1187709,-0.46977,0.9097574
1.366348,0.1281613,-0.4677703,0.917896
1.384277,0.1379928,-0.4671366,0.9233217
1.399216,0.1482679,-0.4672561,0.9273908
1.416229,0.1589884,-0.4682027,0.9305558
1.432434,0.1701558,-0.4698598,0.931008
1.449905,0.1817703,-0.4708642,0.931008
1.466125,0.1938317,-0.4730396,0.9328166
1.482498,0.2063408,-0.4751885,0.9332687
1.498962,0.2192978,-0.4761607,0.9332687
1.515747,0.2327026,-0.4777206,0.9332687
1.533112,0.246555,-0.4785382,0.9314601
1.549271,0.2608542,-0.4785872,0.9007146
1.566238,0.2755851,-0.4778149,0.8672563
1.582153,0.2907316,-0.4757027,0.7971746
1.601486,0.3062598,-0.4720629,0.7447264
1.616028,0.3221442,-0.4696212,0.6764532
1.63266,0.3383518,-0.4634173,0.5448805
1.649307,0.3548192,-0.4596318,0.4440534
1.665512,0.3714975,-0.4506551,0.2794745
1.682983,0.3883074,-0.4397838,0.1573967
1.699387,0.4051898,-0.4336401,0.0307975
1.716339,0.4220838,-0.4199642,0
1.732483,0.4389744,-0.4045047,0
1.749496,0.4558615,-0.3961408,0
1.76622,0.4727454,-0.3782343,0
1.782852,0.4896258,-0.3589017,0
1.801208,0.5065029,-0.3383447,0
1.816132,0.5233765,-0.3276778,0
1.832123,0.5402468,-0.305721,0
1.849228,0.5571138,-0.2944964,0
1.866119,0.5739774,-0.271725,0
1.882385,0.5908375,-0.2487579,0
1.899338,0.6076943,-0.2372899,0
1.916016,0.6245478,-0.2145639,0
1.933136,0.6413978,-0.1923522,0
1.949966,0.6582446,-0.181525,0
1.966232,0.6750879,-0.1605923,0
1.982483,0.6919279,-0.1408275,0
1.998886,0.7087644,-0.1314549,0
2.017685,0.7255977,-0.1138591,0
2.032974,0.7424275,-0.0979481,0
2.049225,0.759254,-0.09067381,0
2.065689,0.7760772,-0.0775682,0
2.082397,0.7928969,-0.06646787,0
2.098938,0.8097134,-0.06169154,0
2.11618,0.8265264,-0.05370994,0
2.133026,0.8433361,-0.04782701,0
2.149216,0.8601424,-0.04566544,0
2.166138,0.8769454,-0.04286845,0
2.18251,0.8937449,-0.04203686,0
2.199814,0.9105412,-0.04232466,0
2.217743,0.9273341,-0.04422472,0
2.233139,0.9441236,-0.04776174,0
2.248886,0.9609097,-0.05009052,0
2.265961,0.9776925,-0.05575124,0
2.282867,0.994472,-0.0625826,0
2.299011,1.011248,-0.0663723,0
2.316193,1.028021,-0.07456644,0
2.333054,1.04479,-0.08340163,0
2.349182,1.061556,-0.08799331,0
2.36615,1.078319,-0.09739605,0
2.382385,1.095078,-0.1069279,0
2.399048,1.111834,-0.1116846,0
2.415909,1.128587,-0.121074,0
2.434708,1.145336,-0.1301741,0
2.449829,1.162082,-0.1345749,0
2.466278,1.178825,-0.1430111,-0.02718038
2.483154,1.195551,-0.1508925,-0.1108263
2.499039,1.21222,-0.154607,-0.1637266
2.516006,1.228807,-0.1615641,-0.2075842
2.533325,1.24529,-0.1678892,-0.2659102
2.548828,1.261642,-0.1708212,-0.3011772
2.565689,1.277846,-0.1762534,-0.3310184
2.582169,1.293886,-0.1811704,-0.3771367
2.599167,1.309741,-0.183465,-0.4024565
2.616119,1.325398,-0.1877979,-0.4431491
2.63446,1.340839,-0.1919017,-0.4747989
2.649811,1.356048,-0.1939142,-0.50464
2.665482,1.37101,-0.1979621,-0.5543755
2.682983,1.385701,-0.2021844,-0.591903
2.699463,1.400104,-0.2044167,-0.6574634
2.715958,1.414187,-0.209237,-0.6990603
2.733154,1.427929,-0.2146819,-0.7655247
2.749359,1.4413,-0.2176936,-0.8071216
2.765717,1.454278,-0.2244006,-0.8473622
2.782639,1.466845,-0.2321486,-0.9047838
2.799255,1.478972,-0.2364574,-0.9382423
2.815598,1.490645,-0.2460212,-0.9735091
2.832886,1.501845,-0.2569306,-1.02867
2.851074,1.512547,-0.2692612,-1.07931
2.86618,1.522726,-0.2759745,-1.11096
2.882111,1.532366,-0.2905086,-1.141705
2.898941,1.541454,-0.2983276,-1.183302
2.916046,1.549969,-0.3150476,-1.206813
2.932373,1.5579,-0.3331545,-1.224899
2.949356,1.565238,-0.3426985,-1.23575
2.965729,1.571979,-0.362689,-1.237107
2.983215,1.578121,-0.3837526,-1.207265
2.999771,1.583679,-0.3946301,-1.167929
3.015839,1.588673,-0.4169467,-1.12995
3.033295,1.59312,-0.4398187,-1.035904
3.050705,1.597066,-0.4629932,-0.9427636
3.066086,1.600557,-0.4746094,-0.83425
3.082993,1.603645,-0.497722,-0.6493248
3.099167,1.606418,-0.5091453,-0.5100658
3.116302,1.608945,-0.5315406,-0.2849002
3.132477,1.611334,-0.5530853,-0.1271033
3.149918,1.613661,-0.5634463,0
3.165833,1.615988,-0.5831656,0
3.182648,1.618314,-0.601318,0
3.199753,1.62064,-0.609725,0
3.21553,1.622965,-0.6250502,0
3.232971,1.62529,-0.638211,0
3.249252,1.627614,-0.6439202,0
3.267563,1.629938,-0.6534974,0
3.283264,1.632261,-0.6605172,0
3.299057,1.634584,-0.66304,0
