Time,CV,FF,Input
0,0,-0.791238,0
0.01594353,0,-0.7777878,0
0.03238678,0,-0.7500234,0
0.04969025,0,-0.7358032,0
0.06568909,0,-0.6923848,0
0.08259773,0,-0.6633232,0
0.09882545,0,-0.6489156,0
0.1172409,0,-0.6206132,0
0.1326008,0,-0.593346,0
0.1495914,0,-0.5802304,0
0.1664047,0,-0.5675273,0
0.1824226,0,-0.5435532,0
0.1989784,0,-0.5323752,0
0.2194347,0,-0.5118558,0
0.2322407,0,-0.4940503,0
0.2489281,0,-0.486255,0
0.2659321,0,-0.4730349,0
0.2825985,0,-0.4631459,0
0.2996979,0,-0.4567465,0
0.3155727,0,-0.4539393,0
0.3326111,0,-0.4547684,0
0.3488274,0,-0.4565442,0
0.365591,0,-0.4627806,0
0.3827896,0,-0.4725033,0
0.3996964,0,-0.4786234,0
0.4173431,0,-0.4932536,0
0.4326878,0,-0.5108612,0
0.4494267,0,-0.5206915,0
0.4663982,0,-0.5421999,0
0.4827328,0,-0.5658689,0
0.4990463,0,-0.5783916,0
0.516325,0,-0.6045529,0
0.5328503,0,-0.6318371,0
0.5493336,0,-0.6457594,0
0.5656967,0,-0.6738763,0
0.5826015,0,-0.7019695,0
0.5992355,0,-0.7158628,0
0.6162567,0,-0.7430583,0
0.6346893,0,-0.7690991,0
0.6496944,0,-0.781554,0
0.6656361,0,-0.8050833,0
0.6828651,0,-0.8264645,0
0.6996117,0,-0.8362432,0
0.7158527,0,-0.8537888,0
0.7327347,0,-0.8684354,0
0.7496586,0,-0.8746027,0
0.7659264,0,-0.8845169,0
0.7824917,0,-0.8911005,0
0.7996464,0,-0.8931182,0
0.8162785,0,-0.8945866,0
0.834528,0,-0.8926497,0
0.8495884,0,-0.8904243,0
0.8658142,0,-0.8835292,0
0.882988,0,-0.8735074,0
0.8995781,0,-0.867385,0
0.9157314,0,-0.8530648,0
0.9333305,0,-0.8362042,0
0.949173,0,-0.826915,0
0.9658566,0,-0.8068232,0
0.9826088,0,-0.7850056,0
0.9992409,0,-0.7735636,0
1.016335,0,-0.7498492,0
1.034582,0,-0.7253472,0
1.048971,0,-0.712921,0
1.065876,0,-0.6879557,0
1.082684,0,-0.6631487,0
1.099495,0,-0.6509163,0
1.115574,0,-0.6270046,0
1.132694,0,-0.6040916,0
1.149553,0,-0.5930999,0
1.165773,0,-0.5722063,0
1.182669,0,-0.5529502,0
1.199301,0,-0.543995,0
1.2157,0,-0.527523,0.01045123
1.233547,5.043317E-06,-0.5130574,0.04888309
1.250559,3.367451E-05,-0.5006616,0.07284653
1.266531,9.745258E-05,-0.4952463,0.09997493
1.282473,0.0002094615,-0.4859672,0.1180605
1.299143,0.000378419,-0.482089,0.1411196
1.316608,0.000615441,-0.4757976,0.1578488
1.332668,0.0009285867,-0.4713513,0.1664395
1.349415,0.001321986,-0.46977,0.1723173
1.365814,0.00179846,-0.4677703,0.1818122
1.382483,0.002362574,-0.4671366,0.1953764
1.399517,0.003020855,-0.4672561,0.1994457
1.415819,0.003775248,-0.4682027,0.213462
1.432571,0.004632498,-0.4698598,0.2225048
1.449438,0.005596947,-0.4708642,0.2360691
1.467634,0.006675121,-0.4730396,0.2469204
1.482346,0.007872232,-0.4751885,0.2541546
1.502131,0.009191749,-0.4770165,0.261841
1.521425,0.01063735,-0.4782389,0.2699795
1.532272,0.01221295,-0.4785382,0.2704317
1.549587,0.01391873,-0.4785872,0.2708838
1.565477,0.01575489,-0.4778149,0.2591281
1.582396,0.01771572,-0.4757027,0.2306434
1.599258,0.01978746,-0.4740841,0.2066799
1.615917,0.02195852,-0.4696212,0.1709608
1.632578,0.02421165,-0.4634173,0.1375025
1.649536,0.02653068,-0.4596318,0.08415
1.667698,0.02888985,-0.4506551,0.03712746
1.682535,0.03126646,-0.4397838,0
1.699501,0.0336426,-0.4336401,0
1.715662,0.03601827,-0.4199642,0
1.732573,0.03839346,-0.4045047,0
1.749605,0.04076817,-0.3961408,0
1.765804,0.04314241,-0.3782343,0
1.782827,0.04551618,-0.3589017,0
1.799215,0.04788947,-0.3487625,0
1.81654,0.05026228,-0.3276778,0
1.832434,0.05263462,-0.305721,0
1.8494,0.05500649,-0.2944964,0
1.865669,0.05737788,-0.271725,0
1.885014,0.0597488,-0.2487579,0
1.89921,0.06211924,-0.2372899,0
1.916042,0.06448921,-0.2145639,0
1.932852,0.0668587,-0.1923522,0
1.949516,0.06922773,-0.181525,0
1.966513,0.07159627,-0.1605923,0
1.982378,0.07396435,-0.1408275,0
1.999235,0.07633195,-0.1314549,0
2.015858,0.07869907,-0.1138591,0
2.03253,0.08106573,-0.0979481,0
2.049202,0.08343191,-0.09067381,0
2.066341,0.08579762,-0.0775682,0
2.084574,0.08816285,-0.06646787,0
2.099485,0.09052761,-0.06169154,0
2.116524,0.09289189,-0.05370994,0
2.13275,0.09525571,-0.04782701,0
2.149504,0.09761905,-0.04566544,0
2.165567,0.09998192,-0.04286845,0
2.182838,0.1023443,-0.04203686,0
2.198921,0.1047062,-0.04232466,0
2.215679,0.1070677,-0.04422472,0
2.232769,0.1094287,-0.04776174,0
2.249079,0.1117892,-0.05009052,0
2.265835,0.1141492,-0.05575124,0
2.28219,0.1165088,-0.0625826,0.03215395
2.301706,0.1188834,-0.07037585,0.0656123
2.316072,0.1212892,-0.07456644,0.07872432
2.332544,0.1237325,-0.08340163,0.09274069
2.349447,0.12622,-0.08799331,0.1008792
2.365931,0.1287558,-0.09739605,0.1108263
2.382437,0.1313445,-0.1069279,0.1135391
2.399506,0.1339875,-0.1116846,0.1153477
2.415571,0.1366856,-0.121074,0.1153477
2.432529,0.1394389,-0.1301741,0.1153477
2.449348,0.1422472,-0.1345749,0.1153477
