Time,CV,FF,Input
0,0,-0.791238,0
0.01660156,0,-0.7777878,0
0.0350647,0,-0.7500234,0
0.04910278,0,-0.7358032,0
0.06607056,0,-0.6923848,0
0.08258057,0,-0.6633232,0
0.09936523,0,-0.6489156,0
0.1153564,0,-0.6206132,0
0.1328125,0,-0.593346,0
0.1492615,0,-0.5802304,0
0.1651917,0,-0.5675273,0
0.182251,0,-0.5435532,0
0.1990356,0,-0.5323752,0
0.2151184,0,-0.5118558,0
0.2319946,0,-0.4940503,0
0.250824,0,-0.4792406,0
0.2660522,0,-0.4730349,0
0.2817383,0,-0.4631459,0
0.299469,0,-0.4567465,0
0.3162842,0,-0.4539393,0
0.3320618,0,-0.4547684,0
0.3486633,0,-0.4565442,0
0.3660583,0,-0.4627806,0
0.3824463,0,-0.4725033,0
0.3992004,0,-0.4786234,0
0.4153748,0,-0.4932536,0
0.4321289,0,-0.5108612,0
0.4511414,0,-0.5311522,0
0.4656067,0,-0.5421999,0
0.4821472,0,-0.5658689,0
0.499176,0,-0.5783916,0
0.5154724,0,-0.6045529,0
0.5325317,0,-0.6318371,0
0.5493774,0,-0.6457594,0
0.5660706,0,-0.6738763,0
0.5821838,0,-0.7019695,0
0.5990295,0,-0.7158628,0
0.615448,0,-0.7430583,0
0.6323853,0,-0.7690991,0
0.6510315,0,-0.7935647,0
0.6658325,0,-0.8050833,0
0.6820068,0,-0.8264645,0
0.6994019,0,-0.8362432,0
0.7158508,0,-0.8537888,0
0.7328491,0,-0.8684354,0
0.7493286,0,-0.8746027,0
0.7654419,0,-0.8845169,0
0.7825317,0,-0.8911005,0
0.7992249,0,-0.8931182,0
0.8155212,0,-0.8945866,0
0.8320618,0,-0.8926497,0
0.8490601,0,-0.8904243,0
0.8672485,0,-0.8835292,0
0.8818054,0,-0.8735074,0
0.8988037,0,-0.867385,0
0.9153137,0,-0.8530648,0
0.9322815,0,-0.8362042,0
0.9494629,0,-0.826915,0
0.9660339,0,-0.8068232,0
0.9827271,0,-0.7850056,0
0.9984436,0,-0.7735636,0
1.016144,0,-0.7498492,0
1.032471,0,-0.7253472,0
1.049408,0,-0.712921,0
1.067322,0,-0.6879557,0
1.081757,0,-0.6631487,0
1.099335,0,-0.6509163,0
1.116058,0,-0.6270046,0
1.131805,0,-0.6040916,0
1.148712,0,-0.5930999,0
1.165283,0,-0.5722063,0
1.182281,0,-0.5529502,0
1.19928,0,-0.543995,0
1.215118,0,-0.527523,0
1.232269,0,-0.5130574,0
1.248535,0,-0.5065988,0
1.265533,0,-0.4952463,0
1.283905,0,-0.4859672,0
1.298798,0,-0.482089,0
1.31604,0,-0.4757976,0
1.331726,0,-0.4713513,0
1.348694,0,-0.46977,0
1.365631,0,-0.4677703,0.01904186
1.382202,9.188786E-06,-0.4671366,0.04390958
1.398956,3.956462E-05,-0.4672561,0.07555938
1.415497,0.0001063961,-0.4682027,0.09454924
1.432281,0.0002188396,-0.4698598,0.1189648
1.448914,0.0003886679,-0.4708642,0.1302683
1.46521,0.0006213242,-0.4730396,0.1343376
1.482422,0.0009187594,-0.4751885,0.1316247
