Time,CV,FF,Input
0,0,0.805491,0
0.01580429,0,0.8039248,0
0.03282166,0,0.7974825,0
0.04906464,0,0.7926365,0
0.06616592,0,0.7718899,0
0.08632278,0,0.7532292,0
0.0991478,0,0.7425783,0
0.1163101,0,0.7188938,0
0.1320534,0,0.6924225,0
0.1487579,0,0.6783011,0
0.1660347,0,0.6636803,0
0.1826019,0,0.633228,0
0.1989441,0,0.6175454,0
0.2152557,0,0.5856496,0
0.2327843,0,0.5535658,0
0.2487373,0,0.5376484,0
0.2661591,0,0.5064486,0
0.2836151,0,0.4765949,0
0.2987747,0,0.4486593,0
0.3149986,0,0.423172,0
0.3325577,0,0.4006096,0
0.3494415,0,0.3905571,0
0.3658371,0,0.3731348,0
0.3829689,0,0.359533,0
0.3989487,0,0.354237,0
0.4158745,0,0.3467513,0
0.4322472,0,0.3434716,0
0.4497681,0,0.3434118,0
0.4660149,0,0.3464077,0
0.4832077,0,0.3534332,0
0.5007896,0,0.3642629,0
0.5160179,0,0.3710111,0
0.532299,0,0.3869451,0
0.5493698,0,0.3960258,0
0.5661659,0,0.4161216,0
0.5829468,0,0.438364,0
0.5989914,0,0.4501164,0
0.6157532,0,0.4745148,0
0.6319618,0,0.4995916,0
0.6490974,0,0.5121875,0
0.6663933,0,0.5370958,0
0.6830482,0,0.561097,0
0.6991882,0,0.5725618,0
0.7178383,0,0.5940413,0
0.732708,0,0.6131068,0
0.7491379,0,0.621564,0
0.7653885,0,0.6360142,0
0.7824745,0,0.6468043,0
0.7991791,0,0.6507018,0
0.8157654,0,0.6552907,0
0.8326111,0,0.6553783,0
0.8493271,0,0.6536682,0
0.8660202,0,0.646653,0
0.8822975,0,0.6347889,0
0.8995361,0,0.6270372,0
0.9175873,0,0.6079368,0
0.9326782,0,0.5841551,0
0.9489708,0,0.5705694,0
0.9661331,0,0.5401694,0
0.9826469,0,0.5057264,0
0.9993057,0,0.4871012,0
1.016033,0,0.4472963,0
1.032688,0,0.4044556,0
1.049179,0,0.382044,0
1.065952,0,0.3355474,0
1.082718,0,0.2872455,0
1.099419,0,0.2625792,0
1.115829,0,0.2125401,0
1.134602,0,0.161984,0
1.148808,0,0.1366675,0
1.165955,0,0.08625536,0
1.182968,0,0.03651004,0
1.199142,0,0.01201799,0
1.215401,0,-0.03596843,0
1.232517,0,-0.08234609,0
1.249264,0,-0.10484,0
1.266052,0,-0.1482859,0
1.282757,0,-0.189517,0
1.299118,0,-0.2092566,0
1.315624,0,-0.2469265,0
1.33268,0,-0.2821507,0
1.351288,0,-0.3149398,0
1.365849,0,-0.3304395,0
1.382736,0,-0.3597129,0
1.39883,0,-0.3735209,0
1.416149,0,-0.3995839,0
1.4328,0,-0.4237413,0
1.449341,0,-0.435174,0
1.465969,0,-0.4568969,0
1.482307,0,-0.4773065,0
1.499073,0,-0.4870993,0
1.516079,0,-0.506023,0
1.53289,0,-0.5242747,0
1.550854,0,-0.5420957,0
1.566017,0,-0.5509146,0
1.58289,0,-0.5684945,0
1.599316,0,-0.5773,0
1.615566,0,-0.5950361,0
1.633163,0,-0.6130363,0
1.650047,0,-0.6313801,0
1.666317,0,-0.6406935,0
1.682877,0,-0.6596037,0
1.699223,0,-0.6691921,0
1.715919,0,-0.6885929,0
1.7323,0,-0.708204,0
1.7491,0,-0.7180454,0
1.768116,0,-0.7376928,0
1.782856,0,-0.7571251,0
1.799065,0,-0.7666907,0
1.815807,0,-0.7853668,0
1.832428,0,-0.8032178,0
1.848835,0,-0.8117487,0
1.865967,0,-0.8278479,0
1.88279,0,-0.8424318,0
1.899948,0,-0.8490703,0
1.915714,0,-0.8608772,0
1.931934,0,-0.8705205,0
1.948898,0,-0.8744607,0
1.966057,0,-0.880455,0
1.985176,0,-0.8837972,0
1.999027,0,-0.8844319,0
2.015984,0,-0.88357,0
2.032593,0,-0.8798228,0
2.049274,0,-0.8768631,0
2.065773,0,-0.8687912,0
2.082687,0,-0.8579144,0
2.099335,0,-0.8514609,0
2.115906,0,-0.8366253,0
2.13295,0,-0.8193889,0
2.149319,0,-0.8099452,0
2.165726,0,-0.7895799,0
2.182095,0,-0.7675017,0
2.200798,0,-0.7440473,0
2.216129,0,-0.7319165,0
2.233032,0,-0.7070826,0
2.249214,0,-0.6944758,0
2.265892,0,-0.6691263,0
2.282394,0,-0.6439192,0
2.299328,0,-0.6314885,0
2.315407,0,-0.6072034,0
2.332535,0,-0.5839779,0
2.348778,0,-0.5728646,0
2.36594,0,-0.5518225,0
2.382763,0,-0.5325764,0
2.400963,0,-0.5153458,0
2.415722,0,-0.5075409,0
2.432774,0,-0.4936312,0
2.448952,0,-0.4875475,0
2.466778,0,-0.477147,0
2.482571,0,-0.4690923,0
2.499084,0,-0.4659267,0
2.516701,0,-0.4612511,0
2.532902,0,-0.4586516,0
2.548763,0,-0.4580684,0
2.566025,0,-0.4581833,0
2.582958,0,-0.4597721,0
2.601067,0,-0.4625178,0
2.615738,0,-0.4642164,0
2.632072,0,-0.468034,0
2.64912,0,-0.4700569,0
2.665905,0,-0.474084,0
2.682076,0,-0.4777537,0
2.698792,0,-0.4793299,0
2.715847,0,-0.4817212,0
2.732613,0,-0.4827842,0
2.748924,0,-0.4827056,0
2.765755,0,-0.4811212,0
2.782394,0,-0.4773846,0
2.799133,0,-0.4746257,0
2.81781,0,-0.4671856,0
2.833065,0,-0.4570325,0
2.8494,0,-0.4508952,0
2.866196,0,-0.4364442,0
2.882931,0,-0.4190613,0
2.89893,0,-0.4092734,0
2.915791,0,-0.3875426,0
2.932091,0,-0.363033,0
2.948906,0,-0.3497846,0
2.965942,0,-0.3214266,0
2.982052,0,-0.2907912,0
2.999268,0,-0.2747064,0
3.017426,0,-0.2411981,0
3.032944,0,-0.2061897,0
3.049259,0,-0.1882359,0
3.066704,0,-0.1516661,0
3.082661,0,-0.1145379,0
3.099228,0,-0.09588734,0
3.115913,0,-0.05865808,0
3.132626,0,-0.02184343,0.003669107
3.149548,1.770554E-06,-0.003707158,0.01090335
3.166126,8.802241E-06,0.031805,0.0262761
3.182152,2.851224E-05,0.06603467,0.03215395
3.199463,6.373441E-05,0.08257631,0.03577106
3.219357,0.0001162111,0.1143514,0.04164886
3.232376,0.0001887753,0.1442001,0.0443617
3.249424,0.000282732,0.1583456,0.0443617
3.26553,0.000398077,0.1849947,0.0475267
3.282452,0.0005363333,0.2093825,0.04888309
3.29916,0.0006981508,0.2207147,0.05069166
3.315548,0.0008843977,0.2416589,0.05159593
3.332222,0.001095505,0.2603546,0.05159593
3.349167,0.001331469,0.268889,0.05114382
3.365738,0.001592065,0.2844182,0.05023954
3.382469,0.001876852,0.298047,0.05023954
3.399223,0.002185825,0.3042162,0.04888309
3.416164,0.002518327,0.3154206,0.03803174
3.434509,0.002869113,0.3253466,0.02311115
3.449219,0.003230982,0.3299245,0.008642673
3.465755,0.00359695,0.3385104,0
3.482185,0.003962844,0.3466145,0
3.498871,0.004328665,0.3505922,0
3.516151,0.004694413,0.3586119,0
3.532185,0.005060088,0.3669978,0
3.548828,0.00542569,0.37143,0
3.565155,0.005791219,0.3809673,0
3.582733,0.006156675,0.3916416,0
3.598904,0.006522057,0.3974879,0
3.615768,0.006887367,0.4103451,0
3.632908,0.007252604,0.4249201,0
3.651104,0.007617767,0.4413722,0
3.665977,0.007982858,0.4503391,0
3.682293,0.008347876,0.4698009,0
3.698624,0.008712821,0.4803051,0
3.715347,0.009077692,0.5028591,0
3.732853,0.009442491,0.5274362,0
3.749203,0.009807218,0.5404576,0
3.765926,0.01017187,0.5678895,0
3.782295,0.01053645,0.5970387,0
3.799648,0.01090096,0.6121976,0
3.815895,0.01126539,0.6435445,0
3.832657,0.01162975,0.676056,0
3.849628,0.01199404,0.6926646,0
3.868519,0.01235826,0.7264094,0
3.882183,0.0127224,0.7606104,0
3.899239,0.01308647,0.7777877,0
3.915581,0.01345047,0.8121074,0
3.933094,0.0138144,0.8461332,0
3.949696,0.01417825,0.8629461,0
3.965641,0.01454203,0.8960022,0
3.982262,0.01490573,0.9280897,0
3.99897,0.01526937,0.9436988,0
4.015759,0.01563293,0.9739228,0
4.031895,0.01599642,1.002682,0
4.048882,0.01635984,1.016469,0
4.065838,0.01672318,1.042797,0
4.083626,0.01708645,1.067412,0
4.099743,0.01744965,1.079069,0
4.115768,0.01781278,1.101089,0
4.132889,0.01817583,1.121427,0
4.14893,0.01853881,1.130991,0
4.165977,0.01890172,1.14017,0
4.182831,0.01926456,1.157445,0
4.199135,0.01962732,1.165582,0
4.216011,0.01999001,1.180968,0
4.232361,0.02035263,1.195343,0
4.248901,0.02071517,1.20222,0
4.265884,0.02107765,1.215502,0
4.284561,0.02144005,1.228355,0
4.29929,0.02180237,1.234696,0
4.315834,0.02216463,1.247359,0
4.33263,0.02252681,1.260186,0
4.349319,0.02288892,1.26673,0
4.366058,0.02325096,1.280201,0
4.382854,0.02361293,1.29433,0
4.399197,0.02397482,1.301688,0
4.415928,0.02433664,1.317064,0
4.432838,0.02469839,1.333388,0
4.449123,0.02506007,1.341922,0
4.465904,0.02542168,1.359737,0
4.48399,0.02578321,1.378523,-0.04933526
4.49931,0.02612086,1.38826,-0.1017835
4.515663,0.02640933,1.408353,-0.1483539
4.53299,0.02662615,1.42915,-0.2053235
4.548843,0.02674385,1.439756,-0.2319997
4.565693,0.02674957,1.461251,-0.258676
4.581959,0.02663048,1.48292,-0.2962036
4.598743,0.0263685,1.493736,-0.317002
4.61599,0.02595362,1.515149,-0.345939
4.632607,0.02537187,1.536015,-0.3617639
4.649143,0.02461563,1.546146,-0.3812059
4.665833,0.02367558,1.565598,-0.4092385
4.682816,0.02253824,1.583709,-0.4295849
4.70084,0.02119385,1.600166,-0.4544525
4.71553,0.01963045,1.607682,-0.4747989
4.732765,0.01783826,1.621117,-0.4996665
4.749123,0.01580534,1.626974,-0.5136828
4.76606,0.01352493,1.636823,-0.5286034
4.782639,0.01098988,1.644032,-0.5448805
4.799191,0.008192386,1.6466,-0.5534712
4.815742,0.005128367,1.649595,-0.5552797
4.832897,0.001796982,1.649692,-0.5534712
4.84943,-0.001800821,1.64865,-0.5403591
4.866104,-0.005658685,1.644412,-0.5286034
4.882668,-0.00977087,1.637384,-0.5286034
4.899109,-0.01413732,1.632868,-0.5286034
4.917679,-0.018758,1.621957,-0.5281514
4.932064,-0.02363267,1.608747,-0.5227256
4.948994,-0.02875861,1.601372,-0.5114222
4.966202,-0.03413031,1.585289,-0.50464
4.982567,-0.03974448,1.567744,-0.50464
4.999317,-0.04560107,1.55855,-0.50464
5.015652,-0.05170003,1.539592,-0.5087093
5.032703,-0.05804328,1.520254,-0.5123264
5.04916,-0.06463248,1.51059,-0.5123264
5.065559,-0.07146759,1.49157,-0.5041879
5.08276,-0.07854465,1.473359,-0.4747989
5.099144,-0.08584939,1.464704,-0.4422448
5.118412,-0.09336609,1.448578,-0.3631203
5.132759,-0.1010565,1.434389,-0.2912301
5.149033,-0.1088859,1.428147,-0.1533274
5.165939,-0.1167877,1.417593,-0.0443617
5.182152,-0.1247093,1.409876,0
5.199265,-0.1326294,1.407166,0
5.215393,-0.1405478,1.404177,0
5.232742,-0.1484647,1.404551,0
5.249275,-0.15638,1.406028,0
5.265415,-0.1642937,1.411577,0
5.283047,-0.1722058,1.420541,0
5.299316,-0.1801164,1.42627,0
5.31786,-0.1880254,1.440103,0
5.332245,-0.1959327,1.456892,0
5.349487,-0.2038385,1.466297,0
5.366489,-0.2117428,1.486888,0
5.382854,-0.2196454,1.50949,0
5.399624,-0.2275465,1.521392,0
5.41534,-0.2354459,1.546067,0
5.432331,-0.2433438,1.57142,0
5.449142,-0.2512402,1.584163,0
5.46574,-0.2591349,1.609388,0
5.482376,-0.2670281,1.633729,0
5.499382,-0.2749197,1.645365,0
5.517448,-0.2828097,1.667167,0
5.532436,-0.2906981,1.686481,0
5.548912,-0.298585,1.695014,0
5.565765,-0.3064703,1.709469,0
5.582417,-0.314354,1.719996,0
5.599335,-0.3222361,1.723631,0
5.615917,-0.3301166,1.727369,0
5.63295,-0.3379956,1.726085,0
5.650314,-0.345873,1.719475,0
5.665852,-0.3537488,1.714101,0
5.682919,-0.361623,1.69912,0
5.699154,-0.3694957,1.689493,0
5.715958,-0.3773668,1.665961,0
5.73391,-0.3852363,1.636787,0
5.754032,-0.3931042,1.602126,0
5.765938,-0.4009706,1.582813,0
5.782818,-0.4088354,1.540415,0
5.798744,-0.4166986,1.517425,0
5.815796,-0.4245602,1.468132,0
5.832691,-0.4324203,1.414832,0
5.849133,-0.4402788,1.386848,0
5.865211,-0.4481358,1.328576,0
5.882652,-0.4559911,1.267751,0
5.898983,-0.4638449,1.236581,0
5.916656,-0.4716971,1.173141,0
5.934456,-0.4795478,1.108789,0
5.949261,-0.4873968,1.076479,0
5.965763,-0.4952444,1.011999,0
5.982227,-0.5030903,0.9482287,0
5.99889,-0.5109347,0.9167985,0
6.015724,-0.5187775,0.8551985,0
6.032768,-0.5266187,0.7957063,0
6.049393,-0.5344584,0.7668957,0
6.065502,-0.5422965,0.7113969,0
6.082386,-0.550133,0.6590062,0
6.099236,-0.557968,0.6340614,0
6.115891,-0.5658014,0.5867953,0
6.132767,-0.5736332,0.5431268,0
6.151096,-0.5814635,0.5030968,0
6.166126,-0.5892922,0.484435,0
6.182964,-0.5971193,0.4497478,0
6.199001,-0.6049448,0.4336791,0
6.216091,-0.6127688,0.4039466,-0.004573387
6.232788,-0.6205935,0.3771749,-0.04210102
6.249294,-0.6284369,0.3647919,-0.07103798
6.265522,-0.6363131,0.3417857,-0.09047996
6.282761,-0.6442313,0.3207632,-0.09047996
6.299389,-0.6521916,0.3108509,-0.05883017
6.315983,-0.6601788,0.2919191,-0.005025554
6.332855,-0.6681667,0.2737585,0
6.350925,-0.6761531,0.2558627,0
6.366001,-0.6841378,0.2468574,0
6.382599,-0.692121,0.2284283,0
6.399162,-0.7001025,0.2188884,0
6.415894,-0.7080824,0.1988848,0
6.433067,-0.7160608,0.1773196,0
6.449112,-0.7240376,0.1658404,0
6.465401,-0.7320127,0.141301,0
6.482491,-0.7399863,0.1144534,0
6.499146,-0.7479583,0.1001062,0
6.51569,-0.7559287,0.06949251,0
6.532028,-0.7638975,0.03628133,0
6.550144,-0.7718647,0.0004985242,0
6.567806,-0.7798303,-0.01832688,0
6.581928,-0.7877943,-0.05774147,0
6.598862,-0.7957567,-0.07827465,0
6.616253,-0.8037175,-0.120819,0
6.632774,-0.8116767,-0.1650541,0
6.649418,-0.8196344,-0.1876867,0
6.666656,-0.8275904,-0.2337156,0.001860548
6.682888,-0.835544,-0.2803773,0.08550645
6.698994,-0.8434547,-0.3037931,0.1641788
6.715973,-0.8512846,-0.350478,0.2722402
6.732357,-0.8589815,-0.3965369,0.3418697
6.748951,-0.8665121,-0.4191702,0.4065257
6.765373,-0.8738449,-0.4633284,0.4996665
6.78463,-0.8809352,-0.5056033,0.578791
6.799091,-0.8877448,-0.5258905,0.6235529
6.816807,-0.8942521,-0.5645006,0.6633412
6.832611,-0.9004381,-0.6001793,0.6990603
6.849312,-0.9062856,-0.6168171,0.7393007
6.865818,-0.9117751,-0.6475239,0.7600991
6.882763,-0.9168967,-0.6746417,0.7818018
6.899059,-0.92164,-0.6868128,0.7908446
6.916264,-0.9260009,-0.7083442,0.7998874
6.932732,-0.9299749,-0.7261466,0.8057653
6.949432,-0.9335592,-0.733678,0.817973
6.96619,-0.9367482,-0.7461094,0.8383193
6.984089,-0.939532,-0.755241,0.866352
6.9991,-0.9418971,-0.7586682,0.8952889
7.016182,-0.9438297,-0.7634885,0.9260345
7.032646,-0.9453151,-0.7659746,0.9468329
7.049362,-0.9463432,-0.7665002,0.9703442
7.065723,-0.946903,-0.7664651,0.9820998
7.08181,-0.9469886,-0.7654814,0.9875255
7.099064,-0.9465978,-0.7648302,0.9911426
7.116001,-0.9457287,-0.7636171,0.9934032
7.132713,-0.9443804,-0.7630762,1.00335
7.150032,-0.9425482,-0.7632658,1.00968
7.165806,-0.9402292,-0.7649748,1.011489
7.182804,-0.9374225,-0.7689849,1.018723
7.201233,-0.9341248,-0.7758957,1.020079
7.215797,-0.9303355,-0.7806125,1.023245
7.232857,-0.9260532,-0.7928817,1.034096
7.249172,-0.9212728,-0.8005453,1.049469
7.265762,-0.9159868,-0.8191704,1.063485
7.282784,-0.9101887,-0.8424451,1.074788
7.298996,-0.9038731,-0.855898,1.100108
7.316017,-0.897028,-0.8865219,1.117742
7.332211,-0.8896448,-0.9221398,1.139444
7.34911,-0.8817133,-0.9418093,1.151652
7.366085,-0.8732276,-0.9847838,1.166573
7.382534,-0.8641807,-1.03241,1.172451
7.399227,-0.8545698,-1.057869,1.172903
7.417114,-0.8443948,-1.111823,1.169738
7.432171,-0.8336574,-1.169415,1.160695
7.449684,-0.822362,-1.199399,1.150296
7.465359,-0.8105139,-1.261348,1.140349
7.481918,-0.7981178,-1.325357,1.138088
7.498936,-0.785175,-1.357903,1.135375
7.515892,-0.7716869,-1.423586,1.134471
7.532871,-0.757654,-1.489382,1.12995
7.549023,-0.7430787,-1.522064,1.12362
7.566006,-0.7279641,-1.586474,1.11096
7.582001,-0.7123164,-1.648929,1.08564
7.59906,-0.696148,-1.679171,1.062581
7.615891,-0.67947,-1.737203,1.02641
7.634243,-0.6623001,-1.791363,0.9915947
7.649246,-0.644655,-1.816781,0.9423114
7.665394,-0.6265588,-1.863912,0.8310851
7.682255,-0.6080652,-1.905667,0.7528648
7.699066,-0.5892121,-1.924389,0.701773
7.715858,-0.570024,-1.957297,0.6438991
7.732765,-0.550529,-1.983949,0.62084
7.748665,-0.5307384,-1.994878,0.5846688
7.765457,-0.5106695,-2.011912,0.559349
7.782093,-0.4903348,-2.022561,0.501475
7.799206,-0.4697621,-2.025539,0.4485747
7.815643,-0.4489771,-2.026968,0.3793973
7.833172,-0.4280132,-2.022664,0.2622931
7.8507,-0.4069269,-2.013095,0.1673437
7.86607,-0.385764,-2.00651,0
7.882286,-0.3646054,-1.99014,0
7.898998,-0.343451,-1.980532,0
7.915337,-0.3223008,-1.958943,0
7.932182,-0.3011549,-1.934865,0
7.948948,-0.2800131,-1.922157,0
7.966019,-0.2588757,-1.895947,0
7.982933,-0.2377424,-1.869414,0
7.99931,-0.2166134,-1.856302,0
8.01622,-0.1954886,-1.83093,0
8.032963,-0.174368,-1.807388,0
8.049168,-0.1532517,-1.796553,0
8.068157,-0.1321395,-1.777221,0
8.081993,-0.1110316,-1.761567,0
8.098751,-0.08992796,-1.755308,0
8.115097,-0.06882851,-1.746252,0
8.132729,-0.04773327,-1.742158,0
8.14893,-0.02664225,-1.742074,0
8.165234,-0.005555447,-1.74597,0
8.182632,0.01552714,-1.755368,0
8.198872,0.0366055,-1.762131,0
8.215324,0.05767965,-1.779712,0
8.232773,0.07874959,-1.802509,0
8.248577,0.09981531,-1.81576,0
8.265648,0.1208768,-1.845696,0
8.284508,0.1419341,-1.879763,0
8.29903,0.1629872,-1.898152,0
8.316124,0.1840361,-1.937204,0
8.332008,0.2050807,-1.978645,0
8.348682,0.2261212,-2.000003,0
8.365936,0.2471575,-2.043449,0
8.382542,0.2681895,-2.087114,0
8.399109,0.2892173,-2.10874,0
8.416058,0.310241,-2.150999,0
8.432117,0.3312604,-2.191171,0
8.44894,0.3522756,-2.210195,0
8.466057,0.3732866,-2.245581,0
8.484581,0.3942935,-2.27675,0
8.499119,0.4152961,-2.290519,0
8.5154,0.4362945,-2.31401,0
8.532749,0.4572887,-2.33162,0
8.549126,0.4782787,-2.338064,0
8.5658,0.4992645,-2.345989,0
8.582932,0.5202461,-2.347063,0
8.598827,0.5412236,-2.344977,0
8.616226,0.5621968,-2.335521,0
8.632515,0.5831658,-2.319076,0
8.64983,0.6041307,-2.308286,0
8.666008,0.6250913,-2.281749,0
8.682949,0.6460478,-2.248937,0
8.700642,0.6670001,-2.210359,0
8.715721,0.6879481,-2.189097,0
8.732685,0.708892,-2.143062,0
8.749229,0.7298317,-2.118479,0
8.766739,0.7507672,-2.066697,0
8.782177,0.7716985,-2.012154,0
8.798943,0.7926257,-1.984131,0.02537182
8.816013,0.8135608,-1.927171,0.08686284
8.831882,0.8345338,-1.86978,0.1148955
8.849342,0.8555579,-1.841218,0.1352418
8.866074,0.8766431,-1.784945,0.1501624
8.882511,0.8977966,-1.730549,0.1542317
8.899105,0.9190202,-1.704324,0.155136
8.917881,0.9403145,-1.654314,0.1460932
8.931881,0.961675,-1.608163,0.1429282
8.949276,0.9831003,-1.586738,0.1316247
8.965946,1.004585,-1.547539,0.1203212
8.982143,1.026123,-1.513586,0.103592
8.999451,1.047707,-1.498691,0.09454924
9.015869,1.069332,-1.473217,0.07465509
9.03289,1.090989,-1.453607,0.0339625
9.049229,1.112658,-1.44601,0
9.065659,1.134323,-1.435175,0
9.081985,1.155983,-1.429978,0
9.098934,1.177639,-1.429398,0
9.115929,1.199291,-1.432019,0
9.134136,1.220938,-1.439252,0
9.149223,1.242581,-1.444414,0
9.166157,1.26422,-1.457408,0
9.182091,1.285854,-1.473344,0
9.199551,1.307484,-1.482168,0
9.21611,1.32911,-1.50101,0
9.232414,1.350731,-1.520722,0
9.249107,1.372348,-1.530632,0
9.266125,1.393961,-1.55001,0
9.282478,1.415569,-1.568084,0
9.299191,1.437173,-1.576371,0
9.315643,1.458773,-1.590949,0
9.332253,1.480369,-1.602255,0
9.351154,1.50196,-1.609622,0
9.366055,1.523546,-1.611646,0
9.382687,1.545129,-1.612066,0
9.39901,1.566707,-1.61036,0
9.416206,1.588281,-1.602917,0
9.4328,1.609851,-1.589929,0
9.44912,1.631416,-1.58132,0
9.465771,1.652977,-1.559878,0
9.482552,1.674533,-1.532904,0
9.499218,1.696086,-1.51741,0
9.515682,1.717633,-1.482613,0
9.532352,1.739177,-1.443095,0
9.550575,1.760716,-1.399383,0
9.565422,1.782251,-1.376145,0
9.582905,1.803782,-1.327334,0
9.599186,1.825309,-1.301947,-0.1917593
9.615978,1.846738,-1.249703,-0.3052464
9.631969,1.868016,-1.196186,-0.4060737
9.64938,1.889094,-1.169216,-0.5340291
9.665802,1.90991,-1.11539,-0.5964245
9.682781,1.930434,-1.06243,-0.672384
9.699413,1.950629,-1.036539,-0.7130765
9.716103,1.970476,-0.9864411,-0.7772804
9.732983,1.989944,-0.9392264,-0.8166166
9.75058,2.009015,-0.8956008,-0.8618306
9.766209,2.027665,-0.8753324,-0.927843
9.782829,2.045864,-0.8382289,-0.9757699
9.798752,2.063589,-0.8215123,-1.021436
9.816448,2.080817,-0.7919918,-1.093326
9.832333,2.097514,-0.767924,-1.138992
9.848804,2.113658,-0.7579936,-1.203648
9.865768,2.129218,-0.7423875,-1.243437
9.882481,2.144175,-0.7324219,-1.296337
9.898827,2.158503,-0.7295119,-1.323013
9.915661,2.17219,-0.7276837,-1.346977
9.93219,2.185224,-0.7308841,-1.382244
9.948925,2.197589,-0.734233,-1.411633
9.968082,2.20927,-0.7440962,-1.453682
9.982758,2.220247,-0.7576686,-1.485783
9.99921,2.230505,-0.7656346,-1.52105
10.0163,2.240027,-0.7834657,-1.562195
10.03232,2.248793,-0.8031763,-1.58435
10.04929,2.256793,-0.8134825,-1.602436
10.06533,2.264018,-0.8344764,-1.617809
10.08286,2.270461,-0.8552825,-1.620974
10.09906,2.276121,-0.8653566,-1.619617
10.11602,2.280998,-0.884345,-1.606957
10.13255,2.285098,-0.9011517,-1.600175
10.14904,2.288425,-0.9085129,-1.595202
10.1682,2.290982,-0.9207444,-1.54637
10.18276,2.292792,-0.9291782,-1.484879
10.19911,2.293885,-0.9318163,-1.411181
10.21638,2.294297,-0.933687,-1.297693
10.23231,2.294083,-0.9307761,-1.20184
10.24861,2.293289,-0.9274673,-1.096491
10.26572,2.291966,-0.9170964,-0.9133745
10.28296,2.290203,-0.9017586,-0.7795411
10.29898,2.288063,-0.8922735,-0.5846688
10.31562,2.285642,-0.8698387,-0.4598782
10.33241,2.283,-0.843105,-0.3359919
10.34922,2.280196,-0.8282759,-0.1827165
10.36815,2.277304,-0.7960587,-0.1094698
10.38276,2.27436,-0.7609962,-0.0384839
10.39896,2.271398,-0.7426333,-0.01316407
10.41625,2.26843,-0.7047618,0
10.43221,2.265463,-0.6661026,0
10.44917,2.262496,-0.6467679,0
10.46619,2.25953,-0.608689,0
10.4827,2.256565,-0.5722121,0
10.49905,2.2536,-0.5548802,-0.005929834
10.51567,2.250633,-0.5226318,-0.02085042
10.533,2.247656,-0.494381,-0.03170178
10.54902,2.244665,-0.4820335,-0.05023954
10.5659,2.24165,-0.4614141,-0.06742086
10.58449,2.238603,-0.446858,-0.09680992
10.60008,2.23551,-0.442066,-0.1176084
10.61599,2.232361,-0.4378157,-0.1411196
10.63201,2.229145,-0.4410668,-0.1822644
10.64911,2.225841,-0.4456192,-0.2216005
10.66567,2.222431,-0.4607269,-0.2699795
10.68221,2.218891,-0.4839263,-0.339157
10.6992,2.215189,-0.4985571,-0.3739717
10.71646,2.211306,-0.5337893,-0.4255156
10.73265,2.207219,-0.5767466,-0.4585218
10.74912,2.202912,-0.6009982,-0.5001187
10.76578,2.198364,-0.6547189,-0.5489498
10.78243,2.193552,-0.714858,-0.575626
10.80117,2.188463,-0.7806574,-0.6086323
10.81652,2.183082,-0.815411,-0.6231008
10.83273,2.177401,-0.8880337,-0.6398299
10.84927,2.171412,-0.9256494,-0.6511334
10.86576,2.16511,-1.002823,-0.6619847
10.88298,2.15849,-1.081659,-0.6818789
10.89878,2.151543,-1.121344,-0.6927303
10.9161,2.144262,-1.200525,-0.7153373
10.93243,2.136638,-1.278495,-0.7325186
10.94886,2.128662,-1.316671,-0.7533171
10.96581,2.120324,-1.390714,-0.7840625
10.98203,2.111609,-1.460807,-0.8030524
10.99981,2.102508,-1.494063,-0.8360586
11.01802,2.093006,-1.556424,-0.8514314
11.03312,2.083094,-1.612574,-0.8654478
11.04914,2.072767,-1.638093,-0.8708734
11.0657,2.062022,-1.683645,-0.8717777
11.0825,2.050858,-1.721481,-0.8654478
11.09917,2.039279,-1.737392,-0.8609263
11.1156,2.027286,-1.763057,-0.8573092
11.13298,2.014883,-1.780442,-0.8568571
11.14931,2.002068,-1.786041,-0.8568571
11.16608,1.988842,-1.791161,-0.8568571
11.18264,1.975206,-1.788436,-0.8536921
11.19918,1.96116,-1.784265,-0.8432928
11.21608,1.946711,-1.770648,-0.8297287
11.23428,1.931863,-1.750552,-0.8157123
11.24934,1.916625,-1.73831,-0.8053131
11.26598,1.901002,-1.709967,-0.7836103
11.28303,1.885003,-1.677251,-0.7243801
11.29969,1.868659,-1.659559,-0.6665062
11.31665,1.851995,-1.622151,-0.6086323
11.33237,1.835042,-1.582932,-0.501475
11.34914,1.81785,-1.562978,-0.4223507
11.36567,1.800457,-1.523059,-0.3255927
11.3829,1.782911,-1.484007,-0.1768387
11.39935,1.765283,-1.465128,-0.0751072
11.41578,1.747622,-1.429281,0
11.43252,1.729965,-1.39675,0
11.45064,1.712311,-1.368377,0
11.46615,1.694661,-1.355985,0
11.48269,1.677014,-1.335197,0
11.49901,1.659371,-1.326941,0
11.51564,1.641732,-1.314987,0
11.53268,1.624095,-1.309389,0
11.54921,1.606463,-1.309043,0
11.56541,1.588834,-1.313315,0
11.58278,1.571208,-1.324178,0
11.5988,1.553586,-1.332035,0
11.61625,1.535968,-1.352434,0
11.63273,1.518353,-1.378757,0
11.65112,1.500742,-1.41051,0
11.66562,1.483134,-1.428236,0
11.68261,1.465529,-1.46696,0
11.69896,1.447928,-1.48777,0
11.71572,1.430331,-1.531782,0
11.73274,1.412737,-1.578268,0
