Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01837158,0,0.03503782,0,0.5704651
0.0324707,0,0.02765206,0,0.5354309
0.04937744,0,0.0239619,0,0.507782
0.06665039,0,0.01666,0,0.4838257
0.08270264,0,0.009559959,0,0.4671631
0.09991455,0,0.006121606,0,0.4576111
0.116394,0,-0.0004616678,0,0.4515076
0.1338501,0,-0.006564647,0,0.4519653
0.149292,0,-0.009404272,0,0.4585266
0.1661377,0,-0.01460135,0,0.467926
0.1833496,0,-0.01908526,0,0.4825439
0.1994629,0,-0.02103618,0,0.5016174
0.2163696,0,-0.02431637,0,0.522644
0.2351685,0,-0.02672499,0,0.5469666
0.2493286,0,-0.02759004,0,0.5737
0.2666626,0,-0.02862579,0,0.6012878
0.2832031,0,-0.02872622,0,0.6299133
0.300354,0,-0.02789491,0,0.6586304
0.3162231,0,-0.02713561,0,0.6865234
0.3327637,0,-0.02494991,0,0.7136536
0.3496094,0,-0.02353472,0,0.7386169
0.3660889,0,-0.02009535,0,0.762146
0.3829346,0,-0.01590151,0,0.7822266
0.4006348,0,-0.01103467,0,0.7981262
0.4161377,0,-0.008377612,0,0.8091736
0.4334106,0,-0.002680182,0,0.8175659
0.4514771,0,0.0034374,0,0.8202515
0.4663696,0,0.006617308,0,0.816803
0.4838257,0,0.01314491,0,0.8101807
0.4996338,0,0.01646149,0,0.7970276
0.5165405,0,0.02312189,0,0.7805786
0.5325928,0,0.02971423,0,0.7574463
0.5502319,0,0.03611445,0,0.7277222
0.5673218,0,0.03920478,0,0.6916199
0.5821533,0,0.04509395,0,0.6524048
0.6003418,0,0.05050349,0,0.6072998
0.6160278,0,0.05299652,0,0.5567932
0.6326294,0,0.05750155,0,0.5037842
0.649353,0,0.05949274,0,0.4462891
0.6677246,0,0.06290661,0,0.3868103
0.6828003,0,0.06551233,0,0.3239136
0.699646,0,0.06649685,0,0.2583923
0.7162476,0,0.06780744,0,0.1918945
0.7330322,0,0.06822322,0,0.1240845
0.7495728,0,0.06809321,0,0.05584717
0.7663574,0,0.06716168,0,-0.0122224
0.7825928,0,0.06535304,0,-0.07938407
0.7996826,0,0.06413031,0,-0.1447371
0.815918,0,0.06107795,0,-0.2088674
0.8326416,0,0.05726671,0,-0.2699454
0.8502808,0,0.05276871,0,-0.3272121
0.8678589,0,0.05028832,0,-0.3799808
0.8835449,0,0.04492188,0,-0.4302692
0.9004517,0,0.03909898,0,-0.4751911
0.9161377,0,0.03604949,0,-0.51429
0.9331665,0,0.02974355,0,-0.5503395
0.9494019,0,0.02651572,0,-0.5800831
0.9663086,0,0.01998258,0,-0.6065989
0.982666,0,0.01344264,0,-0.6265814
0.9994507,0,0.01020598,0,-0.6400241
1.016418,0,0.003868937,0,-0.6502301
1.032837,0,-0.002197385,0,-0.654099
1.049683,0,-0.005097151,0,-0.6519017
1.066345,0,-0.01057148,0,-0.6468046
1.085205,0,-0.01554143,0,-0.6362332
1.099609,0,-0.01781344,0,-0.6206918
1.11615,0,-0.02189088,0,-0.6028783
1.132874,0,-0.02530253,0,-0.5809875
1.150757,0,-0.02800834,0,-0.555685
1.166016,0,-0.0290885,0,-0.5276766
1.183167,0,-0.0306952,0,-0.4985881
1.199585,0,-0.03122163,0,-0.4678929
1.215881,0,-0.03172791,0,-0.4366713
1.232605,0,-0.03152591,0,-0.4049433
1.24884,0,-0.03117073,0,-0.3734174
1.265808,0,-0.02998239,0,-0.3422467
1.283447,0,-0.02820724,0,-0.3122644
1.301758,0,-0.02591646,0,-0.2840572
1.316162,0,-0.02460307,0,-0.2581408
1.332581,0,-0.02169573,0,-0.2335377
1.349609,0,-0.02012563,0,-0.211842
