Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01422119,0,0.03503782,0,0.5704651
0.03161621,0,0.02765206,0,0.5354309
0.04736328,0,0.0239619,0,0.507782
0.0637207,0,0.01666,0,0.4838257
0.08093262,0,0.009559959,0,0.4671631
0.09771729,0,0.006121606,0,0.4576111
0.1146851,0,-0.0004616678,0,0.4515076
0.1311646,0,-0.006564647,0,0.4519653
0.1470947,0,-0.009404272,0,0.4585266
0.1640015,0,-0.01460135,0,0.467926
0.1807861,0,-0.01908526,0,0.4825439
0.1976318,0,-0.02103618,0,0.5016174
0.2158813,0,-0.02431637,0,0.522644
0.2315674,0,-0.02672499,0,0.5469666
0.2476807,0,-0.02759004,0,0.5737
0.2647095,0,-0.02862579,0,0.6012878
0.2805176,0,-0.02872622,0,0.6299133
0.2972412,0,-0.02842617,0,0.6586304
0.3135376,0,-0.02713561,0,0.6870422
0.3308716,0,-0.02494991,0,0.7141724
0.3479614,0,-0.02353472,0,0.7391357
0.3644409,0,-0.02009535,0,0.7626648
0.3806152,0,-0.01590151,0,0.7827454
0.397644,0,-0.01354665,0,0.798645
0.4161377,0,-0.008377612,0,0.8121948
0.4304199,0,-0.002680182,0,0.8205872
0.4470215,0,0.00033319,0,0.8232727
0.4638672,0,0.006617308,0,0.822937
0.4811401,0,0.01314491,0,0.8163147
0.4979858,0,0.01646149,0,0.8031616
0.5145874,0,0.02312189,0,0.7867126
0.5308228,0,0.02971423,0,0.7635803
0.5481567,0,0.03294587,0,0.7338562
0.5640869,0,0.03920478,0,0.7008972
0.5809937,0,0.04509395,0,0.6616821
0.5975952,0,0.04786515,0,0.6165771
0.6139526,0,0.05299652,0,0.5687256
0.6326294,0,0.05750155,0,0.5157166
0.6479492,0,0.05949274,0,0.4582214
0.6639404,0,0.06290661,0,0.3987427
0.6809082,0,0.06551233,0,0.3358459
0.6978149,0,0.06649685,0,0.2703247
0.7145386,0,0.06780744,0,0.2038269
0.7304688,0,0.06822322,0,0.1360168
0.74823,0,0.06809321,0,0.06777954
0.7640991,0,0.06716168,0,-0.0003105462
0.7810059,0,0.06535304,0,-0.06747222
0.7977295,0,0.06413031,0,-0.1328253
0.8148193,0,0.06107795,0,-0.1969556
0.8328857,0,0.05726671,0,-0.2580335
0.8479004,0,0.05509853,0,-0.3153003
0.8642578,0,0.05028832,0,-0.3703989
0.8806152,0,0.04492188,0,-0.4206873
0.8978271,0,0.04206097,0,-0.4656091
