Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01565552,0,0.03503782,0,0.5704651
0.03244019,0,0.02765206,0,0.5354309
0.05004883,0,0.02029303,0,0.507782
0.06588745,0,0.01666,0,0.4874878
0.08285522,0,0.009559959,0,0.4708252
0.0993042,0,0.006121606,0,0.4612732
0.1170044,0,-0.0004616678,0,0.4551392
0.1351318,0,-0.006564647,0,0.455597
0.1490479,0,-0.009404272,0,0.4621582
0.1665039,0,-0.01460135,0,0.4715881
0.1829224,0,-0.01908526,0,0.4861755
0.1989441,0,-0.02103618,0,0.505249
0.2156982,0,-0.02431637,0,0.5262756
0.2319946,0,-0.02672499,0,0.5505981
0.2489624,0,-0.02759004,0,0.5773315
0.266449,0,-0.02862579,0,0.6049194
0.2827148,0,-0.02872622,0,0.6335449
0.3022766,0,-0.02789491,0,0.662262
0.3190918,0,-0.02713561,0,0.690155
0.3352966,0,-0.02494991,0,0.7172852
0.3546448,0,-0.02191395,0,0.7422485
0.3690186,0,-0.02009535,0,0.7641602
0.3854065,0,-0.01590151,0,0.7842407
0.4034119,0,-0.01103467,0,0.8001404
0.4165039,0,-0.008377612,0,0.8111877
0.432312,0,-0.002680182,0,0.8195801
0.4492493,0,0.00033319,0,0.8222656
0.4663086,0,0.006617308,0,0.8219299
0.4825439,0,0.01314491,0,0.8153381
0.4992371,0,0.01646149,0,0.8021851
0.5164185,0,0.02312189,0,0.7857361
0.5331116,0,0.02971423,0,0.7626038
0.5519409,0,0.03611445,0,0.7328796
0.56604,0,0.03920478,0,0.6967773
0.5826721,0,0.04509395,0,0.6575623
0.599884,0,0.04786515,0,0.6124573
0.6160278,0,0.05299652,0,0.5646057
0.6322327,0,0.05750155,0,0.5115967
0.6493225,0,0.05949274,0,0.4541016
0.6661682,0,0.06290661,0,0.3946533
0.682251,0,0.06551233,0,0.3317566
0.6995239,0,0.06649685,0,0.2662354
0.7162781,0,0.06780744,0,0.1997375
0.7319946,0,0.06822322,0,0.1319275
0.7489014,0,0.06809321,0,0.06369019
0.7680359,0,0.06716168,0,-0.004381339
0.7821655,0,0.06535304,0,-0.07154302
0.7988586,0,0.06413031,0,-0.1368961
0.8160706,0,0.06107795,0,-0.2010264
0.8323669,0,0.05726671,0,-0.2621043
0.8490906,0,0.05509853,0,-0.319371
0.865387,0,0.05028832,0,-0.3744696
0.8829346,0,0.04492188,0,-0.424758
0.8994141,0,0.04206097,0,-0.4696799
0.9161682,0,0.03604949,0,-0.5117409
0.9329529,0,0.02974355,0,-0.5477905
0.9487305,0,0.02651572,0,-0.577534
0.9655762,0,0.01998258,0,-0.6040498
0.984375,0,0.01344264,0,-0.6240323
0.9997864,0,0.01020598,0,-0.637475
1.015503,0,0.003868937,0,-0.647681
1.032959,0,-0.002197385,0,-0.6515499
1.049194,0,-0.005097151,0,-0.6493526
1.065643,0,-0.01057148,0,-0.6442554
1.08197,0,-0.01554143,0,-0.633684
1.099213,0,-0.01781344,0,-0.6181426
1.115997,0,-0.02189088,0,-0.6003292
1.13205,0,-0.02530253,0,-0.5784384
1.148956,0,-0.02674544,0,-0.5531359
1.165405,0,-0.0290885,0,-0.5263905
1.18219,0,-0.0306952,0,-0.497302
1.201172,0,-0.03156507,0,-0.4666069
1.216583,0,-0.03172791,0,-0.4350418
1.23233,0,-0.03152591,0,-0.4033139
1.249115,0,-0.03117073,0,-0.371788
1.266266,0,-0.02998239,0,-0.3406173
1.283081,0,-0.02820724,0,-0.3106349
1.299194,0,-0.02712137,0,-0.2824277
1.316193,0,-0.02460307,0,-0.2553064
1.332245,0,-0.02169573,0,-0.2307033
1.349091,0,-0.02012563,0,-0.2090076
1.365692,0,-0.01681477,0,-0.188882
1.382263,0,-0.01336282,0,-0.1720672
1.400909,0,-0.009875894,0,-0.1587044
1.415985,0,-0.008152664,0,-0.1488285
1.432098,0,-0.004812717,0,-0.1406758
1.449585,0,-0.003221929,0,-0.1358631
1.466064,0,-0.0002611279,0,-0.1326412
1.482513,0,0.002326548,0,-0.1323801
1.498871,0,0.003452897,0,-0.1347066
1.516235,0,0.005320191,0,-0.1381595
1.532562,0,0.006614864,0,-0.1434797
1.549347,0,0.007028222,0,-0.1500946
1.566071,0,0.00735569,0,-0.1571228
1.582001,0,0.006986022,0,-0.1644785
1.598938,0,0.006531358,0,-0.1714645
1.617981,0,0.005074084,0,-0.1779959
1.63205,0,0.002886415,0,-0.18307
1.649414,0,0.001522303,0,-0.1859564
1.666412,0,-0.00173068,0,-0.1874787
1.682617,0,-0.005651474,0,-0.185748
1.700378,0,-0.01018935,0,-0.1800966
1.716034,0,-0.01267022,0,-0.1699072
1.733032,0,-0.0180099,0,-0.157237
1.748657,0,-0.02084833,0,-0.1392271
1.766235,0,-0.02680665,0,-0.1183787
1.782867,0,-0.03305972,0,-0.0915721
1.799225,0,-0.03626499,0,-0.05851239
1.818024,0,-0.04276636,0,-0.0222474
1.832458,0,-0.0492975,0,0.02050781
1.849335,0,-0.05253959,0,0.0697937
1.865784,0,-0.0589073,0,0.122345
1.882233,0,-0.06502869,0,0.1812439
1.899048,-0.01541181,-0.06796366,-0.05837806,0.2462769
1.915955,-0.02388671,-0.07351837,-0.09047996,0.3296509
1.933197,-0.03331655,-0.07857281,-0.126199,0.427063
1.949127,-0.03761368,-0.08088437,-0.1424761,0.5389709
1.965729,-0.0405978,-0.08502573,-0.1537795,0.6574707
1.982452,-0.0405978,-0.08846515,-0.1537795,0.7830811
1.99881,-0.03844923,-0.08990234,-0.145641,0.9121399
2.015961,-0.0345102,-0.09217989,-0.1307204,1.040497
2.034241,-0.0269902,-0.09362972,-0.1022356,1.167206
2.048859,-0.01756038,-0.09403574,-0.06651658,1.287811
2.065369,0,-0.09420061,0,1.399384
2.08252,0,-0.09350121,0,1.493591
2.099152,0,-0.09283066,0,1.587097
2.116028,0,-0.09086108,0,1.679932
2.132172,0,-0.08808279,0,1.770782
2.149567,0,-0.08640432,0,1.858856
2.165833,0,-0.08250308,0,1.945252
2.182922,0,-0.07793117,0,2.02774
2.199341,0,-0.07541656,0,2.105682
2.21579,0,-0.06998038,0,2.181091
2.232422,0,-0.06407452,0,2.251099
2.251648,0,-0.05779171,0,2.315186
2.266205,0,-0.05453897,0,2.372986
2.282898,0,-0.0478723,0,2.427521
2.29895,0,-0.04448295,0,2.475403
2.315887,0,-0.03765392,0,2.519897
2.332397,0,-0.0308373,0,2.557556
2.348907,0.01302451,-0.0274632,0.04933526,2.588379
2.366058,0.04131399,-0.02083707,0.1564924,2.602814
2.383057,0.06793236,-0.01444316,0.2573195,2.582336
2.398926,0.1019514,-0.01135731,0.3861795,2.528839
2.41568,0.1200949,-0.005449057,0.4549047,2.438232
2.432251,0.1400288,5.817413E-05,0.530412,2.323608
2.449036,0.1489811,0.002645731,0.5643225,2.183533
2.467743,0.1591272,0.007464886,0.6027544,2.031891
2.482452,0.1641405,0.01178432,0.6217443,1.865295
2.49881,0.168557,0.01375127,0.6384735,1.689362
2.516113,0.1733316,0.01729393,0.6565591,1.50705
2.532227,0.1769125,0.02031851,0.6701233,1.316406
2.549103,0.1784643,0.0216403,0.6760011,1.119171
2.566071,0.1834776,0.02391887,0.6949909,0.9190674
2.582092,0.1868198,0.02573752,0.7076508,0.7116699
2.599274,0.1905201,0.02648735,0.7216672,0.499115
2.616028,0.1905201,0.02769995,0.7216672,0.2821045
2.632874,0.1869392,0.02857685,0.7081031,0.06387329
2.649414,0.182284,0.02890873,0.6904696,-0.1516403
2.668152,0.1732122,0.02940249,0.6561069,-0.3628329
2.682953,0.1649761,0.02972865,0.6249093,-0.5654476
2.698669,0.1504135,0.02985144,0.5697482,-0.7601524
2.71579,0.1320313,0.03006458,0.5001187,-0.9404174
2.732391,0.09514756,0.03029466,0.3604074,-1.102514
2.749268,0.0650676,0.0304389,0.2464682,-1.227956
2.765869,0.009801649,0.03082943,0.03712746,-1.323462
2.782227,0,0.03141022,0,-1.364094
2.799072,0,0.03179049,0,-1.395504
2.816223,0,0.03276563,0,-1.427294
2.832092,0,0.03406382,0,-1.46006
2.849396,0,0.03484654,0,-1.494124
2.86795,0,0.03669572,0,-1.52897
2.882538,0,0.03894043,0,-1.565666
2.899261,0,0.04021382,0,-1.604607
2.91629,0,0.04306221,0,-1.644821
2.932526,0,0.0463028,0,-1.687883
2.948883,0,0.04806328,0,-1.734186
2.966309,0,0.0518446,0,-1.782249
2.981964,0,0.05593789,0,-1.834093
2.998749,0,0.05808532,0,-1.890032
3.016235,0,0.0625447,0,-1.948117
3.032135,0,0.06716645,0,-2.010662
3.049164,0,0.06951511,0,-2.077828
3.065979,0,0.07423759,0,-2.147343
3.084564,0,0.07892311,0,-2.221581
3.099579,0,0.08122444,0,-2.300504
3.11557,0,0.08568829,0,-2.381728
3.132263,-0.009562918,0.08989179,-0.03622318,-2.467417
3.148682,-0.02138005,0.09186798,-0.08098505,-2.547746
3.166138,-0.0358232,0.09551466,-0.135694,-2.618234
3.182312,-0.04250764,0.09868479,-0.1610138,-2.677926
3.199341,-0.04799842,0.1000666,-0.1818122,-2.734103
3.215698,-0.05325048,0.102379,-0.2017064,-2.786172
3.232178,-0.06184477,0.104037,-0.2342605,-2.8353
3.249298,-0.06840982,0.1046033,-0.2591281,-2.877493
3.266449,-0.07783965,0.1051821,-0.2948472,-2.913686
3.284027,-0.08416598,0.1049946,-0.3188106,-2.941029
3.298889,-0.09347647,0.1046062,-0.3540775,-2.961857
3.315338,-0.1007577,0.1032335,-0.381658,-2.972986
3.332092,-0.1060098,0.1010686,-0.4015522,-2.975462
3.348907,-0.1150815,0.09969366,-0.4359148,-2.970521
3.365387,-0.1206917,0.09637594,-0.4571654,-2.955133
3.382813,-0.128331,0.09233606,-0.4861024,-2.930817
3.3992,-0.1340605,0.09006178,-0.507805,-2.894822
3.416107,-0.1439678,0.08504558,-0.5453327,-2.850823
3.432983,-0.150891,0.0794704,-0.5715568,-2.791901
3.448822,-0.1572173,0.07650042,-0.5955201,-2.720481
3.46637,-0.1666472,0.07025695,-0.6312392,-2.639764
3.482391,-0.1727348,0.0636971,-0.6542984,-2.543374
3.500977,-0.1824033,0.05693531,-0.6909217,-2.434337
3.516327,-0.1869392,0.05351615,-0.7081031,-2.308869
3.531982,-0.1929074,0.04667902,-0.73071,-2.175446
3.549286,-0.2006661,0.04329252,-0.7600991,-2.029217
3.56601,-0.2055601,0.0366652,-0.7786369,-1.871844
3.582184,-0.2105735,0.03033757,-0.7976267,-1.702949
3.598877,-0.211409,0.02732539,-0.8007917,-1.522713
3.615295,-0.2130801,0.02168107,-0.8071216,-1.33863
3.632202,-0.2130801,0.0166409,-0.8071216,-1.147231
3.649323,-0.2130801,0.01438189,-0.8071216,-0.9507918
3.665558,-0.2128414,0.01044917,-0.8062174,-0.7520936
3.682831,-0.2106928,0.00737381,-0.7980788,-0.5497013
3.700348,-0.2022179,0.005235672,-0.7659769,-0.3463824
3.715942,-0.1939817,0.004538774,-0.7347792,-0.1494002
3.732452,-0.1837164,0.003922939,-0.6958953,0.04003906
3.748779,-0.1599627,0.004014492,-0.6059194,0.2198181
3.766357,-0.1401481,0.00501132,-0.5308642,0.3757629
3.782471,-0.1177075,0.00710392,-0.4458619,0.5108948
3.799896,-0.07963014,0.008560181,-0.3016293,0.6214905
3.816223,-0.05372794,0.01228023,-0.2035149,0.6925659
3.83197,-0.02579655,0.01704741,-0.09771419,0.7340393
3.849304,0,0.01980853,0,0.7427673
3.866089,0,0.02604437,0,0.7229614
3.882233,0,0.03316641,0,0.6969299
3.899841,0,0.03703094,0,0.6637573
3.917999,0,0.04530263,0,0.62677
3.932922,0,0.05420113,0,0.5814819
3.949249,0,0.05884671,0,0.5272827
3.965576,0,0.06844735,0,0.4684449
3.982056,0,0.07834482,0,0.3999939
3.998932,0,0.08335972,0,0.3216553
4.016174,0,0.09343052,0,0.2382813
4.03186,0,0.1034307,0,0.1448364
4.048889,0,0.1083579,0,0.04141235
4.065277,0,0.1179771,0,-0.06694587
4.083069,0,0.127162,0,-0.184923
4.099457,0,0.1315494,0,-0.312085
4.115692,0,0.1398315,0,-0.4436344
4.133789,0,0.1473575,0,-0.583466
4.149139,0,0.1508021,0,-0.7308235
4.166077,0,0.1569934,0,-0.8816257
4.182343,0,0.1621809,0,-1.038619
4.19873,0,0.1643753,0,-1.2008
4.215607,0,0.1679296,0,-1.365175
4.232422,0,0.1703343,0,-1.533105
4.249176,0,0.1710958,0,-1.703439
4.265625,0,0.1717315,0,-1.874536
4.282257,0,0.1711845,0,-2.046268
4.299286,0,0.1704741,0,-2.217452
4.316437,0,0.1681967,0,-2.387927
4.334106,0,0.1648197,0,-2.556123
4.34903,0,0.1627369,0,-2.720943
4.366058,0,0.1578321,0,-2.88368
4.382416,0,0.1520128,0,-3.041512
4.399323,0,0.1487894,0,-3.193525
4.416107,0,0.1417818,0,-3.342315
4.432281,0,0.1341238,0,-3.484097
4.448975,-0.002042936,0.1300879,-0.007738394,-3.618221
4.466187,-0.03331655,0.1216784,-0.126199,-3.746265
