Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01519775,0,0.03503782,0,0.5704651
0.03213501,0,0.02765206,0,0.5354309
0.04919434,0,0.0239619,0,0.507782
0.06588745,0,0.01666,0,0.4838257
0.08190918,0,0.009559959,0,0.4671631
0.09884644,0,0.006121606,0,0.4576111
0.1156616,0,-0.0004616678,0,0.4515076
0.1327209,0,-0.006564647,0,0.4519653
0.1490784,0,-0.009404272,0,0.4585266
0.1669617,0,-0.01460135,0,0.467926
0.1820984,0,-0.01908526,0,0.4825439
0.1983337,0,-0.02103618,0,0.5016174
0.2151184,0,-0.02431637,0,0.522644
0.2315979,0,-0.02672499,0,0.5469666
0.2490234,0,-0.02759004,0,0.5737
0.2651978,0,-0.02862579,0,0.6012878
0.2818604,0,-0.02872622,0,0.6299133
0.2988892,0,-0.02842617,0,0.6586304
0.3152466,0,-0.02713561,0,0.6870422
0.3313293,0,-0.02494991,0,0.7141724
0.348877,0,-0.02353472,0,0.7391357
0.3660278,0,-0.02009535,0,0.7626648
0.3838806,0,-0.01590151,0,0.7827454
0.399231,0,-0.01354665,0,0.798645
0.4151917,0,-0.008377612,0,0.8121948
0.4320068,0,-0.002680182,0,0.8205872
0.4483643,0,0.00033319,0,0.8232727
0.4648438,0,0.006617308,0,0.822937
0.4820862,0,0.01314491,0,0.8163147
0.499115,0,0.01646149,0,0.8031616
0.51474,0,0.02312189,0,0.7867126
0.5320129,0,0.02971423,0,0.7635803
0.5489502,0,0.03294587,0,0.7338562
0.5653076,0,0.03920478,0,0.7008972
0.5819397,0,0.04509395,0,0.6616821
0.6009521,0,0.05050349,0,0.6165771
0.6150818,0,0.05299652,0,0.5660706
0.6317139,0,0.05750155,0,0.5130615
0.6490479,0,0.05949274,0,0.4555664
0.6654968,0,0.06290661,0,0.3960876
0.6821289,0,0.06551233,0,0.3331909
0.6987915,0,0.06649685,0,0.2676697
0.7158508,0,0.06780744,0,0.2011719
0.7321167,0,0.06822322,0,0.1333618
0.749054,0,0.06809321,0,0.06512451
0.7657776,0,0.06716168,0,-0.00296066
0.7819824,0,0.06535304,0,-0.07012234
0.801178,0,0.06270301,0,-0.1354754
0.8151245,0,0.06107795,0,-0.1981784
0.8320313,0,0.05726671,0,-0.2592564
0.8485107,0,0.05509853,0,-0.3165231
0.8651428,0,0.05028832,0,-0.3716216
0.8818054,0,0.04492188,0,-0.42191
0.8991089,0,0.04206097,0,-0.4668319
0.914978,0,0.03604949,0,-0.5088929
0.9319458,0,0.02974355,0,-0.5449425
0.9486694,0,0.02651572,0,-0.5746861
0.9650879,0,0.01998258,0,-0.6012018
0.9820251,0,0.01344264,0,-0.6211845
1.000122,0,0.007010221,0,-0.6346271
1.015289,0,0.003868937,0,-0.6416373
1.032166,0,-0.002197385,0,-0.6455063
1.04895,0,-0.005097151,0,-0.6433089
1.065338,0,-0.01057148,0,-0.6382117
1.082062,0,-0.01554143,0,-0.6276403
1.09845,0,-0.01781344,0,-0.6120989
1.114807,0,-0.02189088,0,-0.5942855
1.131927,0,-0.02530253,0,-0.5723946
1.149139,0,-0.02674544,0,-0.5470921
1.165039,0,-0.0290885,0,-0.5203466
1.182343,0,-0.0306952,0,-0.4912581
1.200531,0,-0.03156507,0,-0.460563
1.21521,0,-0.03172791,0,-0.428998
1.231964,0,-0.03152591,0,-0.3972701
1.24826,0,-0.03117073,0,-0.3657442
1.265656,0,-0.02998239,0,-0.3345735
1.282104,0,-0.02820724,0,-0.3045911
1.29834,0,-0.02712137,0,-0.2763839
1.315216,0,-0.02460307,0,-0.2492625
1.332031,0,-0.02169573,0,-0.2246595
1.348663,0,-0.02012563,0,-0.2029638
1.364899,0,-0.01681477,0,-0.1828381
1.381592,0,-0.01336282,0,-0.1660234
1.398712,0,-0.01161706,0,-0.1526606
1.416534,0,-0.008152664,0,-0.1410435
1.431885,0,-0.004812717,0,-0.1328909
1.448334,0,-0.003221929,0,-0.1280781
1.466034,0,-0.0002611279,0,-0.1248562
1.482178,0,0.002326548,0,-0.1245951
1.499115,0,0.003452897,0,-0.1269216
1.51535,0,0.005320191,0,-0.1303745
1.531555,0,0.006614864,0,-0.1356947
1.548401,0,0.007028222,0,-0.1423096
1.565704,0,0.00735569,0,-0.1493378
1.582001,0,0.006986022,0,-0.1566935
1.598999,0,0.006531358,0,-0.1636795
1.617126,0,0.005074084,0,-0.1702109
1.631592,0,0.002886415,0,-0.175285
1.648407,0,0.001522303,0,-0.1781714
1.664978,-0.002878483,-0.00173068,-0.01090335,-0.1796938
1.681915,-0.004191505,-0.005651474,-0.01587691,-0.1750846
1.698181,-0.006817533,-0.007846951,-0.02582399,-0.1652416
1.71524,-0.01063721,-0.01267022,-0.04029246,-0.1505772
1.731812,-0.01314387,-0.0180099,-0.04978738,-0.1272697
