Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01482391,0,0.03503782,0,0.5704651
0.03180695,0,0.02765206,0,0.5354309
0.04808807,0,0.0239619,0,0.507782
0.06732178,0,0.01666,0,0.4838257
0.08158875,0,0.009559959,0,0.4671631
0.09856415,0,0.006121606,0,0.4576111
0.1152115,0,-0.0004616678,0,0.4515076
0.131691,0,-0.006564647,0,0.4519653
0.1485672,0,-0.009404272,0,0.4585266
0.1650009,0,-0.01460135,0,0.467926
0.1821289,0,-0.01908526,0,0.4825439
0.1987076,0,-0.02103618,0,0.5016174
0.2146149,0,-0.02431637,0,0.522644
0.2315445,0,-0.02672499,0,0.5469666
0.2486954,0,-0.02759004,0,0.5737
0.2663727,0,-0.02862579,0,0.6012878
0.2815781,0,-0.02872622,0,0.6299133
0.2984085,0,-0.02842617,0,0.6586304
0.314949,0,-0.02713561,0,0.6870422
0.3318939,0,-0.02494991,0,0.7141724
0.3483963,0,-0.02353472,0,0.7391357
0.3651505,0,-0.02009535,0,0.7626648
0.3819046,0,-0.01590151,0,0.7827454
0.3983078,0,-0.01354665,0,0.798645
0.4154892,0,-0.008377612,0,0.8121948
0.4316711,0,-0.002680182,0,0.8205872
0.4488754,0,0.00033319,0,0.8232727
0.4673233,0,0.006617308,0,0.822937
0.4815674,0,0.01314491,0,0.8163147
0.4984055,0,0.01646149,0,0.8031616
0.5150909,0,0.02312189,0,0.7867126
0.5317078,0,0.02971423,0,0.7635803
0.5480423,0,0.03294587,0,0.7338562
0.5650024,0,0.03920478,0,0.7008972
0.5818634,0,0.04509395,0,0.6616821
0.5981598,0,0.04786515,0,0.6165771
0.6151962,0,0.05299652,0,0.5687256
0.6318588,0,0.05750155,0,0.5157166
0.648201,0,0.05949274,0,0.4582214
0.6652451,0,0.06290661,0,0.3987427
0.6837082,0,0.06551233,0,0.3358459
0.6985779,0,0.06649685,0,0.2703247
0.7150116,0,0.06780744,0,0.2038269
0.7317505,0,0.06822322,0,0.1360168
0.7483063,0,0.06809321,0,0.06777954
0.7649078,0,0.06716168,0,-0.0003105462
0.7815933,0,0.06535304,0,-0.06747222
0.7990265,0,0.06413031,0,-0.1328253
0.8149338,0,0.06107795,0,-0.1969556
0.8319778,0,0.05726671,0,-0.2580335
0.8485718,0,0.05509853,0,-0.3153003
0.8651199,0,0.05028832,0,-0.3703989
0.8817978,0,0.04492188,0,-0.4206873
0.9000778,0,0.03909898,0,-0.4656091
0.9156036,0,0.03604949,0,-0.5047082
0.9317856,0,0.02974355,0,-0.5407576
0.9486694,0,0.02651572,0,-0.5705011
0.9650192,0,0.01998258,0,-0.5970169
0.9817123,0,0.01344264,0,-0.6169995
0.9986801,0,0.01020598,0,-0.6304421
1.014862,0,0.003868937,0,-0.6406481
1.031799,0,-0.002197385,0,-0.644517
1.048645,0,-0.005097151,0,-0.6423197
1.065445,0,-0.01057148,0,-0.6372225
1.081673,0,-0.01554143,0,-0.626651
1.098038,0,-0.01781344,0,-0.6111097
1.117264,0,-0.02189088,0,-0.5932962
1.131783,0,-0.02530253,0,-0.5714055
1.147919,0,-0.02674544,0,-0.546103
1.165077,0,-0.0290885,0,-0.5193576
1.181648,0,-0.0306952,0,-0.4902691
1.19857,0,-0.03122163,0,-0.4595739
1.216003,0,-0.03172791,0,-0.4283523
1.231339,0,-0.03152591,0,-0.3966244
1.248322,0,-0.03117073,0,-0.3650985
1.264725,0,-0.02998239,0,-0.3339278
1.281456,0,-0.02820724,0,-0.3039454
1.29863,0,-0.02712137,0,-0.2757382
1.316704,0,-0.02460307,0,-0.2486168
1.33197,0,-0.02169573,0,-0.2240138
1.347908,0,-0.02012563,0,-0.202318
1.364777,0,-0.01681477,0,-0.1821924
1.381615,0,-0.01336282,0,-0.1653776
1.398582,0,-0.01161706,0,-0.1520148
1.415031,0,-0.008152664,0,-0.1403978
1.431786,0,-0.004812717,0,-0.1322451
1.448151,0,-0.003221929,0,-0.1274324
1.464966,0,-0.0002611279,0,-0.1242105
1.48143,0,0.002326548,0,-0.1239493
1.498207,0,0.003452897,0,-0.1262759
1.515106,0,0.005320191,0,-0.1297288
1.533424,0,0.006614864,0,-0.135049
1.548126,0,0.007028222,0,-0.1416638
1.564713,0,0.00735569,0,-0.1486921
1.581367,0,0.006986022,0,-0.1560478
1.598938,0,0.006531358,0,-0.1630338
1.614967,0,0.005074084,0,-0.1695652
1.632187,0,0.002886415,0,-0.1746392
1.647881,0,0.001522303,0,-0.1775257
1.66494,0,-0.00173068,0,-0.179048
1.681793,0,-0.005651474,0,-0.1773173
1.698669,0,-0.007846951,0,-0.1716658
1.715004,0,-0.01267022,0,-0.1638189
1.731941,0,-0.0180099,0,-0.1511487
1.749893,0,-0.02084833,0,-0.1331388
1.765083,0,-0.02680665,0,-0.1122904
1.781342,0,-0.03305972,0,-0.0854838
1.798485,0,-0.03626499,0,-0.05242408
1.815056,0,-0.04276636,0,-0.01615909
1.831596,0,-0.0492975,0,0.02661133
1.848404,0,-0.05253959,0,0.07589722
1.865791,0,-0.0589073,0,0.1284485
1.881882,0,-0.06502869,0,0.1873474
1.89856,0,-0.06796366,0,0.2523804
1.915161,0,-0.07351837,0,0.320343
1.931595,0,-0.07857281,0,0.3938599
1.9487,0,-0.08088437,0,0.4724427
1.966888,-0.002520395,-0.08502573,-0.009546953,0.5533142
1.9814,-0.003594672,-0.08846515,-0.01361618,0.6408691
1.9981,-0.003833403,-0.08990234,-0.01452046,0.7329407
