Time,CV,FF,Input
0,0,-0.6633232,0
0.01603699,0,-0.6633232,0
0.03257751,0,-0.6633232,0
0.04969788,0,-0.6633232,0
0.0663147,0,-0.6633232,0
0.08364868,0,-0.6633232,0
0.09938049,0,-0.6633232,0
0.1179199,0,-0.6633232,0
0.1333008,0,-0.5323752,0
0.1500549,0,-0.5323752,0
0.1664886,0,-0.5323752,0
0.1833496,0,-0.5323752,0
0.1992798,0,-0.5323752,0
0.2160645,0,-0.5323752,0
0.2326202,0,-0.4595022,0
0.2492065,0,-0.4595022,0
0.2658997,0,-0.4595022,0
0.2833557,0,-0.4595022,0
0.2995148,0,-0.4595022,0
0.3180542,0,-0.4595022,0
0.3327332,0,-0.4725033,0
0.3494263,0,-0.4725033,0
0.3658447,0,-0.4725033,0
0.382782,0,-0.4725033,0
0.3997345,0,-0.4725033,0
0.4165192,0,-0.4725033,0
0.4335327,0,-0.5658691,0
0.449234,0,-0.5658691,0
0.4667664,0,-0.5658691,0
0.4828796,0,-0.5658691,0
0.4998016,0,-0.5658691,0
0.5189209,0,-0.5658691,0
0.5328979,0,-0.8264648,0
0.5500031,0,-0.8264648,0
0.5673828,0,-0.8264648,0
0.5836945,0,-0.8264648,0
0.5994568,0,-0.8264648,0
0.6160126,0,-0.8264648,0
0.6333466,0,-0.8264648,0
0.6488342,0,-0.8264648,0
0.6662903,0,-0.8264648,0
0.6833344,0,-0.8264648,0
0.6994934,0,-0.8264648,0
0.7166595,0,-0.8264648,0
0.7352905,0,-0.8911006,0
0.7493591,0,-0.8911006,0
0.7662659,0,-0.8911006,0
0.7821808,0,-0.8911006,0
0.7992554,0,-0.8911006,0
0.8164978,0,-0.8911006,0
0.8328857,0,-0.8735071,0
0.8497162,0,-0.8735071,0
0.8656158,0,-0.8735071,0
0.8826141,0,-0.8735071,0
0.899292,0,-0.8735071,0
0.9168243,0,-0.8735071,0
0.936203,0,-0.7850048,0
0.9499969,0,-0.7850048,0
0.9670563,0,-0.7850048,0
0.9827423,0,-0.7850048,0
0.9992065,0,-0.7850048,0
1.016403,0,-0.7850048,0
1.032837,0,-0.6631478,0
1.0495,0,-0.6631478,0
1.066147,0,-0.6631478,0
1.08287,0,-0.6631478,0
1.099411,0,-0.6631478,0
1.116364,0,-0.6631478,0
1.133026,0,-0.5529494,0
1.151779,0,-0.5529494,0
1.166275,0,-0.5529494,0
1.182968,0,-0.5529494,0
1.199371,0,-0.5529494,0
1.216034,0,-0.5529494,0
1.233063,0,-0.4859668,0
1.249405,0,-0.4859668,0
1.266571,0,-0.4859668,0
1.2827,0,-0.4859668,0
1.2995,0,-0.4859668,0
1.31633,0,-0.4859668,0
1.332687,0,-0.4671366,0
1.349777,0,-0.4671366,0
1.367508,0,-0.4671366,0
1.382538,0,-0.4671366,0
1.399658,0,-0.4671366,0
1.415756,0,-0.4671366,0
1.432922,0,-0.4751886,0
1.449478,0,-0.4751886,0
1.466354,0,-0.4751886,0
1.483566,0,-0.4751886,0
1.499741,0,-0.4751886,0
1.516724,0,-0.4751886,0
1.533585,0,-0.4757024,0
1.550095,0,-0.4757024,0
1.568161,0,-0.4757024,0
1.583664,0,-0.4757024,0
1.599823,0,-0.4757024,0
1.616119,0,-0.4757024,0
1.633179,0,-0.439783,0
1.650452,0,-0.439783,0
1.666397,0,-0.439783,0
1.683487,0,-0.439783,0
