Time,CT,FF,Input,Pitch
0.01184464,0,-0.5704682,0,0
0.02607346,0,0.03503782,0,0.5704651
0.04132652,0,0.03134894,0,0.5354309
0.05680847,0,0.0239619,0,0.5040894
0.07370949,0,0.02029303,0,0.4801331
0.08932304,0,0.0130775,0,0.4598389
0.1055584,0,0.009559959,0,0.4467468
0.1216602,0,0.002776504,0,0.4371948
0.1368637,0,-0.003579676,0,0.4344177
0.1535282,0,-0.006564647,0,0.4379883
0.1798477,0,-0.0120869,0,0.4445496
0.2002926,0,-0.01693732,0,0.4566346
0.218792,0,-0.0227823,0,0.4735717
0.2353039,0,-0.02431637,0,0.4963684
0.2513638,0,-0.02672499,0,0.5206909
0.2690048,0,-0.02822441,0,0.5474243
0.2856388,0,-0.02862579,0,0.5756531
0.3019428,0,-0.02872622,0,0.6042786
0.3189278,0,-0.02789491,0,0.6330261
0.3457336,0,-0.02713561,0,0.6609192
0.3691521,0,-0.02353472,0,0.6880493
0.3860779,0,-0.02009535,0,0.7115784
0.4029903,0,-0.01590151,0,0.7316589
0.420166,0,-0.01103467,0,0.7475586
0.436245,0,-0.005588353,0,0.758606
0.4538422,0,-0.002680182,0,0.7642212
0.4702606,0,0.0034374,0,0.7669067
0.4971027,0,0.009858429,0,0.7634583
0.5196667,0,0.01646149,0,0.7536011
0.5368404,0,0.02312189,0,0.7371521
0.5532322,0,0.02971423,0,0.7140198
0.570879,0,0.03611445,0,0.6842957
0.587534,0,0.04220271,0,0.6481934
0.6042957,0,0.04509395,0,0.6059875
0.6218014,0,0.05050349,0,0.5608826
0.6482601,0,0.05533284,0,0.510376
0.6705093,0,0.05949274,0,0.4550476
0.687809,0,0.06431381,0,0.3955688
0.704052,0,0.06551233,0,0.3312683
0.7209721,0,0.06726299,0,0.2657471
0.7377205,0,0.06812793,0,0.1985168
0.7539349,0,0.06822322,0,0.1304016
0.7722416,0,0.06773868,0,0.06216431
0.8019257,0,0.06636509,0,-0.005583453
0.8216286,0,0.06270301,0,-0.07194854
0.8375092,0,0.05926299,0,-0.1346516
0.8547058,0,0.05726671,0,-0.1939146
0.8717194,0,0.05276871,0,-0.2511813
0.8874607,0,0.04766858,0,-0.30395
0.9046402,0,0.04492188,0,-0.3516186
0.9211636,0,0.03909898,0,-0.3965404
0.9363575,0,0.0329262,0,-0.4356394
0.9654999,0,0.02974355,0,-0.4685656
0.9857559,0,0.01998258,0,-0.4983093
1.002792,0,0.01344264,0,-0.518292
1.020304,0,0.007010221,0,-0.5317346
1.03718,0,0.0007954836,0,-0.5387449
1.053328,0,-0.002197385,0,-0.5395404
1.06991,0,-0.007892251,0,-0.5373431
1.086615,0,-0.01057148,0,-0.5294508
1.11385,0,-0.01554143,0,-0.5188794
1.136614,0,-0.02189088,0,-0.5033379
1.153399,0,-0.02530253,0,-0.481447
1.170141,0,-0.02800834,0,-0.4561444
1.187555,0,-0.02998424,0,-0.4281361
1.203436,0,-0.0306952,0,-0.3981518
1.219955,0,-0.03156507,0,-0.3674566
1.237169,0,-0.03172791,0,-0.3358916
1.265427,0,-0.03152591,0,-0.3041637
1.287596,0,-0.02998239,0,-0.2726378
1.30405,0,-0.02820724,0,-0.2426554
1.321146,0,-0.02591646,0,-0.2144482
1.33724,0,-0.02319229,0,-0.1885318
1.35408,0,-0.02169573,0,-0.1653395
1.370226,0,-0.01849437,0,-0.1436437
1.387325,0,-0.01509988,0,-0.1251494
1.416943,0,-0.01336282,0,-0.1100495
1.436142,0,-0.008152664,0,-0.09668665
1.453583,0,-0.004812717,0,-0.08853399
1.470572,0,-0.001700699,0,-0.08372127
1.486238,0,0.001085043,0,-0.08202057
1.502649,0,0.002326548,0,-0.08310562
1.519547,0,0.004453838,0,-0.08543218
1.536781,0,0.005320191,0,-0.08988602
1.552843,0,0.006614864,0,-0.09520622
1.579624,0,0.007277012,0,-0.1018211
1.603247,0,0.007259846,0,-0.1090981
1.620714,0,0.005894303,0,-0.116358
1.6366,0,0.004071116,0,-0.1222523
1.653593,0,0.002886415,0,-0.1263234
1.670303,0,-1.806021E-05,0,-0.1292099
1.686745,0,-0.003610373,0,-0.1291918
1.703913,0,-0.005651474,0,-0.1255814
1.731316,0,-0.01018935,0,-0.11993
1.752914,0,-0.0180099,0,-0.1097406
1.769962,0,-0.02378446,0,-0.09173073
1.786802,0,-0.02680665,0,-0.06794626
1.80353,0,-0.03305972,0,-0.04113961
1.820454,0,-0.03950506,0,-0.008079894
1.836744,0,-0.04603514,0,0.03143311
1.853455,0,-0.0492975,0,0.07745361
1.870741,0,-0.05574745,0,0.1267395
1.898596,0,-0.06200553,0,0.1824951
1.920345,0,-0.06796366,0,0.2445069
1.936523,0,-0.07611385,0,0.3125
1.95348,0,-0.07857281,0,0.3886108
1.971325,0,-0.08303851,0,0.4671936
1.987097,0,-0.08683723,0,0.5502319
2.003696,0,-0.08846515,0,0.6370544
2.020365,0,-0.09114242,0,0.7255249
2.037437,0,-0.09301019,0,0.8166809
2.063084,0,-0.09362972,0,0.9096985
2.08666,0,-0.09420061,0,1.003326
2.103716,0,-0.09350121,0,1.097534
2.120535,0,-0.09194934,0,1.19104
2.136976,0,-0.08957052,0,1.28299
2.153763,0,-0.08808279,0,1.372559
2.170862,0,-0.0845418,0,1.460632
2.186798,0,-0.08029652,0,1.545166
2.203716,0,-0.07793117,0,1.625458
2.231739,0,-0.07276249,0,1.7034
2.253401,0,-0.06407452,0,1.776154
2.270016,0,-0.05779171,0,1.84024
2.286812,0,-0.05122852,0,1.898041
2.303911,0,-0.0478723,0,1.94928
2.320316,0,-0.04107285,0,1.997162
2.336779,0,-0.03423834,0,2.038239
2.353186,0,-0.0308373,0,2.072479
2.370617,0,-0.02412581,0,2.103302
2.396711,0,-0.0176065,0,2.127472
2.419807,0,-0.01135731,0,2.145081
2.436695,0,-0.005449057,0,2.156433
2.453465,0,5.817413E-05,0,2.161896
2.469856,0,0.005115986,0,2.161835
2.486887,0,0.007464886,0,2.156708
2.503973,0,0.01178432,0,2.149231
2.519911,0,0.01558781,0,2.137451
2.53689,0,0.01729393,0,2.121857
2.564604,0,0.02031851,0,2.104553
