Time,CV,FF,Input
0,0,-0.6633232,0
0.01580811,0,-0.6633232,0
0.03210449,0,-0.6633232,0
0.04898071,0,-0.6633232,0
0.06500244,0,-0.6633232,0
0.08184814,0,-0.6633232,0
0.09866333,0,-0.6633232,0
0.115509,0,-0.6633232,0
0.1317444,0,-0.5323752,0
0.1485901,0,-0.5323752,0
0.1651001,0,-0.5323752,0
0.1817627,0,-0.5323752,0
0.200531,0,-0.5323752,0
0.215271,0,-0.4595022,0
0.2320557,0,-0.4595022,0
0.2487793,0,-0.4595022,0
0.2659302,0,-0.4595022,0
0.2821655,0,-0.4595022,0
0.2993164,0,-0.4595022,0
0.3225708,0,-0.4595022,0
0.3319397,0,-0.4725033,0
0.3485107,0,-0.4725033,0
0.3648682,0,-0.4725033,0
0.3817444,0,-0.4725033,0
0.3986511,0,-0.4725033,0
0.4173279,0,-0.4725033,0
0.432373,0,-0.5658691,0
0.4483337,0,-0.5658691,0
0.4651489,0,-0.5658691,0
0.4825134,0,-0.5658691,0
0.4988098,0,-0.5658691,0
0.5151672,0,-0.5658691,0
0.5318298,0,-0.8264648,0
0.5489197,0,-0.8264648,0
0.5652771,0,-0.8264648,0
0.5817566,0,-0.8264648,0
0.5983887,0,-0.8264648,0
0.6152954,0,-0.8264648,0
0.6337891,0,-0.8264648,0
0.648468,0,-0.8264648,0
0.664917,0,-0.8264648,0
0.6823425,0,-0.8264648,0
0.6987305,0,-0.8264648,0
0.7157593,0,-0.8264648,0
0.7327576,0,-0.8911006,0
0.7487488,0,-0.8911006,0
0.7655945,0,-0.8911006,0
0.7819519,0,-0.8911006,0
0.7997131,0,-0.8911006,0
0.8161316,0,-0.8911006,0
0.8341064,0,-0.8735071,0
0.8495178,0,-0.8735071,0.04530063
0.8654175,5.360977E-05,-0.8735071,0.1259323
0.8820496,0.0002702257,-0.8735071,0.1929997
0.8987732,0.0007474959,-0.8735071,0.2856884
0.9156494,0.001616543,-0.8735071,0.3376844
0.9319763,0.00290768,-0.7850048,0.3964627
0.9486694,0.004747933,-0.7850048,0.4318802
0.9655457,0.007197366,-0.7850048,0.4703121
0.9819641,0.01020641,-0.7850048,0.4921655
0.9988098,0.01394541,-0.7850048,0.5079905
1.015839,0.0184291,-0.7850048,0.5185404
1.031921,0.02335055,-0.6631478,0.5238154
1.050568,0.02981248,-0.6631478,0.5290904
1.065338,0.03563115,-0.6631478,0.5290904
1.081848,0.04275849,-0.6631478,0.5396402
1.098663,0.05073083,-0.6631478,0.543408
1.11496,0.05918739,-0.6631478,0.5471759
1.131989,0.0687336,-0.5529494,0.5554651
1.148499,0.07875003,-0.5529494,0.5712901
1.164917,0.08946545,-0.5529494,0.5773186
1.181854,0.1012617,-0.5529494,0.5788257
1.198029,0.1133117,-0.5529494,0.5788257
1.21521,0.1268847,-0.5529494,0.5788257
1.232605,0.1414359,-0.4859668,0.5735506
1.250763,0.1575074,-0.4859668,0.5652616
1.265564,0.1713499,-0.4859668,0.5584793
1.281891,0.1872472,-0.4859668,0.5501903
1.298767,0.2044095,-0.4859668,0.5275831
1.315887,0.2225608,-0.4859668,0.5208011
1.332031,0.2403228,-0.4671366,0.5042226
1.34906,0.2597651,-0.4671366,0.4710656
1.366089,0.2798507,-0.4671366,0.4401695
1.38266,0.2999795,-0.4671366,0.3738556
1.398987,0.3202977,-0.4671366,0.3120632
1.415924,0.3418263,-0.4671366,0.2638349
1.432495,0.3631924,-0.4751886,0.1666249
1.448914,0.3845687,-0.4751886,0.08900748
1.46701,0.4082888,-0.4751886,0
1.482178,0.4281493,-0.4751886,0
1.498169,0.4490481,-0.4751886,0
1.515228,0.471357,-0.4751886,0
1.532196,0.4935624,-0.4757024,0
1.548401,0.5147352,-0.4757024,0
1.565308,0.5368586,-0.4757024,0
1.581665,0.5582382,-0.4757024,0
1.598877,0.5806894,-0.4757024,0
1.614838,0.6015253,-0.4757024,0
1.631653,0.6234763,-0.439783,0
1.649139,0.6462909,-0.439783,0
1.667358,0.6700484,-0.439783,0
1.681824,0.6889072,-0.439783,0
1.698792,0.7110385,-0.439783,0
1.71521,0.732429,-0.439783,0
1.732635,0.7551445,-0.3589001,0
1.748199,0.7754038,-0.3589001,0
