Time,CV,FF,Input
0,0,-0.6633232,0
0.01618004,0,-0.6633232,0
0.03444099,0,-0.6633232,0
0.04956436,0,-0.6633232,0
0.06653595,0,-0.6633232,0
0.08246803,0,-0.6633232,0
0.09934044,0,-0.6633232,0
0.1154976,0,-0.6633232,0
0.1325245,0,-0.5323752,0
0.149147,0,-0.5323752,0
0.1663208,0,-0.5323752,0
0.1834583,0,-0.5323752,0
0.1987362,0,-0.5323752,0
0.2157612,0,-0.5323752,0
0.2321701,0,-0.4595022,0
0.2530785,0,-0.4595022,0
0.2659607,0,-0.4595022,0
0.2821789,0,-0.4595022,0
0.2992134,0,-0.4595022,0
0.3161736,0,-0.4595022,0
0.3324471,0,-0.4725033,0
0.3491898,0,-0.4725033,0
0.3660622,0,-0.4725033,0
0.3826351,0,-0.4725033,0
0.3986435,0,-0.4725033,0
0.4156418,0,-0.4725033,0
0.432476,0,-0.5658691,0
0.451355,0,-0.5658691,0
0.4657211,0,-0.5658691,0
0.4825001,0,-0.5658691,0
0.4994392,0,-0.5658691,0
0.5158978,0,-0.5658691,0
0.5323772,0,-0.8264648,0
0.5491409,0,-0.8264648,0
0.5660572,0,-0.8264648,0
0.5821304,0,-0.8264648,0
0.5990295,0,-0.8264648,0
0.6162434,0,-0.8264648,0
0.6324024,0,-0.8264648,0
0.6493225,0,-0.8264648,0
0.6685162,0,-0.8264648,0
0.682476,0,-0.8264648,0
0.6988525,0,-0.8264648,0
0.7164364,0,-0.8264648,0
0.73312,0,-0.8911006,0
0.7489071,0,-0.8911006,0
0.7657452,0,-0.8911006,0
0.7829914,0,-0.8911006,0
0.7991352,0,-0.8911006,0
0.8162422,0,-0.8911006,0
0.8322792,0,-0.8735071,0
0.850174,0,-0.8735071,0
0.8675766,0,-0.8735071,0
0.8824005,0,-0.8735071,0
0.8991756,0,-0.8735071,0
0.9156246,0,-0.8735071,0
0.9323807,0,-0.7850048,0
0.9489517,0,-0.7850048,0
0.9661369,0,-0.7850048,0
0.9824352,0,-0.7850048,0
0.9992275,0,-0.7850048,0
1.016363,0,-0.7850048,0
1.032318,0,-0.6631478,0
1.049183,0,-0.6631478,0
1.066229,0,-0.6631478,0
1.083876,0,-0.6631478,0
1.099319,0,-0.6631478,0
1.115387,0,-0.6631478,0
1.132893,0,-0.5529494,0
1.149427,0,-0.5529494,0
1.166281,0,-0.5529494,0
1.182455,0,-0.5529494,0
1.198647,0,-0.5529494,0
1.215923,0,-0.5529494,0
1.232403,0,-0.4859668,0
1.249165,0,-0.4859668,0
1.265787,0,-0.4859668,0
1.282116,0,-0.4859668,0
1.300941,0,-0.4859668,0
1.316166,0,-0.4671366,0
1.332331,0,-0.4671366,0
1.349211,0,-0.4671366,0
1.365461,0,-0.4671366,0
1.382841,0,-0.4671366,0
1.399006,0,-0.4671366,0
1.41548,0,-0.4671366,0
1.432533,0,-0.4751886,0
1.448874,0,-0.4751886,0
1.466223,0,-0.4751886,0
1.482367,0,-0.4751886,0
1.500725,0,-0.4751886,0
1.516241,0,-0.4757024,0
1.533163,0,-0.4757024,0
1.549189,0,-0.4757024,0
1.566374,0,-0.4757024,0
1.58226,0,-0.4757024,0
1.599144,0,-0.4757024,0
1.616034,0,-0.4757024,0
1.633099,0,-0.439783,0
1.649345,0,-0.439783,0
1.665884,0,-0.439783,0
1.682518,0,-0.439783,0
1.701214,0,-0.439783,0
1.715748,0,-0.3589001,0
1.733053,0,-0.3589001,0
1.749233,0,-0.3589001,0
1.765993,0,-0.3589001,0
1.782045,0,-0.3589001,0
1.799049,0,-0.3589001,0
1.815617,0,-0.3589001,0
1.832485,0,-0.2487559,0
1.849325,0,-0.2487559,0
1.8654,0,-0.2487559,0
1.882389,0,-0.2487559,0
1.898672,0,-0.2487559,0
1.918032,0,-0.2487559,0
1.93236,0,-0.1408258,0
1.948923,0,-0.1408258,0
