Time,CV,FF,Input
0,0,-0.6633232,0
0.01623535,0,-0.6633232,0
0.0322876,0,-0.6633232,0
0.04980469,0,-0.6633232,0
0.065979,0,-0.6633232,0
0.08312988,0,-0.6633232,0
0.09991455,0,-0.6633232,0
0.1158447,0,-0.6633232,0
0.1327515,0,-0.5323752,0
0.1490479,0,-0.5323752,0
0.1662598,0,-0.5323752,0
0.1845703,0,-0.5323752,0
0.1994019,0,-0.5323752,0
0.2162476,0,-0.5323752,0
0.2330933,0,-0.4595022,0
0.2492676,0,-0.4595022,0
0.265564,0,-0.4595022,0
0.2830811,0,-0.4595022,0
0.2993774,0,-0.4595022,0
0.31604,0,-0.4595022,0
0.3327026,0,-0.4725033,0
0.348999,0,-0.4725033,0
0.3654785,0,-0.4725033,0
0.3828125,0,-0.4725033,0
0.401062,0,-0.4725033,0
0.4156494,0,-0.5658691,0
0.4324341,0,-0.5658691,0
0.449707,0,-0.5658691,0
0.4657593,0,-0.5658691,0
0.4830322,0,-0.5658691,0
0.4989014,0,-0.5658691,0
0.5160522,0,-0.5658691,0
0.5325317,0,-0.8264648,0
0.5498047,0,-0.8264648,0
0.5658569,0,-0.8264648,0
0.5829468,0,-0.8264648,0
0.6016846,0,-0.8264648,0
0.6157837,0,-0.8264648,0
0.6390381,0,-0.8264648,0
0.6495972,0,-0.8264648,0
0.6653442,0,-0.8264648,0
0.682373,0,-0.8264648,0
0.6986694,0,-0.8264648,0
0.7160034,0,-0.8264648,0
0.7328491,0,-0.8911006,0
0.7490234,0,-0.8911006,0
0.7658691,0,-0.8911006,0
0.7825317,0,-0.8911006,0
0.7991333,0,-0.8911006,0
0.8175049,0,-0.8911006,0
0.8321533,0,-0.8735071,0
0.848999,0,-0.8735071,0
0.8657227,0,-0.8735071,0
0.8822021,0,-0.8735071,0
0.8997192,0,-0.8735071,0
0.9160156,0,-0.8735071,0
0.9326172,0,-0.7850048,0
0.9492798,0,-0.7850048,0
0.9659424,0,-0.7850048,0
0.9824829,0,-0.7850048,0
1.000061,0,-0.7850048,0
1.018005,0,-0.6631478,0
1.032532,0,-0.6631478,0
1.049255,0,-0.6631478,0
1.065613,0,-0.6631478,0
1.08252,0,-0.6631478,0
1.09906,0,-0.6631478,0
1.115967,0,-0.6631478,0
1.132874,0,-0.5529494,0
1.149963,0,-0.5529494,0
1.166077,0,-0.5529494,0
1.182922,0,-0.5529494,0
1.19928,0,-0.5529494,0
1.216064,0,-0.5529494,0
1.233765,0,-0.4859668,0
1.249329,0,-0.4859668,0.004608046
1.266113,5.809405E-06,-0.4859668,0.02043299
1.283569,4.080841E-05,-0.4859668,0.0347507
1.299438,0.0001189366,-0.4859668,0.0347507
1.315857,0.0002434913,-0.4859668,0.0347507
1.332703,0.0004175481,-0.4671366,0.02796865
1.348938,0.0006225806,-0.4671366,0.01817224
1.365845,0.0008597004,-0.4671366,0.009883056
1.383362,0.001118957,-0.4671366,0.003100913
1.399231,0.001358739,-0.4671366,0.00159378
1.416016,0.001613781,-0.4671366,0.00159378
1.4328,0.001870845,-0.4751886,0.003854526
1.45105,0.002156714,-0.4751886,0.01063658
1.465454,0.002395387,-0.4751886,0.01591159
1.482544,0.002697406,-0.4751886,0.01741872
1.49939,0.00301842,-0.4751886,0.01741872
1.515625,0.003351083,-0.4751886,0
1.532654,0.003701162,-0.4757024,0
1.549255,0.004040983,-0.4757024,0
1.566223,0.004388423,-0.4757024,0
1.583008,0.004732667,-0.4757024,0
1.599304,0.005066156,-0.4757024,0
1.616333,0.005414662,-0.4757024,0
1.632568,0.005746567,-0.439783,0
1.648926,0.006081084,-0.439783,0
1.66803,0.006471993,-0.439783,0
1.682739,0.006772123,-0.439783,0
1.698914,0.007103208,-0.439783,0
1.715942,0.007449944,-0.439783,0
1.7323,0.007783973,-0.3589001,0
1.749146,0.008128287,-0.3589001,0
1.765503,0.008461817,-0.3589001,0
1.782532,0.008808795,-0.3589001,0
1.799011,0.009145051,-0.3589001,0
1.816345,0.009498081,-0.3589001,0
