Time,CV,FF,Input
0,0,0.7532292,0
0.01528931,0,0.7532292,0
0.03216553,0,0.7532292,0
0.04864502,0,0.7532292,0
0.06539917,0,0.7532292,0
0.08300781,0,0.7532292,0
0.09881592,0,0.7532292,0
0.115509,0,0.7532292,0
0.131958,0,0.6175454,0
0.1487122,0,0.6175454,0
0.1661377,0,0.6175454,0
0.1820068,0,0.6175454,0
0.1988525,0,0.6175454,0
0.2176514,0,0.6175454,0
0.2327271,0,0.4623531,0
0.2490234,0,0.4623531,0
0.2654419,0,0.4623531,0
0.2825012,0,0.4623531,0
0.2990112,0,0.4623531,0
0.3153992,0,0.4623531,0
0.3322449,0,0.359533,0
0.3487244,0,0.359533,0
0.3661804,0,0.359533,0
0.3818359,0,0.359533,0
0.3988342,0,0.359533,0
0.4165344,0,0.359533,0
0.4335327,0,0.3534333,0
0.4488525,0,0.3534333,0
0.4651794,0,0.3534333,0
0.4821777,0,0.3534333,0
0.4989319,0,0.3534333,0
0.5155029,0,0.3534333,0
0.5324402,0,0.5610974,0
0.5490723,0,0.5610974,0
0.5655823,0,0.5610974,0
0.5823669,0,0.5610974,0
0.5986938,0,0.5610974,0
0.615509,0,0.5610974,0
0.631897,0,0.5610974,0
0.6508179,0,0.5610974,0
0.6666565,0,0.5610974,0
0.6820374,0,0.5610974,0
0.698822,0,0.5610974,0
0.7163696,0,0.5610974,0
0.7320862,0,0.6468045,0
0.7489014,0,0.6468045,0
0.7652893,0,0.6468045,0
0.7823486,0,0.6468045,0
0.7992249,0,0.6468045,0
0.8161621,0,0.6468045,0
0.8327332,0,0.6347885,0
0.8508301,0,0.6347885,0
0.866333,0,0.6347885,0
0.8829041,0,0.6347885,0
0.8988037,0,0.6347885,0
0.9164429,0,0.6347885,0
0.9320068,0,0.5057251,0
0.948761,0,0.5057251,0
0.965332,0,0.5057251,0
0.9820862,0,0.5057251,0
0.9990845,0,0.5057251,0
1.015259,0,0.5057251,0
1.032074,0,0.2872436,0
1.04895,0,0.2872436,0
1.06723,0,0.2872436,0
1.082306,0,0.2872436,0
1.098785,0,0.2872436,0
1.11557,0,0.2872436,0
1.132385,0,0.03650792,0
1.148682,0,0.03650792,0
1.166199,0,0.03650792,0
1.182556,0,0.03650792,0
1.198761,0,0.03650792,0
1.216583,0,0.03650792,0
1.232117,0,-0.1895189,0
1.249054,0,-0.1895189,0
1.267365,0,-0.1895189,0
1.282166,0,-0.1895189,0
1.299225,0,-0.1895189,0
1.315521,0,-0.1895189,0
1.332367,0,-0.3597144,0
1.348541,0,-0.3597144,0
1.365845,0,-0.3597144,0
1.382324,0,-0.3597144,0
1.398773,0,-0.3597144,0
1.416473,0,-0.3597144,0
1.432129,0,-0.4773077,0
1.449493,0,-0.4773077,0
1.468262,0,-0.4773077,0
1.482117,0,-0.4773077,0
1.499023,0,-0.4773077,0
1.516479,0,-0.4773077,0
1.532196,0,-0.5684956,0
1.548981,0,-0.5684956,0
1.565308,0,-0.5684956,0
1.582367,0,-0.5684956,0
1.598633,0,-0.5684956,0
1.615417,0,-0.5684956,0
1.63269,0,-0.6596051,0
1.648773,0,-0.6596051,0
1.665649,0,-0.6596051,0
1.68399,0,-0.6596051,0
1.698792,0,-0.6596051,0
1.716492,0,-0.6596051,0
1.732422,0,-0.7571266,0
1.748993,0,-0.7571266,0
