Time,CV,FF,Input
0,0,0.7532292,0
0.01566315,0,0.7532292,0
0.03251648,0,0.7532292,0
0.04959488,0,0.7532292,0
0.06616592,0,0.7532292,0
0.08440781,0,0.7532292,0
0.1007614,0,0.7532292,0
0.1159744,0,0.6175454,0
0.1334457,0,0.6175454,0
0.1493721,0,0.6175454,0
0.1666298,0,0.6175454,0
0.1832275,0,0.6175454,0
0.1994629,0,0.6175454,0
0.2155952,0,0.6175454,0
0.2329407,0,0.4623531,0
0.2492638,0,0.4623531,0
0.2663612,0,0.4623531,0
0.2833443,0,0.4623531,0
0.2988777,0,0.4623531,0
0.3211594,0,0.4623531,0
0.3378792,0,0.359533,0
0.3502693,0,0.359533,0
0.3662605,0,0.359533,0
0.3826637,0,0.359533,0
0.3990364,0,0.359533,0
0.4155846,0,0.359533,0
0.4321632,0,0.3534333,0
0.44944,0,0.3534333,0
0.465889,0,0.3534333,0
0.4826126,0,0.3534333,0
0.4989128,0,0.3534333,0
0.5179672,0,0.3534333,0
0.5324059,0,0.5610974,0
0.5494232,0,0.5610974,0
0.5662956,0,0.5610974,0
0.5822487,0,0.5610974,0
0.5990334,0,0.5610974,0
0.616127,0,0.5610974,0
0.6321068,0,0.5610974,0
0.6495743,0,0.5610974,0
0.6654549,0,0.5610974,0
0.682682,0,0.5610974,0
0.6994209,0,0.5610974,0
0.7177887,0,0.5610974,0
0.7323914,0,0.6468045,0
0.7492027,0,0.6468045,0
0.7657433,0,0.6468045,0
0.782795,0,0.6468045,0
0.799118,0,0.6468045,0
0.8153038,0,0.6468045,0
0.8327103,0,0.6347885,0
0.8488235,0,0.6347885,0
0.8663025,0,0.6347885,0
0.8822098,0,0.6347885,0
0.898941,0,0.6347885,0
0.9162102,0,0.6347885,0
0.9348564,0,0.5057251,0
0.9493294,0,0.5057251,0
0.9656677,0,0.5057251,0
0.9823914,0,0.5057251,0
0.9995346,0,0.5057251,0
1.015884,0,0.5057251,0
1.032303,0,0.2872436,0
1.049541,0,0.2872436,0
1.066414,0,0.2872436,0
1.082714,0,0.2872436,0
1.099388,0,0.2872436,0
1.115517,0,0.2872436,0
1.132545,0,0.03650792,0
1.151096,0,0.03650792,0
1.165791,0,0.03650792,0
1.182922,0,0.03650792,0
1.1992,0,0.03650792,0
1.215515,0,0.03650792,0
1.232697,0,-0.1895189,0
1.248737,0,-0.1895189,0
1.266277,0,-0.1895189,0
1.282661,0,-0.1895189,0
1.299049,0,-0.1895189,0
1.316181,0,-0.1895189,0
1.332111,0,-0.3597144,0
1.349472,0,-0.3597144,0
1.368191,0,-0.3597144,0
1.383385,0,-0.3597144,0
1.398911,0,-0.3597144,0
1.416039,0,-0.3597144,0
1.432175,0,-0.4773077,0
1.449532,0,-0.4773077,0
1.46616,0,-0.4773077,0
1.482635,0,-0.4773077,0
1.499691,0,-0.4773077,0
1.515846,0,-0.4773077,0
1.532612,0,-0.5684956,0
1.549919,0,-0.5684956,0
1.56797,0,-0.5684956,0
1.583481,0,-0.5684956,0
1.599373,0,-0.5684956,0
1.616203,0,-0.5684956,0
1.633427,0,-0.6596051,0
1.649712,0,-0.6596051,0
1.665939,0,-0.6596051,0
1.682846,0,-0.6596051,0
1.699326,0,-0.6596051,0
1.716038,0,-0.6596051,0
1.732479,0,-0.7571266,0
1.748558,0,-0.7571266,0
1.7663,0,-0.7571266,0
1.784863,0,-0.7571266,0
1.799507,0,-0.7571266,0
1.816418,0,-0.7571266,0
1.833408,0,-0.8424329,0
1.849461,0,-0.8424329,0
1.866585,0,-0.8424329,0
1.88253,0,-0.8424329,0
1.899204,0,-0.8424329,0
1.916855,0,-0.8424329,0
1.932739,0,-0.8837973,0
1.949188,0,-0.8837973,0
1.96637,0,-0.8837973,0
1.984802,0,-0.8837973,0
1.999111,0,-0.8837973,0
2.015747,0,-0.8837973,0
2.032494,0,-0.8579134,0
2.049229,0,-0.8579134,0
2.065937,0,-0.8579134,0
2.082245,0,-0.8579134,0
2.099297,0,-0.8579134,0
2.116131,0,-0.8579134,0
2.132702,0,-0.7674999,0
2.149479,0,-0.7674999,0
2.166065,0,-0.7674999,0
2.182667,0,-0.7674999,0
2.201427,0,-0.7674999,0
2.215736,0,-0.6439171,0
2.231892,0,-0.6439171,0
2.250134,0,-0.6439171,0
2.266159,0,-0.6439171,0
2.283405,0,-0.6439171,0
2.299461,0,-0.6439171,0
2.315895,0,-0.6439171,0
2.332577,0,-0.4690917,0
2.34943,0,-0.4690917,0
2.365398,0,-0.4690917,0
2.383533,0,-0.4690917,0
2.401352,0,-0.4690917,0
2.416088,0,-0.4597723,0
2.43248,0,-0.4597723,0
2.449535,0,-0.4597723,0
2.465679,0,-0.4597723,0
2.482582,0,-0.4597723,0
2.499432,0,-0.4597723,0
2.516014,0,-0.4597723,0
2.533367,0,-0.477754,0
2.548973,0,-0.477754,0
2.565964,0,-0.477754,0
2.582851,0,-0.477754,0
2.59911,0,-0.477754,0
2.618176,0,-0.477754,0
2.632202,0,-0.4773842,0
2.649284,0,-0.4773842,0
2.666531,0,-0.4773842,0
2.682796,0,-0.4773842,0
2.699497,0,-0.4773842,0
2.715637,0,-0.4773842,0
2.733379,0,-0.4190596,0
2.749027,0,-0.4190596,0
2.766281,0,-0.4190596,0
2.782524,0,-0.4190596,0
2.799442,0,-0.4190596,0
2.817982,0,-0.4190596,0
2.832504,0,-0.2907883,0
2.849205,0,-0.2907883,0
2.865997,0,-0.2907883,0
2.882347,0,-0.2907883,0
2.899857,0,-0.2907883,0
2.916218,0,-0.2907883,0
2.932877,0,-0.1145346,0
2.949345,0,-0.1145346,0
2.96579,0,-0.1145346,0
2.983368,0,-0.1145346,0
2.998684,0,-0.1145346,0
3.016464,0,-0.1145346,0
3.0355,0,0.06603751,0
3.049171,0,0.06603751,0
3.065956,0,0.06603751,0
3.082504,0,0.06603751,0
3.099064,0,0.06603751,0
3.115307,0,0.06603751,0
3.132538,0,0.2093843,0
3.149742,0,0.2093843,0
3.165382,0,0.2093843,0
3.182621,0,0.2093843,0
3.198982,0,0.2093843,0
3.215626,0,0.2093843,0
3.231827,0,0.2980479,0
3.251034,0,0.2980479,0
3.26506,0,0.2980479,0
3.282791,0,0.2980479,0
3.29879,0,0.2980479,0
3.315979,0,0.2980479,0
3.33218,0,0.3466151,0
3.348915,0,0.3466151,0
3.365631,0,0.3466151,0
3.382195,0,0.3466151,0
3.399326,0,0.3466151,0
3.415985,0,0.3466151,0
3.432575,0,0.3916427,0
3.451679,0,0.3916427,0
3.465649,0,0.3916427,0
3.482559,0,0.3916427,0
3.499332,0,0.3916427,0
3.515846,0,0.3916427,0
3.532673,0,0.4698029,0
3.549393,0,0.4698029,0
3.565956,0,0.4698029,0
3.582279,0,0.4698029,0
3.600151,0,0.4698029,0
3.616272,0,0.5970415,0
3.63369,0,0.5970415,0
3.650978,0,0.5970415,0
3.666641,0,0.5970415,0
3.682201,0,0.5970415,0
3.699162,0,0.5970415,0
3.716496,0,0.5970415,0
3.733326,0,0.7606134,0
3.749451,0,0.7606134,0
3.766254,0,0.7606134,0
3.783089,0,0.7606134,0
3.799786,0,0.7606134,0
3.817062,0,0.7606134,0
3.832569,0,0.9280923,0
3.850079,0,0.9280923,0
3.867817,0,0.9280923,0
3.883171,0,0.9280923,0
3.899063,0,0.9280923,0
3.916431,0,0.9280923,0
3.933685,0,1.067412,0
3.949554,0,1.067412,0
3.965656,0,1.067412,0
3.982498,0,1.067412,0
3.999237,0,1.067412,0
4.0163,0,1.067412,0
4.032585,0,1.165579,0
4.050285,0,1.165579,0
4.067848,0,1.165579,0
4.083694,0,1.165579,0
4.09967,0,1.165579,0
4.116024,0,1.165579,0
4.132469,0,1.234693,0
4.149666,0,1.234693,0
4.166187,0,1.234693,0
4.182579,0,1.234693,0
4.19939,0,1.234693,0
4.215584,0,1.234693,0
4.2327,0,1.301683,0
4.249325,0,1.301683,0
4.265755,0,1.301683,0
4.284588,0,1.301683,0
4.299767,0,1.301683,0
4.315941,0,1.301683,0
4.332855,0,1.38825,0
4.349579,0,1.38825,0
4.366295,0,1.38825,0
4.38261,0,1.38825,0
4.400154,0,1.38825,0
4.416286,0,1.493723,0
4.433239,0,1.493723,0
4.449478,0,1.493723,0
4.466381,0,1.493723,0
4.485016,0,1.493723,0
4.499603,0,1.493723,0
4.515858,0,1.493723,0
4.532711,0,1.592151,0
4.549339,0,1.592151,0
4.566124,0,1.592151,0
4.582668,0,1.592151,0
4.599415,0,1.592151,0
4.616432,0,1.592151,0
4.633057,0,1.646596,0
4.64954,0,1.646596,0
4.666073,0,1.646596,0
4.682606,0,1.646596,0
4.701527,0,1.646596,0
4.715897,0,1.632877,0
4.732655,0,1.632877,0
4.749508,0,1.632877,0
4.765896,0,1.632877,0
4.782768,0,1.632877,0
4.799423,0,1.632877,0
4.816059,0,1.632877,0
4.833069,0,1.55857,0
4.849922,0,1.55857,0
4.866322,0,1.55857,0
4.883385,0,1.55857,0
4.902004,0,1.55857,0
4.916779,0,1.464724,0
4.933247,0,1.464724,0
4.949726,0,1.464724,0
4.967014,0,1.464724,0
4.983196,0,1.464724,0
4.99929,0,1.464724,0
5.016563,0,1.464724,0
5.033794,0,1.407172,0
5.050194,0,1.407172,0
5.066574,0,1.407172,0
5.082634,0,1.407172,0
5.09972,0,1.407172,0
5.118382,0,1.407172,0
5.132793,0,1.426252,0
5.149792,0,1.426252,0
5.165894,0,1.426252,0
5.182541,0,1.426252,0
5.199642,0,1.426252,0
5.216331,0,1.426252,0
5.232243,0,1.521355,0
5.249187,0,1.521355,0
5.265945,0,1.521355,0
5.282845,0,1.521355,0
5.299229,0,1.521355,0
5.316151,0,1.521355,0
5.334171,0,1.645327,0
5.349377,0,1.645327,0
5.366211,0,1.645327,0
5.381443,0,1.645327,0
5.399517,0,1.645327,0
5.416302,0,1.645327,0
5.432346,0,1.72362,0
5.449478,0,1.72362,0
5.465614,0,1.72362,0
5.482105,0,1.72362,0
5.49892,0,1.72362,0
5.51548,0,1.72362,0
5.532314,0,1.689533,0
5.551239,0,1.689533,0
5.565536,0,1.689533,0
5.582573,0,1.689533,0
5.598228,0,1.689533,0
5.615593,0,1.689533,0
5.632515,0,1.517521,0
5.649948,0,1.517521,0
5.664974,0,1.517521,0
5.681736,0,1.517521,0
5.699379,0,1.517521,0
5.715153,0,1.517521,0
5.731686,0,1.236717,0
5.748226,0,1.236717,0
5.767414,0,1.236717,0
5.781948,0,1.236717,0
5.798336,0,1.236717,0
5.816139,0,1.236717,0
5.832214,0,0.9169402,0
5.849289,0,0.9169402,0
5.865395,0,0.9169402,0
5.882515,0,0.9169402,0
5.899738,0,0.9169402,0
5.915794,0,0.9169402,0
5.932697,0,0.6341783,0
5.949577,0,0.6341783,0
5.967777,0,0.6341783,0
5.982655,0,0.6341783,0
5.998802,0,0.6341783,0
6.016239,0,0.6341783,0
6.032509,0,0.4337575,0
6.04903,0,0.4337575,0
6.066059,0,0.4337575,0
6.082653,0,0.4337575,0
6.098301,0,0.4337575,0
6.115936,0,0.4337575,0
6.132603,0,0.3109025,0
6.149517,0,0.3109025,0
6.166199,0,0.3109025,0
6.184422,0,0.3109025,0
6.199219,0,0.3109025,0
6.216518,0,0.3109025,0
6.233696,0,0.2189424,0
6.248798,0,0.2189424,0
6.26614,0,0.2189424,0
6.283455,0,0.2189424,0
6.299072,0,0.2189424,0
6.316402,0,0.2189424,0
6.332138,0,0.1001913,0
6.349277,0,0.1001913,0
6.366051,0,0.1001913,0
6.382374,0,0.1001913,0
6.401302,0,0.1001913,0
