Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01580811,0,0.03503782,0,0.5704651
0.03320313,0,0.02765206,0,0.5354309
0.06829834,0,0.01666,0,0.507782
0.08300781,0,0.009559959,0,0.4911499
0.0994873,0,0.006121606,0,0.4815979
0.1159668,0,-0.0004616678,0,0.4754639
0.1334839,0,-0.006564647,0,0.4759216
0.1497192,0,-0.009404272,0,0.4824829
0.1658936,0,-0.01460135,0,0.4918823
0.1827393,0,-0.01908526,0,0.5064697
0.1999512,0,-0.02103618,0,0.5255737
0.2259521,0,-0.02563232,0,0.5466003
0.2484131,0,-0.02759004,0,0.5722656
0.2666016,0,-0.02862579,0,0.5998535
0.2832642,0,-0.02872622,0,0.628479
0.3001709,0,-0.02789491,0,0.657196
0.3167114,0,-0.02713561,0,0.6850891
0.333374,0,-0.02494991,0,0.7122192
0.3497314,0,-0.02353472,0,0.7371826
0.3670044,0,-0.02009535,0,0.7607117
0.3934326,0,-0.01354665,0,0.7807922
0.4162598,0,-0.008377612,0,0.794342
0.4329224,0,-0.002680182,0,0.8027344
0.449707,0,0.00033319,0,0.8054199
0.4674683,0,0.006617308,0,0.8050842
0.4827271,0,0.01314491,0,0.7984619
0.4997559,0,0.01646149,0,0.7853394
0.5162964,0,0.02312189,0,0.7688904
0.5334473,0,0.02971423,0,0.7457581
0.5612183,0,0.03920478,0,0.7160339
0.5835571,0,0.04509395,0,0.6768494
0.5997314,0,0.04786515,0,0.6317444
0.6166992,0,0.05299652,0,0.5838928
0.6333008,0,0.05750155,0,0.5308838
0.6497192,0,0.05949274,0,0.4734192
0.6672363,0,0.06290661,0,0.4139404
0.6831665,0,0.06551233,0,0.3510437
0.7001953,0,0.06726299,0,0.2855225
0.7275391,0,0.06812793,0,0.2182617
0.7495728,0,0.06809321,0,0.1501465
0.7665405,0,0.06716168,0,0.08206177
0.7827759,0,0.06535304,0,0.01489258
0.7995605,0,0.06413031,0,-0.05044414
0.8165283,0,0.06107795,0,-0.1145745
0.8325195,0,0.05726671,0,-0.1756524
0.8497314,0,0.05509853,0,-0.2329192
0.8671875,0,0.05028832,0,-0.2880177
0.8939209,0,0.04206097,0,-0.3383061
0.9165039,0,0.03604949,0,-0.3803671
0.9335327,0,0.02974355,0,-0.4164166
0.949707,0,0.02651572,0,-0.4461601
0.9666138,0,0.01998258,0,-0.4726759
0.9833374,0,0.01344264,0,-0.4926585
0.9998779,0,0.01020598,0,-0.5061012
1.015808,0,0.003868937,0,-0.5163072
1.034058,0,-0.002197385,0,-0.5201761
1.059631,0,-0.007892251,0,-0.5179787
1.082947,0,-0.01554143,0,-0.5100864
1.099854,0,-0.01781344,0,-0.494545
1.116028,0,-0.02189088,0,-0.4767315
1.133301,0,-0.02530253,0,-0.4548407
