Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01541138,0,0.03503782,0,0.5704651
0.03262329,0,0.02765206,0,0.5354309
0.04943848,0,0.0239619,0,0.507782
0.06546021,0,0.01666,0,0.4838257
0.0821228,0,0.009559959,0,0.4671631
0.09933472,0,0.006121606,0,0.4576111
0.1158447,0,-0.0004616678,0,0.4515076
0.1317139,0,-0.006564647,0,0.4519653
0.1497498,0,-0.009404272,0,0.4585266
0.176178,0,-0.01693732,0,0.467926
0.1984558,0,-0.02103618,0,0.4848938
0.2151794,0,-0.02431637,0,0.5059204
0.2312927,0,-0.02672499,0,0.5302734
0.2484436,0,-0.02759004,0,0.5570068
0.2655945,0,-0.02862579,0,0.5845947
0.2821655,0,-0.02872622,0,0.6132202
0.2990723,0,-0.02842617,0,0.6419373
0.3159485,0,-0.02713561,0,0.6703491
0.3420715,0,-0.02353472,0,0.6974792
0.3649292,0,-0.02009535,0,0.7210083
0.3823242,0,-0.01590151,0,0.7410889
0.3994751,0,-0.01354665,0,0.7569885
0.4151917,0,-0.008377612,0,0.7705383
0.4320068,0,-0.002680182,0,0.7789307
0.4492493,0,0.00033319,0,0.7816162
0.465271,0,0.006617308,0,0.7812805
0.4821472,0,0.01314491,0,0.7746582
0.508606,0,0.01979238,0,0.7615051
0.5318298,0,0.02971423,0,0.7416992
0.5492554,0,0.03294587,0,0.7119751
0.5655823,0,0.03920478,0,0.6790161
0.5822449,0,0.04509395,0,0.639801
0.5984802,0,0.04786515,0,0.594696
0.6160889,0,0.05299652,0,0.5468445
0.631958,0,0.05750155,0,0.4938354
0.6494446,0,0.05949274,0,0.4363403
0.6753235,0,0.06431381,0,0.3768616
0.6989746,0,0.06649685,0,0.312561
0.7150879,0,0.06780744,0,0.2460632
0.7322388,0,0.06822322,0,0.1782532
0.7484741,0,0.06809321,0,0.1100159
0.7655945,0,0.06716168,0,0.04193115
0.782135,0,0.06535304,0,-0.02522708
0.7991638,0,0.06413031,0,-0.09058012
0.8167725,0,0.06107795,0,-0.1547104
0.8432312,0,0.05509853,0,-0.2157884
0.8650208,0,0.05028832,0,-0.270887
0.8821411,0,0.04492188,0,-0.3211753
0.8986511,0,0.04206097,0,-0.3660972
0.9154663,0,0.03604949,0,-0.4081582
0.9317627,0,0.02974355,0,-0.4442076
0.9488525,0,0.02651572,0,-0.4739513
0.9658508,0,0.01998258,0,-0.5004669
0.9832153,0,0.01344264,0,-0.5204495
1.010315,0,0.003868937,0,-0.5338921
1.032166,0,-0.002197385,0,-0.5377611
1.049377,0,-0.005097151,0,-0.5355637
1.066254,0,-0.01057148,0,-0.5304665
1.082489,0,-0.01554143,0,-0.5198951
1.098938,0,-0.01781344,0,-0.5043538
1.115997,0,-0.02189088,0,-0.4865404
1.132233,0,-0.02530253,0,-0.4646494
1.149048,0,-0.02674544,0,-0.4393469
1.175964,0,-0.02998424,0,-0.4126015
1.1987,0,-0.03122163,0,-0.3826173
1.21521,0,-0.03172791,0,-0.3513957
1.232452,0,-0.03152591,0,-0.3196678
1.249359,0,-0.03117073,0,-0.2881419
1.265411,0,-0.02998239,0,-0.2569712
1.28302,0,-0.02820724,0,-0.2269888
1.299133,0,-0.02712137,0,-0.1987815
1.326324,0,-0.02319229,0,-0.1716602
1.348419,0,-0.02012563,0,-0.1484679
1.365326,0,-0.01681477,0,-0.1283423
1.382477,0,-0.01336282,0,-0.1115275
1.399261,0,-0.01161706,0,-0.09816468
1.415985,0,-0.008152664,0,-0.08654761
1.432617,0,-0.004812717,0,-0.07839495
1.448944,0,-0.003221929,0,-0.07358223
1.466064,0,-0.0002611279,0,-0.0703603
1.491943,0,0.003452897,0,-0.07009917
1.515015,0,0.005320191,0,-0.07355207
1.532532,0,0.006614864,0,-0.07887226
1.549316,0,0.007028222,0,-0.08548714
1.565369,0,0.00735569,0,-0.09251536
1.582764,0,0.006986022,0,-0.09987106
1.599091,0,0.006531358,0,-0.1068571
1.616638,0,0.005074084,0,-0.1133884
1.647156,0,0.001522303,0,-0.1184625
1.665497,0,-0.00173068,0,-0.1199848
1.681824,0,-0.005651474,0,-0.1182541
1.6987,0,-0.007846951,0,-0.1126027
1.715759,0,-0.01267022,0,-0.1047557
1.7323,0,-0.0180099,0,-0.0920855
1.748871,0,-0.02084833,0,-0.0740756
1.765228,0,-0.02680665,0,-0.05322726
1.782043,0,-0.03305972,0,-0.02642061
1.810364,0,-0.04276636,0,0.006652832
1.831665,0,-0.0492975,0,0.04940796
1.84967,0,-0.05253959,0,0.09869385
1.865295,0,-0.0589073,0,0.1512451
1.881958,0,-0.06502869,0,0.210144
1.898956,0,-0.06796366,0,0.275177
1.916473,0,-0.07351837,0,0.3431396
1.93222,0,-0.07857281,0,0.4166565
1.959869,0,-0.08303851,0,0.4952393
1.982117,0,-0.08846515,0,0.5782776
1.999084,0,-0.08990234,0,0.666748
2.015808,0,-0.09217989,0,0.7566528
2.032349,0,-0.09362972,0,0.8488464
2.049774,0,-0.09403574,0,0.9424744
2.06543,0,-0.09420061,0,1.036499
2.082245,0,-0.09350121,0,1.130707
2.108765,0,-0.09194934,0,1.224213
2.132202,0,-0.08808279,0,1.316162
2.148224,0,-0.08640432,0,1.404236
2.165405,0,-0.08250308,0,1.490631
2.18219,0,-0.07793117,0,1.57312
2.198517,0,-0.07541656,0,1.651062
2.216217,0,-0.06998038,0,1.726471
2.232086,0,-0.06407452,0,1.796448
2.248474,0,-0.06097436,0,1.860535
2.275146,0,-0.05122852,0,1.921509
2.299011,0,-0.04448295,0,1.972748
2.315613,0,-0.03765392,0,2.017242
2.332184,0,-0.0308373,0,2.054901
2.349243,0,-0.0274632,0,2.085724
2.365265,0,-0.02083707,0,2.11319
2.382629,0,-0.01444316,0,2.134033
2.399048,0,-0.01135731,0,2.148468
2.42627,0,-0.002642393,0,2.159821
2.449005,0,0.002645731,0,2.162476
2.466095,0,0.007464886,0,2.159821
2.4823,0,0.01178432,0,2.152344
2.499084,0,0.01375127,0,2.140564
2.515533,0,0.01729393,0,2.126801
2.536438,0,0.02031851,0,2.109497
2.551727,0,0.02283931,0,2.089172
2.572052,0,0.02488327,0,2.066345
2.592926,0,0.02648735,0,2.041473
2.614746,0,0.02769995,0,2.014984
2.631775,0,0.02857685,0,1.987274
2.649414,0,0.02890873,0,1.95871
2.665436,0,0.02940249,0,1.92981
2.68222,0,0.02972865,0,1.900421
2.699127,0,0.02985144,0,1.870697
2.715149,0,0.03006458,0,1.840851
2.732269,0,0.03029466,0,1.810791
2.759125,0,0.03061438,0,1.780487
2.782166,0,0.03141022,0,1.749878
2.799011,0,0.03179049,0,1.718475
2.815399,0,0.03276563,0,1.686707
2.832367,0,0.03406382,0,1.653931
2.849335,0,0.03484654,0,1.619873
2.865692,0,0.03669572,0,1.585022
2.883331,0,0.03894043,0,1.54834
2.91037,0,0.04306221,0,1.509399
2.932312,0,0.0463028,0,1.466339
2.948669,0,0.04806328,0,1.420044
2.965546,0,0.0518446,0,1.371979
2.981812,0,0.05593789,0,1.320129
2.998535,0,0.05808532,0,1.264191
3.015137,0,0.0625447,0,1.206116
3.032349,0,0.06716645,0,1.143585
3.049225,0,0.06951511,0,1.076416
3.075958,0,0.07659042,0,1.006897
3.098541,0,0.08122444,0,0.9302978
3.114868,0,0.08568829,0,0.8490601
3.132019,0,0.08989179,0,0.7633667
3.148712,0,0.09186798,0,0.6734619
3.165192,0,0.09551466,0,0.581604
3.182037,0,0.09868479,0,0.486084
3.198792,0,0.1000666,0,0.3873901
3.215424,0,0.102379,0,0.287323
3.243134,0,0.1046033,0,0.1849365
3.265106,0,0.1051821,0,0.08032227
3.282501,0,0.1049946,0,-0.02487191
3.299561,0,0.1046062,0,-0.1298665
3.316345,0,0.1032335,0,-0.2344727
3.332031,0,0.1010686,0,-0.3377061
3.348633,0,0.09969366,0,-0.4387748
3.36496,0,0.09637594,0,-0.5384685
3.382111,0,0.09233606,0,-0.6348444
3.408386,0,0.08762848,0,-0.7271805
3.431793,0,0.0794704,0,-0.814809
3.448486,0,0.07650042,0,-0.8942794
3.465393,0,0.07025695,0,-0.9707798
3.481506,0,0.0636971,0,-1.041037
3.499084,0,0.06033421,0,-1.104734
3.516266,0,0.05351615,0,-1.165068
3.531921,0,0.04667902,0,-1.218585
3.549225,0,0.04329252,0,-1.265264
3.575287,0,0.03345585,0,-1.308557
3.598328,0,0.02732539,0,-1.342013
3.615143,0,0.02168107,0,-1.369338
3.632385,0,0.0166409,0,-1.391019
3.649231,0,0.01438189,0,-1.40766
3.66629,0,0.01044917,0,-1.422042
3.68219,0,0.00737381,0,-1.432491
3.699341,0,0.006183147,0,-1.439865
3.725342,0,0.004099607,0,-1.446048
3.748749,0,0.004014492,0,-1.450147
3.765869,0,0.00501132,0,-1.454162
3.782349,0,0.00710392,0,-1.459173
3.798859,0,0.008560181,0,-1.466277
3.815308,0,0.01228023,0,-1.474838
3.832306,0,0.01704741,0,-1.487118
3.849243,0,0.01980853,0,-1.504165
3.86557,0,0.02604437,0,-1.523974
3.892761,0,0.03703094,0,-1.550019
3.915558,0,0.04530263,0,-1.58705
3.933228,0,0.05420113,0,-1.632352
3.948608,0,0.05884671,0,-1.686554
3.965424,0,0.06844735,0,-1.7454
