Time,CV,FF,Input
0,0,-0.791238,0
0.01550293,0,-0.7777878,0
0.03265381,0,-0.7500234,0
0.04925537,0,-0.7358032,0
0.06634521,0,-0.6923848,0
0.08215332,0,-0.6633232,0
0.09960938,0,-0.6489156,0
0.1166992,0,-0.6206132,0
0.1334839,0,-0.593346,0
0.1491089,0,-0.5802304,0
0.1657715,0,-0.5675273,0
0.1829834,0,-0.5435532,0
0.2124023,0,-0.5118558,0
0.2321167,0,-0.4940503,0
0.2495117,0,-0.486255,0
0.2664185,0,-0.4730349,0
0.2821655,0,-0.4631459,0
0.2991333,0,-0.4567465,0
0.315918,0,-0.4539393,0
0.333252,0,-0.4547684,0
0.3603516,0,-0.4627806,0
0.381897,0,-0.4725033,0
0.3995972,0,-0.4786234,0
0.418457,0,-0.4932536,0
0.4324341,0,-0.5108612,0
0.4492188,0,-0.5206915,0
0.4663086,0,-0.5421999,0
0.4824219,0,-0.5658689,0
0.4996338,0,-0.5783916,0
0.5270996,0,-0.6180826,0
0.548584,0,-0.6457594,0
0.5666504,0,-0.6738763,0
0.5827637,0,-0.7019695,0
0.5997314,0,-0.7158628,0
0.6185303,0,-0.7430583,0
0.6331787,0,-0.7690991,0
0.6489258,0,-0.781554,0
0.6665039,0,-0.8050833,0
0.6947021,0,-0.8362432,0
0.7164307,0,-0.8537888,0.05340449
0.732666,2.577072E-05,-0.8684354,0.1619181
0.7495728,0.000129671,-0.8746027,0.3192628
0.7667236,0.000387613,-0.8845169,0.3979351
0.7827148,0.0008375299,-0.8911005,0.5245342
0.7996826,0.001540475,-0.8931182,0.5977809
0.8292847,0.002531742,-0.8940406,0.7081031
0.8429565,0.003864512,-0.8904243,0.7492477
0.8660278,0.005558569,-0.8835292,0.7741154
0.8833008,0.007625843,-0.8735074,0.7772804
0.9000244,0.01006779,-0.8605601,0.7614555
0.9262695,0.01287669,-0.8449339,0.7203107
0.9490967,0.01603262,-0.826915,0.6927303
0.9663086,0.0195222,-0.8068232,0.6746447
0.9829712,0.02333664,-0.7850056,0.6741925
1.01001,0.02747565,-0.7498492,0.6796182
1.028381,0.03194179,-0.7376726,0.6818789
1.049011,0.03673608,-0.712921,0.6552026
1.066528,0.04184558,-0.6879557,0.585121
1.083252,0.04723642,-0.6631487,0.5258906
1.100403,0.05287995,-0.6388547,0.4793202
1.116699,0.05875365,-0.6270046,0.4241592
1.14325,0.06483086,-0.5930999,0.3635724
1.158752,0.0710823,-0.5824616,0.3097678
1.182007,0.07748197,-0.5529502,0.2745009
1.200012,0.08401282,-0.5355142,0.2591281
1.217163,0.09066741,-0.527523,0.258676
1.244019,0.0974455,-0.5065988,0.3088636
1.266113,0.1043713,-0.4952463,0.3748759
1.283142,0.1114766,-0.4859672,0.4377234
1.299805,0.1187916,-0.482089,0.4625911
1.326233,0.1263285,-0.4733532,0.5136828
1.341858,0.1341117,-0.46977,0.5421677
1.36554,0.1421551,-0.4677703,0.5860252
1.38208,0.1504795,-0.4671366,0.6267179
1.398987,0.1591048,-0.4672561,0.6556548
1.416321,0.1680447,-0.4682027,0.685496
1.433533,0.1773136,-0.4698598,0.7035816
1.465576,0.1869202,-0.4730396,0.7234758
1.478821,0.196874,-0.4741359,0.7289014
1.499207,0.2071775,-0.4761607,0.7311621
1.516235,0.2178318,-0.4777206,0.7311621
1.532532,0.2288368,-0.4785382,0.7026774
1.549438,0.2401786,-0.4785872,0.6642454
1.576538,0.2518388,-0.4769388,0.5751739
1.598572,0.2637741,-0.4740841,0.488363
1.615601,0.2759428,-0.4696212,0.4011001
1.641907,0.2883025,-0.4596318,0.3179063
1.666199,0.3008132,-0.4506551,0.1994457
1.691284,0.3134177,-0.4336401,0.1044963
1.71637,0.32607,-0.4199642,0
1.733093,0.3387198,-0.4045047,0
1.74884,0.3513671,-0.3961408,0
1.766479,0.3640118,-0.3782343,0
1.792847,0.3766541,-0.3487625,0
1.80835,0.3892938,-0.3383447,0
1.831848,0.4019309,-0.305721,0
1.84906,0.4145656,-0.2944964,0
1.868347,0.4271977,-0.271725,0
1.883057,0.4398273,-0.2487579,0
1.898804,0.4524544,-0.2372899,0
1.915344,0.4650789,-0.2145639,0
1.931946,0.4777009,-0.1923522,0
1.958252,0.4903204,-0.1709278,0
1.981506,0.5029374,-0.1408275,0
1.99939,0.5155518,-0.1314549,0
2.016357,0.5281637,-0.1138591,0
2.032471,0.5407732,-0.0979481,0
2.048706,0.55338,-0.09067381,0
2.066406,0.5659844,-0.0775682,0
2.084778,0.5785862,-0.06646787,0
2.109314,0.5911855,-0.05743812,0
2.132446,0.6037823,-0.04782701,0
2.148987,0.6163766,-0.04566544,0
2.166321,0.6289684,-0.04286845,0
2.182373,0.6415576,-0.04203686,0
2.198975,0.6541443,-0.04232466,0
2.21582,0.6667285,-0.04422472,0
2.232178,0.6793102,-0.04776174,0
2.24884,0.6918893,-0.05009052,0
2.27533,0.704466,-0.05903346,0
2.299133,0.7170401,-0.0663723,0
2.316467,0.7296118,-0.07456644,0
2.332581,0.7421809,-0.08340163,0
2.348816,0.7547475,-0.08799331,-0.006381947
2.365967,0.7673085,-0.09739605,-0.1271033
2.383057,0.7798057,-0.1069279,-0.2170791
2.399597,0.7921956,-0.1116846,-0.3590511
2.42688,0.8044097,-0.1256688,-0.5815039
2.449097,0.8163409,-0.1345749,-0.7497
2.466248,0.8279078,-0.1430111,-0.8582135
2.492859,0.8390583,-0.154607,-1.042687
2.515686,0.8497034,-0.1615641,-1.154365
2.533081,0.8597893,-0.1678892,-1.229872
2.549255,0.8692797,-0.1708212,-1.263783
2.56604,0.8781585,-0.1762534,-1.288199
2.592712,0.8864138,-0.183465,-1.289555
2.61084,0.8940451,-0.1877979,-1.269209
2.63208,0.9010625,-0.1919017,-1.232133
2.649109,0.9074839,-0.1939142,-1.194153
2.666199,0.9133278,-0.1979621,-1.152104
2.682312,0.9186145,-0.2021844,-1.039974
2.699646,0.9233983,-0.2044167,-0.9264866
2.729126,0.9277341,-0.2118702,-0.6864004
2.742615,0.9317378,-0.2176936,-0.5869296
2.76593,0.9354575,-0.2244006,-0.4820331
2.78302,0.9389438,-0.2321486,-0.4277763
2.800598,0.942223,-0.2410769,-0.4024565
2.826904,0.9453073,-0.2513022,-0.3938659
2.848755,0.9482009,-0.2629147,-0.3911529
2.866333,0.9509053,-0.2759745,-0.3857273
2.88269,0.9534229,-0.2905086,-0.3721631
2.908875,0.9557604,-0.3065095,-0.3378005
2.927124,0.9579345,-0.323933,-0.2966557
2.949646,0.959965,-0.3426985,-0.2564153
2.966309,0.9618713,-0.362689,-0.2112013
2.982971,0.9636754,-0.3837526,-0.1736737
3.007507,0.9653953,-0.4057041,-0.1375025
3.045105,0.9670485,-0.4513848,0
3.059021,0.9687013,-0.4629932,0
3.082947,0.9703538,-0.497722,0
3.099365,0.972006,-0.5091453,0
3.115784,0.9736578,-0.5315406,0
3.135498,0.9753094,-0.5530853,0
3.158752,0.9769605,-0.5734848,0
3.182922,0.9786114,-0.601318,0
3.199097,0.9802619,-0.609725,0
3.22522,0.9819121,-0.6319136,0
3.248962,0.983562,-0.6439202,0
3.266418,0.9852116,-0.6534974,0
3.283447,0.9868608,-0.6605172,0
3.300049,0.9885097,-0.6648953,0
3.31665,0.9901582,-0.6660798,0
3.3349,0.9918064,-0.6664382,0
3.349915,0.9934543,-0.6656207,0
3.377747,0.9951019,-0.6592965,0
3.398804,0.9967492,-0.6520115,0
