Time,CV,FF,Input
0,0,-0.791238,0
0.01541138,0,-0.7777878,0
0.03224182,0,-0.7500234,0
0.05126953,0,-0.706933,0
0.06523132,0,-0.6923848,0
0.08233643,0,-0.6633232,0
0.09875488,0,-0.6489156,0
0.1158752,0,-0.6206132,0
0.1464996,0,-0.5802304,0
0.1654358,0,-0.5675273,0
0.1819305,0,-0.5435532,0
0.1985168,0,-0.5323752,0
0.2158051,0,-0.5118558,0
0.2318878,0,-0.4940503,0
0.2489777,0,-0.486255,0
0.2687073,0,-0.4730349,0
0.2925415,0,-0.4567465,0
0.3153534,0,-0.4539393,0
0.3313751,0,-0.4547684,0
0.3491058,0,-0.4565442,0
0.3655701,0,-0.4627806,0
0.3826141,0,-0.4725033,0
0.3986816,0,-0.4786234,0
0.4155121,0,-0.4932536,0
0.4317627,0,-0.5108612,0
0.461441,0,-0.5421999,0
0.4816284,0,-0.5658689,0
0.4991302,0,-0.5783916,0
0.5157928,0,-0.6045529,0
0.5318146,0,-0.6318371,0
0.5491486,0,-0.6457594,0
0.5662079,0,-0.6738763,0
0.5830841,0,-0.7019695,0
0.6105652,0,-0.7430583,0
0.631897,0,-0.7690991,0
0.6489105,0,-0.781554,0
0.6655273,0,-0.8050833,0
0.6844177,0,-0.8264645,0
0.6991425,0,-0.8362432,0
0.7161255,0,-0.8537888,0
0.7324982,0,-0.8684354,0
0.7490082,0,-0.8746027,0
0.7758331,0,-0.8882309,0
0.7995758,0,-0.8931182,0
0.815979,0,-0.8945866,0.001408436
0.8334198,6.796506E-07,-0.8926497,0.01949403
0.8586273,1.076615E-05,-0.8873783,0.04707453
0.8817596,4.356678E-05,-0.8735074,0.06516013
0.9013977,0.0001078043,-0.8605601,0.07827221
0.9251709,0.0002097998,-0.8449339,0.09047996
0.9490356,0.0003554367,-0.826915,0.09183641
0.9777985,0.0005453607,-0.7961076,0.08957569
0.9986267,0.0007784722,-0.7735636,0.05566522
1.015915,0.001038399,-0.7498492,0.01225979
1.032883,0.001304189,-0.7253472,0
1.049637,0.001569927,-0.712921,0
1.076736,0.001835611,-0.6755098,0
1.093689,0.002101243,-0.6509163,0
1.115799,0.002366821,-0.6270046,0
1.132172,0.002632346,-0.6040916,0
1.148636,0.002897818,-0.5930999,0.01045123
1.165619,0.00316828,-0.5722063,0.0217547
1.191757,0.003449187,-0.543995,0.05837806
1.21608,0.003758207,-0.527523,0.1176084
1.2323,0.004123919,-0.5130574,0.1347897
1.258408,0.004554601,-0.5006616,0.1542317
1.282608,0.005059623,-0.4859672,0.1718651
1.309967,0.005647479,-0.4787039,0.20035
1.332794,0.006331897,-0.4713513,0.2256698
1.349426,0.007125077,-0.46977,0.239234
1.36618,0.008033542,-0.4677703,0.2546068
1.382111,0.009064688,-0.4671366,0.2767616
1.399597,0.01022918,-0.4672561,0.2934907
1.436813,0.01153507,-0.4698598,0.3305663
1.449249,0.01300021,-0.4708642,0.3481998
1.464996,0.01463309,-0.4730396,0.3676417
1.48201,0.01644304,-0.4751885,0.3825623
1.498322,0.01843725,-0.4761607,0.4060737
1.515656,0.02062701,-0.4777206,0.4114993
1.543594,0.0230149,-0.4785872,0.4160207
1.564438,0.02560307,-0.4778149,0.4160207
1.591782,0.02839147,-0.4740841,0.3775888
1.614929,0.03136153,-0.4696212,0.326497
1.632233,0.03448854,-0.4634173,0.2776659
1.659439,0.03774892,-0.4553794,0.2080363
1.681778,0.04110904,-0.4397838,0.1474496
1.698608,0.04453963,-0.4336401,0.1185126
1.715714,0.04802673,-0.4199642,0.05792589
1.742233,0.05154109,-0.3961408,0
1.759842,0.05505474,-0.3873772,0
1.78157,0.05856769,-0.3589017,0
1.798874,0.06207994,-0.3487625,0
1.816055,0.06559148,-0.3276778,0
1.831635,0.06910232,-0.305721,0
1.849869,0.07261246,-0.2944964,0
1.876389,0.0761219,-0.2602481,0.03667535
1.892303,0.07964834,-0.2372899,0.09409708
1.915924,0.08321948,-0.2145639,0.1732216
1.932983,0.08687349,-0.1923522,0.1998978
1.949234,0.09062323,-0.181525,0.226574
1.96933,0.09448156,-0.1605923,0.2699795
1.992538,0.09846939,-0.1314549,0.320167
2.016281,0.1026109,-0.1138591,0.3450347
2.032898,0.1069181,-0.0979481,0.3658331
2.059357,0.111401,-0.08387588,0.371711
2.082993,0.1160624,-0.06646787,0.3585989
2.110443,0.1208959,-0.05370994,0.2921344
2.132614,0.1258693,-0.04782701,0.2595803
2.150726,0.1309671,-0.04401555,0.2324519
2.167801,0.136176,-0.04286845,0.216627
2.182755,0.1414884,-0.04203686,0.1985414
2.199127,0.1468955,-0.04232466,0.1790994
2.22583,0.152388,-0.04579901,0.1415718
2.248367,0.1579477,-0.05009052,0.1126348
2.265335,0.1635606,-0.05575124,0.09861848
2.281891,0.16922,-0.0625826,0.09228852
2.299698,0.1749228,-0.0663723,0.08641073
2.325317,0.1806662,-0.07891724,0.1194169
2.348663,0.186466,-0.08799331,0.1646309
2.365967,0.1923442,-0.09739605,0.1976371
2.394241,0.1983165,-0.1116846,0.2564153
2.416382,0.2044113,-0.121074,0.2686231
2.442413,0.2106346,-0.1345749,0.2437554
2.465607,0.2169743,-0.1430111,0.1768387
2.482986,0.223398,-0.1508925,0.1402154
2.499283,0.2298881,-0.154607,0.08188933
2.516037,0.2364164,-0.1615641,0.05023954
2.543411,0.2429677,-0.1708212,0
2.558777,0.2495176,-0.1736067,0
2.584076,0.2560662,-0.1811704,0
2.599762,0.2626136,-0.183465,0
2.615784,0.2691596,-0.1877979,0
2.632538,0.2757043,-0.1919017,0
2.649933,0.2822477,-0.1939142,0
2.677124,0.2887898,-0.2000404,0
2.692352,0.2953306,-0.2044167,0
2.71579,0.30187,-0.209237,0
2.732422,0.3084082,-0.2146819,0
2.749542,0.314945,-0.2176936,0
2.766144,0.3214806,-0.2244006,0
2.784973,0.3280149,-0.2321486,0
2.799194,0.3345478,-0.2364574,0
2.81604,0.3410794,-0.2460212,0
2.832245,0.3476097,-0.2569306,0
2.859161,0.3541387,-0.2692612,0
2.882629,0.3606665,-0.2905086,0
2.899292,0.3671929,-0.2983276,0
2.915131,0.373718,-0.3150476,0
2.932861,0.3802418,-0.3331545,0
2.949554,0.3867642,-0.3426985,0
2.965302,0.3932854,-0.362689,0
2.982635,0.3998053,-0.3837526,0
3.012146,0.4063239,-0.4169467,0
3.032013,0.4128411,-0.4398187,0
3.049072,0.4193571,-0.4513848,0
3.065979,0.4258718,-0.4746094,0
3.081909,0.4323851,-0.497722,0
3.098938,0.4388972,-0.5091453,0
3.115417,0.445408,-0.5315406,0
3.131683,0.4519174,-0.5530853,0
3.14917,0.4584256,-0.5634463,0
3.174652,0.4649324,-0.5924543,0
3.201385,0.471438,-0.6176452,0
3.215332,0.4779422,-0.6250502,0
3.232574,0.4844452,-0.638211,0
3.248566,0.4909468,-0.6439202,0
3.26535,0.4974471,-0.6534974,0
3.282867,0.5039462,-0.6605172,0
3.299011,0.5104439,-0.66304,0
3.316467,0.5169404,-0.6660798,0
3.342957,0.5234355,-0.6656207,0
3.365417,0.5299294,-0.6620363,0
3.382111,0.536422,-0.6559479,0
3.399261,0.5429132,-0.6520115,0
3.417297,0.5494031,-0.642473,0
3.431641,0.5558918,-0.6309046,0
3.448883,0.5623792,-0.6244403,0
3.465851,0.5688652,-0.6103345,0
3.482269,0.57535,-0.5949274,0
