Time,CV,FF,Input
0,0,-0.791238,0
0.01525879,0,-0.7777878,0
0.0322876,0,-0.7500234,0
0.04864502,0,-0.7358032,0
0.06762695,0,-0.6923848,0
0.08184814,0,-0.6633232,0
0.09851074,0,-0.6489156,0
0.1158447,0,-0.6206132,0
0.1430664,0,-0.5802304,0
0.1647339,0,-0.5675273,0
0.1815796,0,-0.5435532,0
0.1984253,0,-0.5323752,0
0.2154541,0,-0.5118558,0
0.2312012,0,-0.4940503,0
0.2487183,0,-0.486255,0
0.2672119,0,-0.4730349,0
0.295166,0,-0.4567465,0
0.3157349,0,-0.4539393,0
0.3312378,0,-0.4547684,0
0.3485718,0,-0.4565442,0
0.3660889,0,-0.4627806,0
0.381958,0,-0.4725033,0
0.3984985,0,-0.4786234,0
0.4147949,0,-0.4932536,0
0.4313965,0,-0.5108612,0
0.4611206,0,-0.5421999,0
0.4810181,0,-0.5658689,0
0.4981689,0,-0.5783916,0
0.5150146,0,-0.6045529,0
0.5316162,0,-0.6318371,0
0.5484009,0,-0.6457594,0
0.5651855,0,-0.6738763,0
0.5821533,0,-0.7019695,0
0.6090088,0,-0.7295777,0
0.6311646,0,-0.7690991,0
0.6484375,0,-0.781554,0
0.6651001,0,-0.8050833,0
0.684021,0,-0.8264645,0
0.6986694,0,-0.8362432,0
0.7150269,0,-0.8537888,0
0.7313843,0,-0.8684354,0
0.7490234,0,-0.8746027,0
0.7792969,0,-0.8882309,0
0.7982788,0,-0.8931182,0
0.8152466,0,-0.8945866,0
0.8310547,0,-0.8926497,0
0.8483276,0,-0.8904243,0
0.8656006,0,-0.8835292,0.0005041559
0.883728,2.43284E-07,-0.8735074,0.005477667
0.8984375,3.129806E-06,-0.867385,0.005929834
0.9154663,8.877235E-06,-0.8530648,0.005929834
0.9429932,1.7485E-05,-0.826915,0.01904186
0.9646606,3.527983E-05,-0.8068232,0.0339625
0.9818115,6.945994E-05,-0.7850056,0.04526597
0.9980469,0.0001254767,-0.7735636,0.05295238
1.016357,0.0002070347,-0.7498492,0.05702161
1.043396,0.0003160926,-0.712921,0.05973445
1.064636,0.000453954,-0.6879557,0.06335157
1.082275,0.0006223586,-0.6631487,0.06470802
