Time,CV,FF,Input
0,0,-0.791238,0
0.015625,0,-0.7777878,0
0.03262329,0,-0.7500234,0
0.04946899,0,-0.7358032,0
0.07763672,0,-0.6778306,0
0.09869385,0,-0.6489156,0
0.1165466,0,-0.6206132,0
0.1329041,0,-0.593346,0
0.1488953,0,-0.5802304,0
0.165741,0,-0.5675273,0
0.1826477,0,-0.5435532,0
0.1992493,0,-0.5323752,0
0.2163086,0,-0.5118558,0
0.2454529,0,-0.486255,0
0.2688293,0,-0.4730349,0
0.2821655,0,-0.4631459,0
0.2991028,0,-0.4567465,0
0.3162842,0,-0.4539393,0
0.3323975,0,-0.4547684,0
0.3492126,0,-0.4565442,0
0.3658142,0,-0.4627806,0
0.3826599,0,-0.4725033,0
0.4089966,0,-0.4855499,0
0.432251,0,-0.5108612,0
0.4491882,0,-0.5206915,0
0.4651794,0,-0.5421999,0
0.484314,0,-0.5658689,0
0.4995117,0,-0.5783916,0
0.5159912,0,-0.6045529,0
0.5321655,0,-0.6318371,0
0.5492249,0,-0.6457594,0
0.5771179,0,-0.6879548,0
0.5997009,0,-0.7158628,0
0.6160278,0,-0.7430583,0
0.6325989,0,-0.7690991,0
0.6487732,0,-0.781554,0
0.665802,0,-0.8050833,0
0.6850891,0,-0.8264645,0
0.6993103,0,-0.8362432,0
0.7259827,0,-0.8614891,0
0.7488708,0,-0.8746027,0
0.7652283,0,-0.8845169,0
0.7824402,0,-0.8911005,0
0.7993774,0,-0.8931182,0
0.8157349,0,-0.8945866,0
0.8334656,0,-0.8926497,0
0.848877,0,-0.8904243,0
0.8660278,0,-0.8835292,0
0.8945923,0,-0.867385,0
0.915802,0,-0.8530648,0
0.9331665,0,-0.8362042,0
0.9496765,0,-0.826915,0
0.9660645,0,-0.8068232,0
0.9824524,0,-0.7850056,0
0.999939,0,-0.7735636,0
1.016235,0,-0.7498492,0
1.042084,0,-0.712921,0
1.065582,0,-0.6879557,0
1.082764,0,-0.6631487,0
1.101135,0,-0.6388547,0
1.115753,0,-0.6270046,0
1.132233,0,-0.6040916,0
1.149048,0,-0.5930999,0
1.165863,0,-0.5722063,0
1.182617,0,-0.5529502,0
1.209747,0,-0.5355142,0
1.232391,0,-0.5130574,0
1.24939,0,-0.5065988,0
1.2659,0,-0.4952463,0
1.283325,0,-0.4859672,0
1.301636,0,-0.4787039,0
1.316071,0,-0.4757976,0
1.33316,0,-0.4713513,0
1.359558,0,-0.4685851,0
1.382751,0,-0.4671366,0
1.399323,0,-0.4672561,0
1.416412,0,-0.4682027,0
1.439087,0,-0.4698598,0
1.449371,0,-0.4708642,0
1.465881,0,-0.4730396,0
1.482971,0,-0.4751885,0
1.499207,0,-0.4761607,0
1.527588,0,-0.4782389,0
1.549225,0,-0.4785872,0
1.565918,0,-0.4778149,0
1.582367,0,-0.4757027,0
1.59964,0,-0.4740841,0
1.616058,0,-0.4696212,0
1.632721,0,-0.4634173,0
1.649109,0,-0.4596318,0
1.666229,0,-0.4506551,0
1.693665,0,-0.4336401,0
1.715118,0,-0.4199642,0
1.734436,0,-0.4045047,0
1.749268,0,-0.3961408,0
1.765869,0,-0.3782343,0
1.782623,0,-0.3589017,0
1.799164,0,-0.3487625,0
1.816345,0,-0.3276778,0
1.845367,0,-0.2944964,0
1.865936,0,-0.271725,0
1.883057,0,-0.2487579,0
1.8992,0,-0.2372899,0
1.916443,0,-0.2145639,0
1.935211,0,-0.1923522,0
1.949524,0,-0.181525,0
