Time,CV,FF,Input
0,0,0.805491,0
0.01664734,0,0.8039248,0
0.03333664,0,0.7974825,0
0.04946136,0,0.7926365,0
0.06637192,0,0.7718899,0
0.0931015,0,0.7425783,0
0.1040497,0,0.7311146,0
0.1162262,0,0.7188938,0
0.1337166,0,0.6924225,0
0.1505775,0,0.6636803,0
0.1663132,0,0.6636803,0
0.1829567,0,0.633228,0
0.1999702,0,0.6175454,0
0.2164726,0,0.5856496,0
0.24366,0,0.5376484,0
0.2667923,0,0.5064486,0
0.2831421,0,0.4765949,0
0.3002586,0,0.4355784,0
0.318924,0,0.423172,0
0.3335495,0,0.4006096,0
0.3504982,0,0.3813854,0
0.3666611,0,0.3731348,0
0.3939934,0,0.354237,0
0.4164276,0,0.3467513,0
0.4331551,0,0.3434716,0
0.4497948,0,0.3434118,0
0.4663506,0,0.3464077,0
0.4826355,0,0.3534332,0
0.4995117,0,0.3583899,0
0.5160866,0,0.3710111,0
0.5350533,0,0.3869451,0
0.5614548,0,0.4161216,0
0.5835915,0,0.438364,0
0.5996017,0,0.4501164,0
0.6165466,0,0.4745148,0
0.6327057,0,0.4995916,0
0.6501465,0,0.5247155,0
0.6666031,0,0.5370958,0
0.68293,0,0.561097,0
0.7002335,0,0.5835679,0
0.7271729,0,0.6039106,0
0.750042,0,0.6292195,0
0.7666016,0,0.6360142,0
0.7836189,0,0.6468043,0
0.7998581,0,0.6507018,0
0.8164215,0,0.6552907,0
0.8331184,0,0.6553783,0
0.8497581,0,0.6536682,0
0.8668365,0,0.646653,0
0.8933487,0,0.6270372,0
0.916214,0,0.6079368,0
0.9337616,0,0.5841551,0
0.9523888,0,0.5558953,0
0.9663734,0,0.5401694,0
0.9829597,0,0.5057264,0
0.9999466,0,0.4871012,0
1.016693,0,0.4472963,0
1.033535,0,0.4044556,0
1.062412,0,0.3355474,0
1.082756,0,0.2872455,0
1.100368,0,0.237656,0
1.116375,0,0.2125401,0
1.133003,0,0.161984,0
1.150089,0,0.1114055,0
1.168522,0,0.08625536,0
1.183025,0,0.03651004,0
1.20042,0,-0.01215625,0
1.227859,0,-0.05937757,0
1.250134,0,-0.1268288,0
1.266346,0,-0.1482859,0
1.283154,0,-0.189517,0
1.299549,0,-0.2092566,0
1.31657,0,-0.2469265,0
1.33342,0,-0.2821507,0
1.350582,0,-0.3149398,0
1.377647,0,-0.3453586,0
1.399979,0,-0.3735209,0
1.416729,0,-0.3995839,0
1.433376,0,-0.4237413,0
1.449913,0,-0.435174,0
1.466457,0,-0.4568969,0
1.482868,0,-0.4773065,0
1.499958,0,-0.4870993,0
1.516685,0,-0.506023,0
1.542908,0,-0.5332247,0
1.566353,0,-0.5509146,0
1.584881,0,-0.5684945,0
1.600166,0,-0.5861416,0
1.61721,0,-0.5950361,0
1.633034,0,-0.6130363,0
1.650177,0,-0.6313801,0
1.666,0,-0.6406935,0
1.682804,0,-0.6596037,0
1.711102,0,-0.6885929,0
1.733139,0,-0.708204,0
1.750198,0,-0.7278829,0
1.766556,0,-0.7376928,0
1.785244,0,-0.7571251,0
1.799561,0,-0.7666907,0
1.816338,0,-0.7853668,0
1.833809,0,-0.8032178,0
1.860569,0,-0.8278479,0
1.883003,0,-0.8424318,0
1.900463,0,-0.8552293,0
1.916473,0,-0.8608772,0
1.933468,0,-0.8705205,0
1.950256,0,-0.8777797,0.06877725
1.967358,3.318895E-05,-0.880455,0.2478246
1.985168,0.0001859608,-0.8837972,0.3595032
2.009895,0.000512183,-0.8843591,0.5358377
2.032978,0.001096912,-0.8798228,0.6289786
2.050243,0.001985043,-0.8731834,0.6737404
2.067036,0.003198114,-0.8687912,0.6967995
2.09399,0.004747188,-0.8514609,0.6728361
2.116924,0.006620634,-0.8366253,0.6235529
2.133183,0.008794607,-0.8193889,0.591903
2.150448,0.01125377,-0.7999966,0.549854
2.176765,0.01397778,-0.7787346,0.5069008
2.203781,0.01694585,-0.7440473,0.4802246
2.216106,0.02014507,-0.7319165,0.4707296
2.233315,0.02357079,-0.7070826,0.4594261
2.249367,0.02721754,-0.6944758,0.452644
2.266224,0.03108198,-0.6691263,0.452644
2.283337,0.03516407,-0.6439192,0.4521918
2.310684,0.03946356,-0.6072034,0.4503833
2.325745,0.04397952,-0.5954372,0.4499312
2.349518,0.04871169,-0.5728646,0.4553568
2.365932,0.05366266,-0.5518225,0.458974
2.382294,0.05883412,-0.5325764,0.4612346
2.401539,0.06422711,-0.5153458,0.4630432
2.427315,0.06984247,-0.5002986,0.4630432
2.450207,0.07568015,-0.4820524,0.4643996
2.466671,0.08174077,-0.477147,0.4698253
2.493748,0.08802689,-0.4659267,0.4702774
2.517239,0.09453869,-0.4612511,0.4616868
2.54261,0.101272,-0.4580684,0.455809
2.566536,0.1082239,-0.4581833,0.455809
2.58345,0.1153943,-0.4597721,0.4567133
2.601852,0.1227837,-0.4625178,0.4612346
2.616379,0.1303943,-0.4642164,0.4594261
2.633659,0.1382249,-0.468034,0.4530962
2.661243,0.1462727,-0.474084,0.4530962
2.682636,0.1545375,-0.4777537,0.455809
2.699818,0.1630206,-0.4793299,0.4567133
2.716503,0.1717224,-0.4817212,0.4567133
2.733292,0.1806428,-0.4827842,0.4567133
2.750832,0.1897819,-0.4821644,0.4567133
2.776466,0.1991395,-0.4795394,0.4594261
2.799366,0.2087169,-0.4746257,0.4603304
2.828114,0.2185146,-0.4624577,0.4603304
2.849743,0.2285324,-0.4508952,0.4603304
2.867592,0.2387704,-0.4364442,0.4603304
2.89304,0.2492285,-0.4092734,0.4530962
2.916927,0.2599031,-0.3875426,0.4309413
2.933315,0.2707835,-0.363033,0.4191857
2.950779,0.2818641,-0.3359063,0.3961265
2.975754,0.2931336,-0.3063768,0.3572425
2.992439,0.3045732,-0.2747064,0.3251406
3.018486,0.3161674,-0.2411981,0.2532503
3.03326,0.3278815,-0.2061897,0.1890464
3.049591,0.3396845,-0.1882359,0.0701337
3.066475,0.351519,-0.1516661,0
3.083286,0.3633511,-0.1145379,0
3.111275,0.3751808,-0.05865808,0
3.126167,0.3870082,-0.04017549,0
3.150337,0.3988332,0.01418961,0
3.166649,0.4106559,0.031805,0
3.182911,0.4224762,0.06603467,0
3.199898,0.4342941,0.08257631,0
3.216324,0.4461097,0.1143514,0
3.235115,0.4579228,0.1442001,0
3.250233,0.4697337,0.1719483,0
3.266457,0.4815422,0.1849947,0
3.292305,0.4933483,0.2207147,0
3.316456,0.505152,0.2416589,0
3.333847,0.5169534,0.2603546,0
3.350174,0.5287524,0.2769033,0
3.367191,0.5405491,0.2844182,0
3.383007,0.5523434,0.298047,0
3.400326,0.5641354,0.3099962,0
3.417027,0.575925,0.3154206,0
3.44529,0.5877122,0.3299245,0
3.467106,0.5994971,0.3385104,-0.06742086
3.483612,0.6112471,0.3466145,-0.1275554
3.500416,0.6229331,0.3545772,-0.20035
3.516693,0.6345202,0.3586119,-0.2383297
3.534206,0.64599,0.3669978,-0.2668146
3.551003,0.6573287,0.3760741,-0.2921344
3.577297,0.6685241,0.3861452,-0.3016293
3.59206,0.6795718,0.3974879,-0.3016293
3.616268,0.6904717,0.4103451,-0.3011772
3.633038,0.7012241,0.4249201,-0.3147413
3.653145,0.7118225,0.4413722,-0.3301142
3.677036,0.7222594,0.4598133,-0.3454868
3.699966,0.7325276,0.4803051,-0.345939
3.717148,0.7426267,0.5028591,-0.333279
3.733582,0.752563,0.5274362,-0.3246885
3.759708,0.7623406,0.5539482,-0.3147413
3.776756,0.7719644,0.5822608,-0.3147413
3.79998,0.7814344,0.6121976,-0.3052464
3.816429,0.7907552,0.6435445,-0.2948472
3.833084,0.7999319,0.676056,-0.2803787
3.852299,0.8089714,0.7094613,-0.2681709
3.866997,0.8178797,0.7264094,-0.2532503
3.894085,0.826664,0.7777877,-0.2270263
3.909309,0.835337,0.7949659,-0.1989935
3.932507,0.8439122,0.8461332,-0.1840729
3.94989,0.852397,0.8629461,-0.1759344
3.966473,0.8607951,0.8960022,-0.1727694
3.983219,0.8691081,0.9280897,-0.1723173
4.00927,0.8773364,0.958984,-0.1718651
4.032787,0.88548,1.002682,-0.1723173
4.050304,0.893539,1.029844,-0.1723173
4.077576,0.901513,1.055321,-0.1723173
4.100769,0.9094024,1.090293,-0.1723173
4.128075,0.9172071,1.111464,-0.1736737
4.15023,0.9249263,1.130991,-0.1673437
4.167168,0.9325633,1.14017,-0.1537795
4.183353,0.9401246,1.157445,-0.1510667
4.200851,0.9476114,1.173414,-0.148806
4.228462,0.9550249,1.188268,-0.1492582
4.244789,0.9623649,1.20222,-0.1442846
4.26923,0.9696338,1.215502,-0.1239383
4.283188,0.9768415,1.228355,-0.1049484
4.300224,0.9839971,1.241021,-0.07736793
4.31715,0.9911139,1.247359,-0.02672827
4.334389,0.9982164,1.260186,0
4.36293,1.005317,1.280201,0
4.377777,1.012417,1.287174,0
4.399731,1.019515,1.301688,0
4.416573,1.026612,1.317064,0
4.432922,1.033707,1.333388,0
4.450825,1.040801,1.350705,0
4.480278,1.047894,1.378523,0
4.499603,1.054985,1.38826,0
4.51659,1.062075,1.408353,0
