Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01708984,0,0.03503782,0,0.5704651
0.0335083,0,0.02765206,0,0.5354309
0.06018066,0,0.01666,0,0.507782
0.08319092,0,0.009559959,0,0.4911499
0.09942627,0,0.006121606,0,0.4815979
0.1222534,0,-0.003579676,0,0.4754639
0.1358643,0,-0.006564647,0,0.4790344
0.1567993,0,-0.0120869,0,0.4855957
0.1671753,0,-0.01460135,0,0.4976807
0.1831055,0,-0.01908526,0,0.5122681
0.1987915,0,-0.02103618,0,0.5313416
0.2262573,0,-0.02563232,0,0.5523682
0.2496338,0,-0.02759004,0,0.5780029
0.2663574,0,-0.02862579,0,0.6055908
0.2832031,0,-0.02872622,0,0.6342163
0.2994995,0,-0.02842617,0,0.6629333
0.3157349,0,-0.02713561,0,0.6913452
0.333252,0,-0.02494991,0,0.7184753
0.3511353,0,-0.02191395,0,0.7434387
0.3783569,0,-0.01808792,0,0.7653503
0.399231,0,-0.01354665,0,0.7834473
0.4160156,0,-0.008377612,0,0.7969971
0.4325562,0,-0.002680182,0,0.8053894
0.4494019,0,0.00033319,0,0.808075
0.4655151,0,0.006617308,0,0.8077698
0.4822998,0,0.01314491,0,0.8011475
0.4995117,0,0.01646149,0,0.7879944
0.5162964,0,0.02312189,0,0.7715454
0.5421753,0,0.03294587,0,0.7484131
0.5656128,0,0.03920478,0,0.7154541
0.5836792,0,0.04509395,0,0.676239
0.5997925,0,0.04786515,0,0.631134
0.616333,0,0.05299652,0,0.5832825
0.6332397,0,0.05750155,0,0.5302734
0.6495361,0,0.05949274,0,0.4727784
0.6663818,0,0.06290661,0,0.4132996
0.6930542,0,0.06649685,0,0.3504028
0.7160034,0,0.06780744,0,0.283905
0.7328491,0,0.06822322,0,0.216095
0.7495117,0,0.06809321,0,0.1478577
0.7683716,0,0.06716168,0,0.07977295
0.7825928,0,0.06535304,0,0.01260376
0.7994385,0,0.06413031,0,-0.05273908
0.8153076,0,0.06107795,0,-0.1168694
0.8334351,0,0.05726671,0,-0.1779473
0.8592529,0,0.05276871,0,-0.2352141
0.8829346,0,0.04492188,0,-0.2879828
0.899353,0,0.04206097,0,-0.3329046
0.9158325,0,0.03604949,0,-0.3749656
0.9326172,0,0.02974355,0,-0.4110151
0.9494019,0,0.02651572,0,-0.4407586
0.9664307,0,0.01998258,0,-0.4672744
0.9844971,0,0.01344264,0,-0.487257
1.008789,0,0.007010221,0,-0.5006996
1.031982,0,-0.002197385,0,-0.50771
1.049377,0,-0.005097151,0,-0.5055126
1.066956,0,-0.01057148,0,-0.5004154
1.082703,0,-0.01554143,0,-0.489844
1.099548,0,-0.01781344,0,-0.4743026
1.115845,0,-0.02189088,0,-0.4564892
1.133728,0,-0.02530253,0,-0.4345983
1.150696,0,-0.02800834,0,-0.4092958
1.176453,0,-0.02998424,0,-0.3812874
1.199585,0,-0.03122163,0,-0.3513032
1.216248,0,-0.03172791,0,-0.3200816
1.232361,0,-0.03152591,0,-0.2883537
1.248901,0,-0.03117073,0,-0.2568278
1.265808,0,-0.02998239,0,-0.2256571
1.282288,-1.372496E-05,-0.02820724,-5.19885E-05,-0.1956747
1.299133,-0.01541181,-0.02712137,-0.05837806,-0.1674538
1.316284,-0.02293179,-0.02460307,-0.08686284,-0.1249206
1.342285,-0.03331655,-0.02012563,-0.126199,-0.07738574
1.366211,-0.03630066,-0.01681477,-0.1375025,-0.02394357
1.392334,-0.03391336,-0.01161706,-0.1284597,0.0291748
1.415649,-0.02328989,-0.008152664,-0.08821929,0.07470703
1.433411,-0.02233497,-0.004812717,-0.08460217,0.1061401
1.449219,-0.02114132,-0.003221929,-0.08008077,0.1333008
1.46637,-0.02102195,-0.0002611279,-0.0796286,0.1576843
1.493591,-0.01899276,0.003452897,-0.07194225,0.1789856
1.509583,-0.01660546,0.004453838,-0.06289946,0.194519
1.532166,-0.01350197,0.006614864,-0.05114382,0.206665
1.548889,-0.009443561,0.007028222,-0.03577106,0.2135315
1.566833,-0.006220701,0.00735569,-0.02356326,0.2159424
1.583191,-0.001804206,0.006986022,-0.006834114,0.2148132
1.599915,-0.0002524548,0.006531358,-0.0009562682,0.2096252
1.629944,0,0.004071116,0,0.2033386
1.64386,0,0.001522303,0,0.1992798
1.665161,0,-0.00173068,0,0.1977539
1.682556,0,-0.005651474,0,0.1994934
1.699463,0,-0.007846951,0,0.2051392
1.716492,0,-0.01267022,0,0.2129822
1.7453,-0.0006105569,-0.02084833,-0.002312715,0.225647
1.76593,-0.002281666,-0.02680665,-0.008642673,0.2471008
1.782532,-0.003714045,-0.03305972,-0.01406835,0.2761841
1.807983,-0.004430234,-0.03950506,-0.01678119,0.3129578
1.832642,-0.007772452,-0.0492975,-0.02944111,0.3569031
1.858643,-0.01004038,-0.05574745,-0.03803174,0.4139709
1.881836,-0.01302451,-0.06502869,-0.04933526,0.4797668
1.898987,-0.01350197,-0.06796366,-0.05114382,0.5578308
1.915771,-0.01350197,-0.07351837,-0.05114382,0.6392822
1.932129,-0.01350197,-0.07857281,-0.05114382,0.7262878
