Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01446533,0,0.03503782,0,0.5704651
0.03158569,0,0.02765206,0,0.5354309
0.04788208,0,0.0239619,0,0.507782
0.06445313,0,0.01666,0,0.4838257
0.08157349,0,0.009559959,0,0.4671631
0.09799194,0,0.006121606,0,0.4576111
0.1148682,0,-0.0004616678,0,0.4515076
0.1323853,0,-0.006564647,0,0.4519653
0.1486511,0,-0.009404272,0,0.4585266
0.1641846,0,-0.01460135,0,0.467926
0.1920471,0,-0.02103618,0,0.4825439
0.2140808,0,-0.02431637,0,0.5035706
0.2315063,0,-0.02672499,0,0.5279236
0.2480469,0,-0.02759004,0,0.554657
0.2642517,0,-0.02862579,0,0.5822449
0.2818604,0,-0.02872622,0,0.6108704
0.2981262,0,-0.02842617,0,0.6395874
0.3148804,0,-0.02713561,0,0.6679993
0.341095,0,-0.02353472,0,0.6951294
0.3644409,0,-0.02009535,0,0.7186584
0.3809509,0,-0.01590151,0,0.738739
0.3978577,0,-0.01354665,0,0.7546387
0.4163818,0,-0.008377612,0,0.7681885
0.4315491,0,-0.002680182,0,0.7765808
0.4479675,0,0.00033319,0,0.7792664
0.4646912,0,0.006617308,0,0.7789307
0.4818115,0,0.01314491,0,0.7723083
0.5080261,0,0.01979238,0,0.7591553
0.5311279,0,0.02971423,0,0.7393494
0.547821,0,0.03294587,0,0.7096252
0.5645142,0,0.03920478,0,0.6766663
0.5816345,0,0.04509395,0,0.6374512
0.5983276,0,0.04786515,0,0.5923462
0.6161804,0,0.05299652,0,0.5444946
0.6315002,0,0.05750155,0,0.4914856
0.6485901,0,0.05949274,0,0.4339905
0.6749878,0,0.06431381,0,0.3745117
0.6979065,0,0.06649685,0,0.3102112
0.7148132,0.009443561,0.06780744,0.03577106,0.2437134
0.7315674,0.02531909,0.06822322,0.09590563,0.1664734
0.7476807,0.03701685,0.06809321,0.1402154,0.07290649
0.7644348,0.04644669,0.06716168,0.1759344,-0.03219388
0.7810669,0.04728224,0.06535304,0.1790994,-0.1458023
0.7977905,0.03916542,0.06413031,0.1483539,-0.2584376
0.8146362,0.02472227,0.06107795,0.09364497,-0.3617333
0.8429871,0.002639753,0.05509853,0.009999066,-0.4475336
0.8575134,0,0.05276871,0,-0.5052719
0.8814392,0,0.04492188,0,-0.5580406
0.898407,0,0.04206097,0,-0.6029625
0.9150085,0,0.03604949,0,-0.6450235
0.9316101,0,0.02974355,0,-0.681073
0.9489746,0,0.02651572,0,-0.7108166
0.9761658,0,0.01670635,0,-0.7373323
0.9965515,0,0.01020598,0,-0.7540387
1.017822,0,0.003868937,0,-0.7642447
1.037384,0,-0.002197385,0,-0.7681137
1.050659,0,-0.007892251,0,-0.7659163
1.067902,0,-0.01057148,0,-0.758024
1.087616,0,-0.01554143,0,-0.7474526
1.098297,0,-0.01781344,0,-0.7319111
1.114868,0,-0.02189088,0,-0.7140976
1.131165,0,-0.02530253,0,-0.6922067
1.157532,0,-0.02800834,0,-0.6669042
1.180878,0,-0.0306952,0,-0.6388958
1.197937,0,-0.03122163,0,-0.6082006
1.214294,0,-0.03172791,0,-0.576979
1.231659,0,-0.03152591,0,-0.5452511
1.250244,0,-0.03065383,0,-0.5137253
1.265656,0,-0.02998239,0,-0.4830714
1.282196,0,-0.02820724,0,-0.453089
1.309143,0,-0.02591646,0,-0.4248818
1.330902,0,-0.02169573,0,-0.3989654
1.348053,0,-0.02012563,0,-0.3772697
1.36438,0,-0.01681477,0,-0.357144
1.381683,0,-0.01336282,0,-0.3403293
1.398102,0,-0.01161706,0,-0.3269664
1.41452,0,-0.008152664,0,-0.3153494
1.431061,0,-0.004812717,0,-0.3071968
1.448334,0,-0.003221929,0,-0.3023841
1.477722,0,0.001085043,0,-0.2991621
1.498322,0,0.003452897,0,-0.3002473
1.51474,0,0.005320191,0,-0.3037001
1.53183,0,0.006614864,0,-0.3090203
1.548126,0,0.007028222,0,-0.3156353
1.564758,0,0.00735569,0,-0.3226635
1.581421,0,0.006986022,0,-0.3300192
1.597748,0,0.006531358,0,-0.3370053
1.615417,0,0.005074084,0,-0.3435366
1.642731,0,0.001522303,0,-0.3486108
1.664886,0,-0.00173068,0,-0.3501331
1.684967,0,-0.005651474,0,-0.3484025
1.698059,0,-0.007846951,0,-0.342751
1.714813,0,-0.01267022,0,-0.3349041
1.731354,0,-0.0180099,0,-0.3222339
1.74823,0,-0.02084833,0,-0.304224
1.764465,0,-0.02680665,0,-0.2833757
1.781708,0,-0.03305972,0,-0.256569
1.810211,0,-0.04276636,0,-0.2235093
1.830994,0,-0.0492975,0,-0.1807429
1.848145,0,-0.05253959,0,-0.1314454
1.864624,0,-0.0589073,0,-0.07890585
1.881531,0,-0.06502869,0,-0.01999855
1.900696,0,-0.07079767,0,0.04504395
1.914978,0,-0.07351837,0,0.1158447
1.931152,0,-0.07857281,0,0.1893921
1.948364,0,-0.08088437,0,0.2679749
1.975769,0,-0.08683723,0,0.3488464
1.997925,0,-0.08990234,0,0.4356689
2.015076,0,-0.09217989,0,0.5255737
2.031708,0,-0.09362972,0,0.6177673
