Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01654053,0,0.03503782,0,0.5704651
0.03271484,0,0.02765206,0,0.5354309
0.04977417,0,0.0239619,0,0.507782
0.06713867,0,0.01666,0,0.4838257
0.0927124,0,0.006121606,0,0.4671631
0.1160889,0,-0.0004616678,0,0.4610291
0.1339417,0,-0.006564647,0,0.4614868
0.1497803,0,-0.009404272,0,0.4680481
0.1663208,0,-0.01460135,0,0.4774475
0.1836548,0,-0.01908526,0,0.4920349
0.2002258,0,-0.0227823,0,0.5111084
0.2167969,0,-0.02431637,0,0.533905
0.2341003,0,-0.02672499,0,0.5582275
0.2609863,0,-0.02862579,0,0.5849609
0.2827148,0,-0.02872622,0,0.6135864
0.3000793,0,-0.02789491,0,0.6423035
0.3190613,0,-0.02713561,0,0.6701965
0.3331604,0,-0.02494991,0,0.6973267
0.3499146,0,-0.02353472,0,0.72229
0.366272,0,-0.02009535,0,0.7458191
0.3831482,0,-0.01590151,0,0.7658997
0.4000549,0,-0.01103467,0,0.7817993
0.428009,0,-0.005588353,0,0.7928467
0.4492798,0,0.00033319,0,0.7984314
0.4667053,0,0.006617308,0,0.7981262
0.4836121,0,0.01314491,0,0.7915039
0.5000305,0,0.01979238,0,0.7783508
0.5166626,0,0.02312189,0,0.7585449
0.5357056,0,0.02971423,0,0.7354126
0.5497437,0,0.03294587,0,0.7056885
0.5669556,0,0.03920478,0,0.6727295
0.5948486,0,0.04786515,0,0.6335144
0.616394,0,0.05299652,0,0.5856628
0.6331482,0,0.05750155,0,0.5326538
0.6500854,0,0.06129715,0,0.4751587
0.6664734,0,0.06290661,0,0.4138489
0.683197,0,0.06551233,0,0.3509521
0.7001038,0,0.06726299,0,0.2854309
0.7165833,0,0.06780744,0,0.2181702
0.7336121,0,0.06822322,0,0.1503601
0.7634888,0,0.06716168,0,0.0821228
0.7828979,0,0.06535304,0,0.01495361
0.7997742,0,0.06413031,0,-0.0503895
0.8167419,0,0.06107795,0,-0.1145198
0.8329773,0,0.05726671,0,-0.1755978
0.8500061,0,0.05276871,0,-0.2328645
0.8672791,0,0.05028832,0,-0.2856333
0.8830872,0,0.04492188,0,-0.3359216
0.9002991,0,0.03909898,0,-0.3808435
0.9285278,0,0.0329262,0,-0.4199426
0.9491882,0,0.02651572,0,-0.4528688
0.9692688,0,0.01998258,0,-0.4793845
0.9833679,0,0.01344264,0,-0.499367
0.9995728,0,0.01020598,0,-0.5128096
1.016113,0,0.003868937,0,-0.5230157
1.032745,0,-0.002197385,0,-0.5268846
1.049194,0,-0.005097151,0,-0.5246872
1.067139,0,-0.01057148,0,-0.5195901
1.095734,0,-0.01781344,0,-0.5090187
1.115784,0,-0.02189088,0,-0.4912053
1.132568,0,-0.02530253,0,-0.4693145
1.149811,0,-0.02674544,0,-0.4440119
1.168884,0,-0.0290885,0,-0.4172665
1.182861,0,-0.0306952,0,-0.388178
1.199921,0,-0.03122163,0,-0.3574828
1.216522,0,-0.03172791,0,-0.3262612
1.232941,0,-0.03152591,0,-0.2945333
1.260986,0,-0.02998239,0,-0.2630074
1.282562,0,-0.02820724,0,-0.233025
1.2995,0,-0.02712137,0,-0.2048178
1.316772,0,-0.02460307,0,-0.1776964
1.332733,0,-0.02169573,0,-0.1530933
1.349548,0,-0.02012563,0,-0.1313976
1.366547,0,-0.01681477,0,-0.111272
1.384827,0,-0.01336282,0,-0.09445722
1.419373,0,-0.008152664,0,-0.0810944
1.432861,0,-0.004812717,0,-0.07294174
1.448914,0,-0.003221929,0,-0.06812901
1.465576,0,-0.0002611279,0,-0.06490709
1.482513,0,0.002326548,0,-0.06464597
1.49881,0,0.003452897,0,-0.06697251
1.515198,0,0.005320191,0,-0.07042541
1.531921,0,0.006614864,0,-0.0757456
1.548645,0,0.007028222,0,-0.08236047
1.575439,0,0.007259846,0,-0.08938869
1.598907,0,0.006531358,0,-0.09664854
1.615082,0,0.005074084,0,-0.1031799
1.633484,0,0.002886415,0,-0.108254
1.649506,0,0.001522303,0,-0.1111404
1.665985,0,-0.00173068,0,-0.1126627
1.683228,0,-0.005651474,0,-0.110932
1.699738,0,-0.007846951,0,-0.1052805
1.726501,0,-0.01528031,0,-0.09743357
1.749146,0,-0.02084833,0,-0.08215327
1.7659,0,-0.02680665,0,-0.06130495
1.783081,0,-0.03305972,0,-0.03449829
1.801056,0,-0.03950506,0,-0.001438577
1.816101,0,-0.04276636,0,0.03805542
1.832367,0,-0.0492975,0,0.08081055
1.849762,0,-0.05253959,0,0.1300964
1.875641,0,-0.06200553,0,0.1826477
