Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01605988,0,0.03503782,0,0.5704651
0.0331955,0,0.02765206,0,0.5354309
0.05162048,0,0.02029303,0,0.507782
0.06604004,0,0.01666,0,0.4874878
0.09230042,0,0.006121606,0,0.4708252
0.1163254,0,-0.0004616678,0,0.4646912
0.1390076,0,-0.006564647,0,0.4651489
0.1491852,0,-0.009404272,0,0.4717102
0.1659317,0,-0.01460135,0,0.4811096
0.1822128,0,-0.01908526,0,0.495697
0.1996841,0,-0.02103618,0,0.5147705
0.2158585,0,-0.02431637,0,0.5357971
0.2327499,0,-0.02672499,0,0.5601196
0.2585983,0,-0.02822441,0,0.586853
0.2821121,0,-0.02872622,0,0.6150818
0.2997665,0,-0.02842617,0,0.6437988
0.3159943,0,-0.02713561,0,0.6722107
0.3325348,0,-0.02494991,0,0.6993408
0.3494186,0,-0.02353472,0,0.7243042
0.3662491,0,-0.02009535,0,0.7478333
0.3824844,0,-0.01590151,0,0.7679138
0.399292,0,-0.01354665,0,0.7838135
0.4268036,0,-0.005588353,0,0.7973633
0.4488831,0,0.00033319,0,0.802948
0.466217,0,0.006617308,0,0.8026123
0.48452,0,0.01314491,0,0.79599
0.4997559,0,0.01646149,0,0.7828369
0.5162354,0,0.02312189,0,0.7663879
0.5324326,0,0.02971423,0,0.7432556
0.5493698,0,0.03294587,0,0.7135315
0.5750961,0,0.04220271,0,0.6805725
0.5991211,0,0.04786515,0,0.6383667
0.6161194,0,0.05299652,0,0.5905151
0.6325607,0,0.05750155,0,0.5375061
0.6489258,0,0.05949274,0,0.480011
0.6658859,0,0.06290661,0,0.4205322
0.6829987,0,0.06551233,0,0.3576355
0.7022781,0,0.06726299,0,0.2921143
0.7265472,0,0.06812793,0,0.2248535
0.7490082,0,0.06809321,0,0.1567383
0.765419,0,0.06716168,0,0.08865356
0.7827759,0,0.06535304,0,0.02148438
0.7992783,0.004907694,0.06413031,0.01858975,-0.04385983
0.8161545,0.02317052,0.06107795,0.08776712,-0.1128978
0.8433151,0.05289239,0.05509853,0.20035,-0.1971463
0.8656464,0.06494825,0.05028832,0.2460161,-0.3051372
0.8918228,0.06900667,0.04206097,0.2613889,-0.4203738
0.9157867,0.05539905,0.03604949,0.2098449,-0.5314415
0.9330063,0.0269902,0.02974355,0.1022356,-0.62289
0.959053,0.004907694,0.02325726,0.01858975,-0.6796237
0.9820557,0,0.01344264,0,-0.7077886
0.9992752,0,0.01020598,0,-0.7212313
1.016144,0,0.003868937,0,-0.7314373
1.044662,0,-0.005097151,0,-0.7353063
1.065323,0,-0.01057148,0,-0.7302092
1.083618,0,-0.01554143,0,-0.7196377
1.099808,0,-0.01781344,0,-0.7040963
1.118629,0,-0.02189088,0,-0.6862829
1.132889,0,-0.02530253,0,-0.664392
1.149315,0,-0.02674544,0,-0.6390895
1.166542,0,-0.0290885,0,-0.6123441
1.197838,0,-0.03122163,0,-0.5832556
1.215584,0,-0.03172791,0,-0.5520341
