Time,CV,FF,Input
0,0,-0.791238,0
0.0151062,0,-0.7777878,0
0.03273773,0,-0.7500234,0
0.05125427,0,-0.706933,0
0.06616211,0,-0.6923848,0
0.08219147,0,-0.6633232,0
0.1095505,0,-0.6346613,0
0.1315994,0,-0.593346,0
0.1491547,0,-0.5802304,0
0.1657944,0,-0.5675273,0
0.182869,0,-0.5435532,0
0.1985855,0,-0.5323752,0
0.2161407,0,-0.5118558,0
0.2323608,0,-0.4940503,0
0.2600174,0,-0.4730349,0
0.2824478,0,-0.4631459,0
0.2988434,0,-0.4567465,0
0.3162842,0,-0.4539393,0
0.3323593,0,-0.4547684,0
0.3492584,0,-0.4565442,0
0.3670502,0,-0.4627806,0
0.3826523,0,-0.4725033,0
0.4081955,0,-0.4855499,0
0.4316559,0,-0.5108612,0
0.4490433,0,-0.5206915,0
0.4650497,0,-0.5421999,0
0.4845123,0,-0.5658689,0
0.4984055,0,-0.5783916,0
0.5158997,0,-0.6045529,0
0.5334396,0,-0.6318371,0
0.5591583,0,-0.6597918,0
0.5831757,0,-0.7019695,0
0.5986786,0,-0.7158628,0
0.6160126,0,-0.7430583,0
0.6331253,0,-0.7690991,0
0.6488571,0,-0.781554,0
0.6661606,0,-0.8050833,0
0.6849442,0,-0.8264645,0
0.7099304,0,-0.845363,0
0.732193,0,-0.8684354,0.06199518
0.7485046,2.991621E-05,-0.8746027,0.1343376
0.7660446,0.000124652,-0.8845169,0.2401383
0.782608,0.0003352493,-0.8911005,0.3079592
0.7995529,0.0006944124,-0.8931182,0.3974829
0.8164063,0.001245312,-0.8945866,0.4417926
0.8429108,0.002009292,-0.8904243,0.4865544
0.8595276,0.003007909,-0.8873783,0.50464
0.884079,0.004249844,-0.8735074,0.5299599
0.8991165,0.005747267,-0.867385,0.546237
0.9174042,0.00750798,-0.8530648,0.5670354
0.9418793,0.009541969,-0.826915,0.5900944
0.9662857,0.01186031,-0.8068232,0.6059194
0.9820175,0.01447057,-0.7850056,0.6267179
0.9993362,0.01738274,-0.7735636,0.6520377
1.026176,0.02060897,-0.7376726,0.6678625
1.042,0.02415684,-0.712921,0.6864004
1.065376,0.02803523,-0.6879557,0.6977038
1.08297,0.03224952,-0.6631487,0.7040337
1.101219,0.03680271,-0.6388547,0.7135288
1.116249,0.0416993,-0.6270046,0.720763
1.132988,0.04694273,-0.6040916,0.7234758
1.159004,0.05253422,-0.5824616,0.7234758
1.174477,0.05847372,-0.5623611,0.7252843
1.199043,0.06476202,-0.543995,0.7252843
1.21534,0.07139905,-0.527523,0.7234758
