Time,CV,FF,Input
0,0,-0.791238,0
0.01556396,0,-0.7777878,0
0.03271484,0,-0.7500234,0
0.04943848,0,-0.7358032,0
0.06652832,0,-0.6923848,0
0.08227539,0,-0.6633232,0
0.0993042,0,-0.6489156,0
0.1161499,0,-0.6206132,0
0.1325684,0,-0.593346,0
0.1497192,0,-0.5802304,0
0.166687,0,-0.5675273,0
0.1831055,0,-0.5435532,0
0.1990356,0,-0.5323752,0
0.2164307,0,-0.5118558,0
0.2324829,0,-0.4940503,0
0.2490234,0,-0.486255,0
0.2659912,0,-0.4730349,0
0.2826538,0,-0.4631459,0
0.2990112,0,-0.4567465,0
0.3153076,0,-0.4539393,0
0.3324585,0,-0.4547684,0
0.3487549,0,-0.4565442,0
0.3653564,0,-0.4627806,0
0.3829346,0,-0.4725033,0
0.399231,0,-0.4786234,0
0.4158936,0,-0.4932536,0
0.432373,0,-0.5108612,0
0.4494629,0,-0.5206915,0
0.4655151,0,-0.5421999,0
0.4824829,0,-0.5658689,0
0.4996948,0,-0.5783916,0.09274069
0.5160522,4.475268E-05,-0.6045529,0.2188877
0.532959,0.0001951222,-0.6318371,0.3463912
0.5492554,0.0005126152,-0.6457594,0.5417156
0.5663452,0.001091453,-0.6738763,0.6678625
0.5824585,0.001992458,-0.7019695,0.8460057
0.5991211,0.003301528,-0.7158628,0.9549714
0.616272,0.005071165,-0.7430583,1.057155
0.6325684,0.007350585,-0.7690991,1.171546
0.6487427,0.01019489,-0.781554,1.224447
0.6656494,0.01362949,-0.8050833,1.265591
0.6831055,0.01767412,-0.8264645,1.271469
0.6991577,0.0223315,-0.8362432,1.242985
0.7157593,0.02758776,-0.8537888,1.191893
0.7322998,0.03341813,-0.8684354,1.133115
0.7488403,0.03979412,-0.8746027,1.069815
0.7662964,0.04668508,-0.8845169,0.979387
0.7824707,0.05404728,-0.8911005,0.9011667
0.7991333,0.06184287,-0.8931182,0.7876797
0.8154297,0.070017,-0.8945866,0.7058423
0.8321533,0.07853011,-0.8926497,0.5747218
0.8493652,0.08731885,-0.8904243,0.4861024
0.8662109,0.09634041,-0.8835292,0.4011001
0.8829956,0.1055537,-0.8735074,0.2803787
0.8986816,0.1149005,-0.867385,0.18769
0.9160156,0.1243359,-0.8530648,0.03305823
0.9332275,0.1337855,-0.8362042,0
0.9493408,0.1432331,-0.826915,0
0.9660034,0.1526789,-0.8068232,0
0.9824829,0.1621227,-0.7850056,0
0.9992065,0.1715647,-0.7735636,0
1.016418,0.1810048,-0.7498492,0
1.033142,0.190443,-0.7253472,0
1.049316,0.1998793,-0.712921,0
1.065735,0.2093138,-0.6879557,0
1.082397,0.2187463,-0.6631487,0
1.099182,0.2281769,-0.6509163,0
1.11615,0.2376057,-0.6270046,0
1.132507,0.2470326,-0.6040916,0
1.149292,0.2564576,-0.5930999,0
1.165222,0.2658807,-0.5722063,0
1.182373,0.2753019,-0.5529502,0
1.199402,0.2847213,-0.543995,0
1.216553,0.2941387,-0.527523,0
1.232483,0.3035543,-0.5130574,0
1.249146,0.312968,-0.5065988,0
1.266235,0.3223798,-0.4952463,0
1.282471,0.3317897,-0.4859672,0
1.299316,0.3411977,-0.482089,0
1.316406,0.3506039,-0.4757976,0
1.332214,0.3600082,-0.4713513,0
