Time,CV,FF,Input
0,0,-0.791238,0
0.01516724,0,-0.7777878,0
0.03256226,0,-0.7500234,0
0.04928589,0,-0.7358032,0
0.06539917,0,-0.6923848,0
0.08197021,0,-0.6633232,0
0.0994873,0,-0.6489156,0
0.115448,0,-0.6206132,0
0.1329651,0,-0.593346,0
0.1491699,0,-0.5802304,0
0.1654968,0,-0.5675273,0
0.1817627,0,-0.5435532,0
0.1992188,0,-0.5323752,0
0.215271,0,-0.5118558,0
0.2327271,0,-0.4940503,0
0.2491455,0,-0.486255,0
0.2654419,0,-0.4730349,0
0.2825928,0,-0.4631459,0
0.2991943,0,-0.4567465,0
0.3154297,0,-0.4539393,0
0.3323364,0,-0.4547684,0
0.3486328,0,-0.4565442,0
0.3655701,0,-0.4627806,0
0.3816223,0,-0.4725033,0
0.3991394,0,-0.4786234,0
0.4158936,0,-0.4932536,0
0.432312,0,-0.5108612,0
0.4489441,0,-0.5206915,0
0.4651184,0,-0.5421999,0
0.48172,0,-0.5658689,0
0.4991455,0,-0.5783916,0.09409708
0.5154114,4.540721E-05,-0.6045529,0.2116534
0.5329285,0.0001929402,-0.6318371,0.3825623
0.5491028,0.0005250519,-0.6457594,0.501475
0.565979,0.001099088,-0.6738763,0.6778097
0.5822754,0.00200009,-0.7019695,0.7903925
0.5990295,0.003282323,-0.7158628,0.8921239
0.6164246,0.004994799,-0.7430583,1.021436
0.6324463,0.007199835,-0.7690991,1.099656
0.6488342,0.009935076,-0.781554,1.202744
0.6660461,0.01325016,-0.8050833,1.266496
0.6821594,0.01717575,-0.8264645,1.342907
0.6994324,0.02174857,-0.8362432,1.381791
0.7153931,0.02698728,-0.8537888,1.411181
0.7322998,0.03290591,-0.8684354,1.42791
0.749115,0.03951241,-0.8746027,1.433788
0.7657166,0.04680946,-0.8845169,1.433335
0.7823792,0.05479673,-0.8911005,1.423388
0.7994385,0.06346926,-0.8931182,1.410276
0.815918,0.0728206,-0.8945866,1.387217
0.83255,0.08283947,-0.8926497,1.367323
0.8495483,0.09351616,-0.8904243,1.341099
0.8660278,0.1048379,-0.8835292,1.281869
0.8823853,0.1167759,-0.8735074,1.232133
0.8990479,0.1293061,-0.867385,1.17652
0.9157104,0.1424015,-0.8530648,1.141705
0.9321289,0.1560453,-0.8362042,1.097395
0.9490662,0.1702159,-0.826915,1.071624
0.9655762,0.1849008,-0.8068232,1.044947
0.981781,0.200087,-0.7850056,1.021436
0.9986877,0.215763,-0.7735636,0.9902383
1.016418,0.2319138,-0.7498492,0.9707963
1.032257,0.2485298,-0.7253472,0.9599449
1.048676,0.2656057,-0.712921,0.9481893
1.066437,0.2831357,-0.6879557,0.9423114
1.082123,0.301117,-0.6631487,0.9386943
1.098999,0.3195476,-0.6509163,0.9386943
1.115387,0.3384275,-0.6270046,0.9386943
1.132813,0.3577566,-0.6040916,0.9386943
1.148926,0.3775349,-0.5930999,0.9382423
1.165863,0.3977619,-0.5722063,0.9346251
1.182434,0.4184359,-0.5529502,0.9242258
1.199066,0.4395517,-0.543995,0.9093052
1.216309,0.4611021,-0.527523,0.8930283
1.23233,0.4830792,-0.5130574,0.8903154
1.249146,0.5054814,-0.5065988,0.885794
1.266296,0.5283067,-0.4952463,0.8758469
1.282043,0.55155,-0.4859672,0.8645434
1.298248,0.5752059,-0.482089,0.8500749
1.315399,0.5992672,-0.4757976,0.8238509
1.332214,0.6237213,-0.4713513,0.8012438
1.348938,0.6485571,-0.46977,0.7591949
1.365479,0.6737543,-0.4677703,0.7203107
1.38266,0.6992941,-0.4671366,0.6732882
1.398865,0.7251537,-0.4672561,0.5792431
1.41568,0.7512877,-0.4682027,0.4969537
1.432159,0.7776562,-0.4698598,0.3350876
1.448975,0.8041812,-0.4708642,0.2157227
1.466003,0.8308049,-0.4730396,0.08641073
1.482361,0.857465,-0.4751885,0
1.499207,0.8841197,-0.4761607,0
1.516022,0.9107692,-0.4777206,0
1.532074,0.9374133,-0.4785382,0
1.549164,0.9640521,-0.4785872,0
1.565887,0.9906856,-0.4778149,0
1.582184,1.017314,-0.4757027,0
1.599426,1.043936,-0.4740841,0
1.616272,1.070554,-0.4696212,-0.1885943
1.63208,1.097075,-0.4634173,-0.4928845
1.648956,1.123353,-0.4596318,-0.6393778
1.665375,1.149318,-0.4506551,-0.7786369
1.682587,1.174901,-0.4397838,-0.9594929
1.699677,1.200016,-0.4336401,-1.074336
1.715302,1.224608,-0.4199642,-1.176972
1.732849,1.248626,-0.4045047,-1.298145
1.748657,1.272014,-0.3961408,-1.370488
1.765503,1.294736,-0.3782343,-1.456394
1.783081,1.31675,-0.3589017,-1.503417
1.798859,1.338034,-0.3487625,-1.535519
1.816254,1.358573,-0.3276778,-1.575759
1.831787,1.378348,-0.305721,-1.595202
1.848938,1.397349,-0.2944964,-1.613739
1.865845,1.415567,-0.271725,-1.630468
1.882477,1.432995,-0.2487579,-1.652623
1.899078,1.449622,-0.2372899,-1.668448
1.91629,1.465441,-0.2145639,-1.689247
1.932312,1.480441,-0.1923522,-1.70055
1.949249,1.494617,-0.181525,-1.711401
1.965485,1.507965,-0.1605923,-1.716375
1.982391,1.520482,-0.1408275,-1.719088
1.999451,1.532167,-0.1314549,-1.719088
2.015991,1.54302,-0.1138591,-1.708236
2.032074,1.553047,-0.0979481,-1.70055
2.049347,1.562251,-0.09067381,-1.688794
2.065308,1.570638,-0.0775682,-1.686534
2.082397,1.578209,-0.06646787,-1.685177
2.099121,1.584966,-0.06169154,-1.682917
2.116272,1.59091,-0.05370994,-1.677491
2.132233,1.596043,-0.04782701,-1.6689
2.149292,1.600369,-0.04566544,-1.650362
2.165375,1.603898,-0.04286845,-1.638607
2.18338,1.606636,-0.04203686,-1.624591
2.199036,1.608589,-0.04232466,-1.612383
2.215668,1.609764,-0.04422472,-1.593393
2.231964,1.61017,-0.04776174,-1.577568
2.248932,1.609814,-0.05009052,-1.557222
2.265778,1.608707,-0.05575124,-1.521502
2.282166,1.606866,-0.0625826,-1.497539
2.299133,1.604302,-0.0663723,-1.44916
2.316437,1.60104,-0.07456644,-1.413441
2.332214,1.597097,-0.08340163,-1.357828
2.349365,1.592499,-0.08799331,-1.316231
2.365967,1.587267,-0.09739605,-1.271921
2.382568,1.581422,-0.1069279,-1.190988
2.399017,1.575003,-0.1116846,-1.14487
2.416046,1.568033,-0.121074,-1.092874
2.432007,1.560538,-0.1301741,-1.080214
2.4487,1.552522,-0.1345749,-1.075693
2.466095,1.54399,-0.1430111,-1.082023
2.481964,1.534936,-0.1508925,-1.103273
2.499451,1.525352,-0.154607,-1.124524
2.515533,1.515228,-0.1615641,-1.162504
2.532318,1.504544,-0.1678892,-1.185111
2.549011,1.493291,-0.1708212,-1.203648
2.566315,1.481459,-0.1762534,-1.20817
2.582855,1.469046,-0.1811704,-1.198223
2.598907,1.456058,-0.183465,-1.169286
2.615387,1.442508,-0.1877979,-1.126785
2.632477,1.428417,-0.1919017,-1.083831
2.648865,1.413806,-0.1939142,-1.061676
2.665955,1.398685,-0.1979621,-1.02641
2.682343,1.383072,-0.2021844,-1.005159
2.698792,1.366978,-0.2044167,-0.9825519
2.716248,1.350412,-0.209237,-0.9368858
2.732178,1.333397,-0.2146819,-0.9079489
2.749573,1.315948,-0.2176936,-0.8690649
2.766388,1.298083,-0.2244006,-0.8496228
2.783661,1.279812,-0.2321486,-0.8279201
2.799072,1.261144,-0.2364574,-0.7958181
2.815857,1.242096,-0.2460212,-0.7732112
2.83255,1.222679,-0.2569306,-0.7424657
2.849548,1.202908,-0.2629147,-0.7216672
2.866241,1.182792,-0.2759745,-0.6746447
2.882477,1.162355,-0.2905086,-0.6393778
2.8992,1.141613,-0.2983276,-0.6013981
2.915588,1.120585,-0.3150476,-0.5598012
2.932312,1.099292,-0.3331545,-0.4897195
2.949493,1.077766,-0.3426985,-0.4295849
2.965515,1.056037,-0.362689,-0.3188106
2.982269,1.034159,-0.3837526,-0.2288348
2.999512,1.012174,-0.3946301,-0.08460217
3.015686,0.9901534,-0.4169467,0
3.031982,0.9681369,-0.4398187,0
3.049103,0.9461249,-0.4513848,0
3.065216,0.9241172,-0.4746094,0
3.082031,0.9021139,-0.497722,0
3.09967,0.880115,-0.5091453,0
3.115906,0.8581206,-0.5315406,0
3.132172,0.8361305,-0.5530853,0
3.149323,0.8141448,-0.5634463,0
3.166077,0.7921636,-0.5831656,0
3.182068,0.7701867,-0.601318,0
3.199005,0.7482142,-0.609725,0
3.215698,0.7262461,-0.6250502,0
3.232391,0.7042824,-0.638211,0
3.24881,0.6823231,-0.6439202,0
3.265961,0.6603682,-0.6534974,0
3.28183,0.6384177,-0.6605172,0
3.29892,0.6164715,-0.66304,0
3.315857,0.5945298,-0.6660798,0
3.331787,0.5725924,-0.6664382,0.04707453
3.348755,0.5506822,-0.6656207,0.1044963
3.365753,0.5288267,-0.6620363,0.1583009
3.383209,0.507052,-0.6559479,0.2410425
3.399139,0.485398,-0.6520115,0.293943
3.415527,0.46389,-0.642473,0.368546
3.43219,0.4425642,-0.6309046,0.4142121
3.448944,0.4214426,-0.6244403,0.4793202
3.465912,0.4005564,-0.6103345,0.5163958
3.482361,0.3799236,-0.5949274,0.5471413
3.499207,0.359559,-0.5868432,0.5882859
3.515259,0.3394822,-0.5701413,0.6117972
3.532288,0.3197048,-0.553045,0.6438991
3.5495,0.300242,-0.5444707,0.6696711
3.565369,0.2811063,-0.5275169,0.6995124
3.583221,0.2623119,-0.5111523,0.7551256
3.600311,0.2438856,-0.4957661,0.7976267
