Time,CV,FF,Input
0,0,-0.791238,0
0.01592445,0,-0.7777878,0
0.03323364,0,-0.7500234,0
0.04982662,0,-0.7358032,0
0.06548882,0,-0.6923848,0
0.08310509,0,-0.6633232,0
0.09943771,0,-0.6489156,0
0.1164055,0,-0.6206132,0
0.1331787,0,-0.593346,0
0.1493073,0,-0.5802304,0
0.1656694,0,-0.5675273,0
0.182806,0,-0.5435532,0
0.199564,0,-0.5323752,0
0.2163572,0,-0.5118558,0
0.2332993,0,-0.4940503,0
0.2501354,0,-0.4792406,0
0.2657003,0,-0.4730349,0
0.283289,0,-0.4631459,0
0.2998686,0,-0.4567465,0
0.3161964,0,-0.4539393,0
0.3332748,0,-0.4547684,0
0.3496923,0,-0.4565442,0
0.3654938,0,-0.4627806,0
0.3828869,0,-0.4725033,0
0.3995199,0,-0.4786234,0
0.4159317,0,-0.4932536,0
0.4328375,0,-0.5108612,0
0.4497089,0,-0.5206915,0
0.4660425,0,-0.5421999,0
0.4823265,0,-0.5658689,0
0.5002613,0,-0.5913042,0
0.5162544,0,-0.6045529,0
0.532897,0,-0.6318371,0
0.5494814,0,-0.6457594,0
0.5659084,0,-0.6738763,0
0.5825653,0,-0.7019695,0
0.5992994,0,-0.7158628,0
0.6160421,0,-0.7430583,0
0.6331434,0,-0.7690991,0
0.649622,0,-0.781554,0
0.6662207,0,-0.8050833,0.02537182
0.6827898,1.224335E-05,-0.8264645,0.1194169
0.6996574,8.210973E-05,-0.8362432,0.1867858
0.7161398,0.000242097,-0.8537888,0.2830916
0.733695,0.0005386601,-0.8684354,0.355434
0.7496433,0.001006681,-0.8746027,0.423707
0.7665834,0.001679071,-0.8845169,0.52363
0.7830296,0.002604008,-0.8911005,0.5896424
0.7998104,0.003813297,-0.8931182,0.6520377
0.815526,0.005336989,-0.8945866,0.7374921
0.8328018,0.007216258,-0.8926497,0.7917489
0.8492146,0.009477217,-0.8904243,0.8613784
0.8665352,0.01215339,-0.8835292,0.8998104
0.8831453,0.01526323,-0.8735074,0.9477371
0.8993559,0.01882979,-0.867385,0.976222
0.9159336,0.02286672,-0.8530648,1.00109
0.9330139,0.02738593,-0.8362042,1.027314
0.9493465,0.03239996,-0.826915,1.038165
0.9664984,0.03791397,-0.8068232,1.054442
0.9828711,0.04393571,-0.7850056,1.056251
0.9996595,0.05046594,-0.7735636,1.058511
1.016136,0.05750566,-0.7498492,1.058511
1.032615,0.06505477,-0.7253472,1.058059
1.049676,0.07311293,-0.712921,1.054442
1.065939,0.08167832,-0.6879557,1.046304
1.082579,0.0907469,-0.6631487,1.036809
1.101176,0.100314,-0.6388547,1.025053
1.116272,0.1103738,-0.6270046,1.019175
1.133144,0.1209234,-0.6040916,1.012845
1.149177,0.1319597,-0.5930999,1.006515
1.166346,0.1434794,-0.5722063,1.00335
1.183005,0.1554811,-0.5529502,1.001542
1.199489,0.1679636,-0.543995,0.9983768
1.217255,0.1809254,-0.527523,0.9906905
1.232855,0.1943627,-0.5130574,0.9911426
1.249782,0.2082756,-0.5065988,0.9875255
1.26634,0.2226622,-0.4952463,0.9875255
1.283078,0.2375225,-0.4859672,0.9875255
1.299383,0.2528563,-0.482089,0.9929511
