Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01580811,0,0.03503782,0,0.5704651
0.03265381,0,0.02765206,0,0.5354309
0.04974365,0,0.0239619,0,0.507782
0.06610107,0,0.01666,0,0.4838257
0.08319092,0,0.009559959,0,0.4671631
0.09954834,0,0.006121606,0,0.4576111
0.1161499,0,-0.0004616678,0,0.4515076
0.1331177,0,-0.006564647,0,0.4519653
0.1502686,0,-0.0120869,0,0.4585266
0.1661377,0,-0.01460135,0,0.4706116
0.1829224,0,-0.01908526,0,0.485199
0.1994019,0,-0.02103618,0,0.5042725
0.2162476,0,-0.02431637,0,0.5252991
0.2324829,0,-0.02672499,0,0.5496216
0.2494507,0,-0.02759004,0,0.576355
0.2665405,0,-0.02862579,0,0.6039429
0.2827759,0,-0.02872622,0,0.6325684
0.2995605,0,-0.02842617,0,0.6612854
0.3164673,0,-0.02713561,0,0.6896973
0.3331909,0,-0.02494991,0,0.7168274
0.3495483,0,-0.02353472,0,0.7417908
0.3671875,0,-0.02009535,0,0.7653198
0.3828735,0,-0.01590151,0,0.7854004
0.399231,0,-0.01354665,0,0.8013
0.4160767,0,-0.008377612,0,0.8148499
0.4334717,0,-0.002680182,0,0.8232422
0.4503174,0,0.0034374,0,0.8259277
0.4660645,0,0.006617308,0,0.8224792
0.482605,0,0.01314491,0,0.8158569
0.4995117,0,0.01646149,0,0.8027039
0.5165405,0,0.02312189,0,0.7862549
0.5331421,0,0.02971423,0,0.7631226
0.5496216,0,0.03294587,0,0.7333984
0.5663452,0,0.03920478,0,0.7004395
0.5826416,0,0.04509395,0,0.6612244
0.5995483,0,0.04786515,0,0.6161194
0.616272,0,0.05299652,0,0.5682678
0.6328735,0,0.05750155,0,0.5152588
0.6494141,0,0.05949274,0,0.4577637
0.6672363,0,0.06290661,0,0.3982849
0.6828613,0,0.06551233,0,0.3353882
0.6993408,0,0.06649685,0,0.2698669
0.7160034,0,0.06780744,0,0.2033691
0.732666,0,0.06822322,0,0.1355591
0.749939,0,0.06809321,0,0.06732178
0.7662964,0.002639753,0.06716168,0.009999066,-0.0007476784
0.7835693,0.003236585,0.06535304,0.01225979,-0.07054911
0.7997437,0.001804206,0.06413031,0.006834114,-0.1391387
0.8170776,0,0.06107795,0,-0.2050732
0.8327637,0,0.05726671,0,-0.2661512
0.8493652,0,0.05509853,0,-0.3234179
0.8660278,0,0.05028832,0,-0.3785165
0.8828735,0,0.04492188,0,-0.4288048
0.899292,0,0.04206097,0,-0.4737267
0.9160767,0,0.03604949,0,-0.5157876
0.9328613,0,0.02974355,0,-0.5518371
0.9498291,0,0.02651572,0,-0.5815807
0.9660034,0,0.01998258,0,-0.6080965
0.9833374,0,0.01344264,0,-0.6280791
0.9998779,0,0.01020598,0,-0.6415217
