Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01617432,0,0.03503782,0,0.5704651
0.03390503,0,0.02765206,0,0.5354309
0.05047607,0,0.02029303,0,0.507782
0.0668335,0,0.01666,0,0.4874878
0.08328247,0,0.009559959,0,0.4708252
0.1003723,0,0.002776504,0,0.4612732
0.1166077,0,-0.0004616678,0,0.4584961
0.1335144,0,-0.006564647,0,0.4589539
0.1507568,0,-0.0120869,0,0.4655151
0.1670837,0,-0.01460135,0,0.4776001
0.1835022,0,-0.01908526,0,0.4921875
0.1996155,0,-0.02103618,0,0.511261
0.2173767,0,-0.02431637,0,0.5322876
0.23349,0,-0.02672499,0,0.5566101
0.250061,0,-0.02822441,0,0.5833435
0.2681885,0,-0.02862579,0,0.6115723
0.283844,0,-0.02872622,0,0.6401978
0.3001099,0,-0.02789491,0,0.6689148
0.3171692,0,-0.02713561,0,0.6968079
0.3336487,0,-0.02494991,0,0.723938
0.3495789,0,-0.02353472,0,0.7489014
0.3672485,0,-0.02009535,0,0.7724304
0.3829041,0,-0.01590151,0,0.792511
0.4006042,0,-0.01103467,0,0.8084106
0.4163818,0,-0.008377612,0,0.819458
0.4337158,0,-0.002680182,0,0.8278503
0.4503784,0,0.0034374,0,0.8305359
0.4669495,0,0.006617308,0,0.8270874
0.4831543,0,0.01314491,0,0.8204651
0.5,0,0.01979238,0,0.807312
0.5161743,0,0.02312189,0,0.7875061
0.5333252,0,0.02971423,0,0.7643738
0.5504456,0,0.03611445,0,0.7346497
0.5671997,0,0.03920478,0,0.6985474
0.5833435,0,0.04509395,0,0.6593323
0.6008301,0,0.05050349,0,0.6142578
0.6171875,0,0.05299652,0,0.5637512
0.633606,0,0.05750155,0,0.5107422
0.6502075,0,0.06129715,0,0.4532471
0.6668701,0,0.06290661,0,0.3919373
0.6833801,0,0.06551233,0,0.3290405
0.6994934,0,0.06649685,0,0.2635193
0.7163086,0,0.06780744,0,0.1970215
0.7336731,0.0001330972,0.06822322,0.0005041559,0.1292114
0.7496033,0.0008492866,0.06809321,0.003216995,0.06085205
0.7665405,0.0008492866,0.06716168,0.003216995,-0.008096961
0.7833557,0,0.06535304,0,-0.07610793
0.7993774,0,0.06413031,0,-0.141461
0.8164673,0,0.06107795,0,-0.2055913
0.8334961,0,0.05726671,0,-0.2666692
0.8501282,0,0.05276871,0,-0.323936
0.866272,0,0.05028832,0,-0.3767047
0.8834534,0,0.04492188,0,-0.426993
0.901001,0,0.03909898,0,-0.4719149
0.916687,0,0.03604949,0,-0.5110139
0.9333801,0,0.02974355,0,-0.5470634
0.9502869,0,0.02325726,0,-0.576807
0.9671631,0,0.01998258,0,-0.6000643
0.9832764,0,0.01344264,0,-0.6200469
1,0,0.007010221,0,-0.6334896
1.016663,0,0.003868937,0,-0.6404999
1.033508,0,-0.002197385,0,-0.6443688
1.050385,0,-0.007892251,0,-0.6421714
1.066376,0,-0.01057148,0,-0.6342792
1.083313,0,-0.01554143,0,-0.6237078
1.100067,0,-0.01993227,0,-0.6081663
1.117035,0,-0.02189088,0,-0.5882341
1.133514,0,-0.02530253,0,-0.5663432
1.149689,0,-0.02674544,0,-0.5410407
1.166718,0,-0.0290885,0,-0.5142953
1.183746,0,-0.0306952,0,-0.4852068
1.200378,0,-0.03156507,0,-0.4545116
1.216858,0,-0.03172791,0,-0.4229466
1.233612,0,-0.03152591,0,-0.3912187
1.249451,0,-0.03117073,0,-0.3596928
1.266052,0,-0.02998239,0,-0.3285221
1.283295,0,-0.02820724,0,-0.2985397
1.30011,0,-0.02591646,0,-0.2703325
1.317139,0,-0.02460307,0,-0.244416
1.333221,0,-0.02169573,0,-0.219813
