Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01625061,0,0.03503782,0,0.5704651
0.03244019,0,0.02765206,0,0.5354309
0.04989624,0,0.0239619,0,0.507782
0.06585693,0,0.01666,0,0.4838257
0.08305359,0,0.009559959,0,0.4671631
0.1001892,0,0.002776504,0,0.4576111
0.1158752,0,-0.0004616678,0,0.454834
0.1336365,0,-0.006564647,0,0.4552918
0.1496277,0,-0.009404272,0,0.461853
0.1660767,0,-0.01460135,0,0.4712524
0.1829224,0,-0.01908526,0,0.4858398
0.1999512,0,-0.02103618,0,0.5049133
0.2159271,0,-0.02431637,0,0.5259399
0.2330322,0,-0.02672499,0,0.5502625
0.2496643,0,-0.02759004,0,0.5769958
0.2668304,0,-0.02862579,0,0.6045837
0.2824707,0,-0.02872622,0,0.6332092
0.3000336,0,-0.02789491,0,0.6619263
0.3160095,0,-0.02713561,0,0.6898193
0.3332977,0,-0.02494991,0,0.7169495
0.3495941,0,-0.02353472,0,0.7419128
0.3658142,0,-0.02009535,0,0.7654419
0.3827515,0,-0.01590151,0,0.7855225
0.3989563,0,-0.01354665,0,0.8014221
0.4158173,0,-0.008377612,0,0.8149719
0.4328918,0,-0.002680182,0,0.8233643
0.4491272,0,0.00033319,0,0.8260498
0.4658966,0,0.006617308,0,0.8257141
0.4832306,0,0.01314491,0,0.8190918
0.4999084,0,0.01646149,0,0.8059387
0.5168304,0,0.02312189,0,0.7895203
0.5332794,0,0.02971423,0,0.7663879
0.5498657,0,0.03294587,0,0.7366638
0.5657501,0,0.03920478,0,0.7037048
0.583374,0,0.04509395,0,0.6644897
0.5997314,0,0.04786515,0,0.6193848
0.6156921,0,0.05299652,0,0.5715332
0.6325989,0,0.05750155,0,0.5185242
0.6489868,0,0.05949274,0,0.4610291
0.666214,0.003714045,0.06290661,0.01406835,0.4015503
0.6830902,0.008846729,0.06551233,0.03351034,0.3349304
0.6985016,0.0133826,0.06649685,0.05069166,0.2605896
0.7160187,0.01469562,0.06780744,0.05566522,0.1806946
