Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01513672,0,0.03503782,0,0.5704651
0.03119659,0,0.02765206,0,0.5354309
0.04802704,0,0.0239619,0,0.507782
0.0645752,0,0.01666,0,0.4838257
0.08156586,0,0.009559959,0,0.4671631
0.09861374,0,0.006121606,0,0.4576111
0.1150856,0,-0.0004616678,0,0.4515076
0.1315231,0,-0.006564647,0,0.4519653
0.1489029,0,-0.009404272,0,0.4585266
0.1650772,0,-0.01460135,0,0.467926
0.1814842,0,-0.01908526,0,0.4825439
0.1982613,0,-0.02103618,0,0.5016174
0.2148018,0,-0.02431637,0,0.522644
0.2317581,0,-0.02672499,0,0.5469666
0.2480202,0,-0.02759004,0,0.5737
0.2643204,0,-0.02862579,0,0.6012878
0.2811813,0,-0.02872622,0,0.6299133
0.298214,0,-0.02842617,0,0.6586304
0.315094,0,-0.02713561,0,0.6870422
0.331646,0,-0.02494991,0,0.7141724
0.3483849,0,-0.02353472,0,0.7391357
0.365036,0,-0.02009535,0,0.7626648
0.3819046,0,-0.01590151,0,0.7827454
0.3979492,0,-0.01354665,0,0.798645
0.4156113,0,-0.008377612,0,0.8121948
0.4317055,0,-0.002680182,0,0.8205872
0.4486122,0,0.00033319,0,0.8232727
0.4646072,0,0.006617308,0,0.822937
0.4815407,0,0.01314491,0,0.8163147
0.497879,0,0.01646149,0,0.8031616
0.5148277,0,0.02312189,0,0.7867126
0.5317192,0,0.02971423,0,0.7635803
0.5481758,0,0.03294587,0,0.7338562
0.5644264,0,0.03920478,0,0.7008972
0.5812263,0,0.04509395,0,0.6616821
0.5984535,0,0.04786515,0,0.6165771
0.6146774,0.004549592,0.05299652,0.0172333,0.5687256
0.6314278,0.006578802,0.05750155,0.02491971,0.5111694
0.6481247,0.00645943,0.05949274,0.02446754,0.4470825
0.6649132,0.001923564,0.06290661,0.007286226,0.381134
0.6817284,0,0.06551233,0,0.3163147
0.6978073,0,0.06649685,0,0.2507935
0.7148056,0,0.06780744,0,0.1842957
0.7310715,0,0.06822322,0,0.1164856
0.7488098,0,0.06809321,0,0.04824829
0.7646294,0,0.06716168,0,-0.01984489
0.7817612,0,0.06535304,0,-0.08700657
0.7979393,0,0.06413031,0,-0.1523596
0.8147087,0,0.06107795,0,-0.2164899
0.8315392,0,0.05726671,0,-0.2775679
0.8480949,0,0.05509853,0,-0.3348346
0.8644943,0,0.05028832,0,-0.3899332
0.8814278,0,0.04492188,0,-0.4402215
0.8976364,0,0.04206097,0,-0.4851434
0.9145584,0,0.03604949,0,-0.5272045
0.9315834,0,0.02974355,0,-0.563254
0.9484406,0,0.02651572,0,-0.5929976
0.9647064,0,0.01998258,0,-0.6195133
0.9808655,0,0.01344264,0,-0.6394959
0.9982147,0,0.01020598,0,-0.6529386
1.014957,0,0.003868937,0,-0.6631446
1.031208,0,-0.002197385,0,-0.6670135
1.04866,0,-0.005097151,0,-0.6648162
1.064354,0,-0.01057148,0,-0.659719
1.081181,0,-0.01554143,0,-0.6491476
1.098072,0,-0.01781344,0,-0.6336061
1.114288,0,-0.02189088,0,-0.6157927
1.131142,0,-0.02530253,0,-0.5939018
1.148708,0,-0.02674544,0,-0.5685993
1.164925,0,-0.0290885,0,-0.541854
1.181278,0,-0.0306952,0,-0.5127655
1.1978,0,-0.03122163,0,-0.4820703
1.214809,0,-0.03172791,0,-0.4508486
1.230858,0,-0.03152591,0,-0.4191207
1.248158,0,-0.03117073,0,-0.3875948
1.264778,0,-0.02998239,0,-0.3564241
1.281101,0,-0.02820724,0,-0.3264417
1.298153,0,-0.02712137,0,-0.2982344
1.315063,0,-0.02460307,0,-0.2711131
1.331791,0,-0.02169573,0,-0.2465101
1.34827,0,-0.02012563,0,-0.2248144
1.364246,0,-0.01681477,0,-0.2046887
1.382458,0,-0.01336282,0,-0.187874
1.397694,0,-0.01161706,0,-0.1745112
1.414898,0,-0.008152664,0,-0.1628941
1.431351,0,-0.004812717,0,-0.1547415
1.448139,0,-0.003221929,0,-0.1499287
1.464096,0,-0.0002611279,0,-0.1467068
1.480732,0,0.002326548,0,-0.1464457
1.497696,0,0.003452897,0,-0.1487723
1.514668,0,0.005320191,0,-0.1522252
1.531136,0,0.006614864,0,-0.1575454
1.547955,0,0.007028222,0,-0.1641603
1.564545,0,0.00735569,0,-0.1711885
1.581684,0,0.006986022,0,-0.1785442
1.597622,0,0.006531358,0,-0.1855302
1.614243,0,0.005074084,0,-0.1920616
1.631733,0,0.002886415,0,-0.1971357
1.648212,0,0.001522303,0,-0.2000221
1.664608,0,-0.00173068,0,-0.2015444
1.681438,0,-0.005651474,0,-0.1998137
1.69854,0,-0.007846951,0,-0.1941623
1.714928,0,-0.01267022,0,-0.1863153
1.73135,0,-0.0180099,0,-0.1736451
1.747837,0,-0.02084833,0,-0.1556352
1.764782,0,-0.02680665,0,-0.1347869
1.781937,0,-0.03305972,0,-0.1079802
