Time,CV,FF,Input
0,0,-0.791238,0
0.01586914,0,-0.7777878,0
0.03234863,0,-0.7500234,0
0.04937744,0,-0.7358032,0
0.06640625,0,-0.6923848,0
0.08209229,0,-0.6633232,0
0.09979248,0,-0.6489156,0
0.1150513,0,-0.6206132,0
0.1317749,0,-0.593346,0
0.1491699,0,-0.5802304,0
0.1654053,0,-0.5675273,0
0.182312,0,-0.5435532,0
0.2095337,0,-0.5217956,0
0.2315674,0,-0.4940503,0
0.2490234,0,-0.486255,0
0.2653809,0,-0.4730349,0
0.2817383,0,-0.4631459,0
0.2995605,0,-0.4567465,0
0.3150635,0,-0.4539393,0
0.3318481,0,-0.4547684,0
0.3483887,0,-0.4565442,0
0.3747559,0,-0.4672149,0
0.3988647,0,-0.4786234,0
0.4158325,0,-0.4932536,0
0.4315186,0,-0.5108612,0
0.4492188,0,-0.5206915,0
0.4659424,0,-0.5421999,0
0.4818726,0,-0.5658689,0
0.4995728,0,-0.5783916,0.132529
0.5266724,6.395281E-05,-0.6180826,0.4078822
0.541687,0.0003247193,-0.6457594,0.5611575
0.5652466,0.0008562241,-0.6738763,0.795366
0.5823364,0.001771432,-0.7019695,1.032287
0.5992432,0.003184594,-0.7158628,1.186919
0.6152954,0.00517023,-0.7430583,1.416154
0.6322021,0.007838843,-0.7690991,1.540945
0.6593628,0.01125052,-0.7935647,1.757067
0.6745605,0.0155094,-0.8160644,1.862416
0.6991577,0.02066614,-0.8362432,2.027447
0.7153931,0.02680022,-0.8537888,2.09572
0.7319336,0.03394438,-0.8684354,2.151333
0.7492676,0.04212524,-0.8746027,2.201521
0.7759399,0.05136684,-0.8882309,2.258491
0.7982788,0.06169643,-0.8931182,2.295566
0.8156738,0.0731317,-0.8945866,2.31546
0.8423462,0.08568202,-0.8904243,2.346658
0.8656006,0.09936223,-0.8835292,2.361126
0.892334,0.1141791,-0.867385,2.367456
0.9152832,0.1301354,-0.8530648,2.357509
0.932312,0.1472262,-0.8362042,2.326312
0.9492798,0.1654361,-0.826915,2.272959
0.9658813,0.1847392,-0.8068232,2.251256
0.9906616,0.2051248,-0.7735636,2.206042
1.007874,0.2265709,-0.761829,2.176653
1.031616,0.2490631,-0.7253472,2.115162
1.048279,0.2725714,-0.712921,2.071305
1.065369,0.2970746,-0.6879557,2.000771
1.081848,0.3225383,-0.6631487,1.963243
1.100342,0.3489444,-0.6388547,1.925716
1.125488,0.3762744,-0.6154047,1.843426
1.140564,0.4044885,-0.5930999,1.792334
1.165344,0.4335619,-0.5722063,1.668448
1.182251,0.4634346,-0.5529502,1.595202
1.198853,0.4940711,-0.543995,1.476289
1.215942,0.5254139,-0.527523,1.392643
1.24231,0.5574224,-0.5065988,1.226707
1.265015,0.5900165,-0.4952463,1.095587
