Time,CV,FF,Input
0,0,-0.791238,0
0.01535034,0,-0.7777878,0
0.03256226,0,-0.7500234,0
0.0491333,0,-0.7358032,0
0.06588745,0,-0.6923848,0
0.09298706,0,-0.6489156,0
0.1153564,0,-0.6206132,0
0.1333008,0,-0.593346,0
0.149353,0,-0.5802304,0
0.1663818,0,-0.5675273,0
0.1827698,0,-0.5435532,0
0.1989136,0,-0.5323752,0
0.2160645,0,-0.5118558,0
0.2414856,0,-0.486255,0
0.2658081,0,-0.4730349,0
0.2826843,0,-0.4631459,0
0.2995911,0,-0.4567465,0
0.3153381,0,-0.4539393,0
0.3322449,0,-0.4547684,0
0.348999,0,-0.4565442,0
0.3656921,0,-0.4627806,0
0.3827515,0,-0.4725033,0
0.4094238,0,-0.4855499,0
0.4328003,0,-0.5108612,0
0.448761,0,-0.5206915,0
0.4658813,0,-0.5421999,0
0.4822693,0,-0.5658689,0
0.4990234,0,-0.5783916,0
0.5166626,0,-0.6045529,0
0.5321045,0,-0.6318371,0
0.5494995,0,-0.6457594,0
0.5757446,0,-0.6879548,0
0.5984192,0,-0.7158628,0
0.6160278,0,-0.7430583,0
0.6325073,0,-0.7690991,0
0.6489563,0,-0.781554,0
0.6655579,0,-0.8050833,0
0.6820374,0,-0.8264645,0
0.6987915,0,-0.8362432,0
0.7157898,0,-0.8537888,0
0.7419434,0,-0.8746027,0
0.7662048,0,-0.8845169,0
0.7826233,0,-0.8911005,0
0.7996521,0,-0.8931182,0
0.8156128,0,-0.8945866,0
0.8323059,0,-0.8926497,0
0.8497009,0,-0.8904243,0
0.8656006,0,-0.8835292,0
0.8826599,0,-0.8735074,0
0.909668,0,-0.8605601,0
0.9325256,0,-0.8362042,0
0.9491882,0,-0.826915,0
0.9654846,0,-0.8068232,0
0.9830627,0,-0.7850056,0
0.9985657,0,-0.7735636,0.01858975
1.015778,8.970615E-06,-0.7498492,0.05430877
1.031952,4.414652E-05,-0.7253472,0.1017835
1.049286,0.0001284317,-0.712921,0.1311726
1.077454,0.0002759983,-0.6755098,0.2075842
1.094086,0.0005237067,-0.6509163,0.2641017
1.115112,0.0008988096,-0.6270046,0.317002
1.132294,0.001426809,-0.6040916,0.3509125
1.149078,0.002124039,-0.5930999,0.3970309
1.165497,0.003012719,-0.5722063,0.4241592
1.183441,0.004105902,-0.5529502,0.4540004
1.211731,0.005417949,-0.527523,0.4639475
1.229126,0.006953614,-0.5200343,0.4643996
1.249115,0.008713071,-0.5065988,0.4485747
1.266266,0.01068864,-0.4952463,0.410595
1.282288,0.01286195,-0.4859672,0.378493
1.300232,0.01521747,-0.4787039,0.352269
1.328156,0.01774251,-0.4733532,0.30389
1.34903,0.02041368,-0.46977,0.2962036
1.365814,0.02322726,-0.4677703,0.3016293
1.393799,0.02618583,-0.4672561,0.2993686
1.415894,0.02928827,-0.4682027,0.288065
1.443329,0.03252909,-0.4708642,0.2641017
1.466156,0.03589672,-0.4730396,0.2401383
1.482605,0.03937955,-0.4751885,0.2080363
1.498962,0.04296207,-0.4761607,0.1705087
1.517029,0.04662616,-0.4777206,0.09952276
1.543152,0.05033754,-0.4785872,0.004121275
1.565521,0.05405017,-0.4778149,0
1.582611,0.05776206,-0.4757027,0
1.600037,0.0614732,-0.4720629,0
1.615814,0.0651836,-0.4696212,0
1.633453,0.06889326,-0.4634173,0
1.659454,0.07260218,-0.4553794,0
1.682037,0.07631036,-0.4397838,0
1.708893,0.0800178,-0.4270308,0
1.73233,0.08372449,-0.4045047,0
1.748871,0.08743045,-0.3961408,0
1.765839,0.09113566,-0.3782343,0
1.781891,0.09484013,-0.3589017,0
1.799072,0.09854387,-0.3487625,0
1.816528,0.1022469,-0.3276778,0
1.832153,0.1059491,-0.305721,0
1.859497,0.1096506,-0.2831529,0
1.881805,0.1133514,-0.2487579,0
1.899078,0.1170514,-0.2372899,0
1.915955,0.1207507,-0.2145639,0
1.9328,0.1244493,-0.1923522,0
1.948608,0.1281471,-0.181525,0
1.966278,0.1318442,-0.1605923,0
1.98288,0.1355405,-0.1408275,0
2.009064,0.1392361,-0.1224574,0
2.032745,0.142931,-0.0979481,0
2.049042,0.1466251,-0.09067381,0
2.065918,0.1503185,-0.0775682,0
2.082336,0.1540111,-0.06646787,0
2.099426,0.157703,-0.06169154,0
2.115723,0.1613942,-0.05370994,0
2.132904,0.1650846,-0.04782701,0
2.159058,0.1687743,-0.04401555,0
2.182465,0.1724633,-0.04203686,0
2.199219,0.1761515,-0.04232466,0
2.215729,0.179839,-0.04422472,0
2.232422,0.1835257,-0.04776174,0
2.248993,0.1872117,-0.05009052,0
2.266693,0.190897,-0.05575124,0
2.282196,0.1945815,-0.0625826,0
2.299255,0.1982653,-0.0663723,0
2.32608,0.2019484,-0.07891724,0
2.349182,0.2056307,-0.08799331,0
2.365753,0.2093123,-0.09739605,0
2.382874,0.2129932,-0.1069279,0
2.398834,0.2166733,-0.1116846,0
2.416077,0.2203526,-0.121074,0
2.433502,0.2240313,-0.1301741,0
2.448883,0.2277092,-0.1345749,0
2.46579,0.2313864,-0.1430111,0
2.493622,0.2350628,-0.154607,0
2.515564,0.2387385,-0.1615641,0
2.532166,0.2424135,-0.1678892,0
2.549774,0.2460877,-0.1708212,0
2.565277,0.2497612,-0.1762534,0
2.582642,0.2534339,-0.1811704,0
2.598938,0.257106,-0.183465,0
2.616089,0.2607773,-0.1877979,0
2.645447,0.2644478,-0.1939142,0
2.665894,0.2681176,-0.1979621,0
2.682861,0.2717867,-0.2021844,0
2.699432,0.2754551,-0.2044167,0
2.715912,0.2791227,-0.209237,0
2.732117,0.2827896,-0.2146819,0
2.748718,0.2864558,-0.2176936,0
2.767151,0.2901212,-0.2244006,0
2.792755,0.2937859,-0.2364574,0
2.815491,0.2974498,-0.2460212,0
2.831696,0.301113,-0.2569306,0
2.84964,0.3047755,-0.2629147,0
2.865997,0.3084373,-0.2759745,0
2.882172,0.3120983,-0.2905086,0
2.898682,0.3157586,-0.2983276,0
2.915619,0.3194182,-0.3150476,0
2.932068,0.323077,-0.3331545,0
2.960297,0.3267351,-0.362689,0
2.981873,0.3303925,-0.3837526,0
2.999146,0.3340491,-0.3946301,0
3.01593,0.337705,-0.4169467,0
3.032837,0.3413602,-0.4398187,0
3.049042,0.3450146,-0.4513848,0
3.06604,0.3486683,-0.4746094,0
3.083099,0.3523213,-0.497722,0
3.108795,0.3559736,-0.5204306,0
3.132294,0.3596251,-0.5530853,0
3.149414,0.3632759,-0.5634463,0
3.16568,0.366926,-0.5831656,0
3.182037,0.3705753,-0.601318,0
3.199493,0.3742239,-0.609725,0
3.2164,0.3778718,-0.6250502,0
3.231415,0.3815189,-0.638211,0
3.249634,0.3851653,-0.6439202,0
3.275024,0.388811,-0.6573333,0
3.299316,0.3924559,-0.66304,0
3.31546,0.3961002,-0.6660798,0
3.33255,0.3997436,-0.6664382,0
3.348602,0.4033864,-0.6656207,0
3.365723,0.4070284,-0.6620363,0
3.389526,0.4106697,-0.6559479,-0.005477667
3.416565,0.4143077,-0.642473,-0.01361618
3.442413,0.4179383,-0.6244403,0
3.458832,0.4215682,-0.6175707,0
3.482422,0.4251974,-0.5949274,0
3.499695,0.4288259,-0.5868432,0
3.515625,0.4324536,-0.5701413,0
3.532532,0.4360806,-0.553045,0
3.549072,0.4397069,-0.5444707,0
3.575989,0.4433325,-0.5192364,0
3.592163,0.4469573,-0.503313,0
3.615387,0.4505814,-0.4885579,0
3.632843,0.4542048,-0.4753371,0
3.6492,0.4578275,-0.4694099,0
3.666229,0.4614494,-0.4591206,0
3.681885,0.4650706,-0.4511575,0
3.698792,0.4686911,-0.4481283,0
3.716003,0.4723109,-0.4441102,0
3.732971,0.4759299,-0.4429569,0
3.759888,0.4795483,-0.4447954,0
3.78241,0.4831659,-0.4533031,0
3.798645,0.4867827,-0.4576754,0
3.815826,0.4903989,-0.468685,0
3.832764,0.4940143,-0.4826219,0
3.848785,0.497629,-0.4906398,0
3.865845,0.501243,-0.5086469,0
3.882721,0.5048562,-0.5290744,0
3.899139,0.5084687,-0.5401058,0
3.926056,0.5120806,-0.5759708,0
3.948761,0.5156916,-0.601723,0
3.966217,0.519302,-0.6284735,0
3.982697,0.5229117,-0.6557851,0
3.99884,0.5265206,-0.6695091,0
4.015961,0.5301288,-0.6968034,0
4.032318,0.5337363,-0.7235013,0
4.049225,0.5373431,-0.7364799,0
4.075348,0.5409492,-0.7732462,0
4.098633,0.5445545,-0.7953957,0
4.115723,0.5481591,-0.8151686,0
4.132996,0.5517629,-0.832183,0
4.148926,0.5553661,-0.839547,0
4.16571,0.5589685,-0.8460963,0
4.182281,0.5625703,-0.8566105,0
4.199585,0.5661713,-0.8605136,0
4.227448,0.5697716,-0.8665066,0
4.249115,0.5733712,-0.8655591,0
4.266052,0.57697,-0.8605593,0
4.282593,0.5805682,-0.8514907,0
4.299164,0.5841656,-0.8454419,0
4.315857,0.5877622,-0.8303704,0
4.332825,0.5913582,-0.8114488,0
4.348999,0.5949534,-0.8006002,0
4.365936,0.5985479,-0.7762681,0
4.392883,0.6021417,-0.7336931,0
4.416595,0.6057348,-0.7017166,0
4.432648,0.6093272,-0.6672794,0
4.449707,0.6129189,-0.6492579,0
4.465942,0.6165098,-0.611861,0
4.482666,0.6201,-0.5730062,0
4.498993,0.6236895,-0.5531644,0
4.516083,0.6272783,-0.5129187,0
4.543671,0.6308664,-0.4519362,0
4.565491,0.6344538,-0.4114707,0
4.582703,0.6380404,-0.3716114,0
4.598907,0.6416264,-0.352023,0
4.61557,0.6452116,-0.3137394,0
4.63266,0.6487961,-0.2769018,0
4.649689,0.6523799,-0.2591118,0
4.666138,0.6559629,-0.2249389,0
4.692871,0.6595453,-0.177561,0
4.715424,0.6631269,-0.1487772,0
4.732819,0.6667079,-0.122342,0
4.749084,0.6702881,-0.1100187,0
4.765381,0.6738676,-0.08716192,0
4.782501,0.6774464,-0.06665953,0
4.79892,0.6810244,-0.05726889,0
4.815918,0.6846018,-0.04014152,0
4.832397,0.6881784,-0.02510218,0
4.858582,0.6917543,-0.01198079,0
4.881927,0.6953295,0.004547237,0
4.89917,0.698904,0.009327991,0
4.915771,0.7024778,0.01797804,0
4.93277,0.7060509,0.02562335,0
4.948608,0.7096232,0.02914936,0
4.965729,0.7131948,0.03576841,0
4.983124,0.7167658,0.04201991,0
5.008972,0.720336,0.04814619,0
5.032837,0.7239054,0.05759079,0
5.049072,0.7274742,0.06090838,0
5.065521,0.7310423,0.06793029,0
5.08252,0.7346096,0.07559058,0
5.099792,0.7381762,0.07969854,0
5.115417,0.7417421,0.08852822,0
5.132782,0.7453073,0.09822757,0
5.149231,0.7488718,0.1034141,0
5.175842,0.7524356,0.1203171,0
5.19873,0.7559986,0.1326571,0
5.216034,0.7595609,0.1457689,0
5.231964,0.7631226,0.1595428,0
5.248474,0.7666835,0.1666357,0
5.265594,0.7702436,0.1811348,0
5.282349,0.7738031,0.1959033,0
5.298798,0.7773619,0.2033286,0
5.316193,0.7809199,0.2181335,-5.19885E-05
5.342377,0.7844772,0.2398242,-0.07827221
5.366241,0.7879961,0.2536213,-0.1338854
5.382782,0.7914496,0.266634,-0.1867858
5.399017,0.7948123,0.2727803,-0.2193398
5.415741,0.7980685,0.2842273,-0.2523461
5.433319,0.8012023,0.2943914,-0.2952993
5.460419,0.804193,0.3068691,-0.3387047
5.482422,0.8070195,0.3131402,-0.362216
5.508148,0.8096707,0.3176493,-0.3861795
5.532379,0.8121351,0.3209623,-0.3997436
5.549927,0.814406,0.3211297,-0.4182813
5.575012,0.8164747,0.3188297,-0.4273241
5.59845,0.8183367,0.3150158,-0.4390798
5.615631,0.8199865,0.3094675,-0.4490268
5.632813,0.8214193,0.3022975,-0.4544525
5.659637,0.8226325,0.2936477,-0.455809
5.674835,0.8236255,0.2836856,-0.4426969
5.698608,0.8244047,0.2726007,-0.4255156
5.715729,0.8249784,0.2606001,-0.4128557
5.732574,0.8253527,0.2479039,-0.4020043
5.748901,0.825533,0.2413659,-0.3988394
5.766205,0.8255208,0.2280542,-0.3988394
5.792633,0.8253161,0.2079261,-0.4033607
5.808777,0.8249168,0.2012854,-0.4033607
5.832764,0.8243229,0.1819362,-0.4087864
5.848724,0.823532,0.175758,-0.4087864
5.865723,0.8225439,0.1639394,-0.40743
5.883118,0.8213595,0.1529628,-0.3929615
