Time,CV,FF,Input
0,0,0.805491,0
0.0149231,0,0.8039248,0
0.03250122,0,0.7974825,0
0.04901123,0,0.7926365,0
0.06552124,0,0.7718899,0
0.08247375,0,0.7532292,0
0.1160278,0,0.7188938,0
0.1314392,0,0.6924225,0
0.1467438,0,0.6783011,0
0.1638489,0,0.6636803,0
0.1806641,0,0.633228,0
0.1968384,0,0.6175454,0
0.2141876,0,0.5856496,0
0.2312164,0,0.5535658,0
0.2483215,0,0.5376484,0
0.2777405,0,0.4913169,0
0.2982025,0,0.4486593,0
0.3145752,0,0.423172,0
0.3316803,0,0.4006096,0
0.3487091,0,0.3905571,0
0.3653717,0,0.3731348,0
0.3815002,0,0.359533,0
0.3986359,0,0.354237,0
0.4263153,0,0.3445837,0
0.4480896,0,0.3434118,0
0.4653015,0,0.3464077,0
0.4818268,0,0.3534332,0
0.498703,0,0.3583899,0
0.514679,0,0.3710111,0
0.5318756,0,0.3869451,0
0.5484467,0,0.3960258,0
0.5650024,0,0.4161216,0
0.595047,0,0.4501164,0
0.6147003,0,0.4745148,0
0.6313934,0,0.4995916,0
0.6490631,0,0.5121875,0
0.6655273,0,0.5370958,0
0.6824799,0,0.561097,0
0.6994629,0,0.5725618,0
0.7144623,0,0.5940413,0
0.7320251,0,0.6131068,0
0.7606354,0,0.6360142,0
0.7814484,0,0.6468043,0
0.7987671,0,0.6507018,0
0.8150024,0,0.6552907,0
0.8319244,0,0.6553783,0
0.8491669,0,0.6536682,0
0.8652344,0,0.646653,0
0.8818512,0,0.6347889,0
0.8988953,0,0.6270372,0
0.9263916,0,0.5966201,0
0.9490814,0,0.5705694,0
0.9655914,0,0.5401694,0
0.9817657,0,0.5057264,0
0.998703,0,0.4871012,0
1.015015,0,0.4472963,0
1.032227,0,0.4044556,0
1.049042,0,0.382044,0
1.075851,0,0.3115898,0
1.098892,0,0.2625792,0
1.115723,0,0.2125401,0
1.131302,0,0.161984,0
1.148956,0,0.1366675,0
1.165115,0,0.08625536,0
1.1819,0,0.03651004,0
1.199081,0,0.01201799,0
1.225372,0,-0.05937757,-0.05295238
1.249619,-2.55482E-05,-0.10484,-0.1108263
1.275848,-0.0001045863,-0.1691883,-0.1664395
1.298996,-0.0002639349,-0.2092566,-0.216627
1.316101,-0.0005277873,-0.2469265,-0.2731445
1.331863,-0.0009234557,-0.2821507,-0.3066029
1.348862,-0.001466979,-0.2988468,-0.3445826
1.365326,-0.00217668,-0.3304395,-0.3934137
1.39415,-0.003076066,-0.3735209,-0.4422448
1.415604,-0.004188694,-0.3995839,-0.4571654
1.431931,-0.005521718,-0.4237413,-0.4571654
1.448807,-0.007075094,-0.435174,-0.455809
1.465744,-0.008848107,-0.4568969,-0.455809
1.491653,-0.01084071,-0.4870993,-0.4757031
1.514847,-0.01306247,-0.506023,-0.4955972
1.531937,-0.01552291,-0.5242747,-0.5209171
1.559921,-0.01823422,-0.5420957,-0.546689
1.582214,-0.02120878,-0.5684945,-0.5539232
1.618225,-0.02445005,-0.5950361,-0.5317684
1.631699,-0.02794728,-0.6130363,-0.4942408
1.647659,-0.03168232,-0.622162,-0.4553568
1.664719,-0.03563635,-0.6406935,-0.4196378
1.681473,-0.03979208,-0.6596037,-0.3879881
1.698639,-0.04413417,-0.6691921,-0.3292098
1.724854,-0.04863427,-0.6983802,-0.2654581
1.747421,-0.05326154,-0.7180454,-0.1696045
1.764755,-0.05796972,-0.7376928,-0.1013313
1.781616,-0.06272588,-0.7571251,0
1.798096,-0.06748109,-0.7666907,0
1.815063,-0.07223534,-0.7853668,0
1.842285,-0.07698864,-0.8117487,0
1.874664,-0.081741,-0.8353465,0
