Time,CV,FF,Input
0,0,-0.791238,0
0.01564693,0,-0.7777878,0
0.03268909,0,-0.7500234,0
0.04956913,0,-0.7358032,0
0.06555653,0,-0.6923848,0
0.08281422,0,-0.6633232,0
0.09912968,0,-0.6489156,0
0.1156855,0,-0.6206132,0
0.1332026,0,-0.593346,0
0.1492929,0,-0.5802304,0
0.166378,0,-0.5675273,0
0.1825199,0,-0.5435532,0
0.198988,0,-0.5323752,0
0.2157726,0,-0.5118558,0
0.2363319,0,-0.4940503,0
0.2494898,0,-0.486255,0
0.2655869,0,-0.4730349,0
0.2824945,0,-0.4631459,0
0.2994089,0,-0.4567465,0
0.3156662,0,-0.4539393,0
0.3327141,0,-0.4547684,0
0.3493776,0,-0.4565442,0
0.365695,0,-0.4627806,0
0.3828058,0,-0.4725033,0
0.3996696,0,-0.4786234,0
0.4166803,0,-0.4932536,0
0.4345179,0,-0.5108612,0
0.4494419,0,-0.5206915,0
0.4656162,0,-0.5421999,0
0.4823637,0,-0.5658689,0
0.4986639,0,-0.5783916,0
0.5161476,0,-0.6045529,0
0.5327177,0,-0.6318371,0
0.5494499,0,-0.6457594,0
0.5656586,0,-0.6738763,0
0.5826521,0,-0.7019695,0
0.5998049,0,-0.7158628,0
0.6163168,0,-0.7430583,0
0.6327248,0,-0.7690991,0
0.6513138,0,-0.7935647,0
0.6658306,0,-0.8050833,0
0.6821356,0,-0.8264645,0
0.6992321,0,-0.8362432,0
0.715806,0,-0.8537888,0
0.7333355,0,-0.8684354,0
0.7487593,0,-0.8746027,0
0.765605,0,-0.8845169,0
0.7824888,0,-0.8911005,0
0.7992611,0,-0.8931182,0
0.8162231,0,-0.8945866,0
0.8332214,0,-0.8926497,0
0.8517609,0,-0.8873783,0
0.8664751,0,-0.8835292,0
0.8828335,0,-0.8735074,0
0.8994389,0,-0.867385,0
0.9164619,0,-0.8530648,0
0.9334698,0,-0.8362042,0
0.9491625,0,-0.826915,0
0.9661865,0,-0.8068232,0
0.982542,0,-0.7850056,0
0.9987917,0,-0.7735636,0
1.015355,0,-0.7498492,0
1.03192,0,-0.7253472,0
1.048806,0,-0.712921,0
1.067486,0,-0.6879557,0
1.082655,0,-0.6631487,0
1.1045,0,-0.6388547,0
1.116572,0,-0.6270046,0
1.132096,0,-0.6040916,0
1.149531,0,-0.5930999,0
1.166027,0,-0.5722063,0
1.182542,0,-0.5529502,0
1.19945,0,-0.543995,0
1.216471,0,-0.527523,0
1.232647,0,-0.5130574,0
1.249309,0,-0.5065988,0
1.267398,0,-0.4952463,0
1.282371,0,-0.4859672,0
1.298745,0,-0.482089,0
1.315598,0,-0.4757976,0
1.332988,0,-0.4713513,0
1.349293,0,-0.46977,0
1.365633,0,-0.4677703,0
1.382895,0,-0.4671366,0
1.39936,0,-0.4672561,0
1.416357,0,-0.4682027,0
1.43264,0,-0.4698598,0
1.448923,0,-0.4708642,0
1.466131,0,-0.4730396,0
1.485316,0,-0.4751885,0
1.49943,0,-0.4761607,0
1.516137,0,-0.4777206,0
1.532652,0,-0.4785382,0
1.549243,0,-0.4785872,0
1.565468,0,-0.4778149,0
1.583118,0,-0.4757027,0.005025554
1.599382,2.425117E-06,-0.4740841,0.02401543
1.616239,1.643857E-05,-0.4696212,0.03712746
1.632661,4.836533E-05,-0.4634173,0.05430877
1.649425,0.0001064928,-0.4596318,0.06651658
1.665609,0.0001967067,-0.4506551,0.08098505
1.682611,0.0003259825,-0.4397838,0.09726208
1.701849,0.0005021669,-0.4270308,0.1063049
1.716554,0.0007296142,-0.4199642,0.1234862
1.732382,0.001016605,-0.4045047,0.1384068
1.749506,0.001370328,-0.3961408,0.1515189
1.765654,0.001797097,-0.3782343,0.1705087
1.782458,0.00230606,-0.3589017,0.1840729
1.799629,0.002903747,-0.3487625,0.2044192
1.815669,0.003599959,-0.3276778,0.2152706
1.832465,0.004399912,-0.305721,0.2270263
1.848985,0.005309258,-0.2944964,0.2383297
1.865696,0.00633343,-0.271725,0.2460161
1.882806,0.007476114,-0.2487579,0.2546068
1.901322,0.008741432,-0.2258801,0.2600324
1.916673,0.01013198,-0.2145639,0.2699795
1.932189,0.01165253,-0.1923522,0.2745009
1.948975,0.01330523,-0.181525,0.2790222
1.965365,0.01509225,-0.1605923,0.2867087
1.98254,0.01701727,-0.1408275,0.2889694
1.999021,0.01908134,-0.1314549,0.293943
2.015868,0.02128685,-0.1138591,0.2993686
2.033496,0.02363638,-0.0979481,0.3020814
2.049324,0.02613121,-0.09067381,0.3025335
2.066072,0.02877153,-0.0775682,0.300725
2.082815,0.03155643,-0.06646787,0.2894215
2.10143,0.03448045,-0.05743812,0.2853523
2.116216,0.03754158,-0.05370994,0.2844479
2.132686,0.04073936,-0.04782701,0.2830916
2.150059,0.0440731,-0.04401555,0.274953
2.16645,0.04753887,-0.04286845,0.2595803
2.182853,0.0511292,-0.04203686,0.2496332
2.199409,0.05483928,-0.04232466,0.2414947
2.215383,0.05866515,-0.04422472,0.2324519
2.23246,0.06260242,-0.04776174,0.2324519
2.248463,0.06665108,-0.05009052,0.2324519
2.264902,0.07081111,-0.05575124,0.2319997
2.28178,0.07508225,-0.0625826,0.229739
2.298926,0.0794634,-0.0663723,0.2216005
2.316859,0.08395061,-0.07456644,0.216627
2.332335,0.08854146,-0.08340163,0.2084885
2.348775,0.09323199,-0.08799331,0.2048714
2.365595,0.09802045,-0.09739605,0.2017064
2.383113,0.1029053,-0.1069279,0.2017064
2.399429,0.1078865,-0.1116846,0.1985414
2.416452,0.1129625,-0.121074,0.1872379
2.432174,0.1181278,-0.1301741,0.1781951
2.44925,0.1233781,-0.1345749,0.1632745
2.466417,0.1287062,-0.1430111,0.1420239
2.482702,0.1341017,-0.1508925,0.1216776
2.499225,0.1395549,-0.154607,0.09183641
2.517919,0.1450512,-0.1615641,0.0656123
2.532575,0.1505782,-0.1678892,0.03486679
2.548811,0.1561208,-0.1708212,0
2.565069,0.1616624,-0.1762534,0
2.582551,0.1672028,-0.1811704,0
2.598725,0.1727422,-0.183465,0
2.615657,0.1782804,-0.1877979,0
2.632476,0.1838175,-0.1919017,0
2.649376,0.1893535,-0.1939142,0
2.66578,0.1948884,-0.1979621,0
2.682608,0.2004222,-0.2021844,0
2.699167,0.2059549,-0.2044167,0
2.715976,0.2114865,-0.209237,0
2.734352,0.217017,-0.2146819,0
2.749714,0.2225464,-0.2176936,0
2.766425,0.2280747,-0.2244006,0
2.782452,0.2336018,-0.2321486,0
2.7994,0.2391279,-0.2364574,0
2.816243,0.2446529,-0.2460212,0
2.832614,0.2501767,-0.2569306,0
2.849267,0.2556995,-0.2629147,0
2.865143,0.2612211,-0.2759745,0
2.882455,0.2667417,-0.2905086,0
2.898992,0.2722611,-0.2983276,0
2.91657,0.2777795,-0.3150476,0
2.934572,0.2832967,-0.3331545,0
2.949283,0.2888129,-0.3426985,0
2.965535,0.2943279,-0.362689,0
2.983338,0.2998419,-0.3837526,0
2.998968,0.3053547,-0.3946301,0
3.015391,0.3108664,-0.4169467,0
3.032337,0.316377,-0.4398187,0
3.049283,0.3218866,-0.4513848,0
3.065948,0.327395,-0.4746094,0
3.082691,0.3329023,-0.497722,0
3.099465,0.3384085,-0.5091453,0
3.116529,0.3439136,-0.5315406,0
3.132546,0.3494177,-0.5530853,0
3.150823,0.3549206,-0.5734848,0
3.165745,0.3604224,-0.5831656,0
3.182451,0.3659231,-0.601318,0
3.199045,0.3714227,-0.609725,0
3.216374,0.3769213,-0.6250502,0
3.233406,0.3824187,-0.638211,0
3.249085,0.387915,-0.6439202,0
3.26538,0.3934102,-0.6534974,0
3.282348,0.3989044,-0.6605172,0
3.29876,0.4043974,-0.66304,0
3.316098,0.4098893,-0.6660798,0
3.332671,0.4153802,-0.6664382,0
3.351192,0.4208699,-0.6641494,0
3.366529,0.4263585,-0.6620363,0
3.382739,0.4318461,-0.6559479,0
3.399076,0.4373325,-0.6520115,0
3.415732,0.4428179,-0.642473,0
3.432784,0.4483021,-0.6309046,0
3.449399,0.4537853,-0.6244403,0
3.466257,0.4592673,-0.6103345,0
3.482357,0.4647483,-0.5949274,0
3.499155,0.4702282,-0.5868432,0
3.515424,0.4757069,-0.5701413,0
3.53238,0.4811846,-0.553045,0
3.549138,0.4866612,-0.5444707,0
3.567268,0.4921367,-0.5275169,0
3.582831,0.4976111,-0.5111523,0
3.598718,0.5030844,-0.503313,0
3.615553,0.5085565,-0.4885579,0
3.632698,0.5140277,-0.4753371,0
3.649568,0.5194977,-0.4694099,0
3.666323,0.5249666,-0.4591206,0
3.683006,0.5304344,-0.4511575,0
3.700233,0.5359012,-0.4457712,0
3.715931,0.5413668,-0.4441102,0
3.732989,0.5468314,-0.4429569,0
3.749667,0.5522949,-0.4434964,0
3.768157,0.5577572,-0.4468611,0
3.78229,0.5632185,-0.4533031,0
3.798784,0.5686787,-0.4576754,0
3.815539,0.5741378,-0.468685,0
3.832561,0.5795958,-0.4826219,0
3.848831,0.5850527,-0.4906398,0
3.865651,0.5905086,-0.5086469,0
3.882215,0.5959633,-0.5290744,0
3.898837,0.6014169,-0.5401058,0
3.916471,0.6068695,-0.5635989,0
3.93297,0.612321,-0.5886957,0
3.949379,0.6177713,-0.601723,0
3.96632,0.6232206,-0.6284735,0
3.984673,0.6286688,-0.6557851,0
3.999179,0.6341159,-0.6695091,0
4.015999,0.639562,-0.6968034,0
4.03262,0.6450069,-0.7235013,0
4.04936,0.6504508,-0.7364799,0
4.065541,0.6558935,-0.7614087,0
4.082015,0.6613352,-0.7845929,0
4.098781,0.6667758,-0.7953957,0
4.115844,0.6722153,-0.8151686,0
4.132084,0.6776537,-0.832183,0
4.149683,0.683091,-0.839547,0
4.165605,0.6885272,-0.8460963,0
4.182586,0.6939624,-0.8566105,0
4.20262,0.6993964,-0.8634784,0
4.216108,0.7048294,-0.8654824,0
4.23237,0.7102613,-0.866536,0
4.249399,0.7156921,-0.8655591,0
4.266408,0.7211218,-0.8605593,0
4.283179,0.7265505,-0.8514907,0
4.299448,0.731978,-0.8454419,0
4.315653,0.7374045,-0.8303704,0
4.332536,0.7428299,-0.8114488,0
4.348975,0.7482542,-0.8006002,0
4.365597,0.7536774,-0.7762681,0
4.381962,0.7590995,-0.7486451,0
4.399059,0.7645205,-0.7336931,0
4.417785,0.7699405,-0.7017166,0
4.43239,0.7753594,-0.6672794,0
4.449099,0.7807772,-0.6492579,0
4.465724,0.7861938,-0.611861,0
4.483671,0.7916095,-0.5730062,0
4.499785,0.797024,-0.5531644,0
4.516459,0.8024375,-0.5129187,0
4.532652,0.8078499,-0.4722762,0
4.549215,0.8132612,-0.4519362,0
4.56531,0.8186713,-0.4114707,0
4.582216,0.8240805,-0.3716114,0
4.5986,0.8294885,-0.352023,0
4.615436,0.8348955,-0.3137394,0
4.634521,0.8403014,-0.2769018,0
4.649213,0.8457062,-0.2591118,0
4.665572,0.8511099,-0.2249389,0
4.682851,0.8565125,-0.1928086,0
4.699243,0.8619141,-0.177561,0
4.71623,0.8673146,-0.1487772,0
4.73255,0.872714,-0.122342,0
4.74887,0.8781123,-0.1100187,0
4.766261,0.8835096,-0.08716192,0
4.782818,0.8889058,-0.06665953,0
4.799559,0.8943008,-0.05726889,0
4.816412,0.8996948,-0.04014152,0
4.83417,0.9050877,-0.02510218,0
4.848723,0.9104795,-0.01831357,0
4.865504,0.9158703,-0.006078095,0
4.882773,0.92126,0.004547237,0
4.898655,0.9266486,0.009327991,0
4.915805,0.9320362,0.01797804,0
4.932814,0.9374226,0.02562335,0
4.949004,0.942808,0.02914936,0
4.966114,0.9481924,0.03576841,0
4.982295,0.9535756,0.04201991,0
4.999483,0.9589577,0.04508412,0
5.015581,0.9643387,0.05123392,0
5.033284,0.9697187,0.05759079,0
5.051226,0.9750976,0.06434825,0
5.066352,0.9804754,0.06793029,0
5.082537,0.9858522,0.07559058,0
5.098766,0.9912279,0.07969854,0
5.115541,0.9966025,0.08852822,0
5.131896,1.001976,0.09822757,0
5.148742,1.007349,0.1034141,0
5.165591,1.01272,0.114462,0
5.182755,1.01809,0.126385,0
5.199623,1.023459,0.1326571,0
5.216279,1.028827,0.1457689,0
5.232624,1.034194,0.1595428,0
5.249426,1.03956,0.1666357,0
5.268251,1.044925,0.1811348,0
5.282626,1.050289,0.1959033,0
5.299827,1.055652,0.2033286,0
5.315717,1.061014,0.2181335,0
5.332255,1.066374,0.2326992,0
5.349672,1.071734,0.2398242,0
5.365312,1.077092,0.2536213,0
5.382666,1.08245,0.266634,0
5.398561,1.087806,0.2727803,0
5.415677,1.093161,0.2842273,0
5.432755,1.098516,0.2943914,0
5.449553,1.103869,0.2989388,0
5.468642,1.109221,0.3068691,0
5.482572,1.114572,0.3131402,0
5.499303,1.119922,0.3156202,0
5.515808,1.125271,0.3192195,0
5.532473,1.130619,0.3209623,0
5.549317,1.135965,0.3211297,0
