Time,CV,FF,Input
0,0,-0.791238,0
0.01580811,0,-0.7777878,0
0.0322876,0,-0.7500234,0
0.0491333,0,-0.7358032,0
0.06542969,0,-0.6923848,0
0.08184814,0,-0.6633232,0
0.09857178,0,-0.6489156,0
0.1159668,0,-0.6206132,0
0.135376,0,-0.593346,0
0.1487427,0,-0.5802304,0
0.1650391,0,-0.5675273,0
0.1821289,0,-0.5435532,0
0.1987305,0,-0.5323752,0
0.21521,0,-0.5118558,0
0.2316895,0,-0.4940503,0
0.2484741,0,-0.486255,0
0.2651978,0,-0.4730349,0
0.2822266,0,-0.4631459,0
0.298645,0,-0.4567465,0
0.3148193,0,-0.4539393,0
0.3319702,0,-0.4547684,0
0.350647,0,-0.4592187,0
0.3650513,0,-0.4627806,0
0.3823853,0,-0.4725033,0
0.3986816,0,-0.4786234,0
0.414978,0,-0.4932536,0
0.4320679,0,-0.5108612,0
0.4487305,0,-0.5206915,0
0.465271,0,-0.5421999,0
0.4820557,0,-0.5658689,0
0.4987793,0,-0.5783916,0
0.5158691,0,-0.6045529,0
0.5322266,0,-0.6318371,0
0.5510864,0,-0.6597918,0
0.5650024,0,-0.6738763,0
0.5824585,0,-0.7019695,0
0.5990601,0,-0.7158628,0
0.6154785,0,-0.7430583,0
0.632019,0,-0.7690991,0
0.6488037,0,-0.781554,0
0.6651001,0,-0.8050833,0
0.6820679,0,-0.8264645,0
0.6986084,0,-0.8362432,0
0.7151489,0,-0.8537888,0
0.7321167,0,-0.8684354,0
0.7490845,0,-0.8746027,0
0.7679443,0,-0.8845169,0
0.7818604,0,-0.8911005,0
0.7985229,0,-0.8931182,0
0.8154297,0,-0.8945866,0
0.8322754,0,-0.8926497,0
0.8485718,0,-0.8904243,0
0.8650513,0,-0.8835292,0
0.881958,0,-0.8735074,0
0.8982544,0,-0.867385,0
0.914917,0,-0.8530648,0
0.9317627,0,-0.8362042,0
0.9481201,0,-0.826915,0
0.965271,0,-0.8068232,0
0.9838867,0,-0.7850056,0.02130259
0.9985352,1.027972E-05,-0.7735636,0.0384839
1.016235,3.912806E-05,-0.7498492,0.05069166
1.03241,9.243226E-05,-0.7253472,0.06063873
1.049377,0.0001749875,-0.712921,0.07194225
1.065125,0.0002922424,-0.6879557,0.07601149
1.082764,0.0004461538,-0.6631487,0.07917649
1.099365,0.0006382416,-0.6509163,0.08505429
1.115601,0.0008713345,-0.6270046,0.09228852
1.132385,0.001148915,-0.6040916,0.1044963
1.14917,0.001476866,-0.5930999,0.1135391
1.1651,0.00185954,-0.5722063,0.1307204
1.182495,0.002305218,-0.5529502,0.1429282
1.200378,0.002819778,-0.5355142,0.1587531
1.214478,0.003410842,-0.527523,0.1732216
1.231445,0.004085378,-0.5130574,0.1854293
1.248718,0.004849259,-0.5065988,0.2030628
1.265259,0.005710976,-0.4952463,0.216627
1.282043,0.006677056,-0.4859672,0.239234
1.298889,0.007758387,-0.482089,0.2550589
1.315308,0.008962583,-0.4757976,0.2699795
1.332153,0.01029682,-0.4713513,0.2912301
1.349304,0.01177132,-0.46977,0.3061506
1.366699,0.01339327,-0.4677703,0.3224277
1.382385,0.01517047,-0.4671366,0.3355398
1.398254,0.01710925,-0.4672561,0.3472954
1.41687,0.01921522,-0.4682027,0.3604074
1.431885,0.02149469,-0.4698598,0.3699025
1.448486,0.0239522,-0.4708642,0.3812059
1.465393,0.02659317,-0.4730396,0.3888923
1.481567,0.02942128,-0.4751885,0.3983872
1.498413,0.03244107,-0.4761607,0.4092385
1.51532,0.03565774,-0.4777206,0.4187335
1.532593,0.03907582,-0.4785382,0.4350106
1.548462,0.04270314,-0.4785872,0.4449576
1.564819,0.04654445,-0.4778149,0.455809
1.58197,0.05060495,-0.4757027,0.4702774
1.598633,0.05489157,-0.4740841,0.4824852
1.617554,0.05941016,-0.4696212,0.4965016
1.631958,0.06416743,-0.4634173,0.5037358
1.649109,0.06916684,-0.4596318,0.514135
1.665222,0.07441334,-0.4506551,0.5249864
1.681824,0.07991214,-0.4397838,0.5340291
1.698608,0.08566754,-0.4336401,0.5362899
1.71521,0.09168057,-0.4199642,0.5362899
1.731384,0.0979512,-0.4045047,0.5322206
1.748535,0.1044774,-0.3961408,0.5069008
1.765625,0.1112469,-0.3782343,0.4933366
1.782043,0.1182531,-0.3589017,0.4707296
1.798218,0.1254851,-0.3487625,0.4585218
1.81543,0.1329368,-0.3276778,0.4377234
1.833984,0.1405984,-0.305721,0.4110471
1.848511,0.1484567,-0.2944964,0.3825623
1.86554,0.1564981,-0.271725,0.349104
1.882324,0.1647063,-0.2487579,0.3192628
1.898621,0.173067,-0.2372899,0.2808308
1.914856,0.1815615,-0.2145639,0.2527982
1.931885,0.1901762,-0.1923522,0.2202441
1.948242,0.1988956,-0.181525,0.1786472
1.96521,0.2076994,-0.1605923,0.1533274
1.982361,0.2165754,-0.1408275,0.1148955
1.998413,0.2255051,-0.1314549,0.09680992
2.015381,0.2344798,-0.1138591,0.07601149
2.032043,0.2434893,-0.0979481,0.05250021
2.050415,0.2525223,-0.08387588,0.03667535
2.065125,0.2615713,-0.0775682,0.02039831
2.081482,0.2706283,-0.06646787,0
2.098755,0.2796834,-0.06169154,0
2.114929,0.2887368,-0.05370994,0
2.132507,0.2977883,-0.04782701,0
2.149231,0.3068381,-0.04566544,0
2.164795,0.315886,-0.04286845,0
2.182373,0.3249321,-0.04203686,0
2.198242,0.3339764,-0.04232466,0
2.215149,0.3430189,-0.04422472,0
2.2323,0.3520596,-0.04776174,0
2.249939,0.3610985,-0.05009052,0
2.265442,0.3701356,-0.05575124,0
2.281738,0.3791708,-0.0625826,0
2.298828,0.3882043,-0.0663723,0
2.315491,0.397236,-0.07456644,0
2.331543,0.4062658,-0.08340163,0
2.348389,0.4152938,-0.08799331,0
2.365356,0.4243201,-0.09739605,0
2.381592,0.4333445,-0.1069279,0
2.39856,0.4423671,-0.1116846,0
2.415283,0.4513879,-0.121074,0
