Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01399708,0,0.03503782,0,0.5704651
0.03048229,0,0.02765206,0,0.5354309
0.04730129,0,0.0239619,0,0.507782
0.0647974,0,0.01666,0,0.4838257
0.08103657,0,0.009559959,0,0.4671631
0.09814835,0,0.006121606,0,0.4576111
0.1146889,0,-0.0004616678,0,0.4515076
0.1321735,0,-0.006564647,0,0.4519653
0.1479244,0,-0.009404272,0,0.4585266
0.1644506,0,-0.01460135,0,0.467926
0.18083,0,-0.01908526,0,0.4825439
0.1982021,0,-0.02103618,0,0.5016174
0.2168875,0,-0.02431637,0,0.522644
0.2314215,0,-0.02672499,0,0.5469666
0.2476664,0,-0.02759004,0,0.5737
0.2640743,0,-0.02862579,0,0.6012878
0.281148,0,-0.02872622,0,0.6299133
0.2971315,0,-0.02842617,0,0.6586304
0.3153706,0,-0.02713561,0,0.6870422
0.3307829,0,-0.02494991,0,0.7141724
0.3472633,0,-0.02353472,0,0.7391357
0.3637514,0,-0.02009535,0,0.7626648
0.3807154,0,-0.01590151,0,0.7827454
0.3974342,0,-0.01354665,0,0.798645
0.4139318,0,-0.008377612,0,0.8121948
0.4330502,0,-0.002680182,0,0.8205872
0.4476051,0,0.00033319,0,0.8232727
0.4640598,0,0.006617308,0,0.822937
0.4808321,0,0.01314491,0,0.8163147
0.4977627,0,0.01646149,0,0.8031616
0.5145235,0,0.02312189,0,0.7867126
0.5315952,0,0.02971423,0,0.7635803
0.5478745,0,0.03294587,0,0.7338562
0.5647678,0,0.03920478,0,0.7008972
0.5810976,0,0.04509395,0,0.6616821
0.5980177,0,0.04786515,0,0.6165771
0.6148815,0,0.05299652,0,0.5687256
0.6337118,0,0.05750155,0,0.5157166
0.6481171,0,0.05949274,0,0.4582214
0.6637411,0,0.06290661,0,0.3987427
0.6804686,0,0.06551233,0,0.3358459
0.6980343,0,0.06649685,0,0.2703247
0.7144346,0,0.06780744,0,0.2038269
0.731348,0,0.06822322,0,0.1360168
0.7475872,0,0.06809321,0,0.06777954
0.764823,0,0.06716168,0,-0.0003105462
0.7814322,0,0.06535304,0,-0.06747222
0.7978086,0,0.06413031,0,-0.1328253
0.8142614,0,0.06107795,0,-0.1969556
0.8308811,0,0.05726671,0,-0.2580335
0.8496943,0,0.05509853,0,-0.3153003
0.8646479,0,0.05028832,0,-0.3703989
0.881196,0,0.04492188,0,-0.4206873
0.8979845,0,0.04206097,0,-0.4656091
0.9142351,0,0.03604949,0,-0.5076702
0.9316664,0,0.02974355,0,-0.5437196
0.9481659,0,0.02651572,0,-0.5734631
0.9644699,0,0.01998258,0,-0.5999789
0.9807339,0,0.01344264,0,-0.6199615
0.9976692,0,0.01020598,0,-0.6334042
1.014563,0,0.003868937,0,-0.6436103
1.031661,0,-0.002197385,0,-0.6474792
1.050051,0,-0.007892251,0,-0.6452819
1.064666,0,-0.01057148,0,-0.6373897
1.081032,0,-0.01554143,0,-0.6268182
1.097869,0,-0.01781344,0,-0.6112768
1.115276,0,-0.02189088,0,-0.5934634
1.130561,0,-0.02530253,0,-0.5715726
1.147594,0,-0.02674544,0,-0.5462701
1.16422,0,-0.0290885,0,-0.5195247
1.181308,0,-0.0306952,0,-0.4904363
1.198099,0,-0.03122163,0,-0.4597411
1.214046,0,-0.03172791,0,-0.4285195
1.230963,0,-0.03152591,0,-0.3967916
1.247363,0,-0.03117073,0,-0.3652657
1.266647,0,-0.02998239,0,-0.334095
1.280916,0,-0.02820724,0,-0.3041126
1.297768,0,-0.02712137,0,-0.2759054
1.314557,0,-0.02460307,0,-0.2487841
1.331396,0,-0.02169573,0,-0.224181
1.347218,0,-0.02012563,0,-0.2024853
1.364799,0,-0.01681477,0,-0.1823597
1.381102,0,-0.01336282,0,-0.1655449
1.39794,0,-0.01161706,0,-0.1521821
1.414354,0,-0.008152664,0,-0.140565
1.431592,0,-0.004812717,0,-0.1324124
1.447974,0,-0.003221929,0,-0.1275996
1.466784,0,-0.0002611279,0,-0.1243777
1.481632,0,0.002326548,0,-0.1241166
1.497458,0,0.003452897,0,-0.1264431
1.514511,0,0.005320191,0,-0.129896
1.530898,0,0.006614864,0,-0.1352162
1.547332,0,0.007028222,0,-0.1418311
1.5647,0,0.00735569,0,-0.1488593
1.580893,0,0.006986022,0,-0.156215
1.598043,0,0.006531358,0,-0.163201
1.61481,0,0.005074084,0,-0.1697324
1.63047,0,0.002886415,0,-0.1748065
1.647793,0,0.001522303,0,-0.1776929
1.664368,0,-0.00173068,0,-0.1792153
1.683247,0,-0.005651474,0,-0.1774846
1.697936,0,-0.007846951,0,-0.1718331
1.714621,0,-0.01267022,0,-0.1639861
1.731383,0,-0.0180099,0,-0.151316
1.747627,0,-0.02084833,0,-0.1333061
1.764644,0,-0.02680665,0,-0.1124577
1.781457,0,-0.03305972,0,-0.08565107
1.797049,0,-0.03626499,0,-0.05259135
1.814499,0,-0.04276636,0,-0.01632636
1.830994,0,-0.0492975,0,0.02642822
1.848224,0,-0.05253959,0,0.07571411
1.86412,0,-0.0589073,0,0.1282654
1.881215,0,-0.06502869,0,0.1871643
1.900428,0,-0.07079767,0,0.2521973
1.914798,0,-0.07351837,0,0.322998
1.931514,0,-0.07857281,0,0.3965149
1.948053,0,-0.08088437,0,0.4750977
1.964366,0,-0.08502573,0,0.5559692
1.9814,0,-0.08846515,0,0.6409912
1.997834,0,-0.08990234,0,0.7294617
2.014619,0,-0.09217989,0,0.8193665
2.031024,0,-0.09362972,0,0.9115601
2.047093,0,-0.09403574,0,1.005188
2.064481,0,-0.09420061,0,1.099213
2.080995,0,-0.09350121,0,1.19342
2.103866,0,-0.09194934,0,1.286926
2.117114,0,-0.09086108,0,1.378876
2.13037,0,-0.08808279,0,1.469727
2.147378,0,-0.08640432,0,1.5578
2.164155,0,-0.08250308,0,1.644196
2.180512,0,-0.07793117,0,1.726685
2.197999,0,-0.07541656,0,1.804626
2.214627,0,-0.06998038,0,1.880035
2.231364,0,-0.06407452,0,1.950012
2.2475,0,-0.06097436,0,2.014099
2.26407,0,-0.05453897,0,2.075073
2.280936,0,-0.0478723,0,2.129608
2.297088,0,-0.04448295,0,2.17749
2.314799,0,-0.03765392,0,2.221985
2.334046,0,-0.0308373,0,2.259644
2.347508,0,-0.0274632,0,2.290466
2.364135,0,-0.02083707,0,2.317932
2.380664,0,-0.01444316,0,2.338776
2.397546,0,-0.01135731,0,2.35321
2.414308,0,-0.005449057,0,2.364563
2.431415,0,5.817413E-05,0,2.370026
2.447885,0,0.002645731,0,2.369965
2.463778,0,0.007464886,0,2.36731
2.481238,0,0.01178432,0,2.359833
2.497531,0,0.01375127,0,2.348053
2.514045,0,0.01729393,0,2.33429
2.531501,0,0.02031851,0,2.316986
2.549253,0.01171149,0.0216403,0.0443617,2.296661
2.564712,0.02949687,0.02391887,0.1117306,2.263306
2.581454,0.0521762,0.02573752,0.1976371,2.209869
2.597835,0.06638063,0.02648735,0.2514418,2.131958
2.614278,0.0780784,0.02769995,0.2957515,2.039093
2.631518,0.09180534,0.02857685,0.3477475,1.933319
2.647508,0.09574441,0.02890873,0.3626682,1.812958
2.664351,0.09705739,0.02940249,0.3676417,1.688324
