Time,CV,FF,Input
0,0,-0.791238,0
0.01646423,0,-0.7777878,0
0.03260803,0,-0.7500234,0
0.04948425,0,-0.7358032,0
0.06881714,0,-0.6923848,0
0.08242798,0,-0.6633232,0
0.09922791,0,-0.6489156,0
0.1163788,0,-0.6206132,0
0.1326141,0,-0.593346,0
0.1495972,0,-0.5802304,0
0.1656494,0,-0.5675273,0
0.182785,0,-0.5435532,0
0.1995087,0,-0.5323752,0
0.2164764,0,-0.5118558,0
0.2327576,0,-0.4940503,0
0.2496948,0,-0.486255,0
0.2677612,0,-0.4730349,0
0.2825775,0,-0.4631459,0
0.2991486,0,-0.4567465,0
0.3166046,0,-0.4539393,0
0.3332214,0,-0.4547684,0
0.3493195,0,-0.4565442,0
0.3660583,0,-0.4627806,0
0.3824921,0,-0.4725033,0
0.3995209,0,-0.4786234,0
0.4156189,0,-0.4932536,0
0.4334717,0,-0.5108612,0
0.4496918,0,-0.5206915,0
0.4674988,0,-0.5421999,0
0.4827118,0,-0.5658689,0
0.4993439,0,-0.5783916,0
0.51651,0,-0.6045529,0
0.5323181,0,-0.6318371,0
0.5495911,0,-0.6457594,0
0.5664215,0,-0.6738763,0
0.5823975,0,-0.7019695,0
0.5996094,0,-0.7158628,0
0.6155853,0,-0.7430583,0
0.6326599,0,-0.7690991,0
0.6498413,0,-0.781554,0
0.6674652,0,-0.8050833,0
0.682785,0,-0.8264645,0
0.6992798,0,-0.8362432,0
0.7158508,0,-0.8537888,0
0.732666,0,-0.8684354,0
0.7497101,0,-0.8746027,0
0.766449,0,-0.8845169,0
0.7827606,0,-0.8911005,0
0.7990875,0,-0.8931182,0
0.815918,0,-0.8945866,0
0.8326263,0,-0.8926497,0
0.8493347,0,-0.8904243,0
0.8666992,0,-0.8835292,0
0.8844147,0,-0.8735074,0
0.8995819,0,-0.867385,0
0.9156036,0,-0.8530648,0
0.9325562,0,-0.8362042,0
0.9490204,0,-0.826915,0
0.9659729,0,-0.8068232,0
0.9826355,0,-0.7850056,0
0.9989471,0,-0.7735636,0
1.016586,0,-0.7498492,0
1.032349,0,-0.7253472,0
1.049744,0,-0.712921,0
1.06601,0,-0.6879557,0
1.082901,0,-0.6631487,0
1.101471,0,-0.6388547,0
1.116104,0,-0.6270046,0
1.132721,0,-0.6040916,0
1.149719,0,-0.5930999,0
1.165741,0,-0.5722063,0
1.182587,0,-0.5529502,0
1.198929,0,-0.543995,0
1.215805,0,-0.527523,0
1.232651,0,-0.5130574,0
1.249512,0,-0.5065988,0
1.26651,0,-0.4952463,0
1.282547,0,-0.4859672,0
1.299362,0,-0.482089,0
1.318939,0,-0.4757976,0
1.332611,0,-0.4713513,0
1.349518,0,-0.46977,0
1.365494,0,-0.4677703,0
1.382462,0,-0.4671366,0
1.39949,0,-0.4672561,0
1.415634,0,-0.4682027,0
1.432739,0,-0.4698598,0
1.449341,0,-0.4708642,0
1.465988,0,-0.4730396,0
1.482864,0,-0.4751885,0
1.499756,0,-0.4761607,0
1.517685,0,-0.4777206,0
1.532867,0,-0.4785382,0
1.549011,0,-0.4785872,0
1.566315,0,-0.4778149,0
1.582642,0,-0.4757027,0
1.599365,0,-0.4740841,0
1.61644,0,-0.4696212,0
1.632645,0,-0.4634173,0
1.649582,0,-0.4596318,0
1.665665,0,-0.4506551,0
1.682709,0,-0.4397838,0
1.699783,0,-0.4336401,0
1.718155,0,-0.4199642,0
1.732681,0,-0.4045047,0
1.749817,0,-0.3961408,0
1.766312,0,-0.3782343,0
1.782532,0,-0.3589017,0
1.798996,0,-0.3487625,0
1.816376,0,-0.3276778,0
1.83252,0,-0.305721,0
1.849625,0,-0.2944964,0
1.866394,0,-0.271725,0
1.882706,0,-0.2487579,0
1.899658,0,-0.2372899,0
1.915848,0,-0.2145639,0
1.934402,0,-0.1923522,0
1.949753,0,-0.181525,0
1.965759,0,-0.1605923,0
1.982803,0,-0.1408275,0
1.999054,0,-0.1314549,0
2.016098,0,-0.1138591,0
2.032913,0,-0.0979481,0
2.049362,0,-0.09067381,0
2.066238,0,-0.0775682,0
2.082626,0,-0.06646787,0
2.099319,0,-0.06169154,0
2.116196,0,-0.05370994,0
2.134735,0,-0.04782701,0
2.149307,0,-0.04566544,0.01316407
2.165894,6.352417E-06,-0.04286845,0.03351034
2.182755,2.887422E-05,-0.04203686,0.05566522
2.199799,7.825316E-05,-0.04232466,0.06289946
2.215942,0.0001579748,-0.04422472,0.06244729
2.232925,0.0002678149,-0.04776174,0.04390958
2.249283,0.0003988219,-0.05009052,0.01180762
2.266266,0.0005355006,-0.05575124,0
2.282928,0.0006721519,-0.0625826,0
2.299255,0.0008087759,-0.0663723,0
2.31636,0.0009453727,-0.07456644,0
2.334702,0.001081942,-0.08340163,0
2.349319,0.001218484,-0.08799331,0
2.366272,0.001354999,-0.09739605,0
2.382477,0.001491487,-0.1069279,0
2.39946,0.001627947,-0.1116846,0
2.415726,0.00176438,-0.121074,0
2.432632,0.001900786,-0.1301741,0
2.449753,0.002037164,-0.1345749,0
2.466202,0.002173515,-0.1430111,0
2.482788,0.002309839,-0.1508925,0
2.499283,0.002446136,-0.154607,0
2.515991,0.002582405,-0.1615641,0
2.532837,0.002718648,-0.1678892,0
2.551605,0.002854863,-0.1736067,0
2.565903,0.00299105,-0.1762534,0
2.582565,0.003127211,-0.1811704,0
2.599243,0.003263344,-0.183465,0
2.61618,0.00339945,-0.1877979,0
2.632843,0.003535529,-0.1919017,0
2.649658,0.003671581,-0.1939142,0
