Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01651001,0,0.03503782,0,0.5704651
0.03289795,0,0.02765206,0,0.5354309
0.04931641,0,0.0239619,0,0.507782
0.06613159,0,0.01666,0,0.4838257
0.08407593,0,0.009559959,0,0.4671631
0.09899902,0,0.006121606,0,0.4576111
0.1162415,0,-0.0004616678,0,0.4515076
0.1331482,0,-0.006564647,0,0.4519653
0.1488647,0,-0.009404272,0,0.4585266
0.1655884,0,-0.01460135,0,0.467926
0.1826172,0,-0.01908526,0,0.4825439
0.1990662,0,-0.02103618,0,0.5016174
0.2157593,0,-0.02431637,0,0.522644
0.2320557,0,-0.02672499,0,0.5469666
0.2491455,0,-0.02759004,0,0.5737
0.2662048,0,-0.02862579,0,0.6012878
0.2838135,0,-0.02872622,0,0.6299133
0.2991943,0,-0.02842617,0,0.6586304
0.3162231,0,-0.02713561,0,0.6870422
0.3321533,0,-0.02494991,0,0.7141724
0.3492126,0,-0.02353472,0,0.7391357
0.3658447,0,-0.02009535,0,0.7626648
0.3830566,0,-0.01590151,0,0.7827454
0.3990784,0,-0.01354665,0,0.798645
0.415863,0,-0.008377612,0,0.8121948
0.4326172,0,-0.002680182,0,0.8205872
0.4488525,0,0.00033319,0,0.8232727
0.4659119,0,0.006617308,0,0.822937
0.4827881,0,0.01314491,0,0.8163147
0.5013733,0,0.01979238,0,0.8031616
0.5163574,0,0.02312189,0,0.7833557
0.5322876,0,0.02971423,0,0.7602234
0.5491943,0,0.03294587,0,0.7304993
0.5660095,0,0.03920478,0,0.6975403
0.5830383,0,0.04509395,0,0.6583252
0.5990295,0,0.04786515,0,0.6132202
0.615509,0,0.05299652,0,0.5653687
0.6323547,0,0.05750155,0,0.5123596
0.6491699,0,0.05949274,0,0.454895
0.6658936,0,0.06290661,0,0.3954163
0.6825256,0,0.06551233,0,0.3325195
0.6987915,0,0.06649685,0,0.2669983
0.7186584,0,0.06780744,0,0.2005005
0.7321167,0,0.06822322,0,0.1326904
0.7492065,0,0.06809321,0,0.06445313
0.7662964,0,0.06716168,0,-0.003616358
0.78302,0,0.06535304,0,-0.07077803
0.7991943,0,0.06413031,0,-0.1361311
0.8163452,0,0.06107795,0,-0.2002614
0.8326721,0,0.05726671,0,-0.2613394
0.8492737,0,0.05509853,0,-0.3186062
0.8656921,0,0.05028832,0,-0.3737047
0.8824463,0,0.04492188,0,-0.423993
0.8990784,0,0.04206097,0,-0.4689149
0.9180298,0,0.03604949,0,-0.5109758
0.9322815,0,0.02974355,0,-0.5470253
0.9492493,0,0.02651572,0,-0.5767689
0.9665222,0,0.01998258,0,-0.6032848
0.9833984,0,0.01344264,0,-0.6232673
0.9988708,0,0.01020598,0,-0.63671
1.015533,0,0.003868937,0,-0.646916
1.032318,0,-0.002197385,0,-0.650785
1.049347,0,-0.005097151,0,-0.6485877
1.066132,0,-0.01057148,0,-0.6434907
1.082977,0,-0.01554143,0,-0.6329192
1.099487,0,-0.01781344,0,-0.6173778
1.11792,0,-0.02189088,0,-0.5995644
1.132385,0,-0.02530253,0,-0.5776736
1.1492,0,-0.02674544,0,-0.552371
1.166351,0,-0.0290885,0,-0.5256256
1.182434,0,-0.0306952,0,-0.4965371
1.199158,0,-0.03122163,0,-0.465842
1.216187,0,-0.03172791,0,-0.4346204
1.232147,0,-0.03152591,0,-0.4028925
1.249176,0,-0.03117073,0,-0.3713666
1.265778,0,-0.02998239,0,-0.3401959
1.282013,0,-0.02820724,0,-0.3102135
1.30542,0,-0.02591646,0,-0.2820063
