Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01535034,0,0.03503782,0,0.5704651
0.03295898,0,0.02765206,0,0.5354309
0.04977417,0,0.0239619,0,0.507782
0.06600952,0,0.01666,0,0.4838257
0.08297729,0,0.009559959,0,0.4671631
0.09971619,0,0.006121606,0,0.4576111
0.1183014,0,-0.0004616678,0,0.4515076
0.1328888,0,-0.006564647,0,0.4519653
0.1489868,0,-0.009404272,0,0.4585266
0.1658325,0,-0.01460135,0,0.467926
0.1823273,0,-0.01908526,0,0.4825439
0.1991119,0,-0.02103618,0,0.5016174
0.2156982,0,-0.02431637,0,0.522644
0.2325439,0,-0.02672499,0,0.5469666
0.2498474,0,-0.02759004,0,0.5737
0.2657471,0,-0.02862579,0,0.6012878
0.2823029,0,-0.02872622,0,0.6299133
0.299118,0,-0.02842617,0,0.6586304
0.3157501,0,-0.02713561,0,0.6870422
0.3346863,0,-0.02494991,0,0.7141724
0.3492126,0,-0.02353472,0,0.7391357
0.3659515,0,-0.02009535,0,0.7626648
0.3826599,0,-0.01590151,0,0.7827454
0.3990173,0,-0.01354665,0,0.798645
0.4158325,0,-0.008377612,0,0.8121948
0.4321899,0,-0.002680182,0,0.8205872
0.4492035,0,0.00033319,0,0.8232727
0.4660034,0,0.006617308,0,0.822937
0.4827576,0,0.01314491,0,0.8163147
0.4992828,0,0.01646149,0,0.8031616
0.5157471,0,0.02312189,0,0.7867126
0.5330505,0,0.02971423,0,0.7635803
0.5515289,0,0.03611445,0,0.7338562
0.5651398,0,0.03920478,0,0.6977539
0.5827637,0,0.04509395,0,0.6585388
0.5990753,0,0.04786515,0,0.6134644
0.6157074,0,0.05299652,0,0.5656128
0.6316681,0,0.05750155,0,0.5126038
0.6488647,0,0.05949274,0,0.4551086
0.6655121,0,0.06290661,0,0.3956299
0.6819305,0,0.06551233,0,0.3327332
0.6987305,0,0.06649685,0,0.2672119
0.7148285,0,0.06780744,0,0.2007141
0.7320557,0,0.06822322,0,0.1329041
0.7490234,0,0.06809321,0,0.06466675
0.7670441,0,0.06716168,0,-0.003425112
0.7828369,0,0.06535304,0,-0.07058679
0.798996,0,0.06413031,0,-0.1359399
