Time,CV,FF,Input
0,0,-0.791238,0
0.01623535,0,-0.7777878,0
0.03204346,0,-0.7500234,0
0.04949951,0,-0.7358032,0
0.06549072,0,-0.6923848,0
0.0824585,0,-0.6633232,0
0.0993042,0,-0.6489156,0
0.1159668,0,-0.6206132,0
0.1323242,0,-0.593346,0
0.1488647,0,-0.5802304,0
0.1656494,0,-0.5675273,0
0.1832275,0,-0.5435532,0
0.2009888,0,-0.5217956,0
0.215332,0,-0.5118558,0
0.2315063,0,-0.4940503,0
0.2483521,0,-0.486255,0
0.2653198,0,-0.4730349,0
0.2816162,0,-0.4631459,0
0.2984009,0,-0.4567465,0
0.31604,0,-0.4539393,0
0.331543,0,-0.4547684,0
0.3491821,0,-0.4565442,0
0.3651123,0,-0.4627806,0
0.3818359,0,-0.4725033,0
0.399353,0,-0.4786234,0
0.4170532,0,-0.4932536,0
0.432312,0,-0.5108612,0
0.4485474,0,-0.5206915,0
0.4657593,0,-0.5421999,0
0.4819946,0,-0.5658689,0
0.4988403,0,-0.5783916,0
0.5160522,0,-0.6045529,0
0.5321045,0,-0.6318371,0
0.5498657,0,-0.6457594,0
0.5654907,0,-0.6738763,0
0.5821533,0,-0.7019695,0
0.5991211,0,-0.7158628,0
0.6161499,0,-0.7430583,0
0.6348267,0,-0.7690991,0
0.6494751,0,-0.781554,0
0.6651611,0,-0.8050833,0
0.6817627,0,-0.8264645,0
0.6983643,0,-0.8362432,0
0.715271,0,-0.8537888,0
0.7315674,0,-0.8684354,0
0.7487183,0,-0.8746027,0
0.7653809,0,-0.8845169,0
0.7819214,0,-0.8911005,0
0.7984009,0,-0.8931182,0
0.81604,0,-0.8945866,0
0.8322144,0,-0.8926497,0
0.8513184,0,-0.8873783,0
0.8652344,0,-0.8835292,0
0.8826904,0,-0.8735074,0
0.8984985,0,-0.867385,0
0.9157715,0,-0.8530648,0
0.932373,0,-0.8362042,0
0.9490967,0,-0.826915,0
0.9655762,0,-0.8068232,0
0.9823608,0,-0.7850056,0
0.9987183,0,-0.7735636,0
1.016235,0,-0.7498492,0
1.032043,0,-0.7253472,0.009546953
1.048828,4.60695E-06,-0.712921,0.05521305
1.068115,3.585643E-05,-0.6879557,0.08912357
1.082092,0.0001101069,-0.6631487,0.1207734
1.099426,0.0002426225,-0.6509163,0.1705087
1.115356,0.0004573918,-0.6270046,0.2039671
1.131714,0.0007705439,-0.6040916,0.2333562
1.149353,0.001196241,-0.5930999,0.2767616
1.165405,0.001755406,-0.5722063,0.3075071
1.182373,0.00246285,-0.5529502,0.3450347
1.199219,0.00333665,-0.543995,0.3671896
1.216064,0.004387466,-0.527523,0.3965786
1.232605,0.005629444,-0.5130574,0.4164728
1.248474,0.007072145,-0.5065988,0.4304891
1.265198,0.008722293,-0.4952463,0.4562611
1.284302,0.01059228,-0.4859672,0.4698253
1.299133,0.01268862,-0.482089,0.4815809
1.315491,0.01501692,-0.4757976,0.491528
1.332458,0.01758195,-0.4713513,0.50464
1.348755,0.02038999,-0.46977,0.5123264
1.365662,0.02344469,-0.4677703,0.5218214
1.382263,0.02675058,-0.4671366,0.5276992
1.398376,0.03031047,-0.4672561,0.533577
1.414856,0.03412712,-0.4682027,0.5349334
1.432312,0.03820114,-0.4698598,0.5349334
1.449219,0.04253248,-0.4708642,0.5349334
1.465393,0.0471211,-0.4730396,0.5358377
1.484253,0.05196737,-0.4751885,0.5358377
1.499451,0.05707125,-0.4761607,0.5358377
1.515259,0.06243267,-0.4777206,0.5276992
1.531555,0.06804767,-0.4785382,0.5105178
1.548523,0.0739079,-0.4785872,0.472086
1.565308,0.07999477,-0.4778149,0.430037
1.581665,0.08628794,-0.4757027,0.3807538
1.599426,0.09276358,-0.4740841,0.2971078
1.615479,0.0993813,-0.4696212,0.2369733
1.631714,0.106112,-0.4634173,0.1451889
1.64917,0.1129115,-0.4596318,0.0931928
1.665161,0.1197546,-0.4506551,0.05023954
1.681824,0.1266205,-0.4397838,0.004121275
1.701599,0.1334871,-0.4270308,0
1.715515,0.1403523,-0.4199642,0
1.731995,0.1472161,-0.4045047,0
1.748779,0.1540786,-0.3961408,0
1.765564,0.1609396,-0.3782343,0
1.781921,0.1677993,-0.3589017,0
1.799133,0.1746576,-0.3487625,0
1.81543,0.1815146,-0.3276778,0
1.832153,0.1883702,-0.305721,0
1.849487,0.1952244,-0.2944964,0
1.866028,0.2020772,-0.271725,0
1.881714,0.2089287,-0.2487579,0
1.898621,0.2157788,-0.2372899,0
1.916992,0.2226275,-0.2145639,0
1.931763,0.2294748,-0.1923522,0
1.949341,0.2363208,-0.181525,0
1.965393,0.2431654,-0.1605923,0
1.981873,0.2500087,-0.1408275,0
1.999084,0.2568505,-0.1314549,0
2.015259,0.263691,-0.1138591,0
2.031799,0.2705302,-0.0979481,0
2.048462,0.2773679,-0.09067381,0
2.06543,0.2842043,-0.0775682,0
2.081848,0.2910393,-0.06646787,0
2.09845,0.297873,-0.06169154,0
2.11554,0.3047053,-0.05370994,0
2.133606,0.3115363,-0.04782701,0
2.14856,0.3183658,-0.04566544,0
2.165894,0.325194,-0.04286845,0
2.182068,0.3320208,-0.04203686,0
2.199219,0.3388463,-0.04232466,0
2.215393,0.3456704,-0.04422472,0
2.232422,0.3524931,-0.04776174,0
2.249512,0.3593145,-0.05009052,0
2.265442,0.3661345,-0.05575124,0
2.282532,0.3729531,-0.0625826,0
2.299377,0.3797704,-0.0663723,0
2.315186,0.3865863,-0.07456644,0
2.332397,0.3934008,-0.08340163,0
2.350525,0.400214,-0.09266649,0
2.365356,0.4070258,-0.09739605,0
2.381958,0.4138363,-0.1069279,0
2.398499,0.4206454,-0.1116846,0
2.415466,0.4274531,-0.121074,0
2.431702,0.4342594,-0.1301741,0
2.448486,0.4410644,-0.1345749,0
2.464966,0.4478681,-0.1430111,0
2.48175,0.4546704,-0.1508925,0
2.499023,0.4614713,-0.154607,0
2.51532,0.4682708,-0.1615641,0
2.532776,0.475069,-0.1678892,0
2.55072,0.4818659,-0.1736067,0
2.565979,0.4886613,-0.1762534,0
2.583008,0.4954555,-0.1811704,0
2.598389,0.5022482,-0.183465,0
2.615295,0.5090396,-0.1877979,0
2.631714,0.5158297,-0.1919017,0
2.64856,0.5226184,-0.1939142,0
2.665405,0.5294057,-0.1979621,0
2.681763,0.5361916,-0.2021844,-0.03893602
2.69873,0.5429575,-0.2044167,-0.116252
2.715027,0.5496659,-0.209237,-0.1546838
2.731934,0.5562983,-0.2146819,-0.1854293
2.748779,0.5628398,-0.2176936,-0.2121056
2.767944,0.5692777,-0.2244006,-0.2225048
2.781799,0.5756069,-0.2321486,-0.2252177
2.799072,0.5818263,-0.2364574,-0.2256698
2.815674,0.5879354,-0.2460212,-0.2256698
2.832153,0.5939345,-0.2569306,-0.2225048
2.848328,0.599825,-0.2629147,-0.2225048
2.865479,0.6056069,-0.2759745,-0.2292869
2.881592,0.611277,-0.2905086,-0.2292869
2.898315,0.6168354,-0.2983276,-0.2292869
2.915894,0.622282,-0.3150476,-0.216627
