Time,CV,FF,Input
0,0,-0.791238,0
0.01544189,0,-0.7777878,0
0.03283691,0,-0.7500234,0
0.0489502,0,-0.7358032,0
0.06610107,0,-0.6923848,0
0.08251953,0,-0.6633232,0
0.09881592,0,-0.6489156,0
0.1160278,0,-0.6206132,0
0.1327515,0,-0.593346,0
0.151123,0,-0.5675273,0
0.1657715,0,-0.5675273,0
0.1820679,0,-0.5435532,0
0.1992188,0,-0.5323752,0
0.2158813,0,-0.5118558,0
0.2318115,0,-0.4940503,0
0.2490234,0,-0.486255,0
0.2653198,0,-0.4730349,0
0.2816162,0,-0.4631459,0
0.2987671,0,-0.4567465,0
0.315918,0,-0.4539393,0
0.3317871,0,-0.4547684,0
0.3486938,0,-0.4565442,0
0.3678589,0,-0.4627806,0
0.3817749,0,-0.4725033,0
0.3988647,0,-0.4786234,0
0.4151611,0,-0.4932536,0
0.4331055,0,-0.5108612,0
0.4546509,0,-0.5311522,0
0.4660645,0,-0.5421999,0
0.4829712,0,-0.5658689,0
0.4992065,0,-0.5783916,0
0.5153809,0,-0.6045529,0
0.5324707,0,-0.6318371,0
0.5490112,0,-0.6457594,0
0.5682373,0,-0.6738763,0
0.5828857,0,-0.7019695,0
0.5993652,0,-0.7158628,0
0.6157227,0,-0.7430583,0
0.6317749,0,-0.7690991,0
0.6489258,0,-0.781554,0
0.6658325,0,-0.8050833,0
0.6830444,0,-0.8264645,0
0.6985474,0,-0.8362432,0
0.7164917,0,-0.8537888,0
0.732666,0,-0.8684354,0
0.7487183,0,-0.8746027,0
0.7652588,0,-0.8845169,0
0.7839355,0,-0.8911005,0
0.7989502,0,-0.8931182,0
0.81604,0,-0.8945866,0
0.8319702,0,-0.8926497,0
0.8491211,0,-0.8904243,0
0.8653564,0,-0.8835292,0
0.8823853,0,-0.8735074,0
0.8998413,0,-0.867385,0
0.9160767,0,-0.8530648,0
0.9324341,0,-0.8362042,0
0.9492188,0,-0.826915,0
0.9657593,0,-0.8068232,0
0.9844971,0,-0.7850056,0
0.9989014,0,-0.7735636,0
1.016663,0,-0.7498492,0
1.032715,0,-0.7253472,0
1.049011,0,-0.712921,0
1.065979,0,-0.6879557,0
1.082153,0,-0.6631487,0
1.098999,0,-0.6509163,0
1.115417,0,-0.6270046,0
1.132874,0,-0.6040916,0
1.14917,0,-0.5930999,0
1.165405,0,-0.5722063,0
1.182861,0,-0.5529502,0.02582399
1.200745,1.246155E-05,-0.5355142,0.04210102
1.215576,4.523676E-05,-0.527523,0.0520481
1.2323,0.0001031216,-0.5130574,0.06470802
1.24884,0.0001922202,-0.5065988,0.0701337
1.265991,0.0003151445,-0.4952463,0.07646365
1.282654,0.0004749423,-0.4859672,0.08821929
1.299683,0.0006772789,-0.482089,0.09545353
1.316101,0.0009256369,-0.4757976,0.1094698
1.332764,0.001226771,-0.4713513,0.1176084
1.349365,0.001584597,-0.46977,0.1352418
1.365784,0.002007614,-0.4677703,0.1447368
1.382324,0.002500389,-0.4671366,0.1560403
1.399292,0.003068365,-0.4672561,0.1772908
1.418823,0.00372178,-0.4682027,0.1949243
1.432617,0.004469126,-0.4698598,0.2030628
1.449341,0.005314313,-0.4708642,0.2089406
1.466309,0.006260156,-0.4730396,0.210297
1.482422,0.00730729,-0.4751885,0.210297
1.498962,0.008455695,-0.4761607,0.210297
1.516418,0.009705351,-0.4777206,0.210297
1.532715,0.01105624,-0.4785382,0.2148184
1.549194,0.01251052,-0.4785872,0.2184356
1.565857,0.01406991,-0.4778149,0.229739
1.582397,0.01573986,-0.4757027,0.2347126
1.599609,0.01752273,-0.4740841,0.2387818
1.618896,0.01942047,-0.4696212,0.2387818
1.632263,0.02143306,-0.4634173,0.2387818
1.649231,0.02356048,-0.4596318,0.239234
1.66626,0.02580291,-0.4506551,0.239234
1.682556,0.02816034,-0.4397838,0.2396862
1.698853,0.03063296,-0.4336401,0.2433033
1.716431,0.03322249,-0.4199642,0.2433033
1.732605,0.03592891,-0.4045047,0.2410425
1.749023,0.03875111,-0.3961408,0.2342605
1.766052,0.04168579,-0.3782343,0.2288348
1.782776,0.04473031,-0.3589017,0.2270263
1.79895,0.04788377,-0.3487625,0.2270263
1.815979,0.05114615,-0.3276778,0.2396862
1.835571,0.05452354,-0.305721,0.2573195
1.84906,0.05802443,-0.2944964,0.2677188
1.866028,0.06165381,-0.271725,0.2740488
1.883179,0.06541471,-0.2487579,0.2745009
1.899536,0.06930732,-0.2372899,0.2758574
1.915649,0.07333227,-0.2145639,0.2799266
1.932373,0.07749148,-0.1923522,0.2808308
1.949219,0.0817854,-0.181525,0.2808308
1.96582,0.08621396,-0.1605923,0.2745009
1.982483,0.0907741,-0.1408275,0.239234
1.998962,0.09544878,-0.1314549,0.2152706
2.015747,0.1002264,-0.1138591,0.177743
2.033203,0.1050888,-0.0979481,0.1442846
2.051575,0.1100199,-0.08387588,0.08641073
2.06604,0.1149917,-0.0775682,0.06470802
2.082214,0.1199938,-0.06646787,0.03441462
2.099304,0.1250114,-0.06169154,0
2.116394,0.130028,-0.05370994,0
2.132263,0.1350437,-0.04782701,0
2.149109,0.1400583,-0.04566544,0
2.165588,0.1450719,-0.04286845,0
2.1828,0.1500846,-0.04203686,0
2.199219,0.1550962,-0.04232466,0
2.215637,0.1601068,-0.04422472,0
2.232544,0.1651164,-0.04776174,0
2.249878,0.1701251,-0.05009052,0
2.26825,0.1751327,-0.05575124,0
2.282471,0.1801393,-0.0625826,0
2.299255,0.1851449,-0.0663723,0
2.316223,0.1901496,-0.07456644,0
2.332458,0.1951532,-0.08340163,0
2.34906,0.2001558,-0.08799331,0
2.366089,0.2051574,-0.09739605,0
2.382874,0.2101581,-0.1069279,0
2.398987,0.2151577,-0.1116846,0
2.415466,0.2201563,-0.121074,0
2.432312,0.2251539,-0.1301741,0
2.448792,0.2301506,-0.1345749,0
2.466064,0.2351462,-0.1430111,0
2.484131,0.2401408,-0.1508925,0
2.49939,0.2451344,-0.154607,0
2.51593,0.2501271,-0.1615641,0
2.532349,0.2551187,-0.1678892,0
2.548889,0.2601094,-0.1708212,0
2.566101,0.265099,-0.1762534,0
2.582581,0.2700877,-0.1811704,0
2.598999,0.2750753,-0.183465,0
2.615295,0.280062,-0.1877979,0
2.632202,0.2850476,-0.1919017,0
2.648499,0.2900323,-0.1939142,0
2.665405,0.2950159,-0.1979621,0
2.682922,0.2999986,-0.2021844,0
2.701172,0.3049803,-0.20676,0
2.715881,0.309961,-0.209237,0
2.733276,0.3149406,-0.2146819,0
2.749817,0.3199193,-0.2176936,0
2.765137,0.324897,-0.2244006,0
2.782104,0.3298737,-0.2321486,0
2.799194,0.3348494,-0.2364574,0
2.815979,0.3398241,-0.2460212,0
2.832031,0.3447978,-0.2569306,0
2.849121,0.3497705,-0.2629147,0
2.866028,0.3547423,-0.2759745,0
2.882263,0.359713,-0.2905086,0
2.899231,0.3646827,-0.2983276,0
2.917542,0.3696515,-0.3150476,0
2.932068,0.3746192,-0.3331545,0
2.949219,0.379586,-0.3426985,0
2.965759,0.3845517,-0.362689,0
2.982422,0.3895165,-0.3837526,0
2.998779,0.3944803,-0.3946301,0
3.016052,0.3994431,-0.4169467,0
3.032471,0.4044049,-0.4398187,0
3.0495,0.4093657,-0.4513848,0
3.065979,0.4143255,-0.4746094,0
3.082092,0.4192843,-0.497722,0
3.099731,0.4242422,-0.5091453,0
3.117737,0.429199,-0.5315406,0
3.132507,0.4341549,-0.5530853,0
3.148621,0.4391097,-0.5634463,0
3.165588,0.4440636,-0.5831656,0
3.181946,0.4490165,-0.601318,0
3.199097,0.4539684,-0.609725,0
3.216003,0.4589193,-0.6250502,0
3.231934,0.4638692,-0.638211,0
3.249084,0.4688181,-0.6439202,0
3.265991,0.4737661,-0.6534974,0
3.282837,0.478713,-0.6605172,0
3.299194,0.483659,-0.66304,0
3.315979,0.4886039,-0.6660798,0
3.334961,0.4935479,-0.6664382,0
3.348816,0.4984909,-0.6656207,0
3.366089,0.5034329,-0.6620363,0
3.38208,0.508374,-0.6559479,0
3.398987,0.513314,-0.6520115,0
3.415833,0.518253,-0.642473,0
3.432861,0.5231911,-0.6309046,0
3.449768,0.5281281,-0.6244403,0
3.46582,0.5330642,-0.6103345,0
3.482605,0.5379993,-0.5949274,0
3.499451,0.5429335,-0.5868432,0
3.517334,0.5478666,-0.5701413,0
3.533752,0.5527987,-0.553045,-0.004121275
3.549072,0.5577279,-0.5444707,-0.02989322
3.565857,0.5626417,-0.5275169,-0.04978738
3.582031,0.5675305,-0.5111523,-0.0610909
3.59906,0.5723888,-0.503313,-0.04029246
3.61615,0.5772266,-0.4885579,0
3.632141,0.5820636,-0.4753371,0
3.648865,0.5868995,-0.4694099,0
3.66626,0.5917345,-0.4591206,0
3.682678,0.5965685,-0.4511575,0
3.698853,0.6014015,-0.4481283,0
3.71582,0.6062336,-0.4441102,0
3.732727,0.6110647,-0.4429569,0
3.75177,0.6158948,-0.4447954,0
3.766052,0.620724,-0.4468611,0
3.78186,0.6255522,-0.4533031,0
3.79895,0.6303794,-0.4576754,0
3.815918,0.6352057,-0.468685,0
3.83252,0.640031,-0.4826219,0
3.848999,0.6448553,-0.4906398,0
3.865356,0.6496787,-0.5086469,0
3.882446,0.6545011,-0.5290744,0
3.89978,0.6593226,-0.5401058,0
3.916382,0.664143,-0.5635989,0
3.932251,0.6689625,-0.5886957,0
3.94928,0.6737811,-0.601723,0
3.968079,0.6785987,-0.6284735,0
3.981934,0.6834154,-0.6557851,0
3.999146,0.688231,-0.6695091,0
4.01593,0.6930457,-0.6968034,0
4.032654,0.6978594,-0.7235013,0
4.049255,0.7026722,-0.7364799,0
4.066284,0.707484,-0.7614087,0
4.082947,0.7122949,-0.7845929,0
4.098816,0.7171048,-0.7953957,0
4.115723,0.7219137,-0.8151686,0
4.132751,0.7267216,-0.832183,0
4.148621,0.7315286,-0.839547,0
4.165649,0.7363347,-0.8460963,0
4.184082,0.7411398,-0.8566105,0
4.199158,0.7459439,-0.8605136,0
4.215942,0.7507471,-0.8654824,0
4.232666,0.7555493,-0.866536,0
4.249268,0.7603505,-0.8655591,0
4.266357,0.7651508,-0.8605593,0
4.282288,0.7699501,-0.8514907,0
