Time,CV,FF,Input
0,0,0.805491,0
0.01568604,0,0.8039248,0
0.0324707,0,0.7974825,0
0.0489502,0,0.7926365,0
0.06774902,0,0.7718899,0
0.08230591,0,0.7532292,0
0.09854126,0,0.7425783,0
0.1154175,0,0.7188938,0
0.1324768,0,0.6924225,0
0.1499634,0,0.6783011,0
0.1660156,0,0.6636803,0
0.1826477,0,0.633228,0
0.1989746,0,0.6175454,0
0.2155762,0,0.5856496,0
0.2322998,0,0.5535658,0
0.2486267,0,0.5376484,0
0.2657166,0,0.5064486,0
0.2838135,0,0.4765949,0
0.298645,0,0.4486593,0
0.3153992,0,0.423172,0
0.3318176,0,0.4006096,0
0.3487854,0,0.3905571,0
0.3650208,0,0.3731348,0
0.3818665,0,0.359533,0
0.3988342,0,0.354237,0
0.4153442,0,0.3467513,0
0.4319763,0,0.3434716,0
0.4492493,0,0.3434118,0
0.4653015,0,0.3464077,0
0.4820862,0,0.3534332,0
0.5006104,0,0.3642629,0
0.5154114,0,0.3710111,0
0.5320435,0,0.3869451,0
0.5514832,0,0.4057721,0
0.5704041,0,0.4270085,0
0.5817261,0,0.438364,0
0.5989075,0,0.4501164,0
0.615448,0,0.4745148,0
0.6317139,0,0.4995916,0
0.6486816,0,0.5121875,0
0.6655884,0,0.5370958,0
0.6824341,0,0.561097,0
0.7008972,0,0.5835679,0
0.7151489,0,0.5940413,0
0.7322998,0,0.6131068,0
0.7485352,0,0.621564,0
0.765564,0,0.6360142,0
0.7827148,0,0.6468043,0
0.7993469,0,0.6507018,0
0.8149109,0,0.6552907,0
0.8322449,0,0.6553783,0
0.8485413,0,0.6536682,0
0.8658142,0,0.646653,0
0.8822327,0,0.6347889,0
0.8990784,0,0.6270372,0
0.9176636,0,0.6079368,0
0.9318542,0,0.5841551,0
0.948761,0,0.5705694,0
0.9650879,0,0.5401694,0
0.9820862,0,0.5057264,0
0.9984131,0,0.4871012,0
1.015381,0,0.4472963,0
1.032013,0,0.4044556,0
1.048462,0,0.382044,0
1.065216,0,0.3355474,0
1.081726,0,0.2872455,0
1.099609,0,0.2625792,0
1.118378,0,0.2125401,0
1.131592,0,0.161984,0
1.149323,0,0.1366675,0
1.165497,0,0.08625536,0
1.181793,0,0.03651004,0
1.198639,0,0.01201799,0
1.214935,0,-0.03596843,0
1.231812,0,-0.08234609,0
1.249207,0,-0.10484,0
1.265442,0,-0.1482859,0
1.28244,0,-0.189517,0
1.299225,0,-0.2092566,0
1.315033,0,-0.2469265,0
1.33432,0,-0.2821507,0
1.348511,0,-0.2988468,0
1.36557,0,-0.3304395,0
1.382446,0,-0.3597129,0
1.399353,0,-0.3735209,0
1.41568,0,-0.3995839,0
1.431641,0,-0.4237413,0
1.44873,0,-0.435174,0
1.46521,0,-0.4568969,0
1.482391,0,-0.4773065,0
1.49939,0,-0.4870993,0
1.51532,0,-0.506023,0
1.534088,0,-0.5242747,0
1.548431,0,-0.5332247,0
1.565277,0,-0.5509146,0
1.582275,0,-0.5684945,0
1.598969,0,-0.5773,0
1.615295,0,-0.5950361,0
1.631531,0,-0.6130363,0
1.648651,0,-0.622162,0
1.665497,0,-0.6406935,0
1.682098,0,-0.6596037,0
1.69928,0,-0.6691921,0
1.714935,0,-0.6885929,0
1.732483,0,-0.708204,0
1.751709,0,-0.7278829,0
1.765198,0,-0.7376928,0
1.782227,0,-0.7571251,0
1.798645,0,-0.7666907,0
1.815247,0,-0.7853668,0
1.832092,0,-0.8032178,0
1.848419,0,-0.8117487,0
1.865417,0,-0.8278479,0
1.881561,0,-0.8424318,0
1.898651,0,-0.8490703,0
1.915741,0,-0.8608772,0
1.931763,0,-0.8705205,0
1.948853,0,-0.8744607,0
1.96701,0,-0.880455,0
1.982056,0,-0.8837972,0
1.998474,0,-0.8844319,0
2.015167,0,-0.88357,0
2.03241,0,-0.8798228,0
2.048645,0,-0.8768631,0
2.065277,0,-0.8687912,0
2.081848,0,-0.8579144,0
2.098602,0,-0.8514609,0
2.115784,0,-0.8366253,0
2.132202,0,-0.8193889,0
2.148804,0,-0.8099452,0
2.165741,0,-0.7895799,0
2.184204,0,-0.7675017,0
2.198822,0,-0.7559244,0
2.215088,0,-0.7319165,0
2.231995,0,-0.7070826,0
2.248627,0,-0.6944758,0
2.26532,0,-0.6691263,0
2.282196,0,-0.6439192,0
2.298492,0,-0.6314885,0
2.315247,0,-0.6072034,0
2.332214,0,-0.5839779,0
2.348663,0,-0.5728646,0
2.36557,0,-0.5518225,0
2.381958,0,-0.5325764,0
2.401154,0,-0.5153458,0
2.415344,0,-0.5075409,0
2.431885,0,-0.4936312,0
2.448914,0,-0.4875475,0
2.465057,0,-0.477147,0
2.481903,0,-0.4690923,0
2.499023,0,-0.4659267,0
2.515411,0,-0.4612511,0
2.532043,0,-0.4586516,0
2.548553,0,-0.4580684,0
2.565765,0,-0.4581833,0
2.582245,0,-0.4597721,0
2.600525,0,-0.4625178,0
2.615509,0,-0.4642164,0
2.631927,0,-0.468034,0
2.648712,0,-0.4700569,0
2.665375,0,-0.474084,0
2.681732,0,-0.4777537,0
2.698883,0,-0.4793299,0
2.715088,0,-0.4817212,0
2.731934,0,-0.4827842,0
2.748871,0,-0.4827056,0
2.765198,0,-0.4811212,0
2.782166,0,-0.4773846,0
2.798492,0,-0.4746257,0
2.817444,0,-0.4671856,0
2.832153,0,-0.4570325,0
2.848633,0,-0.4508952,0
2.865417,0,-0.4364442,0
2.881744,0,-0.4190613,0
2.898621,0,-0.4092734,0
2.915344,0,-0.3875426,0
2.931885,0,-0.363033,0
2.948822,0,-0.3497846,0
2.965057,0,-0.3214266,0
