Time,CV,FF,Input
0,0,0.805491,0
0.01538086,0,0.8039248,0
0.03244019,0,0.7974825,0
0.04919434,0,0.7926365,0
0.0660553,0,0.7718899,0
0.08207703,0,0.7532292,0
0.09870911,0,0.7425783,0
0.1161957,0,0.7188938,0
0.1326447,0,0.6924225,0
0.1493073,0,0.6783011,0
0.1659088,0,0.6636803,0
0.1827087,0,0.633228,0
0.1987457,0,0.6175454,0
0.2161255,0,0.5856496,0
0.2349243,0,0.5535658,0
0.2492371,0,0.5376484,0
0.2662506,0,0.5064486,0
0.2824554,0,0.4765949,0
0.2994232,0,0.4486593,0
0.3151093,0,0.423172,0
0.3321075,0,0.4006096,0
0.3484955,0,0.3905571,0
0.3659515,0,0.3731348,0
0.3823853,0,0.359533,0
0.3991547,0,0.354237,0
0.4156647,0,0.3467513,0
0.4321289,0,0.3434716,0
0.4509277,0,0.3443953,0
0.4653015,0,0.3464077,0
0.4824371,0,0.3534332,0
0.4992371,0,0.3583899,0
0.5158997,0,0.3710111,0
0.5330658,0,0.3869451,0
0.5493317,0,0.3960258,0
0.5657196,0,0.4161216,0
0.582489,0,0.438364,0
0.5991364,0,0.4501164,0
0.6160889,0,0.4745148,0
0.6322784,0,0.4995916,0
0.6515503,0,0.5247155,0
0.6658478,0,0.5370958,0
0.6821747,0,0.561097,0
0.6992188,0,0.5725618,0
0.7154541,0,0.5940413,0
0.7322388,0,0.6131068,0
0.7494049,0,0.621564,0
0.7659149,0,0.6360142,0
0.7824249,0,0.6468043,0
0.7986298,0,0.6507018,0
0.8153381,0,0.6552907,0
0.8323212,0,0.6553783,0
0.8510132,0,0.6507639,0
0.8653107,0,0.646653,0
0.8820343,0,0.6347889,0
0.898407,0,0.6270372,0
0.9153595,0,0.6079368,0
0.9320831,0,0.5841551,0
0.949646,0,0.5705694,0
0.9660645,0,0.5401694,0
0.9821777,0,0.5057264,0
0.9985657,0,0.4871012,0
1.016205,0,0.4472963,0
1.032043,0,0.4044556,0
1.04895,0,0.382044,0
1.067276,0,0.3355474,0
1.082535,0,0.2872455,0
1.099335,0,0.2625792,0
1.115616,0,0.2125401,0
1.132309,0,0.161984,0
1.149048,0,0.1366675,0
1.166214,0,0.08625536,0
1.182297,0,0.03651004,0
1.199402,0,0.01201799,0
1.215225,0,-0.03596843,0
1.23233,0,-0.08234609,0
1.248917,0,-0.10484,0
1.266068,0,-0.1482859,0
1.284866,0,-0.189517,0
1.299408,0,-0.2092566,0
1.31633,0,-0.2469265,0
1.333069,0,-0.2821507,0
1.349503,0,-0.2988468,0
1.365799,0,-0.3304395,0
1.382202,0,-0.3597129,0
1.398773,0,-0.3735209,0
1.415115,0,-0.3995839,0
1.43222,0,-0.4237413,0
1.449371,0,-0.435174,0
1.465851,0,-0.4568969,0
1.482468,0,-0.4773065,0
1.501099,0,-0.4966608,0
1.515427,0,-0.506023,0
1.532562,0,-0.5242747,0
1.54921,0,-0.5332247,0
1.565491,0,-0.5509146,0
1.581879,0,-0.5684945,0
1.599258,0,-0.5773,0
1.616165,0,-0.5950361,0
1.63208,0,-0.6130363,0
1.649506,0,-0.622162,0
1.666077,0,-0.6406935,0
1.681976,0,-0.6596037,0
1.699402,0,-0.6691921,0
1.717056,0,-0.6885929,0
1.732834,0,-0.708204,0
1.749405,0,-0.7180454,0
1.765549,0,-0.7376928,0
1.782776,0,-0.7571251,0
1.7995,0,-0.7666907,0
1.816116,0,-0.7853668,0
1.832596,0,-0.8032178,0
1.849274,0,-0.8117487,0
1.865295,0,-0.8278479,0
1.882401,0,-0.8424318,0
1.898346,0,-0.8490703,0
1.915695,0,-0.8608772,0
1.934265,0,-0.8705205,0
1.949432,0,-0.8744607,0
1.965561,0,-0.880455,0
1.982361,0,-0.8837972,0
1.999146,0,-0.8844319,0
2.015198,0,-0.88357,0
2.03244,0,-0.8798228,0
2.049377,0,-0.8768631,0
2.065414,0,-0.8687912,0
2.082306,0,-0.8579144,0
2.099548,0,-0.8514609,0
2.115768,0,-0.8366253,0
2.134216,0,-0.8193889,0
2.149506,0,-0.8099452,0
2.165649,0,-0.7895799,0
2.182144,0,-0.7675017,0
2.19928,0,-0.7559244,0
2.215881,0,-0.7319165,0
2.232849,0,-0.7070826,0
2.249329,0,-0.6944758,0
2.265289,0,-0.6691263,0
2.282394,0,-0.6439192,0
2.299194,0,-0.6314885,0
2.315369,0,-0.6072034,0
2.332397,0,-0.5839779,0
2.351013,0,-0.5621346,0
2.366287,0,-0.5518225,0
2.382034,0,-0.5325764,0
2.399017,0,-0.5236974,0
2.415878,0,-0.5075409,0
2.432144,0,-0.4936312,0
2.449112,0,-0.4875475,0
2.465683,0,-0.477147,0
2.482498,0,-0.4690923,0
2.499451,0,-0.4659267,0
2.515625,0,-0.4612511,0
2.533188,0,-0.4586516,0
2.550812,0,-0.4579234,0
2.566071,0,-0.4581833,0
2.58165,0,-0.4597721,0
2.599335,0,-0.4610215,0
2.615189,0,-0.4642164,0
2.632324,0,-0.468034,0
2.648743,0,-0.4700569,0
2.665009,0,-0.474084,0
2.682236,0,-0.4777537,0
2.699265,0,-0.4793299,0
2.715363,0,-0.4817212,0
2.732346,0,-0.4827842,0
2.749207,0,-0.4827056,0
2.768326,0,-0.4811212,0
2.782425,0,-0.4773846,0
2.799164,0,-0.4746257,0
2.815491,0,-0.4671856,0
2.831787,0,-0.4570325,0
2.849564,0,-0.4508952,0
2.865707,0,-0.4364442,0
2.882584,0,-0.4190613,0
2.899155,0,-0.4092734,0
2.915466,0,-0.3875426,0
2.932495,0,-0.363033,0
2.94957,0,-0.3497846,0
2.968918,0,-0.3214266,0
2.982285,0,-0.2907912,0
2.998764,0,-0.2747064,0
3.015747,0,-0.2411981,0
3.032257,0,-0.2061897,0
3.049057,0,-0.1882359,0
3.065552,0,-0.1516661,0
3.082214,0,-0.1145379,0
3.098938,0,-0.09588734,0
3.115829,0,-0.05865808,0
3.132065,0,-0.02184343,0
3.148788,0,-0.003707158,0
3.165192,0,0.031805,0
3.184402,0,0.06603467,0
3.19928,0,0.08257631,0
3.215393,0,0.1143514,0
3.232452,0,0.1442001,0
3.249252,0,0.1583456,0
3.265945,0,0.1849947,0
3.282227,0,0.2093825,0
3.299454,0,0.2207147,0
3.315582,0,0.2416589,0
3.332413,0,0.2603546,0
3.348938,0,0.268889,0
3.365784,0,0.2844182,0
3.384613,0,0.298047,0
3.399124,0,0.3042162,0
3.415787,0,0.3154206,0
3.432098,0,0.3253466,0
3.44931,0,0.3299245,0
3.46553,0,0.3385104,0
3.482315,0,0.3466145,0
3.498718,0,0.3505922,0
3.51561,0,0.3586119,0
3.532455,0,0.3669978,0
3.549759,0,0.37143,0
3.565598,0,0.3809673,0
3.582611,0,0.3916416,0
3.600815,0,0.4037135,0
3.615601,0,0.4103451,0
3.631805,0,0.4249201,0
3.648621,0,0.4329034,0
3.665298,0,0.4503391,0
3.682251,0,0.4698009,0
3.699097,0,0.4803051,0
3.715622,0,0.5028591,0
3.732864,0,0.5274362,0
3.749344,0,0.5404576,0
3.765274,0,0.5678895,0
3.782257,0,0.5970387,0
3.799637,0,0.6121976,0
3.81813,0,0.6435445,0
3.832642,0,0.676056,0
3.849411,0,0.6926646,0
3.866013,0,0.7264094,0
3.881989,0,0.7606104,0
3.899475,0,0.7777877,0
3.915451,0,0.8121074,0
3.932388,0,0.8461332,0
3.949249,0,0.8629461,-0.0384839
3.965134,-1.857544E-05,0.8960022,-0.06289946
3.98201,-6.749263E-05,0.9280897,-0.08550645
3.998459,-0.0001576788,0.9436988,-0.1153477
4.015289,-0.0003035174,0.9739228,-0.1361461
4.034195,-0.0005150383,1.002682,-0.1700566
4.048492,-0.0008085723,1.016469,-0.1944721
4.065781,-0.001195873,1.042797,-0.2306434
4.082886,-0.001694382,1.067412,-0.2505375
4.098511,-0.00231367,1.079069,-0.2695273
4.116241,-0.003062919,1.101089,-0.2898736
4.132568,-0.003951919,1.121427,-0.2898736
4.152542,-0.004980643,1.130991,-0.2885173
4.171631,-0.006148394,1.148982,-0.2767616
4.182388,-0.007449453,1.157445,-0.271788
4.199112,-0.008881396,1.165582,-0.271788
4.215698,-0.0104442,1.180968,-0.271788
4.234024,-0.01213783,1.195343,-0.2722402
4.249344,-0.01396249,1.20222,-0.2722402
4.265762,-0.01591815,1.215502,-0.2722402
4.282349,-0.01800479,1.228355,-0.2681709
4.298401,-0.02022042,1.234696,-0.2677188
4.315338,-0.0225648,1.247359,-0.2677188
