Time,CV,FF,Input
0,0,-0.791238,0
0.01519775,0,-0.7777878,0
0.03216553,0,-0.7500234,0
0.05053711,0,-0.706933,0
0.0682373,0,-0.6923848,0
0.08462524,0,-0.6633232,0
0.0993042,0,-0.6489156,0
0.1148682,0,-0.6206132,0
0.1332703,0,-0.593346,0
0.1488647,0,-0.5802304,0
0.164093,0,-0.5675273,0
0.181427,0,-0.5435532,0
0.1971741,0,-0.5323752,0
0.2133179,0,-0.5118558,0
0.2302551,0,-0.4940503,0
0.2469482,0,-0.486255,0
0.2637329,0,-0.4730349,0
0.2819824,0,-0.4631459,0
0.296936,0,-0.4567465,0
0.3139343,0,-0.4539393,0
0.3306274,0,-0.4547684,0
0.3484192,0,-0.4565442,0
0.3648376,0,-0.4627806,0
0.3817444,0,-0.4725033,0
0.3976135,0,-0.4786234,0
0.4145813,0,-0.4932536,0
0.4314575,0,-0.5108612,0
0.4478455,0,-0.5206915,0
0.4647522,0,-0.5421999,0
0.4840393,0,-0.5658689,0
0.4983826,0,-0.5783916,0
0.5154419,0,-0.6045529,0
0.5330811,0,-0.6318371,0
0.549408,0,-0.6457594,0
0.5661316,0,-0.6738763,0
0.5817566,0,-0.7019695,0
0.5985413,0,-0.7158628,0
0.6148987,0,-0.7430583,0
0.6309509,0,-0.7690991,0
0.6477051,0,-0.781554,0
0.6649475,0,-0.8050833,0
0.6842651,0,-0.8264645,0
0.6973267,0,-0.8362432,0
0.7142639,0,-0.8537888,0
0.7313232,0,-0.8684354,0
0.7485657,0,-0.8746027,0
0.7652283,0,-0.8845169,0
0.7810669,0,-0.8911005,0
0.7980652,0,-0.8931182,0
0.8148193,0,-0.8945866,0
0.8316345,0,-0.8926497,0.1112784
0.8479309,5.369819E-05,-0.8904243,0.2044192
0.8650208,0.0002060296,-0.8835292,0.2903258
0.8833618,0.0004984293,-0.8735074,0.4164728
0.8985596,0.0009917425,-0.867385,0.4928845
0.9155884,0.001722802,-0.8530648,0.6013981
0.9312439,0.002743924,-0.8362042,0.6665062
0.9485779,0.00408647,-0.826915,0.727545
0.9656067,0.005779829,-0.8068232,0.8044088
0.9823303,0.007861022,-0.7850056,0.8473622
0.9983826,0.0103507,-0.7735636,0.8781077
1.015656,0.01326362,-0.7498492,0.9183481
1.031372,0.01661911,-0.7253472,0.9337208
1.048859,0.0204245,-0.712921,0.9518064
1.065033,0.02468843,-0.6879557,0.9594929
1.084198,0.02941453,-0.6631487,0.9703442
1.097839,0.03460792,-0.6509163,0.9802912
1.115234,0.04027332,-0.6270046,0.989334
1.132416,0.046415,-0.6040916,0.9997332
1.149445,0.05303788,-0.5930999,0.9997332
1.165375,0.06014187,-0.5722063,0.9997332
1.18161,0.06772686,-0.5529502,0.9789348
1.198853,0.07578272,-0.543995,0.9323645
1.214661,0.0842869,-0.527523,0.8948368
1.231781,0.09322118,-0.5130574,0.8555006
1.248291,0.1025665,-0.5065988,0.7958181
1.26474,0.112294,-0.4952463,0.7619077
1.281586,0.1223872,-0.4859672,0.7289014
1.300354,0.1328301,-0.4787039,0.6963474
1.315277,0.143607,-0.4757976,0.6868525
1.331726,0.1547131,-0.4713513,0.6746447
1.348358,0.1661426,-0.46977,0.6719319
1.36496,0.1778941,-0.4677703,0.6619847
1.381714,0.1899626,-0.4671366,0.6583676
1.398254,0.2023464,-0.4672561,0.6457077
1.415802,0.2150394,-0.4682027,0.6194836
1.432129,0.2280287,-0.4698598,0.6050152
1.448273,0.2413074,-0.4708642,0.5837646
1.46521,0.2548651,-0.4730396,0.5331249
1.482025,0.2686774,-0.4751885,0.4937887
1.501099,0.2827252,-0.4770165,0.4304891
1.514862,0.296978,-0.4777206,0.3888923
1.532318,0.3114156,-0.4785382,0.3436783
