Time,CV,FF,Input
0,0,-0.791238,0
0.01541138,0,-0.7777878,0
0.0322876,0,-0.7500234,0
0.04882813,0,-0.7358032,0
0.06570435,0,-0.6923848,0
0.08242798,0,-0.6633232,0
0.09909058,0,-0.6489156,0
0.1165466,0,-0.6206132,0
0.1319122,0,-0.593346,0
0.1491547,0,-0.5802304,0
0.1656647,0,-0.5675273,0
0.1819305,0,-0.5435532,0
0.199234,0,-0.5323752,0
0.2176056,0,-0.5118558,0
0.2320709,0,-0.4940503,0
0.2490692,0,-0.486255,0
0.2653503,0,-0.4730349,0
0.2822418,0,-0.4631459,0
0.2985077,0,-0.4567465,0
0.3152771,0,-0.4539393,0
0.3329926,0,-0.4547684,0
0.348999,0,-0.4565442,0
0.3657379,0,-0.4627806,0
0.3818359,0,-0.4725033,0
0.3993378,0,-0.4786234,0
0.4177246,0,-0.4932536,0
0.4324036,0,-0.5108612,0
0.4497986,0,-0.5206915,0
0.4656372,0,-0.5421999,0
0.4822998,0,-0.5658689,0
0.4989777,0,-0.5783916,0
0.5154877,0,-0.6045529,0
0.532547,0,-0.6318371,0
0.5494537,0,-0.6457594,0
0.5653839,0,-0.6738763,0
0.5826874,0,-0.7019695,0
0.5988464,0,-0.7158628,0
0.6164703,0,-0.7430583,0
0.6344299,0,-0.7690991,0
0.648941,0,-0.781554,0
0.6658783,0,-0.8050833,0
0.6822968,0,-0.8264645,0
0.6989136,0,-0.8362432,0
0.7154999,0,-0.8537888,0
0.7321167,0,-0.8684354,0
0.7489777,0,-0.8746027,0
0.7657166,0,-0.8845169,0
0.7822418,0,-0.8911005,0
0.798645,0,-0.8931182,0.06742086
0.8152618,3.253442E-05,-0.8945866,0.1207734
0.8327637,0.0001233424,-0.8926497,0.1709608
0.8506317,0.0002966306,-0.8873783,0.2356168
0.8656311,0.0005835827,-0.8835292,0.2745009
0.882309,0.00100294,-0.8735074,0.3188106
0.8987427,0.001576057,-0.867385,0.3387047
0.9158783,0.002312505,-0.8530648,0.3567903
0.9317627,0.003220976,-0.8362042,0.3608597
0.9490204,0.004303402,-0.826915,0.3617639
0.9658508,0.005560183,-0.8068232,0.3337313
0.9820862,0.006977757,-0.7850056,0.2998208
1,0.008539728,-0.761829,0.2473725
1.015747,0.01022076,-0.7498492,0.2225048
1.032623,0.01200882,-0.7253472,0.2107492
1.048874,0.01389823,-0.712921,0.216627
1.067993,0.01589179,-0.6879557,0.2636496
1.082138,0.01801218,-0.6631487,0.2858044
1.104645,0.02027006,-0.6388547,0.3002729
1.115952,0.02267239,-0.6270046,0.3124807
1.132553,0.02522503,-0.6040916,0.3246885
1.148743,0.02793384,-0.5930999,0.3260448
1.165619,0.03079945,-0.5722063,0.3283056
1.182709,0.0338229,-0.5529502,0.3283056
1.198975,0.03700418,-0.543995,0.3287577
1.215668,0.04034347,-0.527523,0.3296619
1.231918,0.04384116,-0.5130574,0.3296619
1.248932,0.04749724,-0.5065988,0.3296619
1.267517,0.05131167,-0.4952463,0.3292098
1.282104,0.0552842,-0.4859672,0.3242362
1.298553,0.0594124,-0.482089,0.3160978
1.31543,0.06369231,-0.4757976,0.31022
1.332352,0.06812106,-0.4713513,0.2989164
1.348892,0.07269317,-0.46977,0.2898736
1.36557,0.07740425,-0.4677703,0.2794745
1.382538,0.08224924,-0.4671366,0.2763095
1.399094,0.0872266,-0.4672561,0.2731445
1.415894,0.09233478,-0.4682027,0.2726924
1.431824,0.09757352,-0.4698598,0.2726924
1.449188,0.1029428,-0.4708642,0.2726924
1.468307,0.1084426,-0.4730396,0.2726924
1.481949,0.1140729,-0.4751885,0.2726924
1.499176,0.1198336,-0.4761607,0.2726924
1.515335,0.1257248,-0.4777206,0.2754051
1.532227,0.1317478,-0.4785382,0.2826394
1.548523,0.1379059,-0.4785872,0.2948472
1.565689,0.144205,-0.4778149,0.2957515
1.582382,0.1506456,-0.4757027,0.2975601
1.599182,0.1572285,-0.4740841,0.2975601
1.615921,0.1639537,-0.4696212,0.2966557
1.63266,0.1708207,-0.4634173,0.2943951
1.649033,0.1778284,-0.4596318,0.290778
1.666199,0.184975,-0.4506551,0.288065
1.684158,0.1922591,-0.4397838,0.2876129
1.699005,0.1996806,-0.4336401,0.2830916
1.715637,0.2072373,-0.4199642,0.2799266
1.732315,0.2149275,-0.4045047,0.2763095
1.749191,0.2227495,-0.3961408,0.2690752
1.765823,0.2306998,-0.3782343,0.2568674
1.782303,0.2387724,-0.3589017,0.2306434
1.798889,0.2469547,-0.3487625,0.2175313
1.81575,0.2552404,-0.3276778,0.2035149
1.832108,0.2636226,-0.305721,0.1953764
1.848846,0.2720974,-0.2944964,0.1913072
1.865356,0.2806629,-0.271725,0.1913072
1.882721,0.2893189,-0.2487579,0.1962807
1.900955,0.298068,-0.2258801,0.2206962
1.915695,0.3069218,-0.2145639,0.2338083
1.931946,0.3158866,-0.1923522,0.2387818
1.948959,0.3249649,-0.181525,0.2446596
1.965942,0.3341594,-0.1605923,0.2559632
1.983093,0.3434756,-0.1408275,0.2681709
1.999146,0.3529193,-0.1314549,0.2740488
2.015198,0.3624934,-0.1138591,0.2794745
2.032684,0.3722004,-0.0979481,0.2799266
2.048874,0.3820406,-0.09067381,0.2799266
2.065216,0.3920139,-0.0775682,0.2794745
2.082153,0.4021201,-0.06646787,0.2713359
2.098969,0.4123552,-0.06169154,0.261841
2.118393,0.4227145,-0.05370994,0.2564153
2.132187,0.4331956,-0.04782701,0.2478246
2.149063,0.4437941,-0.04566544,0.2206962
2.165771,0.4544971,-0.04286845,0.1980892
2.182648,0.4652934,-0.04203686,0.1750301
2.198959,0.4761721,-0.04232466,0.123034
2.21582,0.487108,-0.04422472,0.08098505
2.231964,0.4980808,-0.04776174,0.04662242
2.248978,0.5090739,-0.05009052,0.005025554
2.26532,0.5200672,-0.05575124,0.001408436
2.282074,0.5310589,-0.0625826,0
2.299271,0.5420485,-0.0663723,0
2.317947,0.5530359,-0.07456644,0
2.332748,0.5640211,-0.08340163,0
2.348724,0.5750041,-0.08799331,0
2.36615,0.5859849,-0.09739605,0
2.382462,0.5969635,-0.1069279,0
2.398849,0.6079398,-0.1116846,0
2.415482,0.6189141,-0.121074,0
2.432068,0.6298861,-0.1301741,0
2.448837,0.6408559,-0.1345749,0
2.465958,0.6518235,-0.1430111,0
2.482452,0.6627889,-0.1508925,0
2.498795,0.6737522,-0.154607,0
2.515305,0.6847132,-0.1615641,0
2.534409,0.6956721,-0.1678892,0
2.548645,0.7066287,-0.1708212,-0.0262761
2.565338,0.7175705,-0.1762534,-0.148806
2.582611,0.7284383,-0.1811704,-0.2274784
2.598877,0.7391942,-0.183465,-0.3029858
2.616241,0.7498016,-0.1877979,-0.3956744
2.631805,0.7602161,-0.1919017,-0.452644
2.648941,0.77041,-0.1939142,-0.494693
2.665848,0.7803631,-0.1979621,-0.5380985
2.682098,0.7900547,-0.2021844,-0.5521147
2.699646,0.7994778,-0.2044167,-0.5634183
2.715836,0.8086272,-0.209237,-0.5643225
2.735504,0.8175024,-0.2146819,-0.5638704
2.748871,0.8261038,-0.2176936,-0.5566362
2.76535,0.8344348,-0.2244006,-0.5516626
2.782379,0.8424979,-0.2321486,-0.5512105
2.798584,0.8502935,-0.2364574,-0.5512105
2.81546,0.8578215,-0.2460212,-0.5512105
2.832138,0.865082,-0.2569306,-0.5512105
