Time,CV,FF,Input
0,0,-0.791238,0
0.01654053,0,-0.7777878,0
0.03302002,0,-0.7500234,0
0.04943848,0,-0.7358032,0
0.06567383,0,-0.6923848,0
0.08294678,0,-0.6633232,0
0.1000366,0,-0.6346613,0
0.1160278,0,-0.6206132,0
0.1330566,0,-0.593346,0
0.1495361,0,-0.5802304,0
0.1661377,0,-0.5675273,0
0.1850586,0,-0.5435532,0
0.2001343,0,-0.5217956,0
0.2158813,0,-0.5118558,0
0.2327881,0,-0.4940503,0
0.2493896,0,-0.486255,0
0.2667847,0,-0.4730349,0
0.28302,0,-0.4631459,0
0.2993164,0,-0.4567465,0
0.3162231,0,-0.4539393,0
0.3327637,0,-0.4547684,0
0.3493042,0,-0.4565442,0
0.366394,0,-0.4627806,0
0.3851929,0,-0.4725033,0
0.3995972,0,-0.4786234,0
0.4161377,0,-0.4932536,0
0.4326782,0,-0.5108612,0
0.4501953,0,-0.5311522,0
0.4667969,0,-0.5421999,0
0.4830322,0,-0.5658689,0
0.4992065,0,-0.5783916,0
0.5161133,0,-0.6045529,0
0.5325928,0,-0.6318371,0
0.5494385,0,-0.6457594,0
0.565918,0,-0.6738763,0
0.5830078,0,-0.7019695,0
0.6011353,0,-0.7295777,0
0.6170044,0,-0.7430583,0
0.6326294,0,-0.7690991,0
0.6491699,0,-0.781554,0
0.6658325,0,-0.8050833,0
0.6829834,0,-0.8264645,0
0.6998291,0,-0.8362432,0
0.7163696,0,-0.8537888,0
0.7329102,0,-0.8684354,0
0.7498169,0,-0.8746027,0
0.7661133,0,-0.8845169,0
0.7830811,0,-0.8911005,0
0.8013916,0,-0.8942802,0
0.8162842,0,-0.8945866,0
0.8325806,0,-0.8926497,0
0.8496704,0,-0.8904243,0
0.8660278,0,-0.8835292,0
0.8839722,0,-0.8735074,0
0.8994751,0,-0.867385,0
0.9160156,0,-0.8530648,0
0.9329224,0,-0.8362042,0
0.9490967,0,-0.826915,0
0.9660034,0,-0.8068232,0
0.9832153,0,-0.7850056,0
1.002075,0,-0.761829,0
1.016296,0,-0.7498492,0
1.033081,0,-0.7253472,0
1.049377,0,-0.712921,0
1.066833,0,-0.6879557,0
1.083191,0,-0.6631487,0.005025554
1.100281,2.425117E-06,-0.6388547,0.01632902
1.116943,1.272944E-05,-0.6270046,0.03893602
1.132751,4.182055E-05,-0.6040916,0.05611733
1.149048,9.798566E-05,-0.5930999,0.08550645
1.166321,0.0001954013,-0.5722063,0.100427
1.183105,0.0003412592,-0.5529502,0.1207734
1.199707,0.000545368,-0.543995,0.1397632
1.218201,0.0008168797,-0.527523,0.1469975
1.232849,0.001159272,-0.5130574,0.1542317
1.249268,0.001576021,-0.5065988,0.1564924
1.266174,0.002068203,-0.4952463,0.155136
1.283142,0.00263515,-0.4859672,0.1266512
1.2995,0.003263099,-0.482089,0.1058527
1.316162,0.003942002,-0.4757976,0.0796286
1.333191,0.004659195,-0.4713513,0.06335157
1.349854,0.005406816,-0.46977,0.0443617
1.365906,0.006175694,-0.4677703,0.02401543
1.382629,0.006956007,-0.4671366,0.008190506
1.400024,0.007740117,-0.4676228,0
1.418274,0.00852407,-0.4682027,0
1.432983,0.009307865,-0.4698598,0.006834114
1.449646,0.0100948,-0.4708642,0.02265898
1.466248,0.01089252,-0.4730396,0.04164886
1.482666,0.01171017,-0.4751885,0.07601149
1.500366,0.01256434,-0.4770165,0.09228852
1.516174,0.01346287,-0.4777206,0.1017835
1.532959,0.01441034,-0.4785382,0.1017835
1.549316,0.01540674,-0.4785872,0.1017835
1.565979,0.01645205,-0.4778149,0.09047996
1.583252,0.01754082,-0.4757027,0.08279361
1.600098,0.01866932,-0.4720629,0.07329865
1.618286,0.01983296,-0.4696212,0.06516013
1.63269,0.02102782,-0.4634173,0.0565695
1.649292,0.02224974,-0.4596318,0.04345741
1.666504,0.02349238,-0.4506551,0.03351034
1.6828,0.02475094,-0.4397838,0.01587691
1.699341,0.02601692,-0.4336401,0.004573387
1.716858,0.02728485,-0.4199642,0
1.733032,0.02855252,-0.4045047,0
1.749939,0.02981994,-0.3961408,0
1.766724,0.03108711,-0.3782343,0
1.78302,0.03235402,-0.3589017,0
1.799927,0.03362069,-0.3487625,0
1.81604,0.03488709,-0.3276778,0.001408436
1.834351,0.03615393,-0.305721,0.0127119
1.849426,0.03742664,-0.2944964,0.02401543
1.866394,0.03871069,-0.271725,0.03260606
1.882935,0.04001022,-0.2487579,0.04074458
1.899536,0.04132915,-0.2372899,0.04571814
1.916138,0.04266987,-0.2145639,0.04888309
1.932922,0.04403391,-0.1923522,0.04888309
1.949768,0.04542128,-0.181525,0.04707453
1.966309,0.04683108,-0.1605923,0.04074458
1.983093,0.04826026,-0.1408275,0.03170178
1.999268,0.04970445,-0.1314549,0.0262761
2.016296,0.05116104,-0.1138591,0.01994614
2.03479,0.05262696,-0.0979481,0.009094786
2.049316,0.05409697,-0.09067381,0.009094786
2.066284,0.05557108,-0.0775682,0
2.083008,0.05704489,-0.06646787,0
2.099487,0.05851841,-0.06169154,0
