Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01586914,0,0.03503782,0,0.5704651
0.03210449,0,0.02765206,0,0.5354309
0.04925537,0,0.0239619,0,0.507782
0.06561279,0,0.01666,0,0.4838257
0.08276367,0,0.009559959,0,0.4671631
0.09924316,0,0.006121606,0,0.4576111
0.116394,0,-0.0004616678,0,0.4515076
0.1326904,0,-0.006564647,0,0.4519653
0.149292,0,-0.009404272,0,0.4585266
0.1659546,0,-0.01460135,0,0.467926
0.1846313,0,-0.01908526,0,0.4825439
0.1986694,0,-0.02103618,0,0.5016174
0.2158813,0,-0.02431637,0,0.522644
0.2327271,0,-0.02672499,0,0.5469666
0.2485352,0,-0.02759004,0,0.5737
0.265686,0,-0.02862579,0,0.6012878
0.2828979,0,-0.02872622,0,0.6299133
0.2993774,0,-0.02842617,0,0.6586304
0.3156738,0,-0.02713561,0,0.6870422
0.3324585,0,-0.02494991,0,0.7141724
0.348938,0,-0.02353472,0,0.7391357
0.3657227,0,-0.02009535,0,0.7626648
0.3817749,0,-0.01590151,0,0.7827454
0.4008179,0,-0.01103467,0,0.798645
0.4155884,0,-0.008377612,0,0.8096924
0.4326782,0,-0.002680182,0,0.8180847
0.4488525,0,0.00033319,0,0.8207703
0.4659424,0,0.006617308,0,0.8204346
0.4822388,0,0.01314491,0,0.8138123
0.4996948,0,0.01646149,0,0.8006592
0.5155029,0,0.02312189,0,0.7842102
0.5323486,0,0.02971423,0,0.7610779
0.5487671,0,0.03294587,0,0.7313538
0.5656738,0,0.03920478,0,0.6983948
0.5822144,0,0.04509395,0,0.6591797
0.6005249,0,0.05050349,0,0.6140747
0.6158447,0,0.05299652,0,0.5635681
0.6325073,0,0.05750155,0,0.5105591
0.6489258,0,0.05949274,0,0.453064
0.6659546,0,0.06290661,0,0.3935852
0.682373,0,0.06551233,0,0.3306885
0.6988525,0,0.06649685,0,0.2651672
0.7157593,0,0.06780744,0,0.1986694
0.7329712,0,0.06822322,0,0.1308594
0.7498779,0,0.06809321,0,0.06262207
0.7658081,0,0.06716168,0,-0.005446849
0.7827148,0.005504511,0.06535304,0.02085042,-0.07260853
0.8017578,0.009682291,0.06270301,0.03667535,-0.1434661
0.8155518,0.01051784,0.06107795,0.0398403,-0.2158514
0.833313,0.001804206,0.05726671,0.006834114,-0.2874472
0.8497925,0,0.05509853,0,-0.3465181
0.866333,0,0.05028832,0,-0.4016167
0.8843384,0,0.04492188,0,-0.451905
0.8998413,0,0.04206097,0,-0.4968269
0.9169312,0,0.03604949,0,-0.538888
0.9328003,0,0.02974355,0,-0.5749375
0.9494019,0,0.02651572,0,-0.6046811
0.9654541,0,0.01998258,0,-0.6311969
0.9816284,0,0.01344264,0,-0.6511794
0.9990845,0,0.01020598,0,-0.6646221
1.018738,0,0.003868937,0,-0.6748281
1.033264,0,-0.002197385,0,-0.678697
1.049011,0,-0.005097151,0,-0.6764996
