Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0.07592773
0.01776123,0,0.03503782,0,0.6463928
0.03189087,0,0.02765206,0,0.6113586
0.04815674,0,0.0239619,0,0.5837402
0.06533813,0,0.01666,0,0.5597839
0.0819397,0,0.009559959,0,0.5431213
0.09902954,0,0.006121606,0,0.5335693
0.1149902,0,-0.0004616678,0,0.5274353
0.1317139,0,-0.006564647,0,0.5279236
0.1487427,0,-0.009404272,0,0.5344849
0.1653748,0,-0.01460135,0,0.5438843
0.1818542,0,-0.01908526,0,0.5584717
0.1987305,0,-0.02103618,0,0.5775452
0.2150269,0,-0.02431637,0,0.5986023
0.2345581,0,-0.02672499,0,0.6229248
0.2484131,0,-0.02759004,0,0.6496582
0.2649231,0,-0.02862579,0,0.6772461
0.2817688,0,-0.02872622,0,0.7058716
0.2989197,0,-0.02842617,0,0.7345886
0.3148804,0,-0.02713561,0,0.7630005
0.3323364,0,-0.02494991,0,0.7901306
0.3485413,0,-0.02353472,0,0.815094
0.3651123,0,-0.02009535,0,0.838623
0.3814697,0,-0.01590151,0,0.8587036
0.3984375,0,-0.01354665,0,0.8746033
0.4151001,0,-0.008377612,0,0.8881531
0.4338684,0,-0.002680182,0,0.8965454
0.4484253,0,0.00033319,0,0.8992309
0.4648438,0,0.006617308,0,0.8988953
0.481781,0,0.01314491,0,0.8922729
0.4988708,0,0.01646149,0,0.8791199
0.5155334,0,0.02312189,0,0.8626709
0.5317993,0,0.02971423,0,0.8395386
0.5485229,0,0.03294587,0,0.8098145
0.5649109,0,0.03920478,0,0.7768555
0.5817261,0,0.04509395,0,0.7376404
0.5980835,0,0.04786515,0,0.6925354
0.6151123,0,0.05299652,0,0.6446838
0.6313782,0,0.05750155,0,0.5916748
0.6506042,0,0.06129715,0,0.5341797
0.6651306,0,0.06290661,0,0.4728698
0.6817322,0,0.06551233,0,0.4099731
0.6982117,0,0.06649685,0,0.3444519
0.7154541,0,0.06780744,0,0.2779541
0.7316895,0,0.06822322,0,0.210144
0.7487793,0,0.06809321,0,0.1419067
0.764801,0,0.06716168,0,0.07385254
0.7819824,0,0.06535304,0,0.00668335
0.7986145,0,0.06413031,0,-0.05864037
0.8152161,0,0.06107795,0,-0.1227707
0.8317261,0,0.05726671,0,-0.1838487
0.8513794,0,0.05276871,0,-0.2411154
0.8651428,0,0.05028832,0,-0.2938841
0.8815308,0,0.04492188,0,-0.3441724
0.8981323,0,0.04206097,0,-0.3890944
0.9150391,0,0.03604949,0,-0.4311554
0.9320068,0,0.02974355,0,-0.4672048
0.9487,0,0.02651572,0,-0.4969484
0.9655457,0,0.01998258,0,-0.5234641
0.9822388,0,0.01344264,0,-0.5434468
0.9986877,0,0.01020598,0,-0.5568894
1.014954,0,0.003868937,0,-0.5670955
1.031769,0,-0.002197385,0,-0.5709644
1.050812,0,-0.007892251,0,-0.5687671
1.065552,0,-0.01057148,0,-0.5608748
1.08255,0,-0.01554143,0,-0.5503033
1.098022,0,-0.01781344,0,-0.534762
1.114868,0,-0.02189088,0,-0.5169486
1.131683,0,-0.02530253,0,-0.4950578
1.148163,0,-0.02674544,0,-0.4697552
1.165009,0,-0.0290885,0,-0.4430098
1.181976,0,-0.0306952,0,-0.4139213
1.198395,0,-0.03122163,0,-0.3832261
1.215149,0,-0.03172791,0,-0.3520045
1.231537,0,-0.03152591,0,-0.3202766
1.248413,0,-0.03117073,0,-0.2887507
1.2677,0,-0.02998239,0,-0.25758
1.281952,0,-0.02820724,0,-0.2275976
1.29895,0,-0.02712137,0,-0.1993904
1.315399,0,-0.02460307,0,-0.172269
1.332397,0,-0.02169573,0,-0.1476659
1.347992,0,-0.02012563,0,-0.1259702
1.365051,0,-0.01681477,0,-0.1058445
1.381775,0,-0.01336282,0,-0.08902977
1.398163,0,-0.01161706,0,-0.07566696
1.415497,0,-0.008152664,0,-0.06404991
1.431732,0,-0.004812717,0,-0.05589724
1.448425,0,-0.003221929,0,-0.05108453
1.467102,0,-0.0002611279,0,-0.0478626
1.482117,0,0.002326548,0,-0.04760148
1.498688,0,0.003452897,0,-0.04992804
1.515808,0,0.005320191,0,-0.05338093
1.53186,0,0.006614864,0,-0.05870113
1.548615,0,0.007028222,0,-0.065316
1.56485,0,0.00735569,0,-0.07234422
1.581879,0,0.006986022,0,-0.07969991
1.598694,0,0.006531358,0,-0.08668593
1.615356,0,0.005074084,0,-0.0932173
1.63205,0,0.002886415,0,-0.09829138
1.648163,0,0.001522303,0,-0.1011778
1.664948,0,-0.00173068,0,-0.1027001
1.684082,0,-0.005651474,0,-0.1009694
1.698334,0,-0.007846951,0,-0.09531797
1.714966,0,-0.01267022,0,-0.08747102
1.731659,0,-0.0180099,0,-0.07480081
1.748505,0,-0.02084833,0,-0.05679091
1.765533,0,-0.02680665,0,-0.03594258
1.78186,0,-0.03305972,0,-0.009135924
1.798645,0,-0.03626499,0,0.02392578
1.814911,0,-0.04276636,0,0.06018066
1.831573,0,-0.0492975,0,0.1029358
1.848907,0,-0.05253959,0,0.1522217
1.865479,0,-0.0589073,0,0.2047729
1.88385,0,-0.06502869,0,0.2636719
1.898346,0,-0.06796366,0,0.3287048
1.91507,0,-0.07351837,0,0.3966675
1.931732,0,-0.07857281,0,0.4701843
1.948364,0,-0.08088437,0,0.5487671
1.965576,0,-0.08502573,0,0.6296387
1.981812,0,-0.08846515,0,0.7146606
1.998596,0,-0.08990234,0,0.8031311
2.014679,0,-0.09217989,0,0.8930359
2.031494,0,-0.09362972,0,0.9852295
2.048706,0,-0.09403574,0,1.078857
2.065643,0,-0.09420061,0,1.172913
2.084534,0,-0.09350121,0,1.26712
2.098907,0,-0.09283066,0,1.360626
2.114838,0,-0.09086108,0,1.453461
2.131958,0.001565476,-0.08808279,0.005929834,1.544312
2.148376,0.008488642,-0.08640432,0.03215395,1.630829
2.16507,0.01732165,-0.08250308,0.0656123,1.70874
2.181854,0.02090259,-0.07793117,0.07917649,1.773895
2.1987,0.02412544,-0.07541656,0.09138424,1.830932
2.215118,0.02806449,-0.06998038,0.1063049,1.882202
2.231781,0.03021306,-0.06407452,0.1144434,1.924103
2.248413,0.03271971,-0.06097436,0.1239383,1.957977
2.264709,0.03630066,-0.05453897,0.1375025,1.986237
2.281555,0.03940415,-0.0478723,0.1492582,2.004486
2.300476,0.0450143,-0.04107285,0.1705087,2.01297
2.315063,0.04895334,-0.03765392,0.1854293,2.009064
2.331635,0.05468286,-0.0308373,0.207132,1.997772
2.348785,0.06160602,-0.0274632,0.2333562,1.973907
2.365692,0.06685808,-0.02083707,0.2532503,1.939758
2.382141,0.07688473,-0.01444316,0.2912301,1.893738
2.399292,0.08356917,-0.01135731,0.3165499,1.831299
2.415039,0.09013425,-0.005449057,0.3414176,1.759094
2.431885,0.09765425,5.817413E-05,0.3699025,1.674408
2.448639,0.1026676,0.002645731,0.3888923,1.576691
2.465179,0.1069647,0.007464886,0.4051693,1.471375
2.481628,0.1086358,0.01178432,0.4114993,1.356934
2.500092,0.1086358,0.01558781,0.4114993,1.236542
2.515137,0.1074422,0.01729393,0.4069779,1.112305
2.531525,0.1033837,0.02031851,0.3916051,0.9875488
2.54895,0.09896723,0.0216403,0.3748759,0.8638306
2.565002,0.09610248,0.02391887,0.3640245,0.7432251
2.581604,0.09347647,0.02573752,0.3540775,0.6231995
2.598633,0.09013425,0.02648735,0.3414176,0.5039978
2.615082,0.08798566,0.02769995,0.333279,0.3873596
2.631622,0.08380792,0.02857685,0.3174542,0.2716675
2.648346,0.08010759,0.02890873,0.3034379,0.1593018
2.665436,0.07187141,0.02940249,0.2722402,0.05029297
2.683044,0.06291904,0.02972865,0.2383297,-0.05096323
2.700592,0.04656604,0.02996039,0.1763865,-0.1436109
2.715057,0.03164544,0.03006458,0.1198691,-0.2201374
2.731689,0.01386006,0.03029466,0.05250021,-0.2818474
2.748932,0,0.0304389,0,-0.3260022
2.76535,0,0.03082943,0,-0.3564411
2.781738,0,0.03141022,0,-0.3872705
2.79837,0,0.03179049,0,-0.4186807
2.815552,0,0.03276563,0,-0.4504713
2.831909,0,0.03406382,0,-0.4832369
2.849091,0,0.03484654,0,-0.5173007
2.865051,0,0.03669572,0,-0.5521473
2.881775,0,0.03894043,0,-0.588843
2.898743,0,0.04021382,0,-0.6277835
2.917938,0,0.04306221,0,-0.6679973
2.932465,0,0.0463028,0,-0.7110595
2.94812,0,0.04806328,0,-0.7573622
2.965179,0,0.0518446,0,-0.8054256
2.981598,0,0.05593789,0,-0.8572702
2.998169,0,0.05808532,0,-0.9132081
3.015778,0,0.0625447,0,-0.9712936
3.031372,0,0.06716645,0,-1.033838
3.04895,0,0.06951511,0,-1.101005
3.064758,0,0.07423759,0,-1.17052
3.081543,0,0.07892311,0,-1.244758
3.098755,0,0.08122444,0,-1.323681
3.116974,0,0.08568829,0,-1.404905
3.131683,0,0.08989179,0,-1.490593
3.148773,0,0.09186798,0,-1.580485
3.164948,0,0.09551466,0,-1.672354
3.182983,0.0001330972,0.09868479,0.0005041559,-1.767868
3.198608,0,0.1000666,0,-1.866686
3.215668,0,0.102379,0,-1.966753
3.231476,0,0.104037,0,-2.069132
3.24881,0,0.1046033,0,-2.173169
3.265076,0,0.1051821,0,-2.277772
3.28186,0,0.1049946,0,-2.382954
3.298218,0,0.1046062,0,-2.487949
3.315308,0,0.1032335,0,-2.592555
3.334229,0,0.1010686,0,-2.695789
3.348785,0,0.09969366,0,-2.796858
3.364838,0,0.09637594,0,-2.896551
3.381989,0,0.09233606,0,-2.992927
3.398468,0,0.09006178,0,-3.085263
3.415619,0,0.08504558,0,-3.175326
3.431854,0,0.0794704,0,-3.260371
3.448761,0,0.07650042,0,-3.339842
3.464966,-0.003594672,0.07025695,-0.01361618,-3.416342
3.481506,-0.006101343,0.0636971,-0.02311115,-3.483005
3.49881,-0.0137407,0.06033421,-0.0520481,-3.540601
3.51532,-0.02364798,0.05351615,-0.08957569,-3.587196
3.53421,-0.04322383,0.04667902,-0.1637266,-3.617064
3.549072,-0.06279968,0.04329252,-0.2378776,-3.620519
3.565826,-0.08703075,0.0366652,-0.3296619,-3.601012
3.581421,-0.1268986,0.03033757,-0.4806767,-3.550647
3.598816,-0.1538751,0.02732539,-0.5828602,-3.454086
3.614746,-0.1772706,0.02168107,-0.6714797,-3.327536
3.631683,-0.2068731,0.0166409,-0.7836103,-3.171947
3.648529,-0.2211969,0.01438189,-0.8378671,-2.981715
3.665039,-0.2293137,0.01044917,-0.8686126,-2.7749
3.682404,-0.2285976,0.00737381,-0.8658999,-2.556036
3.698212,-0.2203614,0.006183147,-0.8347022,-2.334812
3.715515,-0.2059182,0.004538774,-0.7799933,-2.120634
3.733948,-0.1865811,0.003922939,-0.7067466,-1.919254
3.748169,-0.16987,0.004014492,-0.643447,-1.736596
3.765137,-0.1519653,0.00501132,-0.575626,-1.570741
3.781647,-0.1212885,0.00710392,-0.4594261,-1.423787
3.798279,-0.09825107,0.008560181,-0.3721631,-1.309602
3.815063,-0.07521364,0.01228023,-0.2849002,-1.219911
3.837097,-0.03725558,0.01704741,-0.1411196,-1.156978
3.848755,-0.009443561,0.01980853,-0.03577106,-1.13677
3.865814,0,0.02604437,0,-1.147135
3.881714,0,0.03316641,0,-1.17318
3.898651,0,0.03703094,0,-1.206346
3.914886,0,0.04530263,0,-1.243377
3.932037,0,0.05420113,0,-1.28868
3.951599,0,0.06360126,0,-1.342881
3.965363,0,0.06844735,0,-1.406482
3.982391,0,0.07834482,0,-1.47493
3.998138,0,0.08335972,0,-1.553275
4.015564,0,0.09343052,0,-1.636634
4.031525,0,0.1034307,0,-1.730065
4.04837,0,0.1083579,0,-1.833496
4.065094,0,0.1179771,0,-1.941854
4.081665,0,0.127162,0,-2.059831
4.098419,0,0.1315494,0,-2.186993
