Time,CV,FF,Input
0,0,-0.791238,0
0.01291656,0,-0.7777878,0
0.02999496,0,-0.7640342,0
0.04641724,0,-0.7358032,0
0.06270218,0,-0.6923848,0
0.07957077,0,-0.6778306,0
0.09781647,0,-0.6489156,0
0.1131248,0,-0.6206132,0
0.1294785,0,-0.606824,0
0.1464653,0,-0.5802304,0
0.163456,0,-0.5675273,0
0.1844902,0,-0.5435532,0
0.1963005,0,-0.5323752,0
0.2134705,0,-0.5118558,0
0.2302742,0,-0.4940503,0
0.2467003,0,-0.486255,0
0.2625885,0,-0.4730349,0
0.2796631,0,-0.4676628,0
0.2965469,0,-0.4567465,0
0.3126526,0,-0.4539393,0
0.3297348,0,-0.4538988,0
0.3468018,0,-0.4565442,0
0.3632278,0,-0.4627806,0
0.3794441,0,-0.4672149,0
0.3984222,0,-0.4786234,0
0.4132118,0,-0.4932536,0
0.4291725,0,-0.5017024,0
0.4465446,0,-0.5206915,0
0.462429,0,-0.5421999,0
0.4791374,0,-0.5537882,0
0.4962807,0,-0.5783916,0
0.5133324,0,-0.6045529,0
0.5303879,0,-0.6318371,0
0.5465622,0,-0.6457594,0
0.5630722,0,-0.6738763,0
0.5795326,0,-0.6879548,0
0.5979156,0,-0.7158628,0
0.6125412,0,-0.7430583,0
0.6296005,0,-0.7562499,0
0.6464691,0,-0.781554,0
0.6633987,0,-0.8050833,0
0.6802368,0,-0.8264645,0
0.6962318,0,-0.8362432,0.01632902
0.7133865,7.879687E-06,-0.8537888,0.02672827
0.7292862,2.865572E-05,-0.8614891,0.02808466
0.7466927,6.298004E-05,-0.8746027,0
0.762722,9.72975E-05,-0.8845169,0
0.7799683,0.0001316081,-0.8882309,0
0.7985992,0.0001659118,-0.8931182,0
0.8130074,0.0002002087,-0.8945866,0
0.8289948,0.0002344987,-0.8940406,0
0.8467751,0.0002687819,-0.8904243,0
0.862793,0.0003030582,-0.8835292,0
0.8790092,0.0003373276,-0.8788977,0
0.8966179,0.0003715902,-0.867385,0
0.913475,0.000405846,-0.8530648,0
0.9295654,0.0004400949,-0.8449339,0
0.9461098,0.0004743369,-0.826915,0
0.9626045,0.0005085721,-0.8068232,0
0.9793663,0.0005428004,-0.7961076,0
0.9960899,0.0005770219,-0.7735636,0
1.014671,0.0006112366,-0.7498492,0
1.030178,0.0006454444,-0.7253472,0
1.046638,0.0006796453,-0.712921,0
1.062706,0.0007138395,-0.6879557,0
1.079575,0.0007480268,-0.6755098,0
1.096291,0.0007822072,-0.6509163,0
1.112782,0.0008163808,-0.6270046,0
1.129555,0.0008505476,-0.6154047,0
1.146393,0.0008847076,-0.5930999,0
1.16267,0.0009188607,-0.5722063,0
1.179253,0.000953007,-0.5623611,0
1.196232,0.0009871464,-0.543995,0
1.215034,0.001021279,-0.527523,0
1.229519,0.001055405,-0.5200343,0
1.246525,0.001089524,-0.5065988,0
1.262917,0.001123636,-0.4952463,0
1.279396,0.001157741,-0.4903501,0
1.296555,0.00119184,-0.482089,0
1.313469,0.001225931,-0.4757976,0
1.329453,0.001260016,-0.4733532,0
1.346672,0.001294094,-0.46977,0
1.36327,0.001328166,-0.4677703,0
1.379715,0.00136223,-0.4672975,0
1.396435,0.001396288,-0.4672561,0
1.415134,0.001430338,-0.4682027,0
1.429443,0.001464383,-0.4689604,0
1.446095,0.00149842,-0.4708642,0
1.462795,0.00153245,-0.4730396,0
1.479233,0.001566474,-0.4741359,0
1.49601,0.00160049,-0.4761607,0
1.512463,0.0016345,-0.4777206,0
1.529251,0.001668504,-0.4782389,0
1.546261,0.0017025,-0.4785872,0
1.562595,0.001736489,-0.4778149,0
1.579556,0.001770472,-0.4769388,0
1.596603,0.001804448,-0.4740841,0
1.615463,0.001838417,-0.4696212,0
1.629391,0.00187238,-0.4667436,0
1.646469,0.001906335,-0.4596318,0
1.663395,0.001940284,-0.4506551,0
1.679684,0.001974226,-0.4454565,0
1.695866,0.002008161,-0.4336401,0
1.712971,0.00204209,-0.4199642,0
1.729862,0.002076011,-0.4124511,0
1.746887,0.002109926,-0.3961408,0
1.763531,0.002143834,-0.3782343,0
1.780052,0.002177735,-0.3589017,0
1.795883,0.00221163,-0.3487625,0
1.81255,0.002245518,-0.3276778,0
1.831554,0.002279399,-0.305721,0
1.846169,0.002313273,-0.2944964,0
1.862701,0.00234714,-0.271725,0
1.87962,0.002381001,-0.2602481,0
1.896694,0.002414854,-0.2372899,0
1.912853,0.002448702,-0.2145639,0
1.929558,0.002482542,-0.2033764,0
1.946182,0.002516375,-0.181525,0
1.962955,0.002550202,-0.1605923,0
1.97987,0.002584022,-0.1505492,0
1.996666,0.002617836,-0.1314549,0
2.013111,0.002651642,-0.1138591,0
2.032745,0.002685442,-0.0979481,0
2.045803,0.002719235,-0.09067381,0
2.062729,0.002753021,-0.0775682,0
2.07946,0.002786801,-0.07176242,0
2.095875,0.002820574,-0.06169154,0
2.113274,0.00285434,-0.05370994,0
2.129742,0.002888099,-0.05050699,0
2.14653,0.002921851,-0.04566544,0
2.16338,0.002955597,-0.04286845,0
2.179749,0.002989336,-0.04221319,0
2.196125,0.003023068,-0.04232466,0
2.212952,0.003056794,-0.04422472,0
2.229942,0.003090513,-0.04579901,0
2.248894,0.003124225,-0.05009052,0
2.262562,0.00315793,-0.05575124,0
2.279575,0.003191628,-0.05903346,0
2.295853,0.00322532,-0.0663723,0
2.313023,0.003259005,-0.07456644,0
2.329357,0.003292684,-0.07891724,0
2.346069,0.003326355,-0.08799331,0
2.362537,0.00336002,-0.09739605,0
2.379559,0.003393678,-0.1021577,0
2.396042,0.003427329,-0.1116846,0
2.412678,0.003460974,-0.121074,0
2.42981,0.003494611,-0.1256688,0
2.446915,0.003528243,-0.1345749,0
2.465885,0.003561867,-0.1430111,0
2.479694,0.003595485,-0.1470253,0
2.496277,0.003629096,-0.154607,0
2.513004,0.0036627,-0.1615641,0
2.529217,0.003696298,-0.1648048,0
2.54641,0.003729888,-0.1708212,0
2.563095,0.003763472,-0.1762534,0
2.579315,0.00379705,-0.1787709,0
2.596432,0.003830621,-0.183465,0
2.613186,0.003864184,-0.1877979,0
2.629601,0.003897742,-0.1898694,0
2.65266,0.003931292,-0.1959273,0
2.683029,0.003964836,-0.2021844,0
2.696514,0.003998373,-0.2044167,0
2.712814,0.004031904,-0.209237,0
2.729168,0.004065427,-0.2118702,0
2.746861,0.004098944,-0.2176936,0
2.763397,0.004132455,-0.2244006,0
2.779251,0.004165958,-0.2281353,0
2.796406,0.004199455,-0.2364574,0
2.812481,0.004232945,-0.2460212,0
2.829468,0.004266429,-0.2513022,0
2.846539,0.004299906,-0.2629147,0
2.86272,0.004333375,-0.2759745,0
2.881378,0.004366839,-0.2905086,0
2.895954,0.004400296,-0.2983276,0
2.912979,0.004433746,-0.3150476,0
2.929592,0.004467189,-0.323933,0
2.946548,0.004500626,-0.3426985,0
2.962875,0.004534055,-0.362689,0
2.979649,0.004567479,-0.3730975,0
2.996136,0.004600896,-0.3946301,0
3.013218,0.004634305,-0.4169467,0
3.029274,0.004667709,-0.4283286,0
3.046379,0.004701105,-0.4513848,0
3.062874,0.004734495,-0.4746094,0
3.08123,0.004767878,-0.497722,0
3.096279,0.004801254,-0.5091453,0
3.113514,0.004834624,-0.5315406,0
3.129459,0.004867987,-0.5424379,0
3.146587,0.004901343,-0.5634463,0
3.163288,0.004934693,-0.5831656,0
3.179527,0.004968036,-0.5924543,0
3.196411,0.005001373,-0.609725,0
3.212654,0.005034702,-0.6250502,0
3.229031,0.005068026,-0.6319136,0
3.24654,0.005101342,-0.6439202,0
3.263405,0.005134652,-0.6534974,0
3.282154,0.005167955,-0.6605172,0
3.296581,0.005201252,-0.66304,0
3.312344,0.005234541,-0.6660798,0
3.329578,0.005267825,-0.6665932,0
3.346478,0.005301101,-0.6656207,0
3.363533,0.005334371,-0.6620363,0
3.380196,0.005367634,-0.6559479,0
3.396336,0.00540089,-0.6520115,0
3.412521,0.005434141,-0.642473,0
3.430355,0.005467384,-0.6309046,0
3.446312,0.00550062,-0.6244403,0
3.462738,0.00553385,-0.6103345,0
3.479187,0.005567073,-0.6027726,0
3.498474,0.00560029,-0.5868432,0
3.513279,0.0056335,-0.5701413,0
3.530071,0.005666703,-0.553045,0
3.545547,0.0056999,-0.5444707,0
3.562775,0.00573309,-0.5275169,0
3.579102,0.005766273,-0.5192364,0
3.596146,0.00579945,-0.503313,0
3.612354,0.00583262,-0.4885579,0
3.630157,0.005865784,-0.4753371,0
3.646519,0.005898941,-0.4694099,0
3.662003,0.005932091,-0.4591206,0
3.678902,0.005965235,-0.4548316,0
3.696106,0.005998372,-0.4481283,0
3.714153,0.006031502,-0.4441102,0
3.729256,0.006064626,-0.4431662,0
3.746277,0.006097743,-0.4434964,0
3.762466,0.006130854,-0.4468611,0
3.779419,0.006163958,-0.449697,0
3.795486,0.006197055,-0.4576754,0
3.812485,0.006230146,-0.468685,0
3.829559,0.00626323,-0.4752964,0
3.846436,0.006296307,-0.4906398,0
3.862926,0.006329378,-0.5086469,0
3.879444,0.006362442,-0.5185753,0
3.896206,0.0063955,-0.5401058,0
3.91515,0.00642855,-0.5635989,0
3.929504,0.006461595,-0.5759708,0
3.946491,0.006494632,-0.601723,0
3.963223,0.006527664,-0.6284735,0
3.97958,0.006560688,-0.6420873,0
3.995762,0.006593706,-0.6695091,0
4.012882,0.006626717,-0.6968034,0
4.029716,0.006659722,-0.7102563,0
4.045959,0.00669272,-0.7364799,0
4.062748,0.006725712,-0.7614087,0
4.079685,0.006758697,-0.7732462,0
4.096428,0.006791675,-0.7953957,0
4.114704,0.006824647,-0.8151686,0
4.130264,0.006857612,-0.832183,0
4.146385,0.00689057,-0.839547,0
4.1632,0.006923522,-0.8460963,0
4.180229,0.006956468,-0.8566105,0
4.197624,0.006989406,-0.8605136,0
4.213741,0.007022338,-0.8654824,0
4.230091,0.007055264,-0.866536,0
4.246162,0.007088183,-0.8655591,0
4.263004,0.007121095,-0.8605593,0
4.27956,0.007154001,-0.8565323,0
4.296108,0.007186901,-0.8454419,0
4.312443,0.007219793,-0.8303704,0
4.331406,0.007252679,-0.8114488,0.01497263
4.345825,0.007292784,-0.8006002,0.03034539
4.362427,0.007347524,-0.7762681,0.04481386
4.37886,0.007423878,-0.7628499,0.06289946
4.396046,0.00753057,-0.7336931,0.0751072
4.412659,0.007673484,-0.7017166,0.08595856
4.42979,0.007857849,-0.684782,0.09907064
4.445992,0.008089985,-0.6492579,0.1112784
4.463688,0.008375772,-0.611861,0.1302683
4.480343,0.008724364,-0.5730062,0.1365982
4.496441,0.009138803,-0.5531644,0.1515189
4.512726,0.009626275,-0.5129187,0.1646309
4.531425,0.01019309,-0.4722762,0.1772908
4.546627,0.01084535,-0.4519362,0.184525
4.562859,0.01158652,-0.4114707,0.1894986
4.579109,0.01241899,-0.3914421,0.1953764
4.596718,0.01334557,-0.352023,0.197185
4.612431,0.01436712,-0.3137394,0.197185
4.629585,0.01548362,-0.2951219,0.1953764
4.646458,0.01669418,-0.2591118,0.1872379
4.663212,0.01799484,-0.2249389,0.1763865
4.679718,0.01938036,-0.2086074,0.1750301
4.696274,0.02085007,-0.177561,0.1750301
4.712784,0.02240395,-0.1487772,0.1750301
4.73225,0.02404197,-0.122342,0.1750301
4.74678,0.02576414,-0.1100187,0.171413
4.762901,0.02756867,-0.08716192,0.1619181
4.779472,0.02945098,-0.07662023,0.151971
4.796631,0.03140624,-0.05726889,0.1307204
4.812374,0.0334242,-0.04014152,0.1144434
4.829575,0.03549698,-0.03237073,0.09590563
4.846561,0.03761562,-0.01831357,0.08053289
4.862957,0.0397727,-0.006078095,0.05837806
4.879406,0.04195752,-0.0005782557,0.04074458
4.896675,0.04416157,0.009327991,0.0217547
4.91259,0.04637567,0.01797804,0
4.929451,0.04858933,0.0219103,0
4.948471,0.05080254,0.02914936,0
4.963596,0.05301532,0.03576841,0
4.979397,0.05522765,0.03892465,0
4.9967,0.05743954,0.04508412,0
5.013557,0.05965098,0.05123392,0
5.029751,0.06186199,0.05437378,0
5.04652,0.06407255,0.06090838,0
5.062298,0.06628267,0.06793029,0
5.079357,0.06849235,0.07167242,0
5.096001,0.07070158,0.07969854,0
5.113155,0.07291038,0.08852822,0
5.129238,0.07511873,0.09326646,0
5.146133,0.07732664,0.1034141,0
5.164341,0.07953411,0.114462,0
5.179501,0.08174113,0.1203171,0
5.196732,0.08394772,0.1326571,0
5.212822,0.08615386,0.1457689,0
5.229771,0.08835956,0.1525811,0
5.246639,0.09056482,0.1666357,0
5.263268,0.09276965,0.1811348,0
5.280003,0.09497403,0.1884971,0
5.296448,0.09717797,0.2033286,0
5.313484,0.09938147,0.2181335,0
5.329395,0.1015845,0.2254598,0
5.346466,0.1037871,0.2398242,0
5.364841,0.1059893,0.2536213,0
5.379234,0.1081911,0.2602391,0
5.396442,0.1103923,0.2727803,0
5.413113,0.1125932,0.2842273,0
5.429668,0.1147936,0.2894808,0
5.446445,0.1169936,0.2989388,0
5.463158,0.1191931,0.3068691,0
5.479652,0.1213922,0.3102192,0
5.496422,0.1235909,0.3156202,0
5.512772,0.1257891,0.3192195,0
5.529438,0.1279869,0.3203251,0
5.546375,0.1301842,0.3211297,0
5.563332,0.1323811,0.3200595,0
5.580944,0.1345776,0.3171454,0
5.596634,0.1367736,0.3150158,0
5.61343,0.1389692,0.3094675,0
5.629616,0.1411643,0.306077,0
5.646378,0.143359,0.2981477,0
5.662849,0.1455533,0.2888193,0
5.679771,0.1477471,0.2836856,0
5.696392,0.1499405,0.2726007,0
5.713379,0.1521334,0.2606001,0
5.730198,0.1543259,0.2479039,0
5.746609,0.156518,0.2413659,0
5.763287,0.1587096,0.2280542,0
5.780083,0.1609008,0.2146194,0
5.799179,0.1630916,0.2079261,0
5.813705,0.1652819,0.1947235,0
5.829491,0.1674718,0.1882657,0
5.846729,0.1696612,0.175758,0
5.863358,0.1718502,0.1639394,0
5.879295,0.1740388,0.1583374,0
5.896095,0.1762269,0.1478302,-0.004573387
5.913166,0.1784124,0.1383402,-0.06696869
5.929234,0.1805651,0.1340018,-0.09635781
5.946175,0.1826709,0.1261704,-0.113087
5.96236,0.1847217,0.1194827,-0.113087
5.979462,0.1867175,0.1165657,-0.08776712
5.99662,0.1886706,0.1115611,-0.06742086
6.016212,0.1905908,0.1076048,-0.02853683
6.029873,0.1924968,0.1059902,0
6.046486,0.1944024,0.1034108,0
6.063332,0.1963076,0.1015728,0
6.079464,0.1982125,0.1008787,0
6.096653,0.2001169,0.09981987,0
6.112709,0.202021,0.09902538,0
6.129681,0.2039247,0.09865764,0
6.146538,0.2058281,0.09783491,0
6.162788,0.207731,0.0966951,0
6.18037,0.2096336,0.09499461,0
6.196598,0.2115358,0.09385843,0
6.213039,0.2134376,0.09086652,0
6.232132,0.215339,0.0867268,0
6.246681,0.2172401,0.08415963,0
6.262577,0.2191407,0.07790793,0
6.279865,0.221041,0.07417887,0
6.296566,0.2229409,0.0654158,0
6.31271,0.2248405,0.05480407,0
6.329391,0.2267396,0.04877204,0
6.346001,0.2286384,0.03520948,0
6.362747,0.2305368,0.01961498,0
6.379559,0.2324348,0.01105222,0
6.396225,0.2343324,-0.007589666,0
6.413567,0.2362297,-0.02820473,0
6.432049,0.2381265,-0.05070033,0
6.447071,0.240023,-0.06261399,0
6.463005,0.2419191,-0.08767469,0
6.480591,0.2438149,-0.1142245,0
6.496529,0.2457102,-0.1279925,0
6.512985,0.2476052,-0.1563689,0
6.529488,0.2494998,-0.1709149,0
6.546509,0.251394,-0.2005572,0
6.56266,0.2532879,-0.2307027,0
6.579716,0.2551813,-0.2458753,0
6.596684,0.2570744,-0.2762405,0
6.613251,0.2589671,-0.3063933,0
6.6292,0.2608595,-0.3213018,0
6.648289,0.2627514,-0.3506136,0
6.662949,0.264643,-0.3790377,0
6.679672,0.2665342,-0.3928418,0
6.696587,0.268425,-0.4194995,0
6.713257,0.2703154,-0.4447326,0
6.730164,0.2722055,-0.4683846,0
6.746632,0.2740952,-0.4795797,0
6.762772,0.2759845,-0.5006556,0
6.779305,0.2778734,-0.5105241,0
6.796574,0.279762,-0.528913,0
6.813515,0.2816501,-0.5455284,0
6.829426,0.2835379,-0.5531914,0
6.848011,0.2854253,-0.5672955,0
6.862637,0.2873124,-0.579896,0
6.879028,0.289199,-0.5856903,0
6.896091,0.2910853,-0.5964078,0
6.912384,0.2929712,-0.606181,0
6.929173,0.2948567,-0.6108043,0
6.946388,0.2967419,-0.6197238,0
6.962902,0.2986267,-0.6284958,0
6.979374,0.3005111,-0.6329403,0
6.996517,0.3023951,-0.6421846,0
7.013279,0.3042787,-0.6522296,0
7.02932,0.306162,-0.6576768,0
7.046646,0.3080449,-0.66967,0
7.06604,0.3099274,-0.6834563,0
7.079441,0.3118095,-0.6911422,0
7.096455,0.3136913,-0.7083303,0
7.113438,0.3155727,-0.7282302,0
7.129581,0.3174537,-0.7392985,0
7.146492,0.3193343,-0.7638561,0
7.163574,0.3212146,-0.7918562,0
7.179771,0.3230945,-0.8072173,0
7.196365,0.324974,-0.8407742,0
7.213318,0.3268531,-0.8782224,0
7.229645,0.3287318,-0.8984344,0.005929834
7.246536,0.3306131,-0.9418599,0.03577106
7.262695,0.3325112,-0.989278,0.05114382
7.280647,0.3344336,-1.040625,0.05114382
7.296318,0.3363803,-1.067735,0.005477667
7.312592,0.3383293,-1.124725,0
7.329636,0.3402779,-1.154551,0
7.345875,0.3422261,-1.21671,0
7.362621,0.3441739,-1.281961,0
7.379463,0.3461213,-1.315642,0
7.3965,0.3480683,-1.384882,0
7.413006,0.350015,-1.456288,0
7.430344,0.3519612,-1.529425,0
7.446674,0.353907,-1.566499,0
7.463177,0.3558525,-1.641362,0
7.481396,0.3577976,-1.71677,0
7.496277,0.3597423,-1.754525,0
7.513435,0.3616866,-1.829829,0
7.529499,0.3636305,-1.867256,0
7.546375,0.365574,-1.941361,0
7.562637,0.3675172,-2.014085,0
7.579128,0.3694599,-2.049791,0
7.596771,0.3714023,-2.11963,0
7.613327,0.3733443,-2.187056,0
7.629627,0.3752859,-2.219755,0
7.646446,0.3772271,-2.282928,0
7.663326,0.3791679,-2.342916,0
7.682117,0.3811083,-2.399499,0.02582399
7.696503,0.3830608,-2.426461,0.0701337
7.712467,0.3850468,-2.477652,0.1094698
7.729431,0.3870851,-2.501863,0.1610138
7.746655,0.3892008,-2.547495,0.1854293
7.76297,0.3914055,-2.589426,0.2075842
7.77953,0.3937099,-2.609024,0.2179834
7.796558,0.3961191,-2.645557,0.2256698
7.813007,0.3986367,-2.678671,0.2274784
7.829124,0.4012636,-2.694007,0.2274784
7.846405,0.4039997,-2.722388,0.2170791
7.862301,0.40684,-2.747938,0.2148184
7.879818,0.4097834,-2.759747,0.2148184
7.898643,0.4128299,-2.781633,0.2148184
7.91309,0.4159794,-2.801505,0.2161748
7.929214,0.4192326,-2.810799,0.2202441
7.945858,0.4225915,-2.828339,0.2229569
7.963142,0.4260572,-2.844798,0.2338083
7.979427,0.4296351,-2.852742,0.2433033
7.996452,0.4333297,-2.868294,0.2505375
8.012901,0.4371445,-2.883707,0.2631974
8.029411,0.4410855,-2.891472,0.2735966
8.046001,0.4451577,-2.907328,0.2858044
8.06321,0.4493671,-2.92388,0.2975601
8.079704,0.4537192,-2.932507,0.3066029
8.096283,0.4582183,-2.950622,0.3197149
8.1152,0.4628709,-2.970072,0.3269491
8.129276,0.4676803,-2.980356,0.3269491
8.146194,0.4726465,-3.002141,0.3274013
8.162964,0.4777697,-3.025639,0.3237841
8.179405,0.4830481,-3.038054,0.3237841
8.19635,0.4884817,-3.064239,0.3237841
8.213104,0.4940705,-3.092226,0.3242362
8.229923,0.4998146,-3.106883,0.3337313
8.246399,0.5057186,-3.137476,0.3495561
8.262997,0.5117901,-3.169681,0.3879881
8.279369,0.5180476,-3.186343,0.4001957
8.296223,0.524497,-3.22068,0.4295849
8.312893,0.5311524,-3.256199,0.4585218
8.332172,0.5380278,-3.292679,0.491528
8.346577,0.5451389,-3.311204,0.5222735
8.36274,0.5525007,-3.348663,0.5484976
8.379314,0.5601256,-3.367531,0.5873817
8.396114,0.5680325,-3.405375,0.6113451
8.413044,0.5762328,-3.443136,0.6425427
8.429565,0.5847415,-3.4619,0.6583676
8.446198,0.5935662,-3.499032,0.6696711
8.462479,0.6027123,-3.535424,0.6787139
8.479481,0.6121842,-3.553267,0.6787139
8.503429,0.6219816,-3.605053,0.6750968
8.52943,0.6321028,-3.637879,0.6384735
8.548347,0.6425301,-3.669151,0.610893
8.562786,0.6532502,-3.698736,0.5855731
8.579205,0.6642506,-3.712864,0.5412634
8.596401,0.67551,-3.739744,0.5064486
8.612381,0.6870117,-3.764755,0.4738946
8.629204,0.6987396,-3.776555,0.4124035
8.646641,0.7106643,-3.798749,0.3735196
8.663025,0.7227668,-3.819104,0.3165499
8.679726,0.7350196,-3.828613,0.2826394
8.696201,0.7474063,-3.846349,0.2582239
8.712849,0.7599152,-3.862468,0.2333562
8.729332,0.7725343,-3.869962,0.2229569
8.746689,0.7852583,-3.883911,0.2229569
8.765881,0.7980874,-3.896605,0.2405904
8.779564,0.8110301,-3.902534,0.2595803
8.795994,0.8240954,-3.913666,0.2844479
8.812904,0.8372954,-3.923977,0.3002729
8.829559,0.8506377,-3.928879,0.3350876
8.846039,0.864139,-3.938284,0.3540775
8.862831,0.8778084,-3.947292,0.3739717
8.879662,0.8916556,-3.951694,0.3821101
8.896099,0.9056844,-3.960382,0.3920573
8.912918,0.9198995,-3.969012,0.3965786
8.929214,0.9343032,-3.973338,0.3965786
8.946186,0.9488954,-3.98206,0.3907008
8.962975,0.9636732,-3.990921,0.3689981
8.98172,0.9786261,-3.99995,0.3509125
8.996807,0.9937453,-4.004528,0.3418697
9.012524,1.009027,-4.013795,0.3296619
9.029514,1.024464,-4.018471,0.326497
9.046406,1.040056,-4.027865,0.3183585
9.062664,1.055798,-4.037232,0.3183585
9.079281,1.07169,-4.04187,0.3192628
9.096508,1.087734,-4.050962,0.3274013
9.112736,1.103932,-4.059679,0.339157
9.12907,1.120291,-4.063841,0.3567903
9.145947,1.136819,-4.071654,0.3775888
9.162636,1.153525,-4.078619,0.4024565
9.179417,1.170423,-4.081718,0.4417926
9.198528,1.18753,-4.087018,0.4793202
9.212425,1.204865,-4.090941,0.4960494
9.229836,1.222436,-4.092322,0.5276992
9.246193,1.240258,-4.093795,0.5855731
9.263065,1.25836,-4.093394,0.6307871
9.27993,1.276762,-4.092434,0.6832353
9.296471,1.29549,-4.088897,0.7668812
9.312881,1.314584,-4.08309,0.8233986
9.329567,1.334072,-4.079299,0.9088532
9.346386,1.353994,-4.069887,0.9744135
9.362572,1.374383,-4.057983,1.044947
9.379593,1.395272,-4.051087,1.143514
9.398468,1.416708,-4.035405,1.238915
9.413345,1.438738,-4.01723,1.304475
9.430248,1.461394,-3.996627,1.363254
9.446266,1.484702,-3.985447,1.425197
9.463482,1.508694,-3.961409,1.502061
9.479706,1.533405,-3.948591,1.546822
9.496075,1.558858,-3.92147,1.588872
9.512287,1.585073,-3.892545,1.602436
9.529251,1.612056,-3.877478,1.595654
9.545612,1.639803,-3.846291,1.559482
9.562584,1.668298,-3.813926,1.525572
9.579342,1.697522,-3.79739,1.447352
9.596531,1.72744,-3.763793,1.393095
9.61454,1.758023,-3.729746,1.313518
9.629616,1.789235,-3.712646,1.265139
9.646511,1.82105,-3.678481,1.21676
9.663212,1.853447,-3.644602,1.161147
9.680176,1.886397,-3.611286,1.129045
9.695992,1.919886,-3.59492,1.107342
9.713436,1.953902,-3.562923,1.077049
9.729435,1.988431,-3.547346,1.058059
9.746414,2.023463,-3.517158,1.023245
9.762512,2.058983,-3.488392,0.9938555
9.779327,2.094975,-3.474585,0.9319122
9.796696,2.13141,-3.448184,0.876299
9.814968,2.16826,-3.423451,0.7637162
9.829407,2.205471,-3.411719,0.6642454
9.846321,2.242996,-3.389516,0.546237
9.862122,2.280776,-3.368951,0.4151165
9.878948,2.318749,-3.359255,0.1790994
9.896385,2.356802,-3.340962,0
9.912712,2.394846,-3.323996,0
9.92905,2.432883,-3.315951,0
9.946518,2.470912,-3.300598,0
9.962509,2.508934,-3.286017,0
9.979309,2.546948,-3.278929,0
9.996281,2.584954,-3.264976,0
10.01294,2.622953,-3.251057,0
10.03179,2.660944,-3.236846,0
10.04616,2.698928,-3.229527,0
10.06285,2.736904,-3.214252,0
10.07935,2.774873,-3.206213,0
10.09656,2.812833,-3.189128,0
10.11294,2.850787,-3.170439,-0.06651658
10.12938,2.8887,-3.160398,-0.1506146
10.14648,2.926534,-3.138753,-0.2591281
10.16335,2.964234,-3.114814,-0.4612346
10.17971,3.001705,-3.101913,-0.630335
10.19677,3.038864,-3.074129,-0.9269388
10.21279,3.075568,-3.043575,-1.148035
10.22948,3.111711,-3.027221,-1.492566
10.24849,3.147126,-2.992311,-1.70688
10.26256,3.181711,-2.954438,-1.90763
10.2794,3.215369,-2.934391,-2.18027
10.29576,3.247967,-2.892108,-2.337615
10.31233,3.279431,-2.846984,-2.477778
10.32954,3.309692,-2.823399,-2.662251
10.34646,3.338664,-2.774289,-2.742733
10.36349,3.366305,-2.722774,-2.79925
10.37943,3.392591,-2.696192,-2.796989
10.3966,3.417521,-2.641554,-2.749967
10.4132,3.44112,-2.585213,-2.680337
10.4291,3.46342,-2.556509,-2.612968
10.44592,3.484455,-2.498257,-2.483656
10.4649,3.504287,-2.439192,-2.318173
10.47909,3.522997,-2.409475,-2.182079
10.49639,3.54065,-2.349917,-2.035133
