Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.0153656,0,0.03503782,0,0.5704651
0.03150177,0,0.02765206,0,0.5354309
0.0491066,0,0.0239619,0,0.507782
0.06558609,0,0.01666,0,0.4838257
0.08360291,0,0.009559959,0,0.4671631
0.09917831,0,0.006121606,0,0.4576111
0.1154747,0,-0.0004616678,0,0.4515076
0.1317062,0,-0.006564647,0,0.4519653
0.1479721,0,-0.009404272,0,0.4585266
0.1648407,0,-0.01460135,0,0.467926
0.1820297,0,-0.01908526,0,0.4825439
0.1988831,0,-0.02103618,0,0.5016174
0.2162056,0,-0.02431637,0,0.522644
0.2318573,0,-0.02672499,0,0.5469666
0.2484207,0,-0.02759004,0,0.5737
0.2666092,0,-0.02862579,0,0.6012878
0.283886,0,-0.02872622,0,0.6299133
0.2983742,0,-0.02842617,0,0.6586304
0.3156013,0,-0.02713561,0,0.6870422
0.3321762,0,-0.02494991,0,0.7141724
0.3490601,0,-0.02353472,0,0.7391357
0.365654,0,-0.02009535,0,0.7626648
0.3818016,0,-0.01590151,0,0.7827454
0.3990974,0,-0.01354665,0,0.798645
0.4153023,0,-0.008377612,0,0.8121948
0.4321213,0,-0.002680182,0,0.8205872
0.4488907,0,0.00033319,0,0.8232727
0.4651375,0,0.006617308,0,0.822937
0.4823494,0,0.01314491,0,0.8163147
0.5005836,0,0.01979238,0,0.8031616
0.5153275,0,0.02312189,0,0.7833557
0.5316238,0,0.02971423,0,0.7602234
0.548584,0,0.03294587,0,0.7304993
0.5654411,0,0.03920478,0,0.6975403
0.5825119,0,0.04509395,0,0.6583252
0.5981178,0,0.04786515,0,0.6132202
0.6157951,0,0.05299652,0,0.5653687
0.6318855,0,0.05750155,0,0.5123596
0.6488914,0,0.05949274,0,0.454895
0.6657028,0,0.06290661,0,0.3954163
0.6819992,0,0.06551233,0,0.3325195
0.6991997,0,0.06649685,0,0.2669983
0.7173195,0,0.06780744,0,0.2005005
0.7320824,0,0.06822322,0,0.1326904
0.7484398,0,0.06809321,0,0.06445313
0.7653427,0,0.06716168,0,-0.003616358
0.7820053,0,0.06535304,0,-0.07077803
0.799099,0,0.06413031,0,-0.1361311
0.8154335,0,0.06107795,0,-0.2002614
0.8321571,0,0.05726671,0,-0.2613394
0.848587,0,0.05509853,0,-0.3186062
0.8648872,0,0.05028832,0,-0.3737047
0.8823395,0,0.04492188,0,-0.423993
0.8986626,0,0.04206097,0,-0.4689149
0.9160118,0,0.03604949,0,-0.5109758
0.9340935,0,0.02974355,0,-0.5470253
0.9487457,0,0.02651572,0,-0.5767689
0.9658737,0,0.01998258,0,-0.6032848
0.9819603,0,0.01344264,0,-0.6232673
0.9990196,0,0.01020598,0,-0.63671
1.015049,0,0.003868937,0,-0.646916
1.032173,0,-0.002197385,0,-0.650785
1.048882,0,-0.005097151,0,-0.6485877
1.065468,0,-0.01057148,0,-0.6434907
1.081707,0,-0.01554143,0,-0.6329192
1.099194,0,-0.01781344,0,-0.6173778
1.115467,0,-0.02189088,0,-0.5995644
1.132233,0,-0.02530253,0,-0.5776736
1.151115,0,-0.02800834,0,-0.552371
1.165699,0,-0.0290885,0,-0.5243627
1.181881,0,-0.0306952,0,-0.4952744
1.198784,0,-0.03122163,0,-0.4645791
1.215252,0,-0.03172791,0,-0.4333575
1.231983,0,-0.03152591,0,-0.4016296
1.248985,0,-0.03117073,0,-0.3701037
1.265148,0,-0.02998239,0,-0.338933
1.281673,0,-0.02820724,0,-0.3089506
1.299473,0,-0.02712137,0,-0.2807434
1.315361,0,-0.02460307,0,-0.253622
1.331692,0,-0.02169573,0,-0.229019
1.348644,0,-0.02012563,0,-0.2073233
1.36768,0,-0.01681477,0,-0.1871976
1.381855,0,-0.01336282,0,-0.1703829
1.398865,0,-0.01161706,0,-0.1570201
1.415714,0,-0.008152664,0,-0.145403
1.431805,0,-0.004812717,0,-0.1372504
1.448799,0,-0.003221929,0,-0.1324377
1.465492,0,-0.0002611279,0,-0.1292157
1.481953,0,0.002326548,0,-0.1289546
1.498859,0,0.003452897,0,-0.1312812
1.515079,0,0.005320191,0,-0.1347341
1.531933,0,0.006614864,0,-0.1400543
1.548222,0,0.007028222,0,-0.1466692
1.565662,0,0.00735569,0,-0.1536974
1.583317,0,0.006986022,0,-0.1610531
1.59848,0,0.006531358,0,-0.1680391
1.615479,0,0.005074084,0,-0.1745705
1.632336,0,0.002886415,0,-0.1796446
1.64901,0,0.001522303,0,-0.182531
1.665638,0,-0.00173068,0,-0.1840533
1.682156,0,-0.005651474,0,-0.1823226
1.698818,0,-0.007846951,0,-0.1766712
1.715462,0,-0.01267022,0,-0.1688242
1.732063,0,-0.0180099,0,-0.156154
1.749264,0,-0.02084833,0,-0.1381441
1.765331,0,-0.02680665,0,-0.1172957
1.787086,0,-0.03305972,0,-0.0904891
1.801174,0,-0.03950506,0,-0.05742938
1.815342,0,-0.04276636,0,-0.01792432
1.832226,0,-0.0492975,0,0.02484131
1.848217,0,-0.05253959,0,0.0741272
1.865749,0,-0.0589073,0,0.1266785
1.882309,0,-0.06502869,0,0.1855774
1.899132,0,-0.06796366,0,0.2506104
1.915634,0,-0.07351837,0,0.318573
1.932274,0,-0.07857281,0,0.3920898
1.948071,0,-0.08088437,0,0.4706726
1.965294,0,-0.08502573,0,0.5515442
1.982082,0,-0.08846515,0,0.6365662
1.998463,0,-0.08990234,0,0.7250366
2.016865,0,-0.09217989,0,0.8149414
2.032158,0,-0.09362972,0,0.9071351
2.048496,0,-0.09403574,0,1.000763
2.065022,0,-0.09420061,0,1.094788
2.081566,0,-0.09350121,0,1.188995
2.099083,0,-0.09283066,0,1.282501
2.115768,0,-0.09086108,0,1.375336
2.131752,0,-0.08808279,0,1.466187
2.14851,0,-0.08640432,0,1.55426
2.165054,0,-0.08250308,0,1.640656
2.182198,0,-0.07793117,0,1.723145
2.198952,0,-0.07541656,0,1.801086
2.217308,0,-0.06998038,0,1.876495
2.231792,0.001923564,-0.06407452,0.007286226,1.946472
2.248543,0.008130539,-0.06097436,0.0307975,2.008636
2.265411,0.01433752,-0.05453897,0.05430877,2.061493
2.281845,0.01720227,-0.0478723,0.06516013,2.101685
2.298355,0.0198283,-0.04448295,0.0751072,2.132355
2.315216,0.02281243,-0.03765392,0.08641073,2.157013
2.331989,0.02364798,-0.0308373,0.08957569,2.171844
2.34898,0.02579655,-0.0274632,0.09771419,2.179016
2.365364,0.0273483,-0.02083707,0.103592,2.180695
2.382294,0.03021306,-0.01444316,0.1144434,2.174194
2.399731,0.03510701,-0.01135731,0.1329811,2.158417
2.417751,0.0429851,-0.005449057,0.1628223,2.134674
2.432373,0.0481178,5.817413E-05,0.1822644,2.097137
2.449089,0.05444413,0.002645731,0.2062278,2.04895
2.465096,0.06041239,0.007464886,0.2288348,1.991852
2.482227,0.0685292,0.01178432,0.2595803,1.92395
2.498547,0.07306506,0.01375127,0.2767616,1.843628
2.515308,0.07795901,0.01729393,0.2952993,1.756805
2.53215,0.08034631,0.02031851,0.3043421,1.66153
2.548328,0.08082376,0.0216403,0.3061506,1.560852
2.565578,0.08142061,0.02391887,0.3084114,1.458405
2.58157,0.08142061,0.02573752,0.3084114,1.353058
2.598469,0.07998824,0.02648735,0.3029858,1.245911
2.615646,0.07795901,0.02769995,0.2952993,1.139435
2.633499,0.07545236,0.02857685,0.2858044,1.033752
2.6483,0.07401998,0.02890873,0.2803787,0.9297485
2.665497,0.07306506,0.02940249,0.2767616,0.8268433
2.68259,0.07211014,0.02972865,0.2731445,0.7243958
2.698555,0.07067776,0.02985144,0.2677188,0.6225586
2.715214,0.06960348,0.03006458,0.2636496,0.5220337
2.732243,0.06769364,0.03029466,0.2564153,0.4223633
2.748615,0.06590316,0.0304389,0.2496332,0.3243713
2.765171,0.06327715,0.03082943,0.2396862,0.2280273
2.781757,0.06196412,0.03141022,0.2347126,0.1339417
2.799191,0.060293,0.03179049,0.2283826,0.04058838
2.815281,0.05898001,0.03276563,0.2234091,-0.05150965
2.832176,0.05730889,0.03406382,0.2170791,-0.1432553
2.851528,0.05193747,0.03572273,0.1967328,-0.234628
2.865623,0.04787907,0.03669572,0.1813601,-0.3222882
2.881794,0.04322383,0.03894043,0.1637266,-0.4068631
2.898514,0.03558447,0.04021382,0.1347897,-0.4890273
2.915665,0.02722893,0.04306221,0.1031399,-0.5648255
2.931507,0.01445689,0.0463028,0.05476094,-0.6351168
2.948452,0.004788322,0.04806328,0.01813758,-0.6958765
2.965504,0,0.0518446,0,-0.7487281
2.982433,0,0.05593789,0,-0.8005727
2.999187,0,0.05808532,0,-0.8565107
3.015491,0,0.0625447,0,-0.9145961
3.031693,0,0.06716645,0,-0.9771407
3.049545,0,0.06951511,0,-1.044307
3.068066,0,0.07423759,0,-1.113823
3.082016,0,0.07892311,0,-1.188061
3.099205,0,0.08122444,0,-1.266984
3.115406,0,0.08568829,0,-1.348208
3.13224,0,0.08989179,0,-1.433897
3.149021,0,0.09186798,0,-1.523788
3.165348,0,0.09551466,0,-1.615656
3.182243,0,0.09868479,0,-1.711171
3.197918,0,0.1000666,0,-1.809856
3.215736,0,0.102379,0,-1.909923
3.232231,0,0.104037,0,-2.012302
3.248482,0,0.1046033,0,-2.116339
3.265644,0,0.1051821,0,-2.220942
3.28426,0,0.1049946,0,-2.326125
3.298336,0,0.1046062,0,-2.431119
3.315212,0,0.1032335,0,-2.535726
3.332146,0,0.1010686,0,-2.638959
3.348408,0,0.09969366,0,-2.740028
3.366364,0,0.09637594,0,-2.839722
3.382099,0,0.09233606,0,-2.936098
3.399197,0,0.09006178,0,-3.028434
3.414898,0,0.08504558,0,-3.118496
3.432301,0,0.0794704,0,-3.203542
3.448521,0,0.07650042,0,-3.283012
3.465347,0,0.07025695,0,-3.359513
3.481689,0,0.0636971,0,-3.42977
3.500824,0,0.05693531,0,-3.493467
3.516079,0,0.05351615,0,-3.550402
3.531776,0,0.04667902,0,-3.603919
3.548225,0,0.04329252,0,-3.650598
3.565434,0,0.0366652,0,-3.693891
3.581951,0,0.03033757,0,-3.730556
3.598862,0,0.02732539,0,-3.760893
3.615154,0,0.02168107,0,-3.788219
3.631931,0,0.0166409,0,-3.809901
3.648449,0,0.01438189,0,-3.826541
3.665615,0,0.01044917,0,-3.840924
3.681484,-0.002401023,0.00737381,-0.009094786,-3.851373
