Time,CV,FF,Input
0,0,0.805491,0
0.01550293,0,0.8039248,0
0.03210449,0,0.7974825,0
0.04949951,0,0.7926365,0
0.06533813,0,0.7718899,0
0.08230591,0,0.7532292,0
0.099823,0,0.7425783,0
0.1154785,0,0.7188938,0
0.1320801,0,0.6924225,0
0.149292,0,0.6783011,0
0.1658936,0,0.6636803,0
0.184082,0,0.633228,0
0.1987915,0,0.6175454,0
0.2158508,0,0.5856496,0
0.2332153,0,0.5535658,0
0.2489624,0,0.5376484,0
0.265564,0,0.5064486,0
0.2821045,0,0.4765949,0
0.298584,0,0.4486593,0
0.3155212,0,0.423172,0
0.3319092,0,0.4006096,0
0.3492432,0,0.3905571,0
0.365448,0,0.3731348,0
0.3822327,0,0.359533,0
0.4004517,0,0.3499717,0
0.4155273,0,0.3467513,0
0.4320374,0,0.3434716,0
0.4491882,0,0.3434118,0
0.4656982,0,0.3464077,0
0.4819946,0,0.3534332,0
0.4989624,0,0.3583899,0
0.5161438,0,0.3710111,0
0.5328064,0,0.3869451,0
0.5484009,0,0.3960258,0
0.5661316,0,0.4161216,0
0.5823975,0,0.438364,0
0.601593,0,0.462192,0
0.6157837,0,0.4745148,0
0.6322937,0,0.4995916,0
0.6490784,0,0.5121875,0
0.6651001,0,0.5370958,0
0.6820984,0,0.561097,0
0.6992188,0,0.5725618,0
0.7162476,0,0.5940413,0
0.7319336,0,0.6131068,0
0.7489319,0,0.621564,0
0.7653809,0,0.6360142,0
0.782135,0,0.6468043,0
0.7987976,0,0.6507018,0
0.8181763,0,0.6552907,0
0.8323059,0,0.6553783,0
0.8491516,0,0.6536682,0
0.8655701,0,0.646653,0
0.8818665,0,0.6347889,0
0.8999939,0,0.618082,0
0.9155579,0,0.6079368,0
0.9320068,0,0.5841551,0
0.9490051,0,0.5705694,0
0.9657593,0,0.5401694,0
0.9819641,0,0.5057264,0
0.9989319,0,0.4871012,0
1.017273,0,0.4472963,0
1.032196,0,0.4044556,0
1.049042,0,0.382044,0
1.065887,0,0.3355474,0
1.082184,0,0.2872455,0
1.098541,0,0.2625792,0
1.11557,0,0.2125401,0
1.13208,0,0.161984,0
1.14978,0,0.1366675,0
1.165894,0,0.08625536,0
1.183014,0,0.03651004,0
1.199097,0,0.01201799,0
1.21759,0,-0.03596843,0
1.232208,0,-0.08234609,0
1.249176,0,-0.10484,0
1.265381,0,-0.1482859,0
1.282104,0,-0.189517,0
1.29895,0,-0.2092566,0
1.315826,0,-0.2469265,0
1.332245,0,-0.2821507,0
1.349213,0,-0.2988468,0
1.36615,0,-0.3304395,0
1.382813,0,-0.3597129,0
1.39859,0,-0.3735209,0
1.416321,0,-0.3995839,0
1.434601,0,-0.4237413,0
1.448792,0,-0.435174,0
1.465851,0,-0.4568969,0
1.483002,0,-0.4773065,0
1.49881,0,-0.4870993,0
1.515289,0,-0.506023,0
1.535156,0,-0.5242747,0
1.552032,0,-0.5420957,0
1.569,0,-0.5509146,0
1.585938,0,-0.5684945,0
1.601959,0,-0.5861416,0
1.622955,0,-0.6039972,0
1.633148,0,-0.6130363,0
1.650818,0,-0.6313801,0
1.665771,0,-0.6406935,0
1.683014,0,-0.6596037,0
1.698608,0,-0.6691921,0
1.716217,0,-0.6885929,0
1.735107,0,-0.708204,0
1.749359,0,-0.7180454,0
1.764832,0,-0.7376928,0
1.78183,0,-0.7571251,0
1.798859,0,-0.7666907,0
1.815277,0,-0.7853668,0
1.832245,0,-0.8032178,0
1.848083,0,-0.8117487,0
1.867859,0,-0.8278479,0
1.88205,0,-0.8424318,0
1.898834,0,-0.8490703,0.05973445
1.915405,2.882528E-05,-0.8608772,0.0931928
1.931732,0.0001026157,-0.8705205,0.1139912
1.948334,0.0002313985,-0.8744607,0.126199
1.966125,0.0004210539,-0.880455,0.1153477
1.98233,0.0006663332,-0.8837972,0.02220687
1.998901,0.0009222795,-0.8844319,0
2.015625,0.001178175,-0.88357,0
2.032104,0.001434019,-0.8798228,0
2.04895,0.001689811,-0.8768631,0
2.067963,0.001945553,-0.8687912,0
2.082336,0.002201244,-0.8579144,0
2.098602,0.002456883,-0.8514609,0
2.11557,0.002712471,-0.8366253,0
2.132446,0.002968008,-0.8193889,0
2.149261,0.003223494,-0.8099452,0
2.165985,0.003478929,-0.7895799,0
2.182068,0.003734313,-0.7675017,0
2.198944,0.003989646,-0.7559244,0
2.215576,0.004244927,-0.7319165,0
2.231934,0.004500158,-0.7070826,0
2.249146,0.004755338,-0.6944758,0
2.26767,0.005010466,-0.6691263,0
2.282043,0.005265544,-0.6439192,0
2.299042,0.00552057,-0.6314885,0
2.31543,0.005775546,-0.6072034,0
2.332916,0.00603047,-0.5839779,0
2.348969,0.006285344,-0.5728646,0
2.365875,0.006540166,-0.5518225,0
2.382202,0.006794938,-0.5325764,0
2.399109,0.007049658,-0.5236974,0
2.416077,0.007304328,-0.5075409,0
2.433014,0.007558947,-0.4936312,0
2.449799,0.007813515,-0.4875475,0
2.467834,0.008068032,-0.477147,0
2.482147,0.008322498,-0.4690923,0
2.49884,0.008576913,-0.4659267,0
2.515198,0.008831277,-0.4612511,0
2.532074,0.009085591,-0.4586516,0
2.549011,0.009339853,-0.4580684,0
2.56543,0.009594065,-0.4581833,0
2.582184,0.009848226,-0.4597721,0
2.598572,0.01010234,-0.4610215,0
2.616364,0.01035639,-0.4642164,0
2.631805,0.0106104,-0.468034,0
2.648499,0.01086436,-0.4700569,0
2.665497,0.01111827,-0.474084,0
2.684326,0.01137212,-0.4777537,0
2.698822,0.01162593,-0.4793299,0
2.715515,0.01187968,-0.4817212,0
2.732147,0.01213339,-0.4827842,0
2.749298,0.01238704,-0.4827056,0
2.766144,0.01264064,-0.4811212,0
2.782227,0.01289419,-0.4773846,0
2.799072,0.01314769,-0.4746257,0
2.816223,0.01340114,-0.4671856,0
2.832764,0.01365454,-0.4570325,0
2.848389,0.01390789,-0.4508952,0
2.866028,0.01416119,-0.4364442,0
2.884033,0.01441444,-0.4190613,0
2.898773,0.01466763,-0.4092734,0
2.915741,0.01492078,-0.3875426,0
2.933075,0.01517388,-0.363033,0
2.948853,0.01542692,-0.3497846,0
2.965027,0.01567991,-0.3214266,0
2.982086,0.01593286,-0.2907912,0
2.998962,0.01618575,-0.2747064,0
3.015961,0.01643859,-0.2411981,0
3.032257,0.01669139,-0.2061897,0
3.049103,0.01694413,-0.1882359,0
3.065887,0.01719682,-0.1516661,0
3.08194,0.01744946,-0.1145379,0
