Time,CV,FF,Input
0,0,0.805491,0
0.01550293,0,0.8039248,0
0.03181458,0,0.7974825,0
0.04910278,0,0.7926365,0
0.06507874,0,0.7718899,0
0.08261108,0,0.7532292,0
0.09860229,0,0.7425783,0
0.1151123,0,0.7188938,0
0.1322174,0,0.6924225,0
0.1490173,0,0.6783011,0
0.1656036,0,0.6636803,0
0.1821747,0,0.633228,0
0.2007599,0,0.60166,0
0.2158508,0,0.5856496,0
0.2323456,0,0.5535658,0
0.2493134,0,0.5376484,0
0.2653961,0,0.5064486,0
0.2825317,0,0.4765949,0
0.2991943,0,0.4486593,0
0.3161316,0,0.423172,0
0.3319092,0,0.4006096,0
0.3492126,0,0.3905571,0
0.3655548,0,0.3731348,0
0.3818665,0,0.359533,0
0.3987732,0,0.354237,0
0.4177856,0,0.3467513,0
0.4324799,0,0.3434716,0
0.4482574,0,0.3434118,0
0.46521,0,0.3464077,0
0.4821625,0,0.3534332,0
0.4989929,0,0.3583899,0
0.5154114,0,0.3710111,0
0.5315247,0,0.3869451,0
0.5488892,0,0.3960258,0.03124966
0.5650024,1.507975E-05,0.4161216,0.1207734
0.5821381,8.843653E-05,0.438364,0.2595803
0.5980682,0.000287041,0.4501164,0.3468433
0.615448,0.0006529774,0.4745148,0.4725381
0.6343231,0.001246867,0.4995916,0.5480455
0.6481018,0.002105102,0.5121875,0.6276221
0.6652222,0.003266028,0.5370958,0.727545
0.6821442,0.004777804,0.561097,0.7745675
0.6985931,0.006663051,0.5725618,0.8460057
0.7154999,0.008956167,0.5940413,0.8790119
0.7320862,0.011673,0.6131068,0.9056882
0.7489471,0.01482633,0.621564,0.9282951
0.7653351,0.01842699,0.6360142,0.9287473
0.7821503,0.0224751,0.6468043,0.8921239
0.7988739,0.02695291,0.6507018,0.8577613
0.8148956,0.03184374,0.6552907,0.8256594
0.8323669,0.03713201,0.6553783,0.782254
0.8506012,0.04279672,0.6507639,0.7429178
0.8652039,0.04881879,0.646653,0.7194065
0.881958,0.0551868,0.6347889,0.6922781
0.8981323,0.06188761,0.6270372,0.6651497
0.9152222,0.06890806,0.6079368,0.6127015
0.9320679,0.07622276,0.5841551,0.5742697
0.948349,0.08381312,0.5705694,0.5037358
0.9656067,0.09164505,0.5401694,0.4503833
0.9815216,0.09969274,0.5057264,0.3938659
0.9985809,0.1079289,0.4871012,0.3147413
1.015961,0.1163153,0.4472963,0.2695273
1.031708,0.12483,0.4044556,0.2206962
1.048615,0.1334496,0.382044,0.2017064
1.066895,0.1421648,0.3355474,0.1935678
1.08165,0.1509716,0.2872455,0.2026106
1.098495,0.1598744,0.2625792,0.226574
1.115189,0.1688848,0.2125401,0.2659102
1.132004,0.1780218,0.161984,0.3025335
1.148148,0.1873028,0.1366675,0.3310184
1.165283,0.1967418,0.08625536,0.378493
1.1819,0.2063615,0.03651004,0.4142121
1.198761,0.2161792,0.01201799,0.4675646
1.2155,0.2262205,-0.03596843,0.5132308
1.231461,0.2365075,-0.08234609,0.5557318
1.248627,0.2470606,-0.10484,0.6199358
1.267181,0.2579108,-0.1482859,0.6701233
1.281799,0.2690821,-0.189517,0.7013209
1.299042,0.2805897,-0.2092566,0.7284493
1.315353,0.2924464,-0.2469265,0.7619077
1.332062,0.3046685,-0.2821507,0.7786369
1.348785,0.3172638,-0.2988468,0.7931054
1.364975,0.3302394,-0.3304395,0.7940096
1.381821,0.3435955,-0.3597129,0.7940096
1.399231,0.3573321,-0.3735209,0.7858711
1.415268,0.3714452,-0.3995839,0.7745675
1.432358,0.3859292,-0.4237413,0.7668812
1.44809,0.4007804,-0.435174,0.7483435
1.465179,0.4159897,-0.4568969,0.7383963
1.483795,0.4315524,-0.4773065,0.7239279
1.498871,0.4474612,-0.4870993,0.7153373
1.51535,0.463712,-0.506023,0.7031295
1.531494,0.4802989,-0.5242747,0.6832353
1.548416,0.4972122,-0.5332247,0.6615326
1.565491,0.5144414,-0.5509146,0.6353085
1.581818,0.5319737,-0.5684945,0.6136057
1.598419,0.5497985,-0.5773,0.5774346
1.61525,0.5678985,-0.5950361,0.5457848
1.632294,0.5862582,-0.6130363,0.5150393
1.648682,0.6048628,-0.622162,0.455809
1.665222,0.6236836,-0.6406935,0.4092385
1.684097,0.642698,-0.6596037,0.3278534
1.698212,0.661867,-0.6691921,0.2577718
1.715347,0.6811565,-0.6885929,0.171413
1.732025,0.7005248,-0.708204,0.01316407
1.748383,0.7198956,-0.7180454,0
1.765427,0.7392625,-0.7376928,0
1.782104,0.7586256,-0.7571251,0
1.799103,0.7779847,-0.7666907,0
1.815109,0.79734,-0.7853668,0
1.832047,0.8166915,-0.8032178,0
1.84848,0.8360391,-0.8117487,0
1.865067,0.8553829,-0.8278479,-0.02672827
1.881866,0.8747098,-0.8424318,-0.1772908
1.900635,0.8939474,-0.8552293,-0.3798495
1.915207,0.9129978,-0.8608772,-0.4960494
1.931992,0.931805,-0.8705205,-0.6018502
1.948334,0.950318,-0.8744607,-0.7352315
1.965469,0.9684726,-0.880455,-0.7976267
1.981476,0.9862386,-0.8837972,-0.84058
1.998825,1.003595,-0.8844319,-0.84058
2.020935,1.020543,-0.8820587,-0.7818018
2.032242,1.03711,-0.8798228,-0.7166936
2.048325,1.053328,-0.8768631,-0.6280742
2.065155,1.06924,-0.8687912,-0.4630432
2.081741,1.084925,-0.8579144,-0.3387047
2.09903,1.100443,-0.8514609,-0.1442846
2.117172,1.115889,-0.8366253,-0.004121275
2.131989,1.13133,-0.8193889,0
2.148468,1.146767,-0.8099452,0
2.165161,1.162201,-0.7895799,0
2.182007,1.177633,-0.7675017,0
2.198212,1.193061,-0.7559244,0
2.215286,1.208486,-0.7319165,0
2.232483,1.223908,-0.7070826,0
2.248779,1.239327,-0.6944758,0
2.265305,1.254743,-0.6691263,0
2.281647,1.270156,-0.6439192,0
2.298218,1.285566,-0.6314885,0
2.315491,1.300972,-0.6072034,0
2.333374,1.316376,-0.5839779,0
2.348328,1.331776,-0.5728646,0
2.365295,1.347174,-0.5518225,0
2.381943,1.362568,-0.5325764,0
2.398026,1.377959,-0.5236974,0
2.416077,1.393347,-0.5075409,0
2.43219,1.408732,-0.4936312,0
2.448242,1.424114,-0.4875475,-0.1103741
2.465179,1.43944,-0.477147,-0.2157227
2.481293,1.454659,-0.4690923,-0.3549818
2.498291,1.469703,-0.4659267,-0.4368191
2.51535,1.484533,-0.4612511,-0.5394548
2.531525,1.4991,-0.4586516,-0.5846688
