Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01751709,0,0.03503782,0,0.5704651
0.03222656,0,0.02765206,0,0.5354309
0.04968262,0,0.0239619,0,0.507782
0.0657959,0,0.01666,0,0.4838257
0.08221436,0,0.009559959,0,0.4671631
0.09942627,0,0.006121606,0,0.4576111
0.1162109,0,-0.0004616678,0,0.4515076
0.1326294,0,-0.006564647,0,0.4519653
0.1486816,0,-0.009404272,0,0.4585266
0.1655273,0,-0.01460135,0,0.467926
0.1824341,0,-0.01908526,0,0.4825439
0.1989136,0,-0.02103618,0,0.5016174
0.2157593,0,-0.02431637,0,0.522644
0.2341919,0,-0.02672499,0,0.5469666
0.2495117,0,-0.02759004,0,0.5737
0.265686,0,-0.02862579,0,0.6012878
0.2821045,0,-0.02872622,0,0.6299133
0.2994995,0,-0.02842617,0,0.6586304
0.3157959,0,-0.02713561,0,0.6870422
0.3326416,0,-0.02494991,0,0.7141724
0.3490601,0,-0.02353472,0,0.7391357
0.3657837,0,-0.02009535,0,0.7626648
0.3829956,0,-0.01590151,0,0.7827454
0.3998413,0,-0.01354665,0,0.798645
0.4154663,0,-0.008377612,0,0.8121948
0.4324951,0,-0.002680182,0,0.8205872
0.4511719,0,0.0034374,0,0.8232727
0.4655151,0,0.006617308,0,0.8198242
0.4823608,0,0.01314491,0,0.8132019
0.4990845,0,0.01646149,0,0.8000488
0.5158081,0,0.02312189,0,0.7835999
0.5321045,0,0.02971423,0,0.7604675
0.5496826,0,0.03294587,0,0.7307434
0.565918,0,0.03920478,0,0.6977844
0.5821533,0,0.04509395,0,0.6585693
0.598999,0,0.04786515,0,0.6134644
0.6159058,0,0.05299652,0,0.5656128
0.6329346,0,0.05750155,0,0.5126038
0.6514893,0,0.06129715,0,0.4551086
0.666626,0,0.06290661,0,0.3937988
0.6829224,0,0.06551233,0,0.3309021
0.6989136,0,0.06649685,0,0.2653809
0.7157593,0,0.06780744,0,0.1988831
0.7319946,0,0.06822322,0,0.131073
0.7489624,0,0.06809321,0,0.06283569
0.7653198,0,0.06716168,0,-0.005255603
0.7820435,0,0.06535304,0,-0.07241728
0.7991333,0,0.06413031,0,-0.1377703
0.8157959,0,0.06107795,0,-0.2019006
0.8322144,0,0.05726671,0,-0.2629786
0.8492432,0,0.05509853,0,-0.3202453
0.8671265,0,0.05028832,0,-0.3753439
0.8826904,0,0.04492188,0,-0.4256323
0.899231,0,0.04206097,0,-0.4705541
0.9158936,0,0.03604949,0,-0.5126151
0.9321899,0,0.02974355,0,-0.5486646
0.9498291,0,0.02651572,0,-0.5784082
0.9655151,0,0.01998258,0,-0.6049239
0.9827881,0,0.01344264,0,-0.6249065
0.9992676,0,0.01020598,0,-0.6383491
1.015869,0,0.003868937,0,-0.6485552
1.032776,0,-0.002197385,0,-0.6524242
1.049072,0,-0.005097151,0,-0.6502268
1.065979,0,-0.01057148,0,-0.6451296
1.084473,0,-0.01554143,0,-0.6345581
1.09906,0,-0.01781344,0,-0.6190168
1.116089,0,-0.02189088,0,-0.6012033
1.133545,0,-0.02530253,0,-0.5793125
1.149475,0,-0.02674544,0,-0.55401
1.165405,0,-0.0290885,0,-0.5272647
1.182739,0,-0.0306952,0,-0.4981763
1.199707,0,-0.03122163,0,-0.4674811
1.215637,0,-0.03172791,0,-0.4362596
1.232788,0,-0.03152591,0,-0.4045317
1.248901,0,-0.03117073,0,-0.3730058
1.265625,0,-0.02998239,0,-0.3418351
1.281982,0,-0.02820724,0,-0.3118528
1.300415,0,-0.02591646,0,-0.2836455
1.31604,0,-0.02460307,0,-0.2577291
1.333252,0,-0.02169573,0,-0.233126
1.348877,0,-0.02012563,0,-0.2114303
1.366089,0,-0.01681477,0,-0.1913047
1.383057,0,-0.01336282,0,-0.1744899
1.398987,0,-0.01161706,0,-0.1611271
1.416016,0,-0.008152664,0,-0.1495101
1.432739,0,-0.004812717,0,-0.1413574
1.448669,0,-0.003221929,0,-0.1365447
1.466003,0,-0.0002611279,0,-0.1333228
1.482849,0,0.002326548,0,-0.1330617
1.501282,0,0.004453838,0,-0.1353882
1.515808,0,0.005320191,0,-0.1398421
1.532837,0,0.006614864,0,-0.1451623
1.54895,0,0.007028222,0,-0.1517772
1.565613,0,0.00735569,0,-0.1588054
1.582764,0,0.006986022,0,-0.1661611
1.59967,0,0.006531358,0,-0.1731471
1.616028,0,0.005074084,0,-0.1796785
1.632202,0,0.002886415,0,-0.1847526
1.648987,0,0.001522303,0,-0.187639
1.666016,0,-0.00173068,0,-0.1891613
1.682251,0,-0.005651474,0,-0.1874306
1.699097,0,-0.007846951,0,-0.1817792
1.717712,0,-0.01267022,0,-0.1739322
1.732788,0,-0.0180099,0,-0.161262
1.748779,0,-0.02084833,0,-0.1432521
1.765564,0,-0.02680665,0,-0.1224038
1.782043,0,-0.03305972,0,-0.09559714
1.799438,0,-0.03626499,0,-0.06253743
1.816284,0,-0.04276636,0,-0.02627245
1.832214,0,-0.0492975,0,0.01647949
1.849121,0,-0.05253959,0,0.06576538
1.865845,0,-0.0589073,0,0.1183167
1.882202,0,-0.06502869,0,0.1772156
1.899353,0,-0.06796366,0,0.2422485
1.917236,0,-0.07351837,0,0.3102112
1.932739,0,-0.07857281,0,0.383728
1.949829,0,-0.08088437,0,0.4623108
1.965881,0,-0.08502573,0,0.5431824
1.982483,0,-0.08846515,0,0.6282043
1.999023,0,-0.08990234,0,0.7166748
2.015991,0,-0.09217989,0,0.8065796
2.032776,0,-0.09362972,0,0.8987732
2.048828,0,-0.09403574,0,0.9924316
2.066345,0,-0.09420061,0,1.086456
