Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01541138,0,0.03503782,0,0.5704651
0.03234863,0,0.02765206,0,0.5354309
0.04882813,0,0.0239619,0,0.507782
0.06561279,0,0.01666,0,0.4838257
0.08209229,0,0.009559959,0,0.4671631
0.09902954,0,0.006121606,0,0.4576111
0.1156921,0,-0.0004616678,0,0.4515076
0.1346436,0,-0.006564647,0,0.4519653
0.1492004,0,-0.009404272,0,0.4585266
0.1657715,0,-0.01460135,0,0.467926
0.1824951,0,-0.01908526,0,0.4825439
0.1996155,0,-0.02103618,0,0.5016174
0.2159119,0,-0.02431637,0,0.522644
0.2322388,0,-0.02672499,0,0.5469666
0.249115,0,-0.02759004,0,0.5737
0.2657166,0,-0.02862579,0,0.6012878
0.2823486,0,-0.02872622,0,0.6299133
0.2992859,0,-0.02842617,0,0.6586304
0.3156128,0,-0.02713561,0,0.6870422
0.33255,0,-0.02494991,0,0.7141724
0.3507385,0,-0.02191395,0,0.7391357
0.3656311,0,-0.02009535,0,0.7610474
0.3826294,0,-0.01590151,0,0.7811279
0.3995361,0,-0.01354665,0,0.7970276
0.4157715,0,-0.008377612,0,0.8105774
0.4326782,0,-0.002680182,0,0.8189697
0.4490662,0,0.00033319,0,0.8216553
0.4667969,0,0.006617308,0,0.8213196
0.4835205,0,0.01314491,0,0.8146973
0.499176,0,0.01646149,0,0.8015442
0.5155945,0,0.02312189,0,0.7850952
0.5326538,0,0.02971423,0,0.7619629
0.5506287,0,0.03611445,0,0.7322388
0.5657349,0,0.03920478,0,0.6961365
0.5824585,0,0.04509395,0,0.6569214
0.5994263,0,0.04786515,0,0.6118164
0.6157532,0,0.05299652,0,0.5639648
0.632782,0,0.05750155,0,0.5109558
0.6499023,0,0.05949274,0,0.4534607
0.6662598,0,0.06290661,0,0.3939819
0.6829224,0,0.06551233,0,0.3310852
0.6990967,0,0.06649685,0,0.265564
0.7154236,0,0.06780744,0,0.1990662
0.7323914,0,0.06822322,0,0.1312561
0.7491455,0,0.06809321,0,0.0630188
0.7683411,0,0.06716168,0,-0.005064358
0.7823792,0,0.06535304,0,-0.07222604
0.7989197,0,0.06413031,0,-0.1375791
0.815979,0,0.06107795,0,-0.2017094
0.83255,0,0.05726671,0,-0.2627873
0.8494568,0,0.05509853,0,-0.3200541
0.8665771,0,0.05028832,0,-0.3751526
0.8827209,0,0.04492188,0,-0.425441
0.8991699,0,0.04206097,0,-0.4703628
0.915802,0,0.03604949,0,-0.5124239
0.932251,0,0.02974355,0,-0.5484734
0.9491577,0,0.02651572,0,-0.578217
0.9675293,0,0.01998258,0,-0.6047328
0.9823303,0,0.01344264,0,-0.6247153
0.9989624,0,0.01020598,0,-0.638158
1.016052,0,0.003868937,0,-0.648364
1.03241,0,-0.002197385,0,-0.6522329
1.048798,0,-0.005097151,0,-0.6500356
1.065826,0,-0.01057148,0,-0.6449385
1.083282,0,-0.01554143,0,-0.634367
1.099792,0,-0.01781344,0,-0.6188256
1.115784,0,-0.02189088,0,-0.6010122
1.132202,0,-0.02530253,0,-0.5791214
1.149139,0,-0.02674544,0,-0.5538188
1.165802,0,-0.0290885,0,-0.5270734
1.183868,0,-0.0306952,0,-0.4979849
1.19931,0,-0.03122163,0,-0.4672897
1.215942,0,-0.03172791,0,-0.4360681
1.232391,0,-0.03152591,0,-0.4043402
1.249115,0,-0.03117073,0,-0.3728143
1.265778,0,-0.02998239,0,-0.3416436
1.28244,0,-0.02820724,0,-0.3116613
1.299408,0,-0.02712137,0,-0.283454
1.315826,0,-0.02460307,0,-0.2563327
1.333496,0,-0.02169573,0,-0.2317296
1.348999,0,-0.02012563,0,-0.2100339
1.365662,0,-0.01681477,0,-0.1899082
1.382538,0,-0.01336282,0,-0.1730935
1.401093,0,-0.009875894,0,-0.1597306
1.415741,0,-0.008152664,0,-0.1498548
1.432098,0,-0.004812717,0,-0.1417021
1.449158,0,-0.003221929,0,-0.1368894
1.466095,0,-0.0002611279,0,-0.1336675
1.482697,0,0.002326548,0,-0.1334063
1.499207,0,0.003452897,0,-0.1357329
1.515503,0,0.005320191,0,-0.1391858
1.532532,0,0.006614864,0,-0.144506
1.549225,0,0.007028222,0,-0.1511209
1.56665,0,0.00735569,0,-0.1581491
1.582397,0,0.006986022,0,-0.1655048
1.599701,0,0.006531358,0,-0.1724908
1.617523,0,0.005074084,0,-0.1790222
1.63266,0,0.002886415,0,-0.1840963
1.649567,0,0.001522303,0,-0.1869827
1.665985,0,-0.00173068,0,-0.1885051
1.682587,0,-0.005651474,0,-0.1867744
1.699097,0,-0.007846951,0,-0.1811229
1.715637,0,-0.01267022,0,-0.173276
1.732849,0,-0.0180099,0,-0.1606058
1.749115,0,-0.02084833,0,-0.1425959
1.765991,0,-0.02680665,0,-0.1217475
1.78241,0,-0.03305972,0,-0.09494087
1.799286,0,-0.03626499,0,-0.06188116
1.815765,0,-0.04276636,0,-0.02561618
1.834076,0,-0.0492975,0,0.01715088
1.849457,0,-0.05253959,0,0.06643677
1.866699,0,-0.0589073,0,0.118988
1.882568,0,-0.06502869,0,0.1779175
1.899017,0,-0.06796366,0,0.2429504
1.915771,0,-0.07351837,0,0.3109131
1.93335,0,-0.07857281,0,0.3844299
1.949066,0,-0.08088437,0,0.4630127
1.96579,0,-0.08502573,0,0.5438843
1.98233,0,-0.08846515,0,0.6289063
1.999176,0,-0.08990234,0,0.7173767
2.015503,0,-0.09217989,0,0.8072815
2.032288,0,-0.09362972,0,0.8994751
2.050995,0,-0.09422624,0,0.993103
2.066711,0,-0.09420061,0,1.087341
2.08252,0,-0.09350121,0,1.181549
2.098969,0,-0.09283066,0,1.275055
2.115631,0,-0.09086108,0,1.367889
2.132507,0,-0.08808279,0,1.45874
2.149078,0,-0.08640432,0,1.546814
2.165771,0,-0.08250308,0,1.63324
2.182159,0,-0.07793117,0,1.715729
2.199005,0,-0.07541656,0,1.793671
2.216644,0,-0.06998038,0,1.86908
2.232758,0,-0.06407452,0,1.939056
2.250854,0,-0.05779171,0,2.003143
2.265839,0,-0.05453897,0,2.060974
2.28302,0,-0.0478723,0,2.115509
2.299225,0,-0.04448295,0,2.163391
2.315552,0,-0.03765392,0,2.207886
2.332489,0,-0.0308373,0,2.245544
2.348999,0,-0.0274632,0,2.276398
2.366028,0,-0.02083707,0,2.303864
2.382507,0,-0.01444316,0,2.324707
2.399475,0,-0.01135731,0,2.339142
2.415924,0,-0.005449057,0,2.350494
2.432037,0,5.817413E-05,0,2.355957
2.449097,0,0.002645731,0,2.355896
2.468079,0,0.007464886,0,2.353241
2.4823,0,0.01178432,0,2.345764
2.499115,0,0.01375127,0,2.333984
2.5159,0,0.01729393,0,2.320221
2.532318,0,0.02031851,0,2.302917
2.549194,0,0.0216403,0,2.282593
2.565674,0,0.02391887,0,2.260956
2.583557,0,0.02573752,0,2.23703
2.599213,0,0.02648735,0,2.211304
2.615631,0,0.02769995,0,2.184814
2.632721,0,0.02857685,0,2.157104
2.649628,0,0.02890873,0,2.12854
2.668701,0,0.02940249,0,2.09964
2.682739,0,0.02972865,0,2.070251
2.699493,0,0.02985144,0,2.040527
2.7164,0,0.03006458,0,2.010681
2.732269,0,0.03029466,0,1.980621
2.749237,0,0.0304389,0,1.950317
2.765472,0,0.03082943,0,1.919891
2.782379,0,0.03141022,0,1.889099
2.799164,0,0.03179049,0,1.857697
2.815582,0,0.03276563,0,1.825897
2.832489,0,0.03406382,0,1.793121
2.848938,0,0.03484654,0,1.759064
2.865906,0,0.03669572,0,1.724213
2.88446,0,0.03894043,0,1.687531
2.899139,0,0.04021382,0,1.648621
2.916718,0,0.04306221,0,1.608398
2.932434,0,0.0463028,0,1.565338
2.949127,0,0.04806328,0,1.519043
2.965515,0,0.0518446,0,1.471008
2.982422,0,0.05593789,0,1.419159
2.999695,0,0.05808532,0,1.36322
3.016754,0,0.0625447,0,1.305145
3.03241,0,0.06716645,0,1.242615
3.049042,0,0.06951511,0,1.175446
3.065887,0,0.07423759,0,1.105927
3.082642,0,0.07892311,0,1.031677
3.10083,0,0.08348334,0,0.9527588
3.116638,0,0.08568829,0,0.8692627
3.132324,0,0.08989179,0,0.7835693
3.14975,0,0.09186798,0,0.6936646
3.166473,0,0.09551466,0,0.6018066
3.182312,0,0.09868479,0,0.5062866
3.19928,0,0.1000666,0,0.4075928
3.215546,0,0.102379,0,0.3075256
3.232635,0,0.104037,0,0.2051392
3.249298,0,0.1046033,0,0.1011047
3.265686,0,0.1051821,0,-0.003507075
3.28241,0,0.1049946,0,-0.1086892
3.299438,0,0.1046062,0,-0.2136838
3.317474,0,0.1032335,0,-0.31829
3.332611,0,0.1010686,0,-0.4215235
3.349182,0,0.09969366,0,-0.5225921
3.366272,0,0.09637594,0,-0.6222857
3.382538,0,0.09233606,0,-0.7186617
3.399353,0,0.09006178,0,-0.8109977
3.415741,0,0.08504558,0,-0.9010596
3.433075,0,0.0794704,0,-0.9861051
3.449249,0,0.07650042,0,-1.065576
3.46579,0,0.07025695,0,-1.142076
3.482452,0,0.0636971,0,-1.212333
3.499146,0,0.06033421,0,-1.27603
3.515808,0,0.05351615,0,-1.336364
3.534576,0,0.04667902,0,-1.389881
3.549255,0,0.04329252,0,-1.43656
