Time,CV,FF,Input
0,0,-0.791238,0
0.01542664,0,-0.7777878,0
0.03182983,0,-0.7500234,0
0.04850769,0,-0.7358032,0
0.06489563,0,-0.6923848,0
0.08181763,0,-0.6633232,0
0.09985352,0,-0.6489156,0
0.1159821,0,-0.6206132,0
0.1326904,0,-0.593346,0
0.1511536,0,-0.5675273,0
0.16539,0,-0.5675273,0
0.1826782,0,-0.5435532,0
0.1990356,0,-0.5323752,0
0.2155609,0,-0.5118558,0
0.231781,0,-0.4940503,0
0.2484283,0,-0.486255,0
0.2654724,0,-0.4730349,0
0.2824097,0,-0.4631459,0
0.299118,0,-0.4567465,0
0.3156586,0,-0.4539393,0
0.3319855,0,-0.4547684,0
0.3492432,0,-0.4565442,0
0.3672791,0,-0.4627806,0
0.3822327,0,-0.4725033,0
0.3992767,0,-0.4786234,0
0.4154205,0,-0.4932536,0
0.4322662,0,-0.5108612,0
0.4483337,0,-0.5206915,0
0.4651947,0,-0.5421999,0
0.482193,0,-0.5658689,0
0.498291,0,-0.5783916,0
0.5156708,0,-0.6045529,0
0.5318298,0,-0.6318371,0
0.5486298,0,-0.6457594,0
0.565506,0,-0.6738763,0
0.5839081,0,-0.7019695,0
0.5990143,0,-0.7158628,0
0.6150513,0,-0.7430583,0
0.631958,0,-0.7690991,0
0.6488495,0,-0.781554,0
0.6655579,0,-0.8050833,0
0.6820679,0,-0.8264645,0
0.698349,0,-0.8362432,0
0.7152252,0,-0.8537888,0
0.7323303,0,-0.8684354,0
0.7484283,0,-0.8746027,0
0.7653198,0,-0.8845169,0
0.7817383,0,-0.8911005,0
0.8006439,0,-0.8942802,0
0.8157196,0,-0.8945866,0
0.8317413,0,-0.8926497,0
0.8487396,0,-0.8904243,0
0.8655548,0,-0.8835292,0
0.8821564,0,-0.8735074,0
0.8988495,0,-0.867385,0
0.9151459,0,-0.8530648,0
0.9322662,0,-0.8362042,0
0.9493103,0,-0.826915,0
0.9661713,0,-0.8068232,0
0.9826508,0,-0.7850056,0
1.000671,0,-0.761829,0
1.015488,0,-0.7498492,0
1.032013,0,-0.7253472,0
1.04866,0,-0.712921,0
1.065125,0,-0.6879557,0
1.081985,0,-0.6631487,0
1.098892,0,-0.6509163,0
1.115295,0,-0.6270046,0
1.132278,0,-0.6040916,0
1.148941,0,-0.5930999,0
1.165573,0,-0.5722063,0
1.18222,0,-0.5529502,0
1.198593,0,-0.543995,0
1.217255,0,-0.527523,0
1.231735,0,-0.5130574,0
1.248657,0,-0.5065988,0
1.265335,0,-0.4952463,0
1.282135,0,-0.4859672,0
1.298874,0,-0.482089,0
1.315399,0,-0.4757976,0
1.332184,0,-0.4713513,0
1.34874,0,-0.46977,0
1.365158,0,-0.4677703,0
1.382492,0,-0.4671366,0
1.398331,0,-0.4672561,0
1.415421,0,-0.4682027,0
1.433945,0,-0.4698598,0
1.448273,0,-0.4708642,0
1.46521,0,-0.4730396,0
1.482269,0,-0.4751885,0
1.498474,0,-0.4761607,0
1.515381,0,-0.4777206,0
1.531921,0,-0.4785382,0
1.548676,0,-0.4785872,0
1.565048,0,-0.4778149,0
1.58223,0,-0.4757027,0
1.599106,0,-0.4740841,0
1.61615,0,-0.4696212,0
1.636276,0,-0.4634173,0
1.649582,0,-0.4596318,0
1.666061,0,-0.4506551,0
1.683258,0,-0.4397838,0
1.69838,0,-0.4336401,0
1.715942,0,-0.4199642,0
1.733063,0,-0.4045047,0
1.749344,0,-0.3961408,0
1.765274,0,-0.3782343,0
1.781189,0,-0.3589017,0
1.797745,0,-0.3487625,0
1.814133,0,-0.3276778,0
1.830917,0,-0.305721,0
1.84996,0,-0.2944964,0
1.863983,0,-0.271725,0
1.880905,0,-0.2487579,0
1.89798,0,-0.2372899,0
1.914154,0,-0.2145639,0
1.931366,0,-0.1923522,0
1.947266,0,-0.181525,0
1.964798,0,-0.1605923,0
1.981277,0,-0.1408275,0
1.998154,0,-0.1314549,0
2.015121,0,-0.1138591,0
2.031891,0,-0.0979481,0
2.049667,0,-0.09067381,0
2.065643,0,-0.0775682,0
2.082001,0,-0.06646787,0
2.097992,0,-0.06169154,0
2.11499,0,-0.05370994,0
2.132507,0,-0.04782701,0
2.148254,0,-0.04566544,0
2.165207,0,-0.04286845,0
2.182022,0,-0.04203686,0
2.198975,0,-0.04232466,0
2.215256,0,-0.04422472,0
2.231644,0,-0.04776174,0
2.248535,0,-0.05009052,0
2.267593,0,-0.05575124,0
2.281708,0,-0.0625826,0
2.299011,0,-0.0663723,0
2.315857,0,-0.07456644,0
2.332275,0,-0.08340163,0
2.348984,0,-0.08799331,0
2.365112,0,-0.09739605,0
2.382187,0,-0.1069279,0
2.398575,0,-0.1116846,0
2.415146,0,-0.121074,0
2.432266,0,-0.1301741,0
2.44838,0,-0.1345749,0
2.465897,0,-0.1430111,0
2.484222,0,-0.1508925,0
2.498947,0,-0.154607,0
2.51564,0,-0.1615641,0
2.532074,0,-0.1678892,0
2.549118,0,-0.1708212,0
2.565475,0,-0.1762534,0
2.582672,0,-0.1811704,0
2.598923,0,-0.183465,0
2.615723,0,-0.1877979,0
2.632523,0,-0.1919017,0
2.648865,0,-0.1939142,0
2.665192,0,-0.1979621,0
2.682343,0,-0.2021844,0
2.700974,0,-0.20676,0
2.715363,0,-0.209237,0
2.731842,0,-0.2146819,0
2.748917,0,-0.2176936,0
2.765213,0,-0.2244006,0
2.78186,0,-0.2321486,0
2.798676,0,-0.2364574,0
2.815598,0,-0.2460212,0
2.831909,0,-0.2569306,0
2.84906,0,-0.2629147,0
2.865234,0,-0.2759745,0
2.882278,0,-0.2905086,0
2.898834,0,-0.2983276,0
2.917038,0,-0.3150476,0
2.932129,0,-0.3331545,0
2.948746,0,-0.3426985,0
2.965775,0,-0.362689,0
2.982162,0,-0.3837526,0
2.998657,0,-0.3946301,0
3.015381,0,-0.4169467,0
3.031845,0,-0.4398187,0
3.048813,0,-0.4513848,0
3.065338,0,-0.4746094,0
3.082031,0,-0.497722,0
3.098541,0,-0.5091453,0
3.11499,0,-0.5315406,0
3.133667,0,-0.5530853,0
3.149109,0,-0.5634463,0
3.16568,0,-0.5831656,0
3.182175,0,-0.601318,0
3.198425,0,-0.609725,0
3.215668,0,-0.6250502,0
3.232727,0,-0.638211,0
3.248505,0,-0.6439202,0
3.265289,0,-0.6534974,0
3.281555,0,-0.6605172,0
3.299118,0,-0.66304,0
3.316193,0,-0.6660798,0
3.333832,0,-0.6664382,0
3.348694,0,-0.6656207,0
