Time,CV,FF,Input
0,0,-0.791238,0
0.01515293,0,-0.7777878,0
0.03194618,0,-0.7500234,0
0.04879856,0,-0.7358032,0
0.0657053,0,-0.6923848,0
0.08205414,0,-0.6633232,0
0.09877682,0,-0.6489156,0
0.1157627,0,-0.6206132,0
0.1373358,0,-0.593346,0
0.1482582,0,-0.5802304,0
0.1658001,0,-0.5675273,0
0.1816044,0,-0.5435532,0
0.198616,0,-0.5323752,0
0.2153664,0,-0.5118558,0
0.2317371,0,-0.4940503,0
0.2486992,0,-0.486255,0
0.2657042,0,-0.4730349,0
0.2819452,0,-0.4631459,0
0.301055,0,-0.4548897,0
0.318017,0,-0.4539393,0
0.3351002,0,-0.4547684,0
0.3531275,0,-0.4592187,0
0.3681307,0,-0.4627806,0
0.3883877,0,-0.4725033,0
0.3987722,0,-0.4786234,0
0.4152822,0,-0.4932536,0
0.4315948,0,-0.5108612,0
0.4483957,0,-0.5206915,0
0.464798,0,-0.5421999,0
0.4815073,0,-0.5658689,0
0.4984646,0,-0.5783916,0
0.5153093,0,-0.6045529,0
0.5319672,0,-0.6318371,0
0.5487528,0,-0.6457594,0
0.5678072,0,-0.6738763,0
0.5821075,0,-0.7019695,0
0.5982714,0,-0.7158628,0
0.6150684,0,-0.7430583,0
0.6322546,0,-0.7690991,0
0.6484833,0,-0.781554,0
0.6654091,0,-0.8050833,0
0.6820354,0,-0.8264645,0
0.6990175,0,-0.8362432,0
0.7154293,0,-0.8537888,0
0.7321091,0,-0.8684354,0
0.7489481,0,-0.8746027,0
0.7679548,0,-0.8845169,0
0.781992,0,-0.8911005,0
0.7987814,0,-0.8931182,0
0.8150873,0,-0.8945866,0
0.8320141,0,-0.8926497,0
0.8483353,0,-0.8904243,0
0.8652153,0,-0.8835292,0
0.8819952,0,-0.8735074,0
0.8981981,0,-0.867385,0
0.9152575,0,-0.8530648,0
0.9315281,0,-0.8362042,0
0.9484644,0,-0.826915,0
0.9654484,0,-0.8068232,0
0.984684,0,-0.7850056,0
0.9985571,0,-0.7735636,0
1.014982,0,-0.7498492,0
1.031702,0,-0.7253472,0
1.048553,0,-0.712921,0
1.065138,0,-0.6879557,0
1.082465,0,-0.6631487,0
1.09873,0,-0.6509163,0
1.115329,0,-0.6270046,0
1.132499,0,-0.6040916,0
1.148942,0,-0.5930999,0
1.165827,0,-0.5722063,0
1.183934,0,-0.5529502,0
1.198519,0,-0.543995,0
1.214826,0,-0.527523,0
1.231881,0,-0.5130574,0
