Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01651001,0,0.03503782,0,0.5704651
0.0328064,0,0.02765206,0,0.5354309
0.0493927,0,0.0239619,0,0.507782
0.06581116,0,0.01666,0,0.4838257
0.08280945,0,0.009559959,0,0.4671631
0.1006012,0,0.002776504,0,0.4576111
0.1258087,0,-0.003579676,0,0.454834
0.149231,0,-0.009404272,0,0.4584045
0.165802,0,-0.01460135,0,0.4678039
0.1823273,0,-0.01908526,0,0.4823914
0.1990509,0,-0.02103618,0,0.5014648
0.2161255,0,-0.02431637,0,0.5224915
0.2327728,0,-0.02672499,0,0.546814
0.2496796,0,-0.02759004,0,0.5735474
0.266098,0,-0.02862579,0,0.6011353
0.2929688,0,-0.02842617,0,0.6297607
0.315979,0,-0.02713561,0,0.6581726
0.3331299,0,-0.02494991,0,0.6853027
0.3498383,0,-0.02353472,0,0.7102661
0.3657379,0,-0.02009535,0,0.7337952
0.3824921,0,-0.01590151,0,0.7538757
0.3994293,0,-0.01354665,0,0.7697754
0.4161835,0,-0.008377612,0,0.7833252
0.4417725,0,0.00033319,0,0.7917175
0.4655457,0,0.006617308,0,0.7913818
0.4835815,0,0.01314491,0,0.7847595
0.4996033,0,0.01646149,0,0.7716064
0.517807,0,0.02312189,0,0.7551575
0.5327911,0,0.02971423,0,0.7320251
0.5497437,0,0.03294587,0,0.702301
0.56604,0,0.03920478,0,0.669342
0.5831757,0,0.04509395,0,0.6301575
0.6109772,0,0.05299652,0,0.5850525
0.6334686,0,0.05750155,0,0.5320435
0.6494751,0,0.05949274,0,0.4745483
0.6660461,0,0.06290661,0,0.4150696
0.682251,0,0.06551233,0,0.3521729
0.6993103,0,0.06649685,0,0.2866516
0.7158203,0,0.06780744,0,0.2201538
0.7342987,0,0.06822322,0,0.1523438
0.7605743,0,0.06716168,0,0.08410645
0.7821503,0,0.06535304,0,0.01693726
0.8004608,0,0.06270301,0,-0.04839508
0.8157196,0,0.06107795,0,-0.1110981
0.8336029,0,0.05726671,0,-0.172176
0.8494568,0,0.05509853,0,-0.2294428
0.865799,0,0.05028832,0,-0.2845414
0.883316,0,0.04492188,0,-0.3348297
0.8995056,0,0.04206097,0,-0.3797516
0.9265747,0,0.0329262,0,-0.4218126
0.9488831,0,0.02651572,0,-0.4547389
0.9659729,0,0.01998258,0,-0.4812545
0.9824982,0,0.01344264,0,-0.5012372
0.9998169,0,0.01020598,0,-0.5146798
1.01564,0,0.003868937,0,-0.5248859
1.032776,0,-0.002197385,0,-0.5287549
1.049545,0,-0.005097151,0,-0.5265576
1.075592,0,-0.01312447,0,-0.5214605
1.099106,0,-0.01781344,0,-0.508336
1.115768,0,-0.02189088,0,-0.4905226
1.133286,0,-0.02530253,0,-0.4686318
1.151306,0,-0.02800834,0,-0.4433294
1.165741,0,-0.0290885,0,-0.415321
1.182724,0,-0.0306952,0,-0.3862326
1.200302,0,-0.03156507,0,-0.3555374
1.227676,0,-0.03171337,0,-0.3239723
1.24942,0,-0.03117073,0,-0.292259
1.266174,0,-0.02998239,0,-0.2610883
1.282516,0,-0.02820724,0,-0.2311059
1.29953,0,-0.02712137,0,-0.2028987
1.315735,0,-0.02460307,0,-0.1757774
1.333466,0,-0.02169573,0,-0.1511743
1.351425,0,-0.01849437,0,-0.1294786
1.376221,0,-0.01509988,0,-0.1109842
1.398666,0,-0.01161706,0,-0.09588433
1.416199,0,-0.008152664,0,-0.08426728
1.432266,0,-0.004812717,0,-0.07611462
1.449066,0,-0.003221929,0,-0.07130191
