Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01631355,0,0.03503782,0,0.5704651
0.03268814,0,0.02765206,0,0.5354309
0.0491991,0,0.0239619,0,0.507782
0.06630516,0,0.01666,0,0.4838257
0.08244324,0,0.009559959,0,0.4671631
0.09917927,0,0.006121606,0,0.4576111
0.1178493,0,-0.0004616678,0,0.4515076
0.1332502,0,-0.006564647,0,0.4519653
0.158865,0,-0.0120869,0,0.4585266
0.1828175,0,-0.01908526,0,0.4706116
0.199007,0,-0.02103618,0,0.4896851
0.2159586,0,-0.02431637,0,0.5107117
0.2321081,0,-0.02672499,0,0.5350342
0.2493029,0,-0.02759004,0,0.5617676
0.2658443,0,-0.02862579,0,0.5893555
0.2826872,0,-0.02872622,0,0.617981
0.2994118,0,-0.02842617,0,0.646698
0.3282232,0,-0.02615213,0,0.6751099
0.3492785,0,-0.02353472,0,0.7012634
0.3660021,0,-0.02009535,0,0.7247925
0.3829927,0,-0.01590151,0,0.744873
0.3994942,0,-0.01354665,0,0.7607727
0.4164066,0,-0.008377612,0,0.7743225
0.4336081,0,-0.002680182,0,0.7827148
0.4491959,0,0.00033319,0,0.7854004
0.4660473,0,0.006617308,0,0.7850647
0.4927769,0,0.01646149,0,0.7784424
0.5157785,0,0.02312189,0,0.7619934
0.5349751,0,0.02971423,0,0.7388611
0.5490208,0,0.03294587,0,0.709137
0.5665169,0,0.03920478,0,0.676178
0.5823565,0,0.04509395,0,0.6369629
0.5991783,0,0.04786515,0,0.5918579
0.6156282,0,0.05299652,0,0.5440063
0.6325579,0,0.05750155,0,0.4909973
0.6591387,0,0.06129715,0,0.4335022
0.6822758,0,0.06551233,0,0.3722229
0.6989651,0,0.06649685,0,0.3067017
0.716239,0,0.06780744,0,0.2402039
0.7343378,0,0.06822322,0,0.1723938
0.7489462,0,0.06809321,0,0.1041565
0.7663403,0,0.06716168,0,0.03607178
0.7828112,0,0.06535304,0,-0.03110104
0.8109903,0,0.06107795,0,-0.09645408
0.8319187,0,0.05726671,0,-0.157532
0.8493862,0,0.05509853,0,-0.2147988
0.8660164,0,0.05028832,0,-0.2698973
0.8835258,0,0.04492188,0,-0.3201856
0.898694,0,0.04206097,0,-0.3651075
0.9157133,0,0.03604949,0,-0.4071685
0.9326143,0,0.02974355,0,-0.443218
0.9512138,0,0.02325726,0,-0.4729616
0.9756298,0,0.01670635,0,-0.4962189
0.998662,0,0.01020598,0,-0.5129252
1.016221,0,0.003868937,0,-0.5231312
1.032678,0,-0.002197385,0,-0.5270001
1.049177,0,-0.005097151,0,-0.5248028
1.065442,0,-0.01057148,0,-0.5197057
1.082705,0,-0.01554143,0,-0.5091344
1.099584,0,-0.01781344,0,-0.493593
1.115429,0,-0.02189088,0,-0.4757795
1.142941,0,-0.02674544,0,-0.4538887
1.165557,0,-0.0290885,0,-0.4271433
1.182849,0,-0.0306952,0,-0.3980548
1.19908,0,-0.03122163,0,-0.3673596
1.215782,0,-0.03172791,0,-0.336138
1.232825,0,-0.03152591,0,-0.3044101
1.248974,0,-0.03117073,0,-0.2728842
1.266235,0,-0.02998239,0,-0.2417135
1.292749,0,-0.02712137,0,-0.2117311
1.315686,0,-0.02460307,0,-0.1846098
1.33229,0,-0.02169573,0,-0.1600067
1.349124,0,-0.02012563,0,-0.138311
1.367897,0,-0.01681477,0,-0.1181853
1.382875,0,-0.01336282,0,-0.1013706
1.400053,0,-0.009875894,0,-0.08800776
1.416363,0,-0.008152664,0,-0.07813187
1.443769,0,-0.003221929,0,-0.06997921
1.466524,0,-0.0002611279,0,-0.06675727
1.482703,0,0.002326548,0,-0.06649613
1.498928,0,0.003452897,0,-0.06882267
1.516699,0,0.005320191,0,-0.07227557
1.532071,0,0.006614864,0,-0.07759576
1.54907,0,0.007028222,0,-0.08421063
1.566685,0,0.00735569,0,-0.09123886
1.59478,0,0.006531358,0,-0.09859455
1.615071,0,0.005074084,0,-0.1051259
1.632613,0,0.002886415,0,-0.1102
1.648944,0,0.001522303,0,-0.1130864
1.666329,0,-0.00173068,0,-0.1146087
1.682757,0,-0.005651474,0,-0.1128781
1.69882,0,-0.007846951,0,-0.1072266
1.715693,0,-0.01267022,0,-0.09937963
1.733622,0,-0.0180099,0,-0.08670941
1.759027,0,-0.02378446,0,-0.0686995
1.782548,0,-0.03305972,0,-0.04491504
1.800707,0,-0.03950506,0,-0.01185533
1.816581,0,-0.04276636,0,0.02764893
1.832697,0,-0.0492975,0,0.07040405
1.849338,0,-0.05253959,0,0.1196899
1.865452,0,-0.0589073,0,0.1722412
1.882461,0,-0.06502869,0,0.2311401
1.89977,0,-0.06796366,0,0.2961731
1.92551,0,-0.07611385,0,0.3641357
1.949049,0,-0.08088437,0,0.4402466
1.966591,0,-0.08502573,0,0.5211487
1.983038,0,-0.08846515,0,0.6061707
2.00141,0,-0.09114242,0,0.6946411
2.016606,0,-0.09217989,0,0.7857971
2.033633,0,-0.09362972,0,0.8779907
2.049001,0,-0.09403574,0,0.9716187
2.065948,0,-0.09420061,0,1.065643
2.092108,0,-0.09283066,0,1.159851
2.116295,0,-0.09086108,0,1.252716
2.132655,0,-0.08808279,0,1.343567
2.149252,0,-0.08640432,0,1.431641
2.165721,0,-0.08250308,0,1.518036
2.182425,0,-0.07793117,0,1.600525
2.199251,0,-0.07541656,0,1.678467
2.217959,0,-0.06998038,0,1.753876
2.242272,0,-0.06097436,0,1.823853
2.266492,0,-0.05453897,0,1.884827
2.282876,0,-0.0478723,0,1.939362
2.299096,0,-0.04448295,0,1.987244
2.316672,0,-0.03765392,0,2.031738
2.333697,0,-0.0308373,0,2.069397
2.349869,0,-0.0274632,0,2.10022
2.366141,0,-0.02083707,0,2.127686
2.383787,0,-0.01444316,0,2.148529
2.40988,0,-0.00835681,0,2.162964
2.433352,0,5.817413E-05,0,2.171326
2.44933,0,0.002645731,0,2.171265
2.465855,0,0.007464886,0,2.16861
2.483401,0,0.01178432,0,2.161133
2.499092,0,0.01375127,0,2.149384
2.51587,0,0.01729393,0,2.13562
2.532268,0,0.02031851,0,2.118347
2.549463,0,0.0216403,0,2.098022
2.575841,0,0.02488327,0,2.076385
2.598831,0,0.02648735,0,2.051514
2.615978,0,0.02769995,0,2.025024
2.634645,0,0.02857685,0,1.997314
2.650141,0,0.02918124,0,1.96875
2.666796,0,0.02940249,0,1.939575
2.682849,0,0.02972865,0,1.910217
2.699818,0,0.02985144,0,1.880493
2.726068,0,0.03017259,0,1.850647
2.749709,0,0.0304389,0,1.820496
2.766227,0,0.03082943,0,1.79007
2.783785,0,0.03141022,0,1.759247
2.799783,0,0.03179049,0,1.727844
2.81657,0,0.03276563,0,1.696045
2.834209,0,0.03406382,0,1.663269
2.849487,0,0.03484654,0,1.629211
2.867291,0,0.03669572,0,1.59436
2.89252,0,0.04021382,0,1.557678
2.915607,0,0.04306221,0,1.517456
2.932579,0,0.0463028,0,1.474396
2.949094,0,0.04806328,0,1.428101
2.965729,0,0.0518446,0,1.380035
2.982744,0,0.05593789,0,1.328186
2.99931,0,0.05808532,0,1.272278
3.016638,0,0.0625447,0,1.214203
3.034384,0,0.06716645,0,1.151672
3.059227,0,0.07187569,0,1.084503
3.082213,0,0.07892311,0,1.012634
3.099083,0,0.08122444,0,0.9337463
3.116675,0,0.08568829,0,0.8525085
3.132596,0,0.08989179,0,0.7668152
3.149746,0,0.09186798,0,0.6769104
3.166472,0,0.09551466,0,0.5850525
3.182917,0,0.09868479,0,0.4895325
3.199988,0,0.1000666,0,0.3908386
3.22584,0,0.1032935,0,0.2907715
3.249483,0,0.1046033,0,0.1874695
3.266704,0,0.1051821,0,0.08285522
3.28286,0,0.1049946,0,-0.02233108
3.301088,0,0.1040193,0,-0.1273257
3.315992,0,0.1032335,0,-0.231345
3.332791,0,0.1010686,0,-0.3345785
3.349414,0,0.09969366,0,-0.4356471
3.366662,0,0.09637594,0,-0.5353408
3.392304,0,0.09006178,0,-0.6317167
3.416574,0,0.08504558,0,-0.7217786
3.432157,0,0.0794704,0,-0.8068241
3.451114,0,0.07342505,0,-0.8862945
3.465762,0,0.07025695,0,-0.9597196
3.482553,0,0.0636971,0,-1.029977
3.499287,0,0.06033421,0,-1.093674
3.516348,0,0.05351615,0,-1.154008
3.53283,0,0.04667902,0,-1.207524
3.559239,0,0.03994966,0,-1.254203
3.582537,0,0.03033757,0,-1.294153
3.599045,0,0.02732539,0,-1.324491
3.615918,0,0.02168107,0,-1.351816
3.632061,0,0.0166409,0,-1.373497
3.649925,0,0.01438189,0,-1.390139
3.667626,0,0.01044917,0,-1.404521
3.682654,0,0.00737381,0,-1.41497
3.699344,0,0.006183147,0,-1.422344
3.726675,0,0.004099607,0,-1.428527
3.749023,0,0.004014492,0,-1.432626
3.766009,0,0.00501132,0,-1.436641
3.7832,0,0.00710392,0,-1.441653
3.798939,0,0.008560181,0,-1.448757
3.81583,0,0.01228023,0,-1.457317
3.832855,0,0.01704741,0,-1.469597
3.849006,0,0.01980853,0,-1.486645
3.866077,0,0.02604437,0,-1.506453
3.895724,0,0.03703094,0,-1.532498
3.916217,0,0.04530263,0,-1.569529
3.932329,0,0.05420113,0,-1.614831
3.949299,0,0.05884671,0,-1.669033
3.96556,0,0.06844735,0,-1.727879
3.982541,0,0.07834482,0,-1.796327
4.000443,0,0.08839417,0,-1.874671
4.015725,0,0.09343052,0,-1.963066
4.032861,0,0.1034307,0,-2.056497
4.058146,0,0.1132131,0,-2.159928
4.083101,0,0.127162,0,-2.273141
4.10081,0,0.135777,0,-2.400303
4.115978,0,0.1398315,0,-2.53608
4.132169,0,0.1473575,0,-2.675912
4.148998,0,0.1508021,0,-2.823269
4.166128,0,0.1569934,0,-2.974072
4.182683,0,0.1621809,0,-3.131065
4.199281,0,0.1643753,0,-3.293246
4.235147,0,0.1703343,0,-3.457621
4.249045,0,0.1710958,0,-3.627956
4.265508,0,0.1717315,0,-3.799052
4.28237,0,0.1711845,0,-3.970784
4.298592,0,0.1704741,0,-4.141969
4.317869,0,0.1681967,0,-4.312443
4.332356,0,0.1648197,0,-4.48064
4.348646,0,0.1627369,0,-4.645461
4.365629,0,0.1578321,0,-4.808197
4.392587,0,0.1487894,0,-4.96603
4.415444,0,0.1417818,0,-5.114819
4.431876,0,0.1341238,0,-5.256601
4.449504,0,0.1300879,0,-5.390725
4.466789,0,0.1216784,0,-5.520813
4.482805,0,0.1129274,0,-5.642491
4.499324,0,0.1084642,0,-5.755418
4.51767,0,0.09944439,0,-5.863883
4.54428,0,0.08591366,0,-5.963327
4.565548,0,0.0770731,0,-6.049241
4.582768,0,0.06851006,0,-6.126315
4.598809,0,0.06436539,0,-6.194826
4.615831,0,0.05641079,0,-6.259192
4.6329,0,0.04897404,0,-6.315602
4.649164,0,0.04547596,0,-6.364576
4.6667,0,0.03895473,0,-6.410052
4.68245,0,0.03311443,0,-6.449008
4.709348,0,0.02799606,0,-6.482122
4.732309,0,0.02171993,0,-6.510118
4.749165,0,0.02000523,0,-6.531838
4.766628,0,0.01713848,0,-6.551844
4.782661,0,0.01500225,0,-6.568982
4.799269,0,0.0141983,0,-6.583984
4.815706,0,0.0130949,0,-6.598183
4.832952,0,0.01262093,0,-6.611279
4.86157,0,0.01295567,0,-6.623901
4.88229,0,0.01377487,0,-6.636857
4.899253,0,0.01433563,0,-6.650631
4.916501,0,0.01570892,0,-6.664968
4.933975,0,0.01734924,0,-6.680677
4.949024,0,0.01824379,0,-6.698027
4.966401,0,0.02013206,0,-6.71627
4.982316,0,0.02208614,0,-6.736403
4.999246,0,0.02306461,0,-6.758489
5.025785,0,0.02589607,0,-6.781554
5.048486,0,0.02762032,0,-6.807451
5.065533,0,0.02914715,0,-6.835072
5.082689,0,0.03043556,0,-6.864219
5.098795,0,0.03097916,0,-6.894655
5.115694,0,0.031847,0,-6.925634
5.133533,0,0.03241062,0,-6.957481
5.150872,0,0.03266335,0,-6.989892
5.176837,0,0.03261089,0,-7.022556
5.198781,0,0.03226852,0,-7.055167
5.215409,0,0.03166294,0,-7.087435
5.23243,0,0.03083134,0,-7.119098
5.249502,0,0.0303421,0,-7.14993
5.265896,0,0.02925301,0,-7.180272
5.28236,0,0.02805519,0,-7.209524
5.298771,0,0.02743626,0,-7.23758
5.315922,0,0.0261898,0,-7.265017
5.343861,0,0.0244236,0,-7.291206
5.365933,0,0.02340412,0,-7.315631
5.382054,0,0.0225811,0,-7.339036
5.399094,0,0.02226067,0,-7.361617
5.415862,0,0.02183342,0,-7.383878
5.432092,0,0.02172947,0,-7.405711
5.449366,0,0.02181149,0,-7.427441
5.466873,0,0.02226162,0,-7.449252
5.492685,0,0.02369404,0,-7.471514
5.515466,0,0.02516937,0,-7.495208
5.532652,0,0.02705765,0,-7.520377
5.548829,0,0.02815342,0,-7.547434
5.567698,0,0.03062916,0,-7.575588
5.582662,0,0.0334568,0,-7.606218
5.598898,0,0.03498936,0,-7.639675
5.615884,0,0.03825665,0,-7.674664
5.632843,0,0.04174328,0,-7.71292
5.659324,0,0.04537868,0,-7.754664
5.682719,0,0.05093765,0,-7.800044
5.699107,0,0.05277538,0,-7.850983
5.716528,0,0.0563612,0,-7.903759
5.732627,0,0.05974865,0,-7.960119
5.749275,0,0.06133938,0,-8.019868
5.768281,0,0.06425476,0,-8.081206
5.782646,0,0.06673813,0,-8.145463
5.799507,0,0.06779003,0,-8.212202
5.825529,0,0.07006264,0,-8.279992
5.848533,0,0.07074642,0,-8.350056
5.865871,0,0.07068825,0,-8.420802
5.882048,0,0.06983185,0,-8.491489
5.89904,0,0.06908989,0,-8.561321
5.91601,0,0.0669632,0,-8.63041
5.932693,0,0.06396103,0,-8.697374
5.94904,0,0.06212616,0,-8.761335
5.966929,0,0.0578022,0,-8.823462
5.994006,0,0.04970551,0,-8.881266
6.015488,0,0.04328918,0,-8.930971
6.032453,0,0.03612137,0,-8.97426
6.049598,0,0.03227615,0,-9.010381
6.065774,0,0.0241127,0,-9.042658
6.082919,0,0.01539803,0,-9.066771
6.09931,0,0.01086235,0,-9.08217
6.115787,0,0.001508713,0,-9.093033
6.132867,0,-0.008127213,0,-9.094542
6.161851,0,-0.02284622,0,-9.086415
6.181931,0,-0.0326519,0,-9.06357
6.20059,0,-0.04229927,0,-9.030919
6.216692,0,-0.04702377,0,-8.98862
6.232647,0,-0.05620003,0,-8.941597
6.249326,0,-0.06061935,0,-8.885397
6.265885,0,-0.06904602,0,-8.824777
6.282722,0,-0.07683563,0,-8.755733
6.29938,0,-0.0804615,0,-8.678898
6.326882,0,-0.09011459,0,-8.598436
6.348778,0,-0.095438,0,-8.508323
6.366125,0,-0.09979725,0,-8.412885
6.3826,0,-0.1031523,0,-8.313087
6.40117,0,-0.1054735,0,-8.209937
6.416624,0,-0.1062422,0,-8.104464
6.43254,0,-0.1070032,0,-7.998221
6.449428,0,-0.1069984,0,-7.891218
6.479551,0,-0.1054907,0,-7.78422
6.499151,0,-0.1033049,0,-7.678729
6.515788,0,-0.1002522,0,-7.575425
6.532666,0,-0.09641552,0,-7.475173
6.549477,0,-0.09423065,0,-7.378759
6.565855,-0.000371827,-0.08940029,-0.001408436,-7.284531
6.583394,-0.001684834,-0.08404446,-0.006381947,-7.194757
6.613642,-0.004788322,-0.07529545,-0.01813758,-7.109028
6.628243,-0.004788322,-0.07225227,-0.01813758,-7.028944
6.648337,-0.004788322,-0.06607246,-0.01813758,-6.951904
6.66563,-0.004549592,-0.0598793,-0.0172333,-6.881043
6.682277,-0.004430234,-0.05380249,-0.01678119,-6.816614
6.699781,-0.004430234,-0.05084991,-0.01678119,-6.758382
6.726792,-0.004430234,-0.04250717,-0.01678119,-6.703102
6.748922,-0.004430234,-0.03752422,-0.01678119,-6.656165
6.765779,-0.004430234,-0.03312206,-0.01678119,-6.61421
6.791353,-0.004430234,-0.02780819,-0.01678119,-6.576657
6.816379,-0.004430234,-0.02523041,-0.01678119,-6.544419
6.832335,-0.004549592,-0.02349186,-0.0172333,-6.514759
6.848787,-0.005146424,-0.02294731,-0.01949403,-6.486717
6.865762,-0.005146424,-0.0225296,-0.01949403,-6.458623
6.882586,-0.00574324,-0.02300835,-0.0217547,-6.430947
6.898856,-0.00574324,-0.02358437,-0.0217547,-6.402196
6.915939,-0.00574324,-0.02539349,-0.0217547,-6.372869
6.944024,-0.006101343,-0.02968502,-0.02311115,-6.341733
6.959602,-0.006101343,-0.03151035,-0.02311115,-6.305948
6.981826,-0.006578802,-0.03805637,-0.02491971,-6.268336
7.000317,-0.006817533,-0.04320621,-0.02582399,-6.223701
7.017273,-0.007294992,-0.04598141,-0.02763255,-6.173678
7.032544,-0.007533722,-0.05186844,-0.02853683,-6.120402
7.049691,-0.00836927,-0.05495358,-0.03170178,-6.061
7.077376,-0.008607998,-0.06459618,-0.03260606,-5.997678
7.09172,-0.009204832,-0.07120037,-0.03486679,-5.924475
7.115331,-0.009562918,-0.07780075,-0.03622318,-5.84407
7.132785,-0.01087594,-0.0842762,-0.04119674,-5.756706
7.149972,-0.01123403,-0.08742905,-0.04255313,-5.661553
7.175311,-0.01230832,-0.09638309,-0.04662242,-5.562891
7.19884,-0.01230832,-0.1017933,-0.04662242,-5.454199
7.216722,-0.01230832,-0.1066446,-0.04662242,-5.340098
7.234246,-0.01230832,-0.1108484,-0.04662242,-5.221146
7.259709,-0.01266641,-0.1143312,-0.04797881,-5.09799
7.276492,-0.01266641,-0.1170359,-0.04797881,-4.970992
7.299329,-0.01266641,-0.1189165,-0.04797881,-4.841291
7.31589,-0.01266641,-0.1199446,-0.04797881,-4.709708
7.332664,-0.01266641,-0.1201057,-0.04797881,-4.577098
7.34928,-0.01266641,-0.1198645,-0.04797881,-4.444326
7.366414,-0.01266641,-0.1187391,-0.04797881,-4.311796
7.392259,-0.01278578,-0.1155157,-0.04843098,-4.180391
7.409699,-0.01278578,-0.1140518,-0.04843098,-4.052089
